Longitud_de_onda_A,espectro
4000.0000,0.982911
4000.0500,0.834607
4000.1000,1.17876
4000.1500,1.02585
4000.2000,1.04093
4000.2500,1.01481
4000.3000,0.90606
4000.3500,1.02694
4000.4000,1.0288
4000.4500,0.959161
4000.5000,1.04579
4000.5500,1.12035
4000.6000,1.0332
4000.6500,0.911554
4000.7000,0.770721
4000.7500,1.09819
4000.8000,0.965351
4000.8500,0.898148
4000.9000,1.06974
4000.9500,1.02299
4001.0000,0.929132
4001.0500,0.971454
4001.1000,1.05454
4001.1500,1.00505
4001.2000,1.08972
4001.2500,0.996734
4001.3000,0.978522
4001.3500,0.820272
4001.4000,0.924233
4001.4500,1.13118
4001.5000,1.03047
4001.5500,1.00287
4001.6000,0.959432
4001.6500,0.832319
4001.7000,0.882652
4001.7500,0.858131
4001.8000,0.890967
4001.8500,1.06962
4001.9000,0.996628
4001.9500,0.831533
4002.0000,0.803814
4002.0500,0.928553
4002.1000,0.861522
4002.1500,1.06453
4002.2000,1.04923
4002.2500,0.900439
4002.3000,0.848877
4002.3500,1.0208
4002.4000,1.00289
4002.4500,1.03793
4002.5000,1.15729
4002.5500,1.19406
4002.6000,0.840288
4002.6500,0.849281
4002.7000,1.0482
4002.7500,0.890457
4002.8000,0.960238
4002.8500,1.07893
4002.9000,0.931384
4002.9500,1.19736
4003.0000,0.946468
4003.0500,0.963555
4003.1000,1.21927
4003.1500,1.01547
4003.2000,0.831495
4003.2500,0.780164
4003.3000,0.855011
4003.3500,0.891627
4003.4000,1.00663
4003.4500,1.04527
4003.5000,0.955232
4003.5500,0.878457
4003.6000,0.796617
4003.6500,0.823886
4003.7000,1.16627
4003.7500,1.05878
4003.8000,1.0322
4003.8500,0.996967
4003.9000,0.933797
4003.9500,0.85136
4004.0000,0.794763
4004.0500,0.933019
4004.1000,1.06577
4004.1500,1.13049
4004.2000,1.09787
4004.2500,0.928344
4004.3000,1.06197
4004.3500,0.991765
4004.4000,0.922342
4004.4500,1.06313
4004.5000,1.10798
4004.5500,0.995415
4004.6000,1.01251
4004.6500,1.00905
4004.7000,1.07228
4004.7500,1.01884
4004.8000,0.864703
4004.8500,0.904527
4004.9000,0.954922
4004.9500,0.862073
4005.0000,1.16839
4005.0500,0.878758
4005.1000,0.886626
4005.1500,0.862998
4005.2000,0.619416
4005.2500,0.56318
4005.3000,0.533265
4005.3500,0.854626
4005.4000,0.955831
4005.4500,0.814613
4005.5000,0.951716
4005.5500,0.941525
4005.6000,1.03244
4005.6500,1.04747
4005.7000,0.899924
4005.7500,0.832253
4005.8000,0.940075
4005.8500,0.963969
4005.9000,1.10009
4005.9500,0.837245
4006.0000,0.89601
4006.0500,1.11559
4006.1000,1.13536
4006.1500,1.12403
4006.2000,0.981243
4006.2500,0.834614
4006.3000,0.903126
4006.3500,0.931795
4006.4000,0.727664
4006.4500,0.844508
4006.5000,1.36934
4006.5500,1.44235
4006.6000,3.97407
4006.6500,1.23359
4006.7000,1.00242
4006.7500,0.743178
4006.8000,1.081
4006.8500,0.971123
4006.9000,1.10843
4006.9500,0.7685
4007.0000,0.893599
4007.0500,1.08945
4007.1000,0.868736
4007.1500,1.00651
4007.2000,1.03941
4007.2500,0.910236
4007.3000,1.16257
4007.3500,0.975117
4007.4000,1.06898
4007.4500,1.00736
4007.5000,1.06838
4007.5500,1.06438
4007.6000,1.11735
4007.6500,0.882936
4007.7000,0.782129
4007.7500,0.880283
4007.8000,0.9939
4007.8500,0.803767
4007.9000,1.4132
4007.9500,2.41304
4008.0000,1.14647
4008.0500,1.13111
4008.1000,1.04456
4008.1500,1.01346
4008.2000,1.06254
4008.2500,1.04609
4008.3000,1.08758
4008.3500,1.01173
4008.4000,0.960097
4008.4500,0.881726
4008.5000,0.994797
4008.5500,0.994135
4008.6000,0.924393
4008.6500,1.12661
4008.7000,1.01861
4008.7500,1.13906
4008.8000,1.08522
4008.8500,0.917757
4008.9000,1.16889
4008.9500,0.907673
4009.0000,1.06184
4009.0500,0.99868
4009.1000,1.11348
4009.1500,0.946929
4009.2000,1.17576
4009.2500,0.990722
4009.3000,0.965144
4009.3500,1.05669
4009.4000,1.14518
4009.4500,1.0982
4009.5000,0.82293
4009.5500,0.948728
4009.6000,1.08654
4009.6500,0.826548
4009.7000,1.00216
4009.7500,1.14015
4009.8000,1.17195
4009.8500,0.941078
4009.9000,1.2261
4009.9500,0.888368
4010.0000,1.14158
4010.0500,0.945427
4010.1000,0.883895
4010.1500,0.924612
4010.2000,1.00714
4010.2500,1.0188
4010.3000,1.02095
4010.3500,0.910672
4010.4000,0.892551
4010.4500,0.881384
4010.5000,1.06687
