Longitud_de_onda_A,espectro
4000.0000,1.03368
4000.0500,1.04313
4000.1000,1.02507
4000.1500,1.02882
4000.2000,0.96851
4000.2500,1.00262
4000.3000,1.00081
4000.3500,0.978242
4000.4000,0.961208
4000.4500,0.972626
4000.5000,0.985402
4000.5500,1.00025
4000.6000,0.98986
4000.6500,1.00319
4000.7000,1.04225
4000.7500,1.02254
4000.8000,1.02554
4000.8500,0.996875
4000.9000,0.994745
4000.9500,1.02348
4001.0000,1.0266
4001.0500,0.995173
4001.1000,0.992177
4001.1500,1.00011
4001.2000,1.00481
4001.2500,1.00528
4001.3000,1.00855
4001.3500,1.03323
4001.4000,0.993418
4001.4500,0.992615
4001.5000,0.983577
4001.5500,0.932802
4001.6000,0.928016
4001.6500,0.961607
4001.7000,0.937546
4001.7500,0.957088
4001.8000,1.04173
4001.8500,0.9899
4001.9000,1.042
4001.9500,0.977278
4002.0000,1.00728
4002.0500,0.967382
4002.1000,0.983153
4002.1500,0.991227
4002.2000,0.979316
4002.2500,1.0066
4002.3000,0.986789
4002.3500,0.966857
4002.4000,1.01214
4002.4500,1.00811
4002.5000,0.997911
4002.5500,1.04387
4002.6000,1.1016
4002.6500,1.00953
4002.7000,0.983575
4002.7500,0.987356
4002.8000,1.01807
4002.8500,0.987784
4002.9000,0.963917
4002.9500,0.958786
4003.0000,1.03306
4003.0500,1.0143
4003.1000,1.00413
4003.1500,1.02945
4003.2000,1.02221
4003.2500,1.00633
4003.3000,1.02631
4003.3500,1.02275
4003.4000,1.05595
4003.4500,0.999927
4003.5000,1.02548
4003.5500,1.00684
4003.6000,1.00234
4003.6500,0.991274
4003.7000,0.986578
4003.7500,0.92941
4003.8000,1.02543
4003.8500,1.03293
4003.9000,1.05051
4003.9500,1.03904
4004.0000,0.999476
4004.0500,1.0401
4004.1000,1.02982
4004.1500,1.05244
4004.2000,1.04841
4004.2500,1.05549
4004.3000,1.04897
4004.3500,0.988761
4004.4000,1.01029
4004.4500,1.03802
4004.5000,1.0373
4004.5500,1.04198
4004.6000,1.05713
4004.6500,1.05222
4004.7000,1.0211
4004.7500,1.04277
4004.8000,0.978299
4004.8500,0.955049
4004.9000,0.92978
4004.9500,0.921268
4005.0000,0.991655
4005.0500,0.946373
4005.1000,0.936528
4005.1500,0.801694
4005.2000,0.595553
4005.2500,0.533841
4005.3000,0.646577
4005.3500,0.799019
4005.4000,0.965488
4005.4500,1.01682
4005.5000,1.04598
4005.5500,1.01565
4005.6000,1.00223
4005.6500,0.897306
4005.7000,0.8893
4005.7500,0.970486
4005.8000,0.948222
4005.8500,1.03077
4005.9000,1.00731
4005.9500,1.01198
4006.0000,0.996334
4006.0500,1.01962
4006.1000,0.991362
4006.1500,1.01441
4006.2000,0.993273
4006.2500,1.01171
4006.3000,0.975574
4006.3500,0.970524
4006.4000,0.998826
4006.4500,1.00711
4006.5000,1.03495
4006.5500,1.01309
4006.6000,0.975595
4006.6500,0.965557
4006.7000,0.947982
4006.7500,0.956388
4006.8000,0.998788
4006.8500,0.998463
4006.9000,0.996698
4006.9500,0.992009
4007.0000,0.951653
4007.0500,0.990208
4007.1000,1.04174
4007.1500,1.04405
4007.2000,0.958369
4007.2500,0.929308
4007.3000,0.962022
4007.3500,0.983056
4007.4000,1.02519
4007.4500,1.00351
4007.5000,0.994153
4007.5500,1.05328
4007.6000,1.01922
4007.6500,1.04255
4007.7000,1.0408
4007.7500,1.02051
4007.8000,1.04685
4007.8500,1.03323
4007.9000,1.06697
4007.9500,1.0092
4008.0000,1.03141
4008.0500,1.03703
4008.1000,1.02059
4008.1500,1.03745
4008.2000,1.03704
4008.2500,1.0444
4008.3000,1.06473
4008.3500,1.02317
4008.4000,1.02571
4008.4500,0.999682
4008.5000,1.01743
4008.5500,1.04996
4008.6000,0.999095
4008.6500,1.00902
4008.7000,1.04187
4008.7500,1.06286
4008.8000,1.02424
4008.8500,1.0394
4008.9000,0.980802
4008.9500,0.978964
4009.0000,1.03598
4009.0500,1.05816
4009.1000,1.05829
4009.1500,1.04819
4009.2000,1.04617
4009.2500,1.02851
4009.3000,1.01371
4009.3500,1.06486
