Longitud_de_onda_A,espectro
4000.0000,1.26675
4000.0500,1.04594
4000.1000,1.0526
4000.1500,0.990312
4000.2000,0.910633
4000.2500,0.817957
4000.3000,0.910047
4000.3500,0.951018
4000.4000,0.771952
4000.4500,0.68281
4000.5000,0.751631
4000.5500,0.955548
4000.6000,0.999362
4000.6500,1.02424
4000.7000,1.01346
4000.7500,1.01848
4000.8000,1.00454
4000.8500,0.994523
4000.9000,0.9926
4000.9500,0.94031
4001.0000,0.948293
4001.0500,0.875091
4001.1000,0.702707
4001.1500,0.635707
4001.2000,0.721601
4001.2500,0.833743
4001.3000,0.937011
4001.3500,0.89491
4001.4000,0.921203
4001.4500,0.916311
4001.5000,0.954879
4001.5500,0.970649
4001.6000,0.79357
4001.6500,0.599929
4001.7000,0.646852
4001.7500,0.89124
4001.8000,1.02767
4001.8500,1.04251
4001.9000,1.01929
4001.9500,0.989972
4002.0000,0.968331
4002.0500,1.00798
4002.1000,0.9427
4002.1500,1.0479
4002.2000,1.06234
4002.2500,1.05879
4002.3000,1.04833
4002.3500,1.11552
4002.4000,1.01318
4002.4500,1.00838
4002.5000,0.97982
4002.5500,1.00427
4002.6000,1.03571
4002.6500,0.980067
4002.7000,0.994676
4002.7500,1.02701
4002.8000,1.03839
4002.8500,1.0073
4002.9000,0.8722
4002.9500,0.870529
4003.0000,0.972714
4003.0500,1.01957
4003.1000,1.0534
4003.1500,1.08548
4003.2000,1.05365
4003.2500,1.04527
4003.3000,1.01285
4003.3500,1.01975
4003.4000,1.04249
4003.4500,1.04674
4003.5000,1.00993
4003.5500,1.03887
4003.6000,1.07067
4003.6500,0.975071
4003.7000,0.933714
4003.7500,0.794096
4003.8000,0.791617
4003.8500,1.00466
4003.9000,1.04649
4003.9500,1.04594
4004.0000,1.037
4004.0500,1.0662
4004.1000,1.10054
4004.1500,1.0197
4004.2000,1.00423
4004.2500,1.03352
4004.3000,1.07695
4004.3500,1.05417
4004.4000,1.01554
4004.4500,1.06858
4004.5000,1.06177
4004.5500,1.09477
4004.6000,1.0287
4004.6500,1.01342
4004.7000,1.07055
4004.7500,0.918891
4004.8000,0.860188
4004.8500,0.685194
4004.9000,0.523643
4004.9500,0.56031
4005.0000,0.625895
4005.0500,0.656362
4005.1000,0.670918
4005.1500,0.487476
4005.2000,0.290829
4005.2500,0.192509
4005.3000,0.301282
4005.3500,0.486349
4005.4000,0.632398
4005.4500,0.730348
4005.5000,0.836919
4005.5500,0.91641
4005.6000,0.93717
4005.6500,0.805717
4005.7000,0.618663
4005.7500,0.808483
4005.8000,0.987748
4005.8500,1.04699
4005.9000,0.999919
4005.9500,0.981297
4006.0000,1.02732
4006.0500,1.01862
4006.1000,0.925198
4006.1500,0.898684
4006.2000,0.976656
4006.2500,0.88979
4006.3000,0.646795
4006.3500,0.710072
4006.4000,0.933091
4006.4500,1.0172
4006.5000,1.00209
4006.5500,0.923175
4006.6000,0.723296
4006.6500,0.682928
4006.7000,0.719959
4006.7500,0.685268
4006.8000,0.625154
4006.8500,0.786835
4006.9000,0.830324
4006.9500,0.777844
4007.0000,0.727935
4007.0500,0.899553
4007.1000,0.990875
4007.1500,0.991733
4007.2000,0.859418
4007.2500,0.599922
4007.3000,0.686757
4007.3500,0.92819
4007.4000,0.996887
4007.4500,1.01394
4007.5000,1.0575
4007.5500,1.0318
4007.6000,1.00652
4007.6500,1.00959
4007.7000,1.03593
4007.7500,1.06748
4007.8000,1.05696
4007.8500,1.00515
4007.9000,1.02035
4007.9500,1.00129
4008.0000,1.00688
4008.0500,0.965528
4008.1000,0.983575
4008.1500,0.998085
4008.2000,1.04418
4008.2500,1.07164
4008.3000,1.09729
4008.3500,1.08011
4008.4000,1.03575
4008.4500,1.07032
4008.5000,1.06794
4008.5500,1.04866
4008.6000,1.0972
4008.6500,1.05124
4008.7000,1.01524
4008.7500,1.04834
4008.8000,0.93179
4008.8500,0.750737
4008.9000,0.643827
4008.9500,0.658761
4009.0000,0.906705
4009.0500,1.00299
4009.1000,1.01116
4009.1500,0.96274
4009.2000,1.01989
4009.2500,1.07783
4009.3000,1.06095
4009.3500,1.06261
4009.4000,1.05134
4009.4500,1.03603
4009.5000,0.997991
4009.5500,0.97144
4009.6000,0.913684
4009.6500,0.667046
4009.7000,0.45791
4009.7500,0.563982
4009.8000,0.871955
4009.8500,1.04521
4009.9000,1.01917
4009.9500,1.05349
4010.0000,1.04763
4010.0500,1.04956
4010.1000,1.02264
4010.1500,0.988144
4010.2000,0.932248
4010.2500,0.992584
4010.3000,1.02476
4010.3500,1.04627
4010.4000,1.05315
4010.4500,1.10161
4010.5000,0.997363
4010.5500,0.888607
4010.6000,0.884504
4010.6500,0.988834
4010.7000,1.02871
4010.7500,0.968557
4010.8000,1.01566
4010.8500,1.09507
4010.9000,0.921112
4010.9500,0.951228
4011.0000,0.980439
4011.0500,1.05076
4011.1000,1.0697
4011.1500,1.08996
4011.2000,1.06093
4011.2500,1.05333
4011.3000,1.05239
4011.3500,0.956285
