Longitud_de_onda_A,espectro
4000.0000,0.854419
4000.0500,0.983967
4000.1000,1.05911
4000.1500,0.823816
4000.2000,0.910322
4000.2500,0.732739
4000.3000,0.766157
4000.3500,0.869166
4000.4000,0.72879
4000.4500,0.573346
4000.5000,0.520054
4000.5500,0.795312
4000.6000,1.03219
4000.6500,0.976456
4000.7000,0.982062
4000.7500,1.09468
4000.8000,1.03792
4000.8500,1.04259
4000.9000,0.733863
4000.9500,1.06804
4001.0000,1.00408
4001.0500,0.78806
4001.1000,0.813848
4001.1500,0.508796
4001.2000,0.609692
4001.2500,0.963161
4001.3000,0.921615
4001.3500,0.988522
4001.4000,0.760301
4001.4500,0.82351
4001.5000,0.721002
4001.5500,0.954391
4001.6000,0.706945
4001.6500,0.591628
4001.7000,0.646581
4001.7500,0.875733
4001.8000,1.11471
4001.8500,1.11527
4001.9000,0.807332
4001.9500,0.958995
4002.0000,1.03658
4002.0500,0.805308
4002.1000,0.742029
4002.1500,0.684397
4002.2000,0.930553
4002.2500,1.03464
4002.3000,1.07921
4002.3500,0.95705
4002.4000,0.977377
4002.4500,1.04458
4002.5000,0.961546
4002.5500,0.756773
4002.6000,0.869426
4002.6500,0.764963
4002.7000,0.824142
4002.7500,1.08382
4002.8000,1.02992
4002.8500,0.852025
4002.9000,0.771638
4002.9500,0.489499
4003.0000,1.0793
4003.0500,1.10392
4003.1000,0.998359
4003.1500,0.944464
4003.2000,1.06242
4003.2500,0.913067
4003.3000,0.906245
4003.3500,1.0514
4003.4000,1.18729
4003.4500,0.924221
4003.5000,1.19674
4003.5500,0.908333
4003.6000,0.68445
4003.6500,1.07806
4003.7000,0.803259
4003.7500,0.540232
4003.8000,0.75802
4003.8500,0.768037
4003.9000,0.742491
4003.9500,0.973245
4004.0000,0.97595
4004.0500,0.80863
4004.1000,0.945135
4004.1500,1.082
4004.2000,1.09269
4004.2500,1.16083
4004.3000,1.24543
4004.3500,1.16068
4004.4000,1.04985
4004.4500,1.01361
4004.5000,0.754906
4004.5500,1.07827
4004.6000,0.804348
4004.6500,0.907443
4004.7000,0.829967
4004.7500,0.809536
4004.8000,0.432431
4004.8500,0.53125
4004.9000,0.468729
4004.9500,0.496845
4005.0000,0.298396
4005.0500,0.379281
4005.1000,0.496653
4005.1500,0.288703
4005.2000,0.12451
4005.2500,0.0218699
4005.3000,0.220689
4005.3500,0.272141
4005.4000,0.224323
4005.4500,0.459908
4005.5000,0.605607
4005.5500,0.508135
4005.6000,0.673779
4005.6500,0.694129
4005.7000,0.480277
4005.7500,0.678926
4005.8000,0.896505
4005.8500,1.09483
4005.9000,1.0653
4005.9500,0.97728
4006.0000,1.14716
4006.0500,0.970448
4006.1000,0.641697
4006.1500,0.527859
4006.2000,0.777057
4006.2500,0.718555
4006.3000,0.575769
4006.3500,0.539858
4006.4000,0.715441
4006.4500,0.940578
4006.5000,1.00379
4006.5500,0.765385
4006.6000,0.574326
4006.6500,0.635975
4006.7000,0.468532
4006.7500,0.268576
4006.8000,0.595972
4006.8500,0.778115
4006.9000,0.970668
4006.9500,0.681351
4007.0000,0.541841
4007.0500,0.917913
4007.1000,1.01763
4007.1500,0.92108
4007.2000,0.676263
4007.2500,0.421806
4007.3000,0.448079
4007.3500,0.676872
4007.4000,0.682487
4007.4500,1.02125
4007.5000,0.811224
4007.5500,1.07017
4007.6000,1.01197
4007.6500,1.00161
4007.7000,1.0269
4007.7500,1.10901
