Longitud_de_onda_A,espectro
4000.0000,0.67761
4000.0500,1.07232
4000.1000,1.22414
4000.1500,1.14991
4000.2000,0.962935
4000.2500,1.28413
4000.3000,1.22988
4000.3500,1.04188
4000.4000,1.17361
4000.4500,1.00841
4000.5000,1.01314
4000.5500,0.869676
4000.6000,0.882204
4000.6500,0.915336
4000.7000,1.11103
4000.7500,0.955173
4000.8000,1.02085
4000.8500,1.01359
4000.9000,1.06783
4000.9500,0.816943
4001.0000,1.1258
4001.0500,1.23938
4001.1000,0.835285
4001.1500,0.80613
4001.2000,0.87861
4001.2500,0.745937
4001.3000,1.05344
4001.3500,1.01215
4001.4000,0.944781
4001.4500,0.932253
4001.5000,1.15627
4001.5500,0.997897
4001.6000,0.820618
4001.6500,0.565766
4001.7000,0.825919
4001.7500,0.945874
4001.8000,1.352
4001.8500,1.11184
4001.9000,0.995557
4001.9500,0.955176
4002.0000,1.09446
4002.0500,1.02075
4002.1000,1.03266
4002.1500,0.938936
4002.2000,1.02778
4002.2500,1.23621
4002.3000,1.15125
4002.3500,1.21274
4002.4000,0.699477
4002.4500,0.718912
4002.5000,0.916581
4002.5500,1.00182
4002.6000,1.07709
4002.6500,1.0689
4002.7000,1.2834
4002.7500,0.836223
4002.8000,1.27554
4002.8500,1.19347
4002.9000,0.683709
4002.9500,0.882471
4003.0000,1.18611
4003.0500,3.35249
4003.1000,1.83126
4003.1500,1.06003
4003.2000,1.04626
4003.2500,1.02638
4003.3000,1.1543
4003.3500,1.27487
4003.4000,0.860477
4003.4500,1.0879
4003.5000,1.09654
4003.5500,1.00706
4003.6000,1.06956
4003.6500,1.12365
4003.7000,1.19419
4003.7500,0.629959
4003.8000,0.605705
4003.8500,1.10195
4003.9000,1.23381
4003.9500,0.792688
4004.0000,0.841997
4004.0500,1.10209
4004.1000,0.84473
4004.1500,0.832537
4004.2000,0.800833
4004.2500,0.874301
4004.3000,0.81807
4004.3500,0.713249
4004.4000,1.00882
4004.4500,1.0472
4004.5000,1.13406
4004.5500,1.08726
4004.6000,1.07105
4004.6500,0.723653
4004.7000,0.801938
4004.7500,1.09365
4004.8000,0.682805
4004.8500,0.466539
4004.9000,0.684226
4004.9500,0.961021
4005.0000,0.551376
4005.0500,0.279164
4005.1000,0.767493
4005.1500,0.432604
4005.2000,0.219025
4005.2500,0.48719
4005.3000,0.464101
4005.3500,0.392336
4005.4000,0.528148
4005.4500,0.235752
4005.5000,0.480135
4005.5500,0.719931
4005.6000,0.812609
4005.6500,0.757481
4005.7000,0.719042
4005.7500,0.760102
4005.8000,0.828344
4005.8500,1.11371
4005.9000,1.19938
4005.9500,0.70952
4006.0000,0.728925
4006.0500,0.877053
4006.1000,0.944254
4006.1500,1.04927
4006.2000,0.830397
4006.2500,1.08628
4006.3000,1.01201
4006.3500,1.10696
4006.4000,0.924445
4006.4500,0.824201
4006.5000,1.16152
4006.5500,1.08883
4006.6000,0.635436
4006.6500,1.03326
4006.7000,1.17326
4006.7500,0.939319
4006.8000,0.991848
4006.8500,0.945683
4006.9000,0.986052
4006.9500,0.83549
4007.0000,1.07233
4007.0500,0.929538
4007.1000,0.846829
4007.1500,1.09604
4007.2000,0.88726
4007.2500,0.660097
4007.3000,0.698958
4007.3500,1.02043
4007.4000,1.0833
4007.4500,1.01828
4007.5000,0.853521
4007.5500,0.970632
4007.6000,1.20459
4007.6500,1.24177
4007.7000,1.38644
4007.7500,1.49669
4007.8000,1.19584
4007.8500,0.858247
4007.9000,0.725238
4007.9500,0.882638
4008.0000,0.922266
4008.0500,0.730783
4008.1000,0.930699
4008.1500,1.13502
4008.2000,1.30796
4008.2500,1.2069
4008.3000,1.05935
4008.3500,1.20923
4008.4000,1.00108
4008.4500,1.27024
4008.5000,1.01051
4008.5500,1.40529
4008.6000,0.969627
4008.6500,1.06167
4008.7000,0.969868
4008.7500,0.930935
4008.8000,0.554045
4008.8500,0.77153
4008.9000,0.407824
4008.9500,0.237523
4009.0000,0.263014
4009.0500,0.730206
4009.1000,0.687774
4009.1500,0.782342
4009.2000,1.00965
4009.2500,0.856115
4009.3000,0.935392
4009.3500,1.22976
4009.4000,1.32882
4009.4500,0.889608
4009.5000,1.03165
4009.5500,0.766678
4009.6000,0.806977
4009.6500,0.300116
4009.7000,0.306486
4009.7500,0.390644
4009.8000,1.09132
4009.8500,1.13008
4009.9000,1.05131
4009.9500,0.915157
4010.0000,1.08642
4010.0500,1.34249
4010.1000,1.23019
4010.1500,1.12712
4010.2000,1.04093
4010.2500,0.990135
4010.3000,1.0053
4010.3500,1.08459
4010.4000,0.879562
4010.4500,1.38633
4010.5000,1.18272
4010.5500,1.06551
4010.6000,1.22505
4010.6500,1.39336
4010.7000,1.32203
4010.7500,1.12891
4010.8000,1.10654
4010.8500,1.17676
4010.9000,0.916959
4010.9500,1.14552
4011.0000,1.22373
4011.0500,0.88738
4011.1000,0.847969
4011.1500,1.05863
4011.2000,0.951709
4011.2500,0.952377
4011.3000,0.973303
4011.3500,0.75092
4011.4000,0.774969
4011.4500,0.54658
4011.5000,0.76561
4011.5500,0.920171
4011.6000,0.843359
4011.6500,0.617295
4011.7000,0.690759
4011.7500,0.919853
4011.8000,1.03074
4011.8500,1.18992
4011.9000,1.22065
4011.9500,1.06786
4012.0000,1.03593
4012.0500,1.00615
4012.1000,0.998216
4012.1500,0.976868
4012.2000,1.08361
4012.2500,0.842716
4012.3000,0.860844
4012.3500,0.838929
4012.4000,0.986687
4012.4500,0.997917
4012.5000,1.15931
4012.5500,1.00563
4012.6000,1.06781
4012.6500,1.15892
4012.7000,1.09319
4012.7500,0.800577
4012.8000,0.833536
4012.8500,0.89138
4012.9000,1.0724
4012.9500,1.04442
4013.0000,1.17338
4013.0500,1.12314
4013.1000,0.95913
4013.1500,1.06867
4013.2000,1.29021
4013.2500,1.30255
4013.3000,1.24847
4013.3500,1.04126
4013.4000,0.825983
4013.4500,0.829828
4013.5000,1.09361
4013.5500,1.09119
4013.6000,0.760492
4013.6500,0.938249
4013.7000,1.1305
4013.7500,1.13096
4013.8000,0.89877
4013.8500,0.807416
4013.9000,1.0535
4013.9500,1.1623
4014.0000,1.20674
4014.0500,0.983145
4014.1000,1.01437
4014.1500,1.03368
4014.2000,0.731426
4014.2500,0.995045
4014.3000,1.12825
4014.3500,0.997205
4014.4000,0.990499
4014.4500,0.985046
4014.5000,0.744505
4014.5500,0.732787
4014.6000,0.891568
4014.6500,1.13561
4014.7000,1.07343
4014.7500,0.857354
4014.8000,1.08011
4014.8500,1.10742
4014.9000,1.22156
4014.9500,1.13858
4015.0000,0.948604
4015.0500,1.03082
4015.1000,1.00767
4015.1500,0.963858
4015.2000,1.06081
4015.2500,0.794009
4015.3000,1.06556
4015.3500,0.707573
4015.4000,0.91774
4015.4500,1.12251
4015.5000,1.17883
4015.5500,0.767808
4015.6000,0.980445
4015.6500,0.883522
4015.7000,1.30978
4015.7500,1.17797
4015.8000,1.10453
4015.8500,1.04047
4015.9000,1.12733
4015.9500,1.09286
4016.0000,1.01109
4016.0500,0.923997
4016.1000,1.03891
4016.1500,0.847785
4016.2000,0.98922
4016.2500,0.778299
4016.3000,0.888115
4016.3500,0.984212
4016.4000,0.724108
4016.4500,0.881764
4016.5000,1.11404
4016.5500,1.07232
4016.6000,1.10031
4016.6500,1.06157
4016.7000,1.05942
4016.7500,1.23182
4016.8000,1.18377
4016.8500,1.11932
4016.9000,0.864817
4016.9500,0.712085
4017.0000,1.11883
4017.0500,0.610558
4017.1000,0.619504
4017.1500,0.757722
4017.2000,0.813198
4017.2500,1.0625
4017.3000,1.10392
4017.3500,1.26401
4017.4000,0.973059
4017.4500,0.90518
4017.5000,0.921263
4017.5500,1.11199
4017.6000,1.09012
4017.6500,0.800923
4017.7000,0.858199
4017.7500,0.71265
4017.8000,0.918162
4017.8500,1.14234
4017.9000,1.24506
4017.9500,1.01166
4018.0000,0.884471
4018.0500,0.59888
4018.1000,0.251241
4018.1500,0.428213
4018.2000,0.805764
4018.2500,0.748659
4018.3000,0.812521
4018.3500,1.14242
4018.4000,1.08554
4018.4500,1.25067
4018.5000,1.10665
4018.5500,1.00259
4018.6000,0.94827
4018.6500,1.07191
4018.7000,1.13013
4018.7500,1.0257
4018.8000,0.873572
4018.8500,1.12403
4018.9000,1.00284
4018.9500,1.02507
4019.0000,0.865011
4019.0500,0.916386
4019.1000,0.951083
4019.1500,1.01716
4019.2000,1.1013
4019.2500,0.857883
4019.3000,0.568556
4019.3500,0.840328
4019.4000,1.02255
4019.4500,1.05122
4019.5000,1.18633
4019.5500,0.920371
4019.6000,0.831604
4019.6500,0.945962
4019.7000,1.1481
