Longitud_de_onda_A,espectro
4000.0000,0.971213
4000.0500,0.834525
4000.1000,1.10145
4000.1500,1.10089
4000.2000,0.968906
4000.2500,0.780405
4000.3000,0.815996
4000.3500,1.02942
4000.4000,1.12402
4000.4500,0.657521
4000.5000,0.902952
4000.5500,0.884436
4000.6000,1.25825
4000.6500,1.36699
4000.7000,1.02024
4000.7500,0.946622
4000.8000,1.01626
4000.8500,1.07482
4000.9000,1.08632
4000.9500,0.975078
4001.0000,0.874397
4001.0500,0.930889
4001.1000,1.11046
4001.1500,0.803526
4001.2000,0.870325
4001.2500,0.811112
4001.3000,1.04671
4001.3500,0.922923
4001.4000,0.96616
4001.4500,0.80676
4001.5000,0.934826
4001.5500,1.04551
4001.6000,0.786026
4001.6500,0.593319
4001.7000,0.798756
4001.7500,0.965789
4001.8000,1.05335
4001.8500,1.30377
4001.9000,1.29552
4001.9500,1.20407
4002.0000,1.1728
4002.0500,1.2149
4002.1000,1.1464
4002.1500,0.913343
4002.2000,1.30778
4002.2500,1.1537
4002.3000,1.21145
4002.3500,0.991884
4002.4000,0.869436
4002.4500,0.644035
4002.5000,0.721508
4002.5500,0.851433
4002.6000,0.944797
4002.6500,1.04306
4002.7000,0.896752
4002.7500,0.886429
4002.8000,1.02944
4002.8500,1.18532
4002.9000,1.10343
4002.9500,1.02251
4003.0000,1.21889
4003.0500,1.14082
4003.1000,0.876265
4003.1500,1.27274
4003.2000,1.09471
4003.2500,1.19411
4003.3000,0.949754
4003.3500,1.08154
4003.4000,0.918531
4003.4500,0.991757
4003.5000,0.922825
4003.5500,1.15099
4003.6000,0.925659
4003.6500,1.1112
4003.7000,0.908848
4003.7500,0.575113
4003.8000,0.838637
4003.8500,0.739337
4003.9000,0.948489
4003.9500,1.06523
4004.0000,0.853331
4004.0500,0.898388
4004.1000,1.26655
4004.1500,1.03013
4004.2000,1.06407
4004.2500,0.93037
4004.3000,1.399
4004.3500,1.32031
4004.4000,1.57491
4004.4500,1.39481
4004.5000,1.0383
4004.5500,0.742843
4004.6000,0.894661
4004.6500,0.845822
4004.7000,0.930339
4004.7500,0.65483
4004.8000,0.567005
4004.8500,0.520534
4004.9000,0.740403
4004.9500,0.570563
4005.0000,0.50768
4005.0500,0.462903
4005.1000,0.686383
4005.1500,0.416831
4005.2000,0.383783
4005.2500,0.253914
4005.3000,0.398178
4005.3500,0.393371
4005.4000,0.429818
4005.4500,0.552402
4005.5000,0.489196
4005.5500,0.558664
4005.6000,0.581412
4005.6500,0.655516
4005.7000,0.850369
4005.7500,0.691296
4005.8000,0.953163
4005.8500,0.823534
4005.9000,0.734501
4005.9500,0.686038
4006.0000,0.860103
4006.0500,0.988226
4006.1000,0.919348
4006.1500,0.962956
4006.2000,0.804413
4006.2500,0.867979
4006.3000,0.53324
4006.3500,0.777154
4006.4000,0.79435
4006.4500,0.898787
4006.5000,0.992943
4006.5500,1.02205
4006.6000,0.983132
4006.6500,0.762293
4006.7000,0.632649
4006.7500,0.718219
4006.8000,0.937561
4006.8500,0.980692
4006.9000,1.02299
4006.9500,1.06684
4007.0000,0.830258
4007.0500,0.8478
4007.1000,1.13441
4007.1500,1.04553
4007.2000,0.797056
4007.2500,0.681255
4007.3000,0.639996
4007.3500,0.78882
4007.4000,0.898564
4007.4500,0.965481
4007.5000,0.944887
4007.5500,1.11008
4007.6000,1.26405
4007.6500,1.09339
4007.7000,0.888461
4007.7500,1.05512
4007.8000,1.05625
4007.8500,0.996289
4007.9000,1.12461
4007.9500,0.834279
4008.0000,0.534862
4008.0500,0.384163
4008.1000,0.504581
4008.1500,1.05811
4008.2000,1.25679
4008.2500,1.17368
4008.3000,1.18604
4008.3500,1.16017
4008.4000,1.08809
4008.4500,1.20145
4008.5000,1.04953
4008.5500,0.997887
4008.6000,1.07442
4008.6500,0.921811
4008.7000,0.895917
4008.7500,1.01225
4008.8000,0.871021
4008.8500,0.755229
4008.9000,0.364631
4008.9500,0.457355
4009.0000,0.576273
4009.0500,0.816238
4009.1000,0.737669
4009.1500,0.92077
4009.2000,1.04447
4009.2500,1.13455
4009.3000,1.20748
4009.3500,1.28241
4009.4000,1.07256
4009.4500,1.13645
4009.5000,0.978744
4009.5500,0.972465
4009.6000,0.496303
4009.6500,0.484971
4009.7000,0.438443
4009.7500,0.5638
4009.8000,0.720181
4009.8500,0.900766
4009.9000,0.892896
4009.9500,0.909598
4010.0000,1.22052
4010.0500,1.01613
4010.1000,0.910123
4010.1500,0.693779
4010.2000,0.906018
4010.2500,1.26912
4010.3000,1.111
4010.3500,1.12398
4010.4000,0.877456
4010.4500,1.05379
4010.5000,1.18275
4010.5500,1.04311
4010.6000,0.87296
4010.6500,0.980904
4010.7000,1.02494
4010.7500,0.845712
4010.8000,0.986712
4010.8500,1.09416
4010.9000,1.07276
4010.9500,0.970115
4011.0000,1.27095
4011.0500,1.22325
4011.1000,1.11733
4011.1500,0.798989
4011.2000,1.18
4011.2500,1.25359
4011.3000,1.14368
4011.3500,0.860653
4011.4000,0.818692
4011.4500,0.854833
4011.5000,1.22049
4011.5500,1.01135
4011.6000,1.25985
4011.6500,0.982934
4011.7000,0.765435
4011.7500,0.719627
4011.8000,1.0393
4011.8500,1.21422
4011.9000,1.39224
4011.9500,0.923447
4012.0000,1.13695
4012.0500,1.05246
4012.1000,0.885595
4012.1500,0.875691
4012.2000,0.8087
4012.2500,0.882769
4012.3000,0.952201
4012.3500,0.750651
4012.4000,0.719472
4012.4500,0.869144
4012.5000,1.15926
4012.5500,0.993297
4012.6000,1.3033
4012.6500,1.18804
4012.7000,1.0049
4012.7500,0.9507
4012.8000,1.03438
4012.8500,1.40245
4012.9000,1.36112
4012.9500,1.05107
4013.0000,1.08367
4013.0500,1.14145
4013.1000,1.02824
4013.1500,1.12462
4013.2000,1.09191
4013.2500,0.801257
4013.3000,1.08259
4013.3500,1.00935
4013.4000,1.09628
4013.4500,1.27215
4013.5000,1.23644
4013.5500,0.732784
4013.6000,0.51575
4013.6500,0.631395
4013.7000,0.847493
4013.7500,0.77777
4013.8000,0.449491
4013.8500,0.535335
4013.9000,0.834241
4013.9500,0.899647
4014.0000,0.994094
4014.0500,1.1396
4014.1000,1.12877
4014.1500,1.1949
4014.2000,0.920871
4014.2500,0.843795
4014.3000,0.789503
4014.3500,0.85666
4014.4000,0.889107
4014.4500,0.892952
4014.5000,0.432295
4014.5500,0.500226
4014.6000,0.788372
4014.6500,0.995431
4014.7000,0.833124
4014.7500,1.01136
4014.8000,1.05151
4014.8500,1.13422
4014.9000,0.961153
4014.9500,0.966064
4015.0000,1.10784
4015.0500,0.837854
4015.1000,0.942682
4015.1500,1.25753
4015.2000,1.05685
4015.2500,0.813768
4015.3000,1.16852
4015.3500,0.806535
4015.4000,0.826855
4015.4500,1.05321
4015.5000,1.05319
4015.5500,0.87017
4015.6000,0.744166
4015.6500,0.898165
4015.7000,1.14359
4015.7500,1.23459
4015.8000,1.28288
4015.8500,1.17506
4015.9000,1.21152
4015.9500,1.16007
4016.0000,1.27503
4016.0500,1.25628
4016.1000,1.00295
4016.1500,1.03995
4016.2000,1.15895
4016.2500,0.864386
4016.3000,0.874427
4016.3500,0.950121
4016.4000,0.762461
4016.4500,0.830264
4016.5000,0.988691
4016.5500,1.1005
4016.6000,1.19734
4016.6500,1.11048
4016.7000,1.02635
4016.7500,1.01511
4016.8000,1.12479
4016.8500,1.05697
4016.9000,1.14097
4016.9500,0.909154
4017.0000,0.926386
4017.0500,0.812313
4017.1000,0.536192
4017.1500,0.521062
4017.2000,0.629259
4017.2500,1.08538
4017.3000,1.0565
4017.3500,1.05282
4017.4000,0.932787
4017.4500,0.796902
4017.5000,0.952757
4017.5500,1.00655
