Longitud_de_onda_A,espectro
4000.0000,0.509318
4000.0500,0.513244
4000.1000,1.1638
4000.1500,0.969604
4000.2000,0.631914
4000.2500,0.857666
4000.3000,1.13335
4000.3500,1.16547
4000.4000,0.757139
4000.4500,0.875376
4000.5000,1.01526
4000.5500,1.09428
4000.6000,1.28891
4000.6500,1.10849
4000.7000,1.56203
4000.7500,1.40175
4000.8000,1.20159
4000.8500,1.41038
4000.9000,0.993725
4000.9500,1.13745
4001.0000,0.958214
4001.0500,1.16245
4001.1000,1.39214
4001.1500,0.565298
4001.2000,0.834547
4001.2500,1.33832
4001.3000,0.876638
4001.3500,0.737846
4001.4000,1.16901
4001.4500,1.00324
4001.5000,0.889928
4001.5500,1.02223
4001.6000,0.458084
4001.6500,0.500445
4001.7000,0.874694
4001.7500,0.870528
4001.8000,1.45538
4001.8500,1.21802
4001.9000,1.62522
4001.9500,0.802407
4002.0000,1.28906
4002.0500,1.51505
4002.1000,1.6578
4002.1500,1.03964
4002.2000,1.48104
4002.2500,1.32123
4002.3000,0.868035
4002.3500,1.22327
4002.4000,0.685616
4002.4500,0.819409
4002.5000,0.18195
4002.5500,1.00038
4002.6000,0.679387
4002.6500,1.25344
4002.7000,1.24335
4002.7500,1.21964
4002.8000,1.56684
4002.8500,1.04171
4002.9000,1.12174
4002.9500,1.35297
4003.0000,1.07725
4003.0500,0.872795
4003.1000,1.13958
4003.1500,1.29253
4003.2000,1.27095
4003.2500,1.18133
4003.3000,1.12198
4003.3500,1.37166
4003.4000,1.46361
4003.4500,1.15151
4003.5000,1.20515
4003.5500,1.10077
4003.6000,0.995213
4003.6500,1.26817
4003.7000,0.950771
4003.7500,0.636527
4003.8000,0.576559
4003.8500,1.00922
4003.9000,0.937601
4003.9500,0.989071
4004.0000,1.18957
4004.0500,1.08596
4004.1000,1.14964
4004.1500,1.02263
4004.2000,1.88555
4004.2500,1.12006
4004.3000,0.412069
4004.3500,0
4004.4000,1.11993
4004.4500,1.02238
4004.5000,0.951116
4004.5500,1.17087
4004.6000,0.983849
4004.6500,1.24076
4004.7000,1.06226
4004.7500,1.19561
4004.8000,0.991674
4004.8500,0.850883
4004.9000,0.753641
4004.9500,0.699281
4005.0000,0.521318
4005.0500,0.221114
4005.1000,0.452821
4005.1500,0.410451
4005.2000,0.383946
4005.2500,0.28893
4005.3000,0.338812
4005.3500,0.85261
4005.4000,0.800706
4005.4500,0.809144
4005.5000,0.521189
4005.5500,0.874001
4005.6000,0.883433
4005.6500,0.916795
4005.7000,1.00365
4005.7500,1.06485
4005.8000,0.557503
4005.8500,0.974203
4005.9000,0.546384
4005.9500,0.841286
4006.0000,0.859687
4006.0500,1.05661
4006.1000,1.01339
4006.1500,1.15008
4006.2000,1.26589
4006.2500,1.06151
4006.3000,0.39504
4006.3500,0.62697
4006.4000,1.20091
4006.4500,1.83095
4006.5000,1.33947
4006.5500,0.456674
4006.6000,0.723945
4006.6500,0.97759
4006.7000,1.26698
4006.7500,1.41634
4006.8000,1.62398
4006.8500,1.0863
4006.9000,1.32994
4006.9500,1.21354
4007.0000,1.3244
4007.0500,1.10153
4007.1000,1.15353
4007.1500,1.2321
4007.2000,1.36096
4007.2500,1.14061
4007.3000,0.379956
4007.3500,0.936351
4007.4000,0.825297
4007.4500,0.900368
4007.5000,0.860207
4007.5500,0.715158
4007.6000,0.385256
4007.6500,0.891572
4007.7000,1.36563
4007.7500,0.739012
4007.8000,0.89071
4007.8500,1.04705
4007.9000,1.29899
4007.9500,0.803296
4008.0000,1.18134
4008.0500,0.72773
4008.1000,0.569829
4008.1500,1.11336
4008.2000,1.46644
4008.2500,1.36322
4008.3000,0.641936
4008.3500,1.03701
4008.4000,1.30094
4008.4500,0.990798
4008.5000,1.9693
4008.5500,0.756204
4008.6000,1.19641
4008.6500,0.969295
4008.7000,0.553831
4008.7500,0.720425
4008.8000,1.15272
4008.8500,0.667569
4008.9000,0.149305
4008.9500,0.0111568
