Longitud_de_onda_A,espectro
4000.0000,0.502575
4000.0500,0.516072
4000.1000,1.1691
4000.1500,0.970596
4000.2000,0.636715
4000.2500,0.85221
4000.3000,1.13724
4000.3500,1.16383
4000.4000,0.754253
4000.4500,0.875594
4000.5000,1.01671
4000.5500,1.09089
4000.6000,1.29682
4000.6500,1.10834
4000.7000,1.56476
4000.7500,1.40133
4000.8000,1.19958
4000.8500,1.41134
4000.9000,0.99179
4000.9500,1.13722
4001.0000,0.954319
4001.0500,1.1601
4001.1000,1.3938
4001.1500,0.569186
4001.2000,0.831026
4001.2500,1.33896
4001.3000,0.879186
4001.3500,0.734
4001.4000,1.16545
4001.4500,1.0057
4001.5000,0.893061
4001.5500,1.0237
4001.6000,0.457033
4001.6500,0.497084
4001.7000,0.872932
4001.7500,0.873425
4001.8000,1.45346
4001.8500,1.22614
4001.9000,1.62124
4001.9500,0.805073
4002.0000,1.28706
4002.0500,1.5164
4002.1000,1.66103
4002.1500,1.04122
4002.2000,1.48009
4002.2500,1.31994
4002.3000,0.866861
4002.3500,1.22561
4002.4000,0.683838
4002.4500,0.819898
4002.5000,0.184993
4002.5500,1.00081
4002.6000,0.682151
4002.6500,1.25393
4002.7000,1.24555
4002.7500,1.21659
4002.8000,1.56713
4002.8500,1.03773
4002.9000,1.11468
4002.9500,1.35801
4003.0000,1.07769
4003.0500,0.874631
4003.1000,1.14247
4003.1500,1.29547
4003.2000,1.27417
4003.2500,1.17991
4003.3000,1.12118
4003.3500,1.36907
4003.4000,1.46578
4003.4500,1.15297
4003.5000,1.20532
4003.5500,1.0984
4003.6000,0.996735
4003.6500,1.26766
4003.7000,0.945758
4003.7500,0.637442
4003.8000,0.575175
4003.8500,1.01524
4003.9000,0.936095
4003.9500,0.988475
4004.0000,1.18686
4004.0500,1.08769
4004.1000,1.15272
4004.1500,1.02457
4004.2000,1.88846
4004.2500,1.12949
4004.3000,0.415937
4004.3500,-0.00526628
4004.4000,1.12251
4004.4500,1.02645
4004.5000,0.947923
4004.5500,1.16846
4004.6000,0.983497
4004.6500,1.23811
4004.7000,1.0596
4004.7500,1.1925
4004.8000,0.992558
4004.8500,0.847438
4004.9000,0.750352
4004.9500,0.700072
4005.0000,0.519127
4005.0500,0.21562
4005.1000,0.454348
4005.1500,0.411239
4005.2000,0.389134
4005.2500,0.293712
4005.3000,0.342951
4005.3500,0.852414
4005.4000,0.801755
4005.4500,0.806262
4005.5000,0.512452
4005.5500,0.875115
4005.6000,0.885194
4005.6500,0.923158
4005.7000,1.00427
4005.7500,1.07319
4005.8000,0.55565
4005.8500,0.975845
4005.9000,0.547741
4005.9500,0.843378
4006.0000,0.860393
4006.0500,1.06036
4006.1000,1.01376
4006.1500,1.15393
4006.2000,1.26454
4006.2500,1.06054
4006.3000,0.391882
4006.3500,0.631417
4006.4000,1.19236
4006.4500,1.83566
4006.5000,1.33783
4006.5500,0.457434
4006.6000,0.727172
4006.6500,0.969809
4006.7000,1.26643
4006.7500,1.4153
4006.8000,1.6221
4006.8500,1.08791
4006.9000,1.32912
4006.9500,1.21031
4007.0000,1.31917
4007.0500,1.11021
4007.1000,1.15756
4007.1500,1.23356
4007.2000,1.3608
4007.2500,1.13323
4007.3000,0.376427
4007.3500,0.935143
4007.4000,0.82677
4007.4500,0.89988
4007.5000,0.859019
4007.5500,0.716223
4007.6000,0.38565
4007.6500,0.895036
4007.7000,1.36386
4007.7500,0.741998
4007.8000,0.892573
4007.8500,1.04428
4007.9000,1.30011
4007.9500,0.80167
4008.0000,1.18271
4008.0500,0.725278
4008.1000,0.574573
4008.1500,1.11326
4008.2000,1.46935
4008.2500,1.36912
4008.3000,0.639382
4008.3500,1.03616
4008.4000,1.29762
4008.4500,0.995976
4008.5000,1.97385
4008.5500,0.756546
4008.6000,1.19308
4008.6500,0.970224
4008.7000,0.554271
4008.7500,0.7207
4008.8000,1.1553
4008.8500,0.668313
4008.9000,0.148586
4008.9500,0.00831764
4009.0000,0.282964
4009.0500,0.447992
4009.1000,0.847842
4009.1500,1.0417
4009.2000,0.735101
4009.2500,1.37017
4009.3000,1.29935
4009.3500,1.43933
4009.4000,0.862537
4009.4500,0.944041
4009.5000,1.20179
4009.5500,1.46169
4009.6000,0.755
4009.6500,0.357132
4009.7000,0.241034
4009.7500,0.855342
4009.8000,0.727042
4009.8500,0.893815
4009.9000,1.50349
4009.9500,1.17534
4010.0000,1.24901
4010.0500,0.820225
4010.1000,1.72053
4010.1500,1.32569
4010.2000,0.885862
4010.2500,1.32466
4010.3000,1.23814
4010.3500,1.39118
4010.4000,1.74033
4010.4500,1.43448
4010.5000,0.91039
4010.5500,1.02331
4010.6000,1.36113
4010.6500,0.617514
4010.7000,0.919799
4010.7500,1.564
4010.8000,1.38331
4010.8500,0.756334
4010.9000,1.15697
4010.9500,0.919289
4011.0000,0.833441
4011.0500,1.07096
4011.1000,1.30376
4011.1500,0.229957
4011.2000,1.51286
4011.2500,1.47038
4011.3000,1.15391
4011.3500,3.52558
4011.4000,1.39548
4011.4500,0.805031
4011.5000,1.03199
4011.5500,1.33982
4011.6000,1.41831
4011.6500,0.932144
4011.7000,1.1413
4011.7500,1.0091
4011.8000,1.21837
4011.8500,0.864187
4011.9000,1.31418
4011.9500,1.69763
4012.0000,1.23646
4012.0500,0.995756
4012.1000,1.02552
4012.1500,0.823754
4012.2000,0.865439
4012.2500,0.77393
4012.3000,1.55971
4012.3500,1.00265
4012.4000,0.979946
4012.4500,1.11921
4012.5000,1.26886
4012.5500,1.43502
4012.6000,1.37975
4012.6500,1.9015
4012.7000,0.972128
4012.7500,0.991535
4012.8000,1.13633
4012.8500,1.4198
4012.9000,1.66071
4012.9500,1.54397
4013.0000,1.33561
4013.0500,1.64282
4013.1000,1.30773
4013.1500,0.830868
4013.2000,0.892408
4013.2500,1.81869
4013.3000,0.949621
4013.3500,1.31917
