Longitud_de_onda_A,espectro
4000.0000,0.897957
4000.0500,0.838859
4000.1000,0.951751
4000.1500,0.892092
4000.2000,0.80817
4000.2500,0.685117
4000.3000,0.745547
4000.3500,0.872314
4000.4000,0.744926
4000.4500,0.598194
4000.5000,0.663557
4000.5500,0.883785
4000.6000,0.955124
4000.6500,1.0564
4000.7000,0.992885
4000.7500,0.952929
4000.8000,0.924467
4000.8500,0.835561
4000.9000,0.911432
4000.9500,0.960204
4001.0000,0.942107
4001.0500,0.87642
4001.1000,0.89271
4001.1500,0.803956
4001.2000,0.785655
4001.2500,0.878615
4001.3000,0.997763
4001.3500,0.833964
4001.4000,0.774117
4001.4500,0.693601
4001.5000,0.83776
4001.5500,0.949486
4001.6000,0.741321
4001.6500,0.487208
4001.7000,0.576968
4001.7500,0.753224
4001.8000,0.96002
4001.8500,1.05633
4001.9000,1.02854
4001.9500,0.95463
4002.0000,1.04497
4002.0500,1.02024
4002.1000,0.928807
4002.1500,1.12967
4002.2000,1.09566
4002.2500,1.05762
4002.3000,1.06452
4002.3500,1.00599
4002.4000,0.853871
4002.4500,0.526456
4002.5000,0.689814
4002.5500,0.848508
4002.6000,0.818047
4002.6500,0.805804
4002.7000,0.784315
4002.7500,0.911297
4002.8000,1.07801
4002.8500,0.985213
4002.9000,0.859336
4002.9500,0.852279
4003.0000,1.06081
4003.0500,1.04481
4003.1000,0.947609
4003.1500,1.09667
4003.2000,1.0524
4003.2500,0.982547
4003.3000,1.09651
4003.3500,0.98067
4003.4000,1.04521
4003.4500,1.04742
4003.5000,0.96095
4003.5500,0.929042
4003.6000,0.995312
4003.6500,0.964782
4003.7000,0.834222
4003.7500,0.586712
4003.8000,0.469871
4003.8500,0.746408
4003.9000,0.859017
4003.9500,0.889301
4004.0000,0.901674
4004.0500,0.860606
4004.1000,0.916896
4004.1500,0.964263
4004.2000,0.984346
4004.2500,0.868573
4004.3000,0.756497
4004.3500,0.725443
4004.4000,0.834368
4004.4500,0.883383
4004.5000,0.840843
4004.5500,0.754891
4004.6000,0.811422
4004.6500,0.799902
4004.7000,0.818159
4004.7500,0.702755
4004.8000,0.661171
4004.8500,0.620832
4004.9000,0.489448
4004.9500,0.537503
4005.0000,0.369445
4005.0500,0.41259
4005.1000,0.406798
4005.1500,0.295584
4005.2000,0.257368
4005.2500,0.101557
4005.3000,0.184387
4005.3500,0.351271
4005.4000,0.360221
4005.4500,0.470701
4005.5000,0.463377
4005.5500,0.532076
4005.6000,0.63062
4005.6500,0.614479
4005.7000,0.732104
4005.7500,0.750638
4005.8000,0.72793
4005.8500,0.827193
4005.9000,0.727922
4005.9500,0.656589
4006.0000,0.685364
4006.0500,0.741701
4006.1000,0.750593
4006.1500,0.670737
4006.2000,0.708456
4006.2500,0.787968
4006.3000,0.647504
4006.3500,0.606276
4006.4000,0.840612
4006.4500,0.861469
4006.5000,0.899659
4006.5500,0.792528
4006.6000,0.617206
4006.6500,0.647017
4006.7000,0.673571
4006.7500,0.594768
4006.8000,0.757948
4006.8500,0.862844
4006.9000,0.92549
4006.9500,0.950852
4007.0000,0.862454
4007.0500,0.98793
4007.1000,0.996832
4007.1500,0.809693
4007.2000,0.657457
4007.2500,0.526945
4007.3000,0.472863
4007.3500,0.770176
4007.4000,0.817319
4007.4500,0.851157
4007.5000,0.967376
4007.5500,0.997135
4007.6000,0.979709
4007.6500,0.982799
4007.7000,1.0642
4007.7500,1.13778
4007.8000,0.924613
4007.8500,0.882479
4007.9000,0.841094
4007.9500,0.688828
4008.0000,0.652655
4008.0500,0.626085
4008.1000,0.781821
4008.1500,0.931516
4008.2000,1.05991
4008.2500,1.12512
4008.3000,1.00263
4008.3500,1.1588
4008.4000,1.1581
4008.4500,1.03861
4008.5000,1.06575
4008.5500,0.974403
4008.6000,0.931978
4008.6500,0.910369
4008.7000,0.973633
4008.7500,0.762444
4008.8000,0.664633
4008.8500,0.553326
4008.9000,0.331549
4008.9500,0.288671
4009.0000,0.483272
4009.0500,0.646873
4009.1000,0.756884
4009.1500,0.697848
4009.2000,0.87107
4009.2500,0.924923
4009.3000,0.979315
4009.3500,1.10217
4009.4000,1.0465
4009.4500,0.939669
4009.5000,0.851887
4009.5500,0.66403
4009.6000,0.519383
4009.6500,0.299389
4009.7000,0.262261
4009.7500,0.447307
4009.8000,0.708307
4009.8500,0.761216
4009.9000,0.844012
4009.9500,1.0224
4010.0000,1.03502
4010.0500,1.04131
4010.1000,0.960657
4010.1500,0.85645
4010.2000,0.946332
4010.2500,0.891167
4010.3000,1.05162
4010.3500,1.08592
4010.4000,1.02288
4010.4500,1.10688
4010.5000,0.989897
4010.5500,0.846537
4010.6000,0.719254
4010.6500,0.929823
4010.7000,0.875129
4010.7500,0.780742
4010.8000,0.904731
4010.8500,0.892112
4010.9000,0.834843
4010.9500,0.915079
4011.0000,0.977547
4011.0500,0.905236
4011.1000,0.786015
4011.1500,0.931858
4011.2000,1.26272
4011.2500,1.15142
4011.3000,1.0325
4011.3500,0.851914
4011.4000,0.672378
4011.4500,0.82888
4011.5000,0.845038
4011.5500,0.862779
4011.6000,0.927846
4011.6500,0.960038
4011.7000,0.850829
4011.7500,0.759544
4011.8000,0.975323
4011.8500,1.03173
4011.9000,1.02472
4011.9500,0.902175
4012.0000,0.872873
4012.0500,1.00251
4012.1000,1.05137
4012.1500,0.98384
4012.2000,0.773042
4012.2500,0.819266
4012.3000,0.90033
4012.3500,0.739848
4012.4000,0.621417
4012.4500,0.651553
4012.5000,0.822237
4012.5500,0.953787
4012.6000,1.01622
4012.6500,1.02212
4012.7000,0.876202
4012.7500,0.905879
4012.8000,0.909009
4012.8500,1.06989
4012.9000,1.06507
4012.9500,1.11428
4013.0000,1.11531
4013.0500,1.04571
4013.1000,1.00267
4013.1500,1.0858
4013.2000,0.974548
4013.2500,0.942714
4013.3000,1.06732
4013.3500,1.08609
4013.4000,1.0171
4013.4500,1.0448
4013.5000,1.09177
4013.5500,0.822695
4013.6000,0.529804
4013.6500,0.573407
4013.7000,0.758637
4013.7500,0.764516
4013.8000,0.523045
4013.8500,0.52661
4013.9000,0.659344
4013.9500,0.741819
4014.0000,0.877001
4014.0500,0.988755
4014.1000,1.07174
4014.1500,1.25195
4014.2000,0.984455
4014.2500,0.751943
4014.3000,0.842546
4014.3500,0.904946
4014.4000,0.989315
4014.4500,0.666391
4014.5000,0.474631
4014.5500,0.481061
4014.6000,0.638225
4014.6500,0.753715
4014.7000,0.730578
4014.7500,0.894223
4014.8000,1.02652
4014.8500,1.01068
4014.9000,0.895505
4014.9500,0.885391
4015.0000,0.870822
4015.0500,1.08903
4015.1000,1.04819
4015.1500,1.0031
4015.2000,0.976284
4015.2500,0.995395
4015.3000,0.892377
4015.3500,0.588714
4015.4000,0.680632
4015.4500,0.879351
4015.5000,0.992346
4015.5500,0.862861
4015.6000,0.706646
4015.6500,0.785046
4015.7000,0.962239
4015.7500,1.02997
4015.8000,1.10665
4015.8500,1.16803
4015.9000,1.11103
4015.9500,1.0729
4016.0000,1.11039
4016.0500,1.09112
4016.1000,1.1557
4016.1500,0.964468
4016.2000,1.04699
4016.2500,0.802428
4016.3000,0.706706
4016.3500,0.756868
4016.4000,0.69936
4016.4500,0.623687
4016.5000,0.886098
4016.5500,0.998973
4016.6000,1.08482
4016.6500,1.0462
4016.7000,0.984927
4016.7500,1.00242
4016.8000,0.942231
4016.8500,0.931377
4016.9000,0.870667
4016.9500,0.767818
4017.0000,0.858988
4017.0500,0.688694
4017.1000,0.534969
4017.1500,0.417931
4017.2000,0.582475
4017.2500,0.808218
4017.3000,0.93623
4017.3500,0.988162
4017.4000,0.837905
4017.4500,0.747446
4017.5000,0.730459
4017.5500,0.854174
4017.6000,0.920646
4017.6500,0.966759
4017.7000,0.854874
4017.7500,0.635806
4017.8000,0.594831
4017.8500,0.892655
