Longitud_de_onda_A,espectro
4000.0000,0.99303
4000.0500,1.03897
4000.1000,1.0481
4000.1500,1.01289
4000.2000,0.985229
4000.2500,0.897299
4000.3000,0.971212
4000.3500,0.933114
4000.4000,1.03864
4000.4500,0.976855
4000.5000,0.990134
4000.5500,0.968706
4000.6000,0.96042
4000.6500,1.01619
4000.7000,0.980271
4000.7500,0.998116
4000.8000,0.986611
4000.8500,0.963209
4000.9000,0.953053
4000.9500,0.924857
4001.0000,0.999246
4001.0500,0.939398
4001.1000,1.0888
4001.1500,0.926605
4001.2000,0.983787
4001.2500,0.98977
4001.3000,0.980198
4001.3500,1.01514
4001.4000,0.939507
4001.4500,0.990994
4001.5000,0.956563
4001.5500,0.972446
4001.6000,1.02864
4001.6500,0.928465
4001.7000,0.911856
4001.7500,0.972564
4001.8000,0.973656
4001.8500,0.918824
4001.9000,0.924812
4001.9500,0.943076
4002.0000,0.950136
4002.0500,1.0606
4002.1000,1.01167
4002.1500,0.980192
4002.2000,0.948968
4002.2500,0.979606
4002.3000,0.989379
4002.3500,0.968519
4002.4000,0.9566
4002.4500,0.886502
4002.5000,1.02139
4002.5500,0.970349
4002.6000,0.954306
4002.6500,1.0218
4002.7000,1.0094
4002.7500,0.964148
4002.8000,0.976686
4002.8500,0.951321
4002.9000,0.918709
4002.9500,1.02509
4003.0000,1.00068
4003.0500,0.998377
4003.1000,1.0105
4003.1500,0.996011
4003.2000,0.974255
4003.2500,0.975922
4003.3000,0.967471
4003.3500,1.05348
4003.4000,0.910626
4003.4500,0.929099
4003.5000,0.881133
4003.5500,0.904626
4003.6000,0.884672
4003.6500,0.937752
4003.7000,0.920569
4003.7500,1.01742
4003.8000,0.95694
4003.8500,1.02952
4003.9000,0.964919
4003.9500,1.02161
4004.0000,0.994663
4004.0500,0.988445
4004.1000,0.948824
4004.1500,0.974088
4004.2000,0.982177
4004.2500,0.931522
4004.3000,0.940206
4004.3500,1.03287
4004.4000,0.945304
4004.4500,0.989766
4004.5000,0.974838
4004.5500,0.932654
4004.6000,0.912129
4004.6500,0.938744
4004.7000,1.01256
4004.7500,0.89428
4004.8000,0.953044
4004.8500,0.967726
4004.9000,0.973693
4004.9500,0.945474
4005.0000,0.969195
4005.0500,1.01033
4005.1000,0.904117
4005.1500,0.992534
4005.2000,0.94918
4005.2500,0.961878
4005.3000,0.902422
4005.3500,0.990152
4005.4000,0.93743
4005.4500,0.964352
4005.5000,0.962237
4005.5500,1.00675
4005.6000,0.931398
4005.6500,0.960288
4005.7000,0.978526
4005.7500,0.895069
4005.8000,0.954514
4005.8500,1.02868
4005.9000,1.07916
4005.9500,1.0022
4006.0000,1.0192
4006.0500,0.995878
4006.1000,0.998556
4006.1500,1.02568
4006.2000,1.02477
4006.2500,0.999993
4006.3000,1.01324
4006.3500,0.992213
4006.4000,0.956284
4006.4500,0.985322
4006.5000,1.00658
4006.5500,0.994153
4006.6000,1.00195
4006.6500,0.996762
4006.7000,1.02713
4006.7500,1.00099
4006.8000,1.0347
4006.8500,1.03009
4006.9000,1.00586
4006.9500,1.04021
4007.0000,1.00601
4007.0500,0.958839
4007.1000,0.939506
4007.1500,1.00365
4007.2000,0.982026
4007.2500,1.01706
4007.3000,1.0469
4007.3500,0.995798
4007.4000,0.94399
4007.4500,1.00699
4007.5000,1.06576
4007.5500,1.04822
4007.6000,0.984378
4007.6500,0.966819
4007.7000,1.02309
4007.7500,0.989007
4007.8000,1.01405
4007.8500,1.09989
4007.9000,1.01144
4007.9500,1.09989
4008.0000,0.970208
4008.0500,1.0207
4008.1000,0.944896
4008.1500,0.963616
4008.2000,0.985726
4008.2500,0.951592
4008.3000,1.06162
4008.3500,1.04046
4008.4000,1.03272
4008.4500,0.980249
4008.5000,0.967717
4008.5500,0.917081
4008.6000,0.941326
4008.6500,0.938518
