Longitud_de_onda_A,espectro
4000.0000,0.971024
4000.0500,0.99259
4000.1000,0.971704
4000.1500,0.974172
4000.2000,0.961073
4000.2500,0.96328
4000.3000,0.983728
4000.3500,1.00039
4000.4000,0.994386
4000.4500,0.960003
4000.5000,0.992956
4000.5500,0.94926
4000.6000,0.978355
4000.6500,1.00636
4000.7000,0.994057
4000.7500,0.977858
4000.8000,1.0169
4000.8500,1.01281
4000.9000,0.996039
4000.9500,0.980872
4001.0000,0.971985
4001.0500,1.00236
4001.1000,0.999764
4001.1500,1.02718
4001.2000,0.965973
4001.2500,0.98948
4001.3000,1.01612
4001.3500,1.00041
4001.4000,0.983754
4001.4500,0.973292
4001.5000,0.975555
4001.5500,0.993958
4001.6000,0.965444
4001.6500,0.970181
4001.7000,0.968772
4001.7500,0.965868
4001.8000,0.963586
4001.8500,0.9713
4001.9000,0.975222
4001.9500,0.969883
4002.0000,0.96682
4002.0500,0.936108
4002.1000,0.978341
4002.1500,0.94515
4002.2000,0.96045
4002.2500,0.95833
4002.3000,0.973688
4002.3500,0.952253
4002.4000,0.967943
4002.4500,0.923203
4002.5000,0.952945
4002.5500,0.980285
4002.6000,0.970641
4002.6500,0.959821
4002.7000,0.967623
4002.7500,0.966632
4002.8000,0.968789
4002.8500,0.979235
4002.9000,0.944037
4002.9500,0.973822
4003.0000,0.956483
4003.0500,0.926623
4003.1000,0.957253
4003.1500,0.938746
4003.2000,0.953864
4003.2500,0.943846
4003.3000,0.940312
4003.3500,0.9943
4003.4000,0.943039
4003.4500,0.931336
4003.5000,1.00562
4003.5500,0.966804
4003.6000,0.992126
4003.6500,0.954764
4003.7000,0.968794
4003.7500,0.963441
4003.8000,0.9807
4003.8500,0.969868
4003.9000,0.979877
4003.9500,0.98469
4004.0000,1.00327
4004.0500,0.975961
4004.1000,0.984658
4004.1500,0.977023
4004.2000,0.984101
4004.2500,0.979085
4004.3000,0.993546
4004.3500,0.976852
4004.4000,0.975661
4004.4500,0.960918
4004.5000,1.00045
4004.5500,0.974518
4004.6000,1.1068
4004.6500,1.08597
4004.7000,0.954493
4004.7500,0.947285
4004.8000,0.965364
4004.8500,0.943561
4004.9000,0.942914
4004.9500,0.956555
4005.0000,0.973815
4005.0500,0.960596
4005.1000,0.926992
4005.1500,0.925323
4005.2000,0.924565
4005.2500,0.921722
4005.3000,0.935509
4005.3500,0.906345
4005.4000,0.936166
4005.4500,0.920414
4005.5000,0.918029
4005.5500,0.954496
4005.6000,0.928603
4005.6500,0.98715
4005.7000,0.936767
4005.7500,0.917842
4005.8000,0.931605
4005.8500,0.921312
4005.9000,0.995075
4005.9500,0.943585
4006.0000,0.925547
4006.0500,0.913571
4006.1000,0.926511
4006.1500,0.915013
4006.2000,0.894111
4006.2500,0.875309
4006.3000,0.934027
4006.3500,0.943199
4006.4000,0.928429
4006.4500,0.956667
4006.5000,0.951745
4006.5500,0.95532
4006.6000,0.94611
4006.6500,0.961172
4006.7000,0.966304
4006.7500,0.914943
4006.8000,0.945052
4006.8500,0.976117
4006.9000,0.926343
4006.9500,0.949173
4007.0000,0.953553
4007.0500,0.990128
4007.1000,0.977672
4007.1500,0.984844
4007.2000,0.96938
4007.2500,0.988408
4007.3000,0.992192
4007.3500,0.979535
4007.4000,1.00377
4007.4500,1.03434
4007.5000,1.02775
4007.5500,0.974581
4007.6000,0.99596
4007.6500,0.997997
4007.7000,0.998841
4007.7500,0.970109
4007.8000,0.972221
4007.8500,1.00513
4007.9000,1.02354
4007.9500,1.00853
4008.0000,1.00913
4008.0500,1.02059
4008.1000,1.0061
4008.1500,0.970429
4008.2000,0.990721
4008.2500,1.04195
4008.3000,1.01658
4008.3500,0.987831
4008.4000,1.00029
4008.4500,1.00882
4008.5000,0.991651
4008.5500,0.977076
4008.6000,1.00914
4008.6500,0.992013
4008.7000,0.990833
4008.7500,0.97116
4008.8000,0.990627
4008.8500,1.00053
4008.9000,0.970225
4008.9500,1.0045
4009.0000,0.987026
4009.0500,0.994869
4009.1000,0.998562
4009.1500,0.996018
4009.2000,0.991278
4009.2500,0.977135
4009.3000,0.969156
4009.3500,1.00141
4009.4000,1.00554
4009.4500,0.990152
4009.5000,0.989926
4009.5500,0.9827
4009.6000,0.991773
4009.6500,1.01075
4009.7000,0.986893
4009.7500,1.01545
4009.8000,0.998538
4009.8500,0.99527
4009.9000,0.981287
4009.9500,0.998942
4010.0000,0.990885
4010.0500,0.970282
4010.1000,0.988888
4010.1500,1.02977
4010.2000,0.961189
4010.2500,0.996076
4010.3000,1.01094
4010.3500,0.989105
4010.4000,0.984513
4010.4500,0.985557
4010.5000,0.976249
4010.5500,0.963452
4010.6000,1.01351
4010.6500,0.995056
4010.7000,0.983423
4010.7500,0.987365
4010.8000,0.991313
4010.8500,1.00219
4010.9000,0.990401
4010.9500,1
4011.0000,0.985531
4011.0500,1.00079
4011.1000,1.01395
4011.1500,1.00668
4011.2000,0.995188
4011.2500,1.02602
4011.3000,1.02111
4011.3500,1.00172
4011.4000,1.01898
4011.4500,1.00737
4011.5000,1.01592
4011.5500,1.00127
4011.6000,0.995514
4011.6500,0.999026
4011.7000,1.01047
4011.7500,1.02671
4011.8000,1.01633
4011.8500,0.986673
4011.9000,1.00731
4011.9500,1.03498
4012.0000,0.998214
4012.0500,0.990573
4012.1000,1.00459
4012.1500,1.00089
4012.2000,1.00935
4012.2500,0.989445
4012.3000,0.972918
4012.3500,0.968709
4012.4000,0.973053
4012.4500,0.999949
4012.5000,1.00627
4012.5500,0.989153
4012.6000,0.999895
4012.6500,0.978485
4012.7000,0.979599
4012.7500,0.993955
4012.8000,0.963316
4012.8500,0.966353
4012.9000,0.99352
4012.9500,0.973401
4013.0000,0.98826
4013.0500,0.987111
4013.1000,0.940268
4013.1500,0.978265
4013.2000,0.986954
4013.2500,1.01123
4013.3000,1.05364
4013.3500,1.02279
4013.4000,0.938632
4013.4500,0.969602
4013.5000,0.975485
4013.5500,0.959257
4013.6000,0.99345
4013.6500,0.956936
4013.7000,0.987996
4013.7500,0.953366
4013.8000,0.959347
4013.8500,0.989815
4013.9000,0.964815
4013.9500,0.996552
4014.0000,0.9771
4014.0500,1.01949
4014.1000,0.990582
4014.1500,1.01416
4014.2000,1.03686
4014.2500,0.95245
4014.3000,0.997325
4014.3500,1.02784
4014.4000,0.83472
4014.4500,0.781114
4014.5000,0.937869
4014.5500,0.985991
4014.6000,0.978953
4014.6500,1.02945
4014.7000,0.990767
4014.7500,0.991135
4014.8000,1.00479
4014.8500,1.01608
4014.9000,0.963361
4014.9500,1.00134
4015.0000,0.993045
4015.0500,0.984709
4015.1000,0.979072
4015.1500,0.977312
4015.2000,1.00267
4015.2500,1.02574
4015.3000,0.955455
4015.3500,0.955566
4015.4000,0.956048
4015.4500,0.982911
4015.5000,0.975382
4015.5500,0.96324
4015.6000,0.992963
4015.6500,1.00416
4015.7000,0.985405
4015.7500,1.00033
4015.8000,0.998176
4015.8500,0.969
4015.9000,0.998563
4015.9500,0.989813
4016.0000,0.990162
4016.0500,1.00305
4016.1000,0.992007
4016.1500,0.977446
4016.2000,0.994847
4016.2500,1.00104
4016.3000,0.989407
4016.3500,0.97978
4016.4000,0.991443
4016.4500,1.0006
4016.5000,1.01363
4016.5500,0.981939
4016.6000,0.967337
