Longitud_de_onda_A,espectro
4000.0000,1.34404
4000.0500,0.470665
4000.1000,0.798414
4000.1500,1.10374
4000.2000,1.77357
4000.2500,0.316804
4000.3000,0.616125
4000.3500,2.21576
4000.4000,0.787423
4000.4500,0.876072
4000.5000,0.14586
4000.5500,2.23677
4000.6000,0.763592
4000.6500,0.827311
4000.7000,2.12118
4000.7500,0
4000.8000,0.612092
4000.8500,0.470852
4000.9000,0.240689
4000.9500,0.876802
4001.0000,0.399655
4001.0500,0
4001.1000,1.10081
4001.1500,0.933608
4001.2000,0.0140426
4001.2500,0
4001.3000,0
4001.3500,0.464986
4001.4000,1.07072
4001.4500,0.287904
4001.5000,0.928529
4001.5500,0.746634
4001.6000,0.955038
4001.6500,1.71885
4001.7000,0.681721
4001.7500,0.288806
4001.8000,0.495517
4001.8500,0
4001.9000,0.705107
4001.9500,0.234453
4002.0000,0
4002.0500,0.706604
4002.1000,0.364177
4002.1500,0.361759
4002.2000,3.40201
4002.2500,2.71365
4002.3000,1.03283
4002.3500,0.151553
4002.4000,1.09064
4002.4500,0.589388
4002.5000,1.2975
4002.5500,0
4002.6000,0.405656
4002.6500,0.341684
4002.7000,0.43518
4002.7500,0.481716
4002.8000,0
4002.8500,0.421254
4002.9000,1.16641
4002.9500,0.824813
4003.0000,1.10559
4003.0500,0
4003.1000,0.295506
4003.1500,0
4003.2000,0.971515
4003.2500,0.745359
4003.3000,0.456548
4003.3500,0.220715
4003.4000,0.230664
4003.4500,1.90483
4003.5000,0.245713
4003.5500,0.868235
4003.6000,0
4003.6500,0.892174
4003.7000,0
4003.7500,0.00606111
4003.8000,0
4003.8500,0.225966
4003.9000,0.508586
4003.9500,0.212417
4004.0000,0.143621
4004.0500,0.962473
4004.1000,0.233906
4004.1500,0
4004.2000,0.374036
4004.2500,0.83089
4004.3000,0.831862
4004.3500,0.138435
4004.4000,1.55194
4004.4500,0.843828
4004.5000,0.788824
4004.5500,1.14205
4004.6000,1.08588
4004.6500,1.58635
4004.7000,1.56185
4004.7500,1.42723
4004.8000,0.873965
4004.8500,1.30917
4004.9000,0
4004.9500,0.289775
4005.0000,0.15038
4005.0500,0.785108
4005.1000,0.520094
4005.1500,0.330889
4005.2000,0.873899
4005.2500,0
4005.3000,0
4005.3500,0.330433
4005.4000,0.820807
4005.4500,0
4005.5000,0.954181
4005.5500,0
4005.6000,0.931344
4005.6500,0
4005.7000,0
4005.7500,0.221885
4005.8000,1.26816
4005.8500,0
4005.9000,0.227746
4005.9500,1.18086
4006.0000,0
4006.0500,1.30284
4006.1000,0.45988
4006.1500,0
4006.2000,0.451621
4006.2500,0.58561
4006.3000,1.42499
4006.3500,1.59478
4006.4000,1.47108
4006.4500,1.56381
4006.5000,0.334338
4006.5500,1.6016
4006.6000,2.41923
4006.6500,0.23814
4006.7000,1.21484
4006.7500,0.965682
4006.8000,0.0328051
4006.8500,0
4006.9000,0.30861
4006.9500,0.0274162
4007.0000,1.06431
4007.0500,1.96246
4007.1000,1.72927
4007.1500,0.732631
4007.2000,0
4007.2500,0
4007.3000,0.373078
4007.3500,0.0618043
4007.4000,0.624166
4007.4500,0.78353
4007.5000,1.96363
4007.5500,1.10762
4007.6000,1.4352
4007.6500,1.38848
4007.7000,1.0743
4007.7500,0.599957
4007.8000,0
4007.8500,1.02899
4007.9000,0.396407
4007.9500,2.04735
4008.0000,4.43555
4008.0500,2.13691
4008.1000,1.34894
4008.1500,0
4008.2000,1.67365
4008.2500,0
4008.3000,1.428
4008.3500,0.671189
4008.4000,1.20709
4008.4500,2.56867
4008.5000,7.82073
4008.5500,3.55537
4008.6000,2.06895
4008.6500,0
4008.7000,1.07392
4008.7500,0.990598
4008.8000,1.65138
4008.8500,1.20486
4008.9000,1.51711
4008.9500,0.912025
4009.0000,0
4009.0500,0.394657
4009.1000,0.399945
4009.1500,1.41863
4009.2000,1.33427
4009.2500,0.721549
4009.3000,1.67984
4009.3500,0.87636
4009.4000,0.0372941
4009.4500,1.23777
4009.5000,0.0473601
4009.5500,0.560446
4009.6000,0.774505
4009.6500,0.41955
4009.7000,0.80125
4009.7500,1.12362
4009.8000,0.913371
4009.8500,1.62943
4009.9000,0.434077
4009.9500,0.260179
4010.0000,1.07332
4010.0500,0.384072
4010.1000,0
4010.1500,0.164903
4010.2000,0.990633
4010.2500,0.0706267
4010.3000,0
4010.3500,0
4010.4000,1.31955
4010.4500,0.991262
4010.5000,1.37247
4010.5500,0.971467
4010.6000,1.63141
4010.6500,1.59335
4010.7000,0
4010.7500,0
4010.8000,0.901133
4010.8500,2.02002
4010.9000,0.228808
4010.9500,0.122054
4011.0000,2.0049
4011.0500,1.46862
4011.1000,0.406941
4011.1500,0.548357
4011.2000,0.569899
4011.2500,0
4011.3000,0
4011.3500,1.72273
4011.4000,0.949433
4011.4500,1.91309
4011.5000,0.987058
4011.5500,1.74437
4011.6000,0.49629
4011.6500,0
4011.7000,0.136658
4011.7500,1.82069
4011.8000,0
4011.8500,1.86831
4011.9000,1.99909
4011.9500,0
4012.0000,1.3466
4012.0500,1.83787
4012.1000,1.22545
4012.1500,2.76242
4012.2000,1.41364
4012.2500,1.45856
4012.3000,1.24997
4012.3500,0.346537
4012.4000,0.948355
4012.4500,0.284044
4012.5000,0
4012.5500,1.14855
4012.6000,0
4012.6500,0.732079
4012.7000,0.8949
4012.7500,2.69293
4012.8000,1.98859
4012.8500,1.00573
4012.9000,1.59944
4012.9500,1.11738
4013.0000,0.691155
4013.0500,1.26337
4013.1000,0.383675
4013.1500,0.173027
4013.2000,1.30316
4013.2500,1.81169
4013.3000,1.55085
4013.3500,0.8643
4013.4000,0.776407
4013.4500,1.52161
4013.5000,1.90045
4013.5500,0.37154
4013.6000,1.93879
4013.6500,1.45205
4013.7000,0
4013.7500,0.36272
4013.8000,0
4013.8500,1.1132
4013.9000,0.933779
4013.9500,0.30519
4014.0000,0.784442
4014.0500,1.39731
4014.1000,1.4964
4014.1500,1.50273
4014.2000,1.14592
4014.2500,1.27112
4014.3000,1.1442
4014.3500,0.955477
4014.4000,2.34317
4014.4500,0.759414
4014.5000,0.865455
4014.5500,0.814448
4014.6000,0
4014.6500,0.161763
4014.7000,1.28018
4014.7500,1.32493
4014.8000,0
4014.8500,0.0849648
4014.9000,0.977437
4014.9500,1.01382
4015.0000,0.567508
4015.0500,1.65729
4015.1000,0.684063
4015.1500,0.628494
4015.2000,1.07047
4015.2500,0
4015.3000,0.605519
4015.3500,1.09828
4015.4000,1.1966
4015.4500,1.35229
4015.5000,0.798906
4015.5500,1.37832
4015.6000,0.490165
4015.6500,0.740293
4015.7000,0.944191
4015.7500,0.671228
4015.8000,1.35099
4015.8500,0.832712
4015.9000,1.03873
4015.9500,0.744655
4016.0000,0.785178
4016.0500,1.34543
4016.1000,0
4016.1500,1.40109
4016.2000,1.18175
4016.2500,1.36138
4016.3000,1.11825
4016.3500,0.999812
4016.4000,0.657987
4016.4500,0
4016.5000,0.297867
4016.5500,1.09561
4016.6000,1.47273
4016.6500,0.754047
4016.7000,0
4016.7500,1.08184
4016.8000,1.01607
4016.8500,0.168914
4016.9000,0
4016.9500,1.09002
4017.0000,0.900915
4017.0500,0.803927
4017.1000,0.167828
4017.1500,0
4017.2000,0.558744
4017.2500,0
4017.3000,0.332076
4017.3500,0.95207
4017.4000,1.11771
4017.4500,1.47089
4017.5000,0
4017.5500,0.290611
4017.6000,0.596379
4017.6500,1.23928
4017.7000,1.25405
4017.7500,0.315978
4017.8000,1.64485
4017.8500,1.01195
4017.9000,0.121109
4017.9500,0.644224
4018.0000,1.94211
4018.0500,0.333658
4018.1000,0.0200893
4018.1500,0.523781
4018.2000,0.243775
4018.2500,0.476208
4018.3000,0.280301
4018.3500,0.199333
4018.4000,1.64655
4018.4500,0.0194682
4018.5000,0.408813
4018.5500,0.186257
4018.6000,0.37372
4018.6500,1.07184
4018.7000,1.12014
4018.7500,1.32888
4018.8000,0.886782
4018.8500,0.563495
4018.9000,0.830461
4018.9500,0.779795
4019.0000,0.810869
4019.0500,0.462949
4019.1000,0.943923
4019.1500,0.346748
4019.2000,0.778823
4019.2500,0.832217
4019.3000,0.369167
4019.3500,0
4019.4000,1.89613
4019.4500,1.16688
4019.5000,1.13056
4019.5500,1.06587
4019.6000,0.45106
4019.6500,0.280146
4019.7000,0.0436713
4019.7500,0.399382
4019.8000,0.370122
4019.8500,1.87005
4019.9000,1.62535
4019.9500,0.080522
4020.0000,0.247164
4020.0500,1.62684
4020.1000,1.49062
4020.1500,0.761045
4020.2000,0.434531
4020.2500,0.653757
4020.3000,1.35559
4020.3500,0.927407
4020.4000,2.98413
4020.4500,1.71486
4020.5000,1.01908
4020.5500,0.969006
4020.6000,1.04325
4020.6500,0.904512
4020.7000,0.772024
4020.7500,0.863504
4020.8000,1.65752
4020.8500,0.879238
4020.9000,0.326399
4020.9500,2.51251
4021.0000,1.09151
4021.0500,1.36155
4021.1000,1.41465
4021.1500,1.96788
4021.2000,0.997789
4021.2500,1.47929
4021.3000,1.04914
4021.3500,1.09769
4021.4000,0.881963
4021.4500,1.53238
4021.5000,1.41554
4021.5500,1.78129
4021.6000,0.443464
4021.6500,0.466361
4021.7000,1.39697
4021.7500,0.23779
4021.8000,1.2232
4021.8500,0.564717
4021.9000,0
4021.9500,0.814766
4022.0000,1.27518
4022.0500,0.629149
4022.1000,0.720824
4022.1500,0.636738
4022.2000,0.267467
4022.2500,1.26942
4022.3000,0.256042
4022.3500,1.10703
4022.4000,0.373554
4022.4500,0.986004
4022.5000,1.19957
4022.5500,1.85534
4022.6000,0.09382
4022.6500,0.821419
4022.7000,0.598543
4022.7500,0.978114
4022.8000,0
4022.8500,1.05392
4022.9000,0.327824
4022.9500,0.497055
4023.0000,0.426897
4023.0500,1.04551
4023.1000,0.643262
4023.1500,0
4023.2000,0.21853
4023.2500,0.572473
4023.3000,0.331338
4023.3500,0.380572
4023.4000,0
4023.4500,1.7653
4023.5000,0.657756
4023.5500,0.889886
4023.6000,0.580548
4023.6500,2.32486
4023.7000,8.41309
4023.7500,9.36376
4023.8000,1.81658
4023.8500,1.09388
4023.9000,0.562577
4023.9500,0.102387
4024.0000,0.373656
4024.0500,0
4024.1000,1.14884
4024.1500,0.040024
4024.2000,0.554096
4024.2500,0.501227
4024.3000,2.01279
4024.3500,1.20499
4024.4000,5.16039
4024.4500,5.21161
4024.5000,0.659364
4024.5500,1.30791
4024.6000,1.32692
4024.6500,1.08066
4024.7000,0
4024.7500,0.147876
4024.8000,0.983849
4024.8500,1.02656
4024.9000,0.741075
4024.9500,1.18177
4025.0000,0.728877
4025.0500,0.658234
4025.1000,0.407211
4025.1500,0.730824
4025.2000,0.0323464
4025.2500,0.0214159
4025.3000,0.642341
4025.3500,0.50032
4025.4000,1.09428
4025.4500,1.01039
4025.5000,0.565498
4025.5500,0.226278
4025.6000,0.880587
4025.6500,0
4025.7000,1.13236
4025.7500,1.16739
4025.8000,0.765626
4025.8500,1.24862
4025.9000,0.756718
4025.9500,1.39322
4026.0000,0.950862
4026.0500,0
4026.1000,0.291261
4026.1500,0.56358
4026.2000,0.534663
4026.2500,0.649452
4026.3000,0.687553
4026.3500,2.2022
4026.4000,0.514224
4026.4500,0.859509
4026.5000,1.55007
4026.5500,1.13383
4026.6000,0.972016
4026.6500,0.675099
4026.7000,0.805061
4026.7500,1.69172
4026.8000,1.26877
4026.8500,1.87816
4026.9000,0.325423
4026.9500,0.594139
4027.0000,0.997613
4027.0500,0.438364
4027.1000,0.990659
4027.1500,1.31052
4027.2000,1.58359
4027.2500,0.902199
4027.3000,0.750355
4027.3500,0
4027.4000,1.03667
4027.4500,0
4027.5000,1.72531
4027.5500,1.09704
4027.6000,0.58578
4027.6500,1.26567
4027.7000,1.56348
4027.7500,1.34565
4027.8000,0.781982
4027.8500,0.877897
4027.9000,1.45648
4027.9500,0.872411
4028.0000,2.51997
4028.0500,0.415144
4028.1000,1.33913
4028.1500,1.42031
4028.2000,0.526858
