Longitud_de_onda_A,espectro
4000.0000,0.973961
4000.0500,0.963208
4000.1000,0.95052
4000.1500,0.961606
4000.2000,0.955038
4000.2500,0.959142
4000.3000,0.950013
4000.3500,0.96834
4000.4000,0.956889
4000.4500,0.947375
4000.5000,0.972511
4000.5500,0.94977
4000.6000,0.944563
4000.6500,0.968093
4000.7000,0.972355
4000.7500,0.969186
4000.8000,0.970778
4000.8500,0.967945
4000.9000,0.979985
4000.9500,1.00076
4001.0000,0.995362
4001.0500,1.01479
4001.1000,1.01488
4001.1500,1.00316
4001.2000,0.9919
4001.2500,0.991338
4001.3000,0.997908
4001.3500,0.992792
4001.4000,1.00885
4001.4500,1.00217
4001.5000,0.981857
4001.5500,1.01457
4001.6000,1.00741
4001.6500,0.986104
4001.7000,0.996828
4001.7500,0.998658
4001.8000,0.999773
4001.8500,0.975761
4001.9000,0.993704
4001.9500,1.00814
4002.0000,1.00196
4002.0500,0.990912
4002.1000,0.988425
4002.1500,0.983678
4002.2000,0.974052
4002.2500,0.984119
4002.3000,0.991608
4002.3500,0.973215
4002.4000,0.979223
4002.4500,0.9718
4002.5000,0.990796
4002.5500,0.987381
4002.6000,0.960828
4002.6500,0.979546
4002.7000,0.988287
4002.7500,0.971211
4002.8000,0.980454
4002.8500,0.979929
4002.9000,0.988056
4002.9500,0.965085
4003.0000,0.977316
4003.0500,0.977789
4003.1000,0.983965
4003.1500,0.98573
4003.2000,0.975665
4003.2500,0.984941
4003.3000,0.980632
4003.3500,0.988344
4003.4000,0.983714
4003.4500,0.990013
4003.5000,1.0018
4003.5500,0.986067
4003.6000,0.996703
4003.6500,0.996939
4003.7000,0.995383
4003.7500,1.00926
4003.8000,0.995713
4003.8500,0.996903
4003.9000,1.00568
4003.9500,0.986094
4004.0000,1.0118
4004.0500,1.01485
4004.1000,1.01951
4004.1500,1.01055
4004.2000,1.015
4004.2500,1.01662
4004.3000,0.998556
4004.3500,0.997854
4004.4000,1.02391
4004.4500,1.01404
4004.5000,1.00077
4004.5500,1.00267
4004.6000,1.00864
4004.6500,1.00503
4004.7000,0.9905
4004.7500,0.994323
4004.8000,1.00081
4004.8500,0.99985
4004.9000,0.9955
4004.9500,1.00704
4005.0000,0.99749
4005.0500,0.994119
4005.1000,0.992968
4005.1500,1.01185
4005.2000,0.986118
4005.2500,1.01068
4005.3000,0.976587
4005.3500,0.991074
4005.4000,0.979207
4005.4500,0.994716
4005.5000,0.998531
4005.5500,0.988788
4005.6000,0.994309
4005.6500,0.995704
4005.7000,0.988568
4005.7500,0.992741
4005.8000,0.982814
4005.8500,1.00177
4005.9000,0.98642
4005.9500,0.989291
4006.0000,0.991452
4006.0500,1.00902
4006.1000,1.00292
4006.1500,0.997285
4006.2000,0.990591
4006.2500,0.970482
4006.3000,0.988185
4006.3500,0.987243
4006.4000,0.98879
4006.4500,1.00126
4006.5000,0.985554
4006.5500,1.0061
4006.6000,0.98135
4006.6500,0.992785
4006.7000,0.992813
4006.7500,0.985668
4006.8000,1.00123
4006.8500,1.01559
4006.9000,0.996222
4006.9500,0.996068
4007.0000,1.00741
4007.0500,1.00637
4007.1000,0.995036
4007.1500,0.999994
4007.2000,1.00844
4007.2500,1.00955
4007.3000,1.01685
4007.3500,1.00161
4007.4000,1.01851
4007.4500,1.01151
4007.5000,0.998297
4007.5500,0.998821
4007.6000,0.996961
4007.6500,1.01363
4007.7000,1.01368
4007.7500,1.01768
4007.8000,1.01008
4007.8500,1.00046
4007.9000,1.00278
4007.9500,1.02058
4008.0000,1.01362
4008.0500,1.02213
4008.1000,0.992807
4008.1500,0.998963
4008.2000,1.00564
4008.2500,0.995343
4008.3000,0.988118
4008.3500,0.996537
4008.4000,1.01376
4008.4500,1.00456
4008.5000,1.02906
4008.5500,1.00984
4008.6000,0.997361
4008.6500,1.00011
4008.7000,0.994337
4008.7500,1.01607
4008.8000,0.999375
4008.8500,0.995056
4008.9000,0.984318
4008.9500,0.999526
4009.0000,1.0114
4009.0500,0.996774
4009.1000,1.00003
4009.1500,0.998139
4009.2000,1.00825
4009.2500,1.00562
4009.3000,1.00158
4009.3500,0.992932
4009.4000,0.982383
4009.4500,0.991732
4009.5000,1.00151
4009.5500,1.00936
4009.6000,1.01523
4009.6500,0.995775
4009.7000,0.99971
4009.7500,1.00631
4009.8000,1.00896
4009.8500,1.00437
4009.9000,0.998488
4009.9500,0.993488
4010.0000,0.996206
4010.0500,1.0078
4010.1000,1.0004
4010.1500,0.999649
