Longitud_de_onda_A,espectro
4000.0000,1.01975
4000.0500,1.0233
4000.1000,1.03483
4000.1500,0.969382
4000.2000,0.92416
4000.2500,0.908109
4000.3000,0.967339
4000.3500,0.966976
4000.4000,0.795402
4000.4500,0.712622
4000.5000,0.770396
4000.5500,0.902971
4000.6000,0.984251
4000.6500,0.977549
4000.7000,1.01208
4000.7500,0.985418
4000.8000,0.967819
4000.8500,1.01202
4000.9000,0.992061
4000.9500,0.935816
4001.0000,0.954387
4001.0500,0.871608
4001.1000,0.753097
4001.1500,0.733547
4001.2000,0.769223
4001.2500,0.79763
4001.3000,0.923135
4001.3500,0.962539
4001.4000,1.00455
4001.4500,0.971745
4001.5000,0.975067
4001.5500,0.909209
4001.6000,0.836934
4001.6500,0.653899
4001.7000,0.71881
4001.7500,0.864518
4001.8000,1.0172
4001.8500,0.955989
4001.9000,0.991302
4001.9500,1.00023
4002.0000,1.01296
4002.0500,0.918263
4002.1000,0.96451
4002.1500,0.984446
4002.2000,1.0447
4002.2500,0.982314
4002.3000,0.995035
4002.3500,0.9624
4002.4000,0.956816
4002.4500,0.986259
4002.5000,1.00069
4002.5500,0.953584
4002.6000,0.987962
4002.6500,0.933251
4002.7000,0.997022
4002.7500,1.02524
4002.8000,1.04177
4002.8500,0.918119
4002.9000,0.869775
4002.9500,0.855063
4003.0000,0.907563
4003.0500,1.02586
4003.1000,1.03161
4003.1500,1.035
4003.2000,1.02556
4003.2500,0.977095
4003.3000,0.957524
4003.3500,1.00217
4003.4000,0.95956
4003.4500,0.974544
4003.5000,1.00176
4003.5500,0.996675
4003.6000,0.962819
4003.6500,0.971292
4003.7000,0.929062
4003.7500,0.870618
4003.8000,0.934927
4003.8500,0.994067
4003.9000,1.0298
4003.9500,1.00309
4004.0000,0.986339
4004.0500,1.00149
4004.1000,1.02941
4004.1500,0.984141
4004.2000,1.08833
4004.2500,1.00419
4004.3000,1.01789
4004.3500,1.03674
4004.4000,1.02841
4004.4500,0.979794
4004.5000,0.969104
4004.5500,0.986085
4004.6000,1.00433
4004.6500,1.01334
4004.7000,0.998924
4004.7500,1.00327
4004.8000,0.877893
4004.8500,0.799713
4004.9000,0.798457
4004.9500,0.828427
4005.0000,0.892607
4005.0500,0.930818
4005.1000,0.78729
4005.1500,0.65408
4005.2000,0.401512
4005.2500,0.264218
4005.3000,0.416084
4005.3500,0.691932
4005.4000,0.838978
4005.4500,0.942887
4005.5000,0.927923
4005.5500,0.945456
4005.6000,0.966628
4005.6500,0.859918
4005.7000,0.718591
4005.7500,0.758949
4005.8000,0.871842
4005.8500,0.96564
4005.9000,0.977704
4005.9500,0.950853
4006.0000,0.978258
4006.0500,0.9685
4006.1000,0.945409
4006.1500,0.999015
4006.2000,0.91503
4006.2500,0.846998
4006.3000,0.738515
4006.3500,0.840702
4006.4000,0.925489
4006.4500,0.984574
4006.5000,0.999642
4006.5500,0.932151
4006.6000,0.808675
4006.6500,0.802557
4006.7000,0.820974
4006.7500,0.762009
4006.8000,0.731399
4006.8500,0.820399
4006.9000,0.864053
4006.9500,0.817059
4007.0000,0.764828
4007.0500,0.862503
4007.1000,0.981056
4007.1500,0.945117
4007.2000,0.841589
4007.2500,0.715719
4007.3000,0.722042
4007.3500,0.946688
4007.4000,0.973161
4007.4500,0.944938
4007.5000,1.02546
4007.5500,0.993748
4007.6000,0.990363
4007.6500,0.993549
4007.7000,0.950011
4007.7500,0.984955
4007.8000,0.971462
4007.8500,1.00083
4007.9000,1.00699
4007.9500,1.0579
4008.0000,1.01174
4008.0500,0.990309
4008.1000,1.01459
4008.1500,1.00111
4008.2000,1.03162
4008.2500,0.99788
4008.3000,0.916824
4008.3500,1.00313
4008.4000,1.04143
4008.4500,0.973746
4008.5000,1.041
4008.5500,1.04079
4008.6000,1.0019
4008.6500,1.0091
4008.7000,0.981465
4008.7500,0.969577
4008.8000,0.945644
4008.8500,0.873703
4008.9000,0.800645
4008.9500,0.799861
4009.0000,0.96848
4009.0500,1.02358
4009.1000,0.973347
4009.1500,1.01631
4009.2000,0.997337
4009.2500,0.96633
4009.3000,0.940335
4009.3500,1.01473
4009.4000,1.02598
4009.4500,1.00947
4009.5000,0.999461
4009.5500,0.92832
4009.6000,0.83401
4009.6500,0.63599
4009.7000,0.508145
4009.7500,0.585555
4009.8000,0.857707
4009.8500,0.97102
4009.9000,1.00234
4009.9500,0.981023
4010.0000,1.00296
4010.0500,0.961981
4010.1000,0.999589
4010.1500,1.05205
4010.2000,1.05262
4010.2500,1.01976
4010.3000,1.02547
4010.3500,1.05647
4010.4000,1.08828
4010.4500,1.08885
4010.5000,1.02221
4010.5500,1.033
4010.6000,0.981266
4010.6500,0.95798
4010.7000,1.04072
4010.7500,1.03611
4010.8000,1.01879
4010.8500,1.00574
4010.9000,0.993028
4010.9500,0.972482
4011.0000,1.04077
4011.0500,1.04511
4011.1000,1.04259
4011.1500,1.05611
4011.2000,1.07264
4011.2500,1.03511
4011.3000,1.04414
4011.3500,1.03188
4011.4000,1.00115
4011.4500,0.982228
4011.5000,1.01126
4011.5500,1.01333
4011.6000,0.991387
4011.6500,1.02199
4011.7000,0.984145
4011.7500,0.993391
4011.8000,1.01706
4011.8500,0.98133
4011.9000,0.968685
4011.9500,1.02591
4012.0000,1.06459
4012.0500,1.03964
4012.1000,1.01896
4012.1500,0.973791
4012.2000,0.928691
4012.2500,0.820845
4012.3000,0.675644
4012.3500,0.511044
4012.4000,0.484634
4012.4500,0.680294
4012.5000,0.921228
4012.5500,0.950579
4012.6000,1.04708
4012.6500,0.967205
4012.7000,0.920152
4012.7500,0.999228
4012.8000,1.01194
4012.8500,1.03731
4012.9000,1.03491
4012.9500,1.01067
4013.0000,1.06862
4013.0500,1.07874
4013.1000,1.05043
4013.1500,1.03699
4013.2000,1.0706
4013.2500,0.952731
4013.3000,1.04798
4013.3500,1.02462
4013.4000,1.05765
4013.4500,1.02894
4013.5000,1.02074
4013.5500,1.00801
4013.6000,0.953985
4013.6500,0.92269
4013.7000,0.927882
4013.7500,0.877205
4013.8000,0.824538
4013.8500,0.857269
4013.9000,0.940782
4013.9500,1.02491
4014.0000,1.02908
4014.0500,1.00592
4014.1000,1.04843
4014.1500,1.07837
4014.2000,1.04335
4014.2500,1.01172
4014.3000,0.986391
4014.3500,0.979373
4014.4000,0.910333
4014.4500,0.721838
4014.5000,0.481622
4014.5500,0.589389
4014.6000,0.797688
4014.6500,0.956836
4014.7000,0.997166
4014.7500,1.03863
4014.8000,1.03457
4014.8500,1.0419
4014.9000,1.04154
4014.9500,1.01455
4015.0000,1.03449
4015.0500,1.00862
4015.1000,1.0956
4015.1500,1.06316
4015.2000,1.08373
4015.2500,1.05358
4015.3000,1.05657
4015.3500,1.01445
4015.4000,1.06735
4015.4500,0.979776
4015.5000,0.983722
4015.5500,0.942479
4015.6000,0.918758
4015.6500,1.00609
4015.7000,0.995251
4015.7500,1.01683
4015.8000,1.01663
4015.8500,1.06473
4015.9000,1.05978
4015.9500,1.05137
4016.0000,1.03986
4016.0500,1.05875
4016.1000,1.02781
4016.1500,1.04315
4016.2000,1.03912
4016.2500,1.0511
4016.3000,1.04915
4016.3500,1.05131
4016.4000,0.963427
4016.4500,0.979523
4016.5000,0.943894
4016.5500,1.00483
4016.6000,1.07539
4016.6500,1.04125
4016.7000,1.03954
4016.7500,1.07013
4016.8000,1.02033
4016.8500,0.99125
4016.9000,1.02232
4016.9500,0.968421
4017.0000,0.92578
4017.0500,0.795505
4017.1000,0.671061
4017.1500,0.610174
4017.2000,0.726395
4017.2500,0.884631
4017.3000,1.02044
4017.3500,1.03366
4017.4000,1.01567
4017.4500,0.96544
4017.5000,0.995324
4017.5500,1.00045
4017.6000,0.986927
4017.6500,0.999483
4017.7000,1.02363
4017.7500,0.993578
4017.8000,1.00402
4017.8500,1.04047
4017.9000,1.03026
4017.9500,1.04354
4018.0000,1.01454
4018.0500,0.934983
4018.1000,0.852362
4018.1500,0.914565
4018.2000,0.951587
4018.2500,0.918841
4018.3000,0.920716
4018.3500,0.938545
4018.4000,1.0198
4018.4500,1.03448
4018.5000,1.06863
4018.5500,1.08069
4018.6000,1.06535
4018.6500,1.06647
4018.7000,1.03968
4018.7500,1.07369
4018.8000,1.00549
4018.8500,1.10318
4018.9000,1.02611
4018.9500,1.0019
4019.0000,0.986085
4019.0500,0.949326
4019.1000,0.98953
4019.1500,0.983706
4019.2000,1.06029
4019.2500,1.00755
4019.3000,1.04227
4019.3500,1.0285
4019.4000,1.0738
4019.4500,1.05478
4019.5000,1.05261
4019.5500,1.06235
4019.6000,1.06095
4019.6500,1.03602
4019.7000,1.00143
4019.7500,0.97962
4019.8000,0.98127
4019.8500,0.993935
4019.9000,0.979251
4019.9500,0.920494
4020.0000,0.831226
4020.0500,0.834235
4020.1000,0.823984
4020.1500,0.788965
4020.2000,0.843734
4020.2500,0.911197
4020.3000,0.961853
4020.3500,0.986373
4020.4000,0.994539
4020.4500,0.954271
4020.5000,0.994915
4020.5500,1.00364
4020.6000,1.03269
4020.6500,1.00375
4020.7000,1.02921
4020.7500,0.991018
4020.8000,0.931301
4020.8500,0.800496
4020.9000,0.767285
4020.9500,0.859914
4021.0000,0.991276
4021.0500,1.01006
4021.1000,0.997984
4021.1500,1.01846
4021.2000,1.01822
4021.2500,1.01789
4021.3000,0.980289
4021.3500,0.984883
4021.4000,1.11465
4021.4500,1.06962
4021.5000,1.06552
4021.5500,1.0351
4021.6000,0.964872
4021.6500,0.974889
4021.7000,0.922149
4021.7500,0.919443
4021.8000,0.694195
4021.8500,0.56017
4021.9000,0.634819
4021.9500,0.855364
4022.0000,1.03767
4022.0500,0.992381
4022.1000,1.02746
4022.1500,1.00081
4022.2000,1.01993
4022.2500,0.988488
4022.3000,1.03341
4022.3500,1.02738
4022.4000,1.00723
4022.4500,1.00239
4022.5000,1.05154
4022.5500,1.05131
4022.6000,1.04057
4022.6500,1.00991
4022.7000,0.960878
4022.7500,0.973532
4022.8000,0.968406
4022.8500,1.0011
4022.9000,1.02344
4022.9500,0.978779
4023.0000,0.940774
4023.0500,0.964338
4023.1000,1.07882
4023.1500,1.02564
4023.2000,1.01261
4023.2500,0.983603
4023.3000,0.884299
4023.3500,0.804127
4023.4000,0.806741
4023.4500,0.916522
4023.5000,0.996329
4023.5500,0.985307
4023.6000,0.973381
4023.6500,0.936452
4023.7000,0.948272
4023.7500,0.991212
4023.8000,1.04611
4023.8500,1.028
4023.9000,1.02374
4023.9500,0.986454
4024.0000,0.945622
4024.0500,0.912579
4024.1000,0.945811
4024.1500,0.948618
4024.2000,1.02528
4024.2500,1.03833
4024.3000,0.988673
4024.3500,1.01487
4024.4000,1.00824
4024.4500,0.940529
4024.5000,0.869768
4024.5500,0.755989
4024.6000,0.807411
4024.6500,0.759205
4024.7000,0.655053
4024.7500,0.686348
4024.8000,0.850839
4024.8500,0.932071
4024.9000,0.984382
4024.9500,0.999763
4025.0000,0.954664
4025.0500,0.755415
4025.1000,0.589944
4025.1500,0.549537
4025.2000,0.731652
4025.2500,0.883929
4025.3000,0.962516
4025.3500,0.939731
4025.4000,0.949731
4025.4500,1.01586
4025.5000,1.01194
4025.5500,1.00645
4025.6000,0.999027
4025.6500,1.0155
4025.7000,0.981308
4025.7500,0.946091
4025.8000,0.898522
4025.8500,0.922133
4025.9000,0.95087
4025.9500,0.951344
4026.0000,0.997804
4026.0500,0.954002
4026.1000,0.923685
