Longitud_de_onda_A,espectro
4000.0000,1.00372
4000.0500,0.999134
4000.1000,0.95368
4000.1500,0.93651
4000.2000,0.935747
4000.2500,0.906802
4000.3000,0.918238
4000.3500,0.899825
4000.4000,0.865119
4000.4500,0.880272
4000.5000,0.891457
4000.5500,0.963073
4000.6000,0.918891
4000.6500,0.915455
4000.7000,0.933192
4000.7500,1.00079
4000.8000,1.01679
4000.8500,1.0203
4000.9000,1.01448
4000.9500,0.989839
4001.0000,0.9838
4001.0500,0.950964
4001.1000,0.950044
4001.1500,0.932198
4001.2000,0.907171
4001.2500,0.857753
4001.3000,0.798341
4001.3500,0.783628
4001.4000,0.814896
4001.4500,0.866352
4001.5000,0.885266
4001.5500,0.901445
4001.6000,0.840213
4001.6500,0.847299
4001.7000,0.904713
4001.7500,0.889909
4001.8000,0.882989
4001.8500,0.856282
4001.9000,0.861711
4001.9500,0.968429
4002.0000,1.00264
4002.0500,1.02329
4002.1000,1.05088
4002.1500,0.987884
4002.2000,0.991484
4002.2500,0.9987
4002.3000,1.00234
4002.3500,1.02202
4002.4000,1.03896
4002.4500,1.05309
4002.5000,1.01448
4002.5500,0.975433
4002.6000,0.929785
4002.6500,0.950689
4002.7000,0.93663
4002.7500,0.949745
4002.8000,0.94694
4002.8500,0.970482
4002.9000,1.00057
4002.9500,1.02715
4003.0000,1.03608
4003.0500,1.03067
4003.1000,0.980178
4003.1500,1.00949
4003.2000,1.06871
4003.2500,1.11459
4003.3000,1.07012
4003.3500,1.05057
4003.4000,1.05854
4003.4500,1.0137
4003.5000,1.01219
4003.5500,1.01318
4003.6000,1.02192
4003.6500,1.00696
4003.7000,1.02311
4003.7500,0.999089
4003.8000,1.02375
4003.8500,1.00344
4003.9000,0.957271
4003.9500,0.951017
4004.0000,0.98317
4004.0500,1.05646
4004.1000,1.07114
4004.1500,1.09501
4004.2000,1.13918
4004.2500,1.1187
4004.3000,1.10315
4004.3500,1.08779
4004.4000,1.02709
4004.4500,1.02405
4004.5000,0.995862
4004.5500,0.946834
4004.6000,0.900346
4004.6500,0.849198
4004.7000,0.808068
4004.7500,0.727763
4004.8000,0.665666
4004.8500,0.643481
4004.9000,0.602133
