Longitud_de_onda_A,espectro
4000.0000,0.98735
4000.0500,1.00123
4000.1000,1.00555
4000.1500,0.988275
4000.2000,0.990643
4000.2500,0.986012
4000.3000,1.00109
4000.3500,1.00852
4000.4000,0.971832
4000.4500,0.987989
4000.5000,0.997624
4000.5500,0.970024
4000.6000,0.984737
4000.6500,1.00264
4000.7000,0.995653
4000.7500,0.98769
4000.8000,0.994613
4000.8500,0.994371
4000.9000,0.97861
4000.9500,0.978266
4001.0000,0.986564
4001.0500,0.990945
4001.1000,0.984971
4001.1500,0.983161
4001.2000,1.00691
4001.2500,0.982195
4001.3000,0.981911
4001.3500,0.981561
4001.4000,1.01079
4001.4500,1.00393
4001.5000,1.00486
4001.5500,0.991682
4001.6000,1.02713
4001.6500,1.00058
4001.7000,0.990132
4001.7500,0.986285
4001.8000,0.989841
4001.8500,0.992205
4001.9000,1.00427
4001.9500,0.98695
4002.0000,0.967318
4002.0500,0.964819
4002.1000,0.974884
4002.1500,0.972069
4002.2000,0.987215
4002.2500,0.987857
4002.3000,0.999311
4002.3500,1.01255
4002.4000,0.988353
4002.4500,0.985764
4002.5000,0.974868
4002.5500,0.9693
4002.6000,0.980443
4002.6500,0.978036
4002.7000,0.996259
4002.7500,0.989975
4002.8000,1.02045
4002.8500,0.995613
4002.9000,1.00631
4002.9500,0.996418
4003.0000,1.00075
4003.0500,1.00331
4003.1000,0.991373
4003.1500,1.01735
4003.2000,0.995872
4003.2500,0.97984
4003.3000,0.996798
4003.3500,0.997821
4003.4000,0.992105
4003.4500,0.99677
4003.5000,0.98811
4003.5500,0.965347
4003.6000,0.954393
4003.6500,0.985674
4003.7000,1.00306
4003.7500,1.02378
4003.8000,1.00384
4003.8500,0.997842
4003.9000,0.986263
4003.9500,1.00468
4004.0000,1.00754
4004.0500,0.992585
4004.1000,0.989677
4004.1500,1.00938
4004.2000,1.00661
4004.2500,0.985314
4004.3000,0.989869
4004.3500,1.00274
4004.4000,0.998495
4004.4500,1.00169
4004.5000,0.994246
4004.5500,1.00835
4004.6000,0.986056
4004.6500,0.982185
4004.7000,0.986189
4004.7500,1.00369
4004.8000,0.987212
4004.8500,0.994984
4004.9000,1.01584
4004.9500,0.973592
4005.0000,1.02049
4005.0500,0.980837
4005.1000,0.972051
4005.1500,0.999738
4005.2000,0.982781
4005.2500,1.00693
4005.3000,0.989061
4005.3500,0.984475
4005.4000,0.973626
4005.4500,0.996196
4005.5000,1.01027
4005.5500,0.999604
4005.6000,1.0075
4005.6500,1.00223
4005.7000,0.991791
4005.7500,0.992479
4005.8000,0.982649
4005.8500,0.982009
4005.9000,0.971421
4005.9500,0.979002
4006.0000,1.00294
4006.0500,0.970715
4006.1000,0.999182
4006.1500,0.993707
4006.2000,1.00421
4006.2500,0.982995
4006.3000,0.986195
4006.3500,0.969477
4006.4000,0.969306
4006.4500,0.978188
4006.5000,0.996496
4006.5500,0.960736
4006.6000,0.999699
4006.6500,0.999543
4006.7000,0.985633
4006.7500,0.988633
4006.8000,0.986754
4006.8500,0.956386
4006.9000,0.994412
4006.9500,0.98496
4007.0000,0.944226
4007.0500,0.977626
4007.1000,0.976882
4007.1500,0.954522
4007.2000,0.973497
4007.2500,0.977131
4007.3000,0.978651
4007.3500,0.964034
4007.4000,0.975522
4007.4500,0.983583
4007.5000,0.952836
4007.5500,0.967423
4007.6000,0.982031
4007.6500,0.977409
4007.7000,0.976737
4007.7500,0.971379
4007.8000,0.983921
4007.8500,0.945844
4007.9000,0.976877
4007.9500,0.957042
4008.0000,0.956159
4008.0500,0.95617
4008.1000,0.957597
4008.1500,0.950794
4008.2000,0.944446
4008.2500,0.956858
4008.3000,0.932233
4008.3500,0.95699
4008.4000,0.925533
4008.4500,0.943534
4008.5000,0.966171
4008.5500,0.943213
4008.6000,0.907906
4008.6500,0.930208
4008.7000,0.907431
4008.7500,0.921495
4008.8000,0.9217
4008.8500,0.912285
4008.9000,0.915728
4008.9500,0.911384
4009.0000,0.936426
4009.0500,0.90737
4009.1000,0.902915
4009.1500,0.915421
4009.2000,0.91843
4009.2500,0.906294
4009.3000,0.905489
4009.3500,0.893347
4009.4000,0.908859
4009.4500,0.919703
4009.5000,0.952366
4009.5500,0.917355
4009.6000,0.904121
4009.6500,0.941733
4009.7000,0.93127
4009.7500,0.937744
4009.8000,0.949714
4009.8500,0.92908
4009.9000,0.928493
4009.9500,0.946522
4010.0000,0.96963
4010.0500,0.953477
4010.1000,0.954162
4010.1500,0.960523
4010.2000,0.96954
4010.2500,0.948696
4010.3000,0.986939
4010.3500,0.950027
4010.4000,0.953362
4010.4500,0.955801
4010.5000,0.961677
4010.5500,0.977615
4010.6000,0.965616
4010.6500,0.954603
4010.7000,0.971148
4010.7500,0.964641
4010.8000,0.956412
4010.8500,0.974462
4010.9000,0.971475
4010.9500,0.993407
4011.0000,0.999602
4011.0500,1.00323
4011.1000,0.997832
4011.1500,0.976306
4011.2000,0.979961
4011.2500,1.01014
4011.3000,0.99428
4011.3500,1.01493
4011.4000,1.01778
4011.4500,1.00798
4011.5000,1.02149
4011.5500,1.0136
4011.6000,1.01986
4011.6500,1.0315
4011.7000,1.02151
4011.7500,1.02023
4011.8000,1.03525
4011.8500,1.00377
4011.9000,1.04081
4011.9500,0.956834
4012.0000,0.982106
4012.0500,1.00614
4012.1000,0.990639
4012.1500,1.02414
4012.2000,1.03353
4012.2500,1.01894
4012.3000,1.00858
4012.3500,1.02185
4012.4000,0.998204
4012.4500,1.03268
4012.5000,0.99736
4012.5500,0.99199
4012.6000,1.00685
4012.6500,1.03152
4012.7000,1.01569
4012.7500,1.01874
4012.8000,1.00214
4012.8500,0.995229
4012.9000,1.01157
4012.9500,1.02705
4013.0000,1.00628
4013.0500,0.99483
4013.1000,0.990204
4013.1500,1.01791
4013.2000,0.975343
4013.2500,0.996862
4013.3000,0.990441
4013.3500,1.01711
4013.4000,1.01167
4013.4500,1.01493
4013.5000,1.00206
4013.5500,1.01945
4013.6000,0.993191
4013.6500,1.01889
4013.7000,1.01856
4013.7500,1.02553
4013.8000,0.986333
4013.8500,1.06228
4013.9000,1.03782
4013.9500,1.00327
4014.0000,1.02509
4014.0500,1.01829
4014.1000,1.02725
4014.1500,1.00662
4014.2000,1.00272
4014.2500,1.01785
4014.3000,1.01098
4014.3500,0.992487
4014.4000,1.03192
4014.4500,1.00385
4014.5000,1.02901
4014.5500,1.03819
4014.6000,1.03518
4014.6500,1.02
4014.7000,1.01968
4014.7500,1.02651
4014.8000,1.01897
4014.8500,1.0456
4014.9000,1.01026
4014.9500,0.995614
4015.0000,1.01828
4015.0500,1.00094
4015.1000,1.031
4015.1500,1.01821
4015.2000,1.01496
4015.2500,0.994379
4015.3000,0.99527
4015.3500,1.01998
4015.4000,1.00674
4015.4500,1.00573
4015.5000,1.0013
4015.5500,0.990813
4015.6000,1.03467
4015.6500,1.00085
4015.7000,1.00896
4015.7500,1.01404
4015.8000,1.02297
4015.8500,1.0086
4015.9000,0.977757
4015.9500,1.01151
4016.0000,0.997969
4016.0500,1.00422
4016.1000,1.005
4016.1500,1.02233
4016.2000,1.01006
4016.2500,1.00518
4016.3000,0.995281
4016.3500,0.985774
4016.4000,1.0034
4016.4500,1.01847
4016.5000,1.01302
4016.5500,0.999088
4016.6000,0.996916
4016.6500,0.991957
4016.7000,1.00269
4016.7500,1.00803
4016.8000,1.00015
4016.8500,1.02359
4016.9000,1.02236
4016.9500,1.00187
4017.0000,1.00338
4017.0500,1.02344
4017.1000,0.998609
4017.1500,0.989535
4017.2000,0.976677
4017.2500,1.00473
4017.3000,1.01965
4017.3500,0.999217
4017.4000,1.01417
4017.4500,0.991543
4017.5000,1.02586
4017.5500,0.975011
4017.6000,0.982137
4017.6500,0.995006
4017.7000,1.00977
4017.7500,1.00778
4017.8000,1.01653
4017.8500,1.00807
4017.9000,1.00621
4017.9500,0.991321
4018.0000,1.02407
4018.0500,0.984516
4018.1000,0.996429
4018.1500,0.985105
4018.2000,1.00202
4018.2500,0.993141
4018.3000,0.982409
4018.3500,0.994846
4018.4000,1.00237
4018.4500,0.98596
4018.5000,1.00404
4018.5500,1.00925
4018.6000,0.966833
4018.6500,1.00867
4018.7000,1.01191
4018.7500,0.988638
4018.8000,1.00442
4018.8500,0.981201
4018.9000,0.99029
4018.9500,1.00006
4019.0000,1.0084
4019.0500,1.00024
4019.1000,0.971044
4019.1500,1.00089
4019.2000,1.01263
4019.2500,1.01187
4019.3000,1.01883
4019.3500,0.975266
4019.4000,0.988136
4019.4500,1.0215
4019.5000,0.998748
4019.5500,1.01157
4019.6000,1.00162
4019.6500,0.973194
4019.7000,0.978478
4019.7500,0.978686
4019.8000,0.980664
4019.8500,1.00411
4019.9000,0.996984
4019.9500,0.982979
4020.0000,0.98424
4020.0500,0.983992
4020.1000,0.96571
4020.1500,0.992389
4020.2000,0.984712
4020.2500,0.989172
4020.3000,1.00834
4020.3500,0.978632
4020.4000,0.983264
4020.4500,0.971479
4020.5000,0.974988
4020.5500,0.984662
4020.6000,0.952524
4020.6500,0.994914
4020.7000,0.997327
4020.7500,0.978559
4020.8000,0.998336
4020.8500,0.968683
4020.9000,0.965112
4020.9500,0.992349
4021.0000,0.982973
4021.0500,0.962151
4021.1000,0.963727
4021.1500,0.975129
4021.2000,0.978927
4021.2500,0.95
4021.3000,0.993016
4021.3500,0.970292
4021.4000,0.967732
4021.4500,0.986073
4021.5000,0.975593
4021.5500,0.996192
4021.6000,0.992483
4021.6500,0.966569
4021.7000,0.980532
4021.7500,0.969833
4021.8000,0.955235
4021.8500,0.979837
4021.9000,0.97638
4021.9500,0.958908
4022.0000,0.968439
4022.0500,0.961213
4022.1000,0.96099
4022.1500,0.965493
4022.2000,0.971118
4022.2500,0.967137
4022.3000,0.984996
4022.3500,0.965776
4022.4000,0.941111
4022.4500,0.964567
4022.5000,0.97892
4022.5500,0.966462
4022.6000,1.04997
4022.6500,1.29407
4022.7000,1.03139
4022.7500,0.959887
4022.8000,0.950377
4022.8500,0.980342
4022.9000,0.968364
4022.9500,0.944422
4023.0000,0.94363
4023.0500,0.935425
4023.1000,0.922499
4023.1500,0.914934
4023.2000,0.914165
4023.2500,0.915812
4023.3000,0.903312
4023.3500,0.916673
4023.4000,0.914847
4023.4500,0.945661
4023.5000,0.901061
4023.5500,0.912199
4023.6000,0.898426
4023.6500,0.928595
4023.7000,0.899578
4023.7500,0.91269
4023.8000,0.918381
4023.8500,0.900544
4023.9000,0.883899
4023.9500,0.89005
4024.0000,0.894442
4024.0500,0.878126
4024.1000,0.883696
4024.1500,0.898003
4024.2000,0.89194
4024.2500,0.875764
4024.3000,0.876886
4024.3500,0.882123
4024.4000,0.889416
4024.4500,0.868194
4024.5000,0.863834
4024.5500,0.855631
4024.6000,0.866615
4024.6500,0.885749
4024.7000,0.866599
4024.7500,0.835997
4024.8000,0.861548
4024.8500,0.814376
4024.9000,0.833603
4024.9500,0.815946
4025.0000,0.831654
4025.0500,0.825089
4025.1000,0.835175
4025.1500,0.823067
4025.2000,0.821581
4025.2500,0.798358
4025.3000,0.803956
4025.3500,0.778006
4025.4000,0.795535
4025.4500,0.807178
4025.5000,0.789264
4025.5500,0.788924
4025.6000,0.783854
4025.6500,0.748525
4025.7000,0.752869
4025.7500,0.746437
4025.8000,0.732079
4025.8500,0.717849
4025.9000,0.702016
4025.9500,0.688646
4026.0000,0.697373
4026.0500,0.704604
4026.1000,0.702637
4026.1500,0.722603
4026.2000,0.735155
4026.2500,0.753826
4026.3000,0.760304
4026.3500,0.769745
4026.4000,0.787454
4026.4500,0.787389
4026.5000,0.795739
4026.5500,0.789347
4026.6000,0.798885
4026.6500,0.813359
4026.7000,0.818425
4026.7500,0.851209
4026.8000,0.842371
4026.8500,0.843902
4026.9000,0.858524
4026.9500,0.863819
4027.0000,0.84697
4027.0500,0.874213
4027.1000,0.878344
4027.1500,0.863014
4027.2000,0.86944
4027.2500,0.855834
4027.3000,0.885355
4027.3500,0.88366
4027.4000,0.892366
4027.4500,0.890548
4027.5000,0.898803
4027.5500,0.878859
4027.6000,0.892999
4027.6500,0.889484
4027.7000,0.878326
4027.7500,0.901151
4027.8000,0.880136
4027.8500,0.913145
4027.9000,0.904824
4027.9500,0.91362
4028.0000,0.887928
4028.0500,0.92472
4028.1000,0.911918
4028.1500,0.912931
4028.2000,0.922089
4028.2500,0.937257
4028.3000,0.924647
4028.3500,0.907381
4028.4000,0.930638
4028.4500,0.919223
4028.5000,0.91499
4028.5500,0.946679
4028.6000,0.947941
4028.6500,0.934846
4028.7000,0.939476
4028.7500,0.928348
4028.8000,0.92364
4028.8500,0.941832
4028.9000,0.921777
4028.9500,0.946029
4029.0000,0.946268
4029.0500,0.940421
4029.1000,0.941951
4029.1500,0.939893
4029.2000,0.947156
4029.2500,0.938654
4029.3000,0.937508
4029.3500,0.957771
4029.4000,0.962428
4029.4500,0.959167
4029.5000,0.938377
4029.5500,0.969053
4029.6000,0.960645
4029.6500,0.970637
4029.7000,0.926916
4029.7500,0.979783
4029.8000,0.981085
4029.8500,0.967741
4029.9000,0.952244
4029.9500,0.964303
4030.0000,0.976164
4030.0500,0.975713
4030.1000,0.978819
4030.1500,0.983036
4030.2000,0.999826
4030.2500,0.981037
4030.3000,0.980084
4030.3500,0.972916
4030.4000,0.980596
4030.4500,0.976973
4030.5000,0.972082
4030.5500,0.974888
4030.6000,0.981664
4030.6500,0.985608
4030.7000,0.97974
4030.7500,0.990452
4030.8000,0.982317
4030.8500,0.973897
