Longitud_de_onda_A,espectro
4000.0000,1.03618
4000.0500,1.01031
4000.1000,1.00605
4000.1500,0.962064
4000.2000,0.750554
4000.2500,0.559551
4000.3000,0.506136
4000.3500,0.518674
4000.4000,0.435978
4000.4500,0.346093
4000.5000,0.440719
4000.5500,0.659013
4000.6000,0.935593
4000.6500,1.13892
4000.7000,1.25944
4000.7500,1.21256
4000.8000,1.12885
4000.8500,1.13938
4000.9000,1.21284
4000.9500,1.17512
4001.0000,1.01976
4001.0500,0.808294
4001.1000,0.619311
4001.1500,0.532683
4001.2000,0.622673
4001.2500,0.774711
4001.3000,0.952136
4001.3500,0.966723
4001.4000,0.8106
4001.4500,0.674441
4001.5000,0.692538
4001.5500,0.65599
4001.6000,0.489982
4001.6500,0.338315
4001.7000,0.404308
4001.7500,0.656827
4001.8000,0.998699
4001.8500,1.24784
4001.9000,1.21152
4001.9500,1.11251
4002.0000,1.00089
4002.0500,0.869209
4002.1000,0.901536
4002.1500,1.02036
4002.2000,1.2071
4002.2500,1.23908
4002.3000,1.14738
4002.3500,1.03065
4002.4000,0.812039
4002.4500,0.691971
4002.5000,0.677192
4002.5500,0.78373
4002.6000,0.814275
4002.6500,0.764181
4002.7000,0.86214
4002.7500,0.942846
4002.8000,0.934772
4002.8500,0.793488
4002.9000,0.629309
4002.9500,0.619837
4003.0000,0.911604
4003.0500,1.06021
4003.1000,1.13476
4003.1500,1.09765
4003.2000,1.13698
4003.2500,1.17954
4003.3000,1.19914
4003.3500,1.26665
4003.4000,1.22021
4003.4500,1.14112
4003.5000,1.04893
4003.5500,1.0393
4003.6000,1.00443
4003.6500,0.968993
4003.7000,0.792654
4003.7500,0.605151
4003.8000,0.542822
4003.8500,0.75178
4003.9000,0.887547
4003.9500,0.835117
4004.0000,0.751207
4004.0500,0.790811
4004.1000,0.924272
4004.1500,1.00603
4004.2000,0.994831
4004.2500,1.10527
4004.3000,1.14295
4004.3500,1.21875
4004.4000,1.24694
4004.4500,1.27149
4004.5000,1.22228
4004.5500,1.03701
4004.6000,0.914889
4004.6500,0.805895
4004.7000,0.741292
4004.7500,0.610366
4004.8000,0.45178
4004.8500,0.30319
4004.9000,0.250904
4004.9500,0.233744
4005.0000,0.235969
4005.0500,0.246519
4005.1000,0.226052
4005.1500,0.179427
4005.2000,0.169301
4005.2500,0.136659
4005.3000,0.132768
4005.3500,0.170113
4005.4000,0.216959
4005.4500,0.270494
4005.5000,0.33313
4005.5500,0.490827
4005.6000,0.469701
4005.6500,0.411096
4005.7000,0.423132
4005.7500,0.562604
4005.8000,0.794326
4005.8500,0.953924
4005.9000,0.940602
4005.9500,0.911354
4006.0000,0.933064
4006.0500,0.904474
4006.1000,0.740258
4006.1500,0.596506
4006.2000,0.584483
4006.2500,0.557366
4006.3000,0.472984
4006.3500,0.547385
4006.4000,0.78513
4006.4500,0.90975
4006.5000,0.892831
4006.5500,0.702056
4006.6000,0.474409
4006.6500,0.360864
4006.7000,0.38648
4006.7500,0.404141
4006.8000,0.534703
4006.8500,0.794981
4006.9000,1.00233
4006.9500,0.920185
4007.0000,0.857063
4007.0500,0.892793
4007.1000,0.990927
4007.1500,0.939577
4007.2000,0.678156
4007.2500,0.459543
4007.3000,0.456033
4007.3500,0.577968
4007.4000,0.697094
4007.4500,0.694286
4007.5000,0.820233
4007.5500,0.924553
4007.6000,1.00685
4007.6500,1.10433
4007.7000,1.15445
4007.7500,1.05937
4007.8000,0.908193
4007.8500,0.775615
4007.9000,0.631167
4007.9500,0.521452
4008.0000,0.497897
4008.0500,0.511247
4008.1000,0.626138
4008.1500,0.703505
4008.2000,0.865003
4008.2500,1.07472
4008.3000,1.18287
4008.3500,1.20852
4008.4000,1.14073
4008.4500,1.13033
4008.5000,1.15939
4008.5500,1.0698
4008.6000,0.878018
4008.6500,0.696707
4008.7000,0.635821
4008.7500,0.620875
4008.8000,0.556545
4008.8500,0.460532
4008.9000,0.346245
4008.9500,0.39606
4009.0000,0.59585
4009.0500,0.707684
4009.1000,0.730185
4009.1500,0.727848
4009.2000,0.897221
4009.2500,1.14555
4009.3000,1.37411
4009.3500,1.40896
4009.4000,1.3722
4009.4500,1.17141
4009.5000,0.855852
4009.5500,0.580035
4009.6000,0.420934
4009.6500,0.276291
4009.7000,0.235394
4009.7500,0.377438
4009.8000,0.691836
4009.8500,0.983441
4009.9000,1.09891
4009.9500,1.13108
4010.0000,1.12237
4010.0500,1.11004
4010.1000,1.03855
4010.1500,0.81023
4010.2000,0.838387
4010.2500,1.04688
4010.3000,1.14049
4010.3500,1.07093
4010.4000,0.993252
4010.4500,0.85744
4010.5000,0.754731
4010.5500,0.646004
4010.6000,0.646267
4010.6500,0.741147
4010.7000,0.751558
4010.7500,0.650336
4010.8000,0.635988
4010.8500,0.71915
4010.9000,0.718247
4010.9500,0.72997
4011.0000,0.755841
4011.0500,0.751974
4011.1000,0.752747
4011.1500,0.926375
4011.2000,1.07321
4011.2500,1.14424
4011.3000,1.03741
4011.3500,0.80932
4011.4000,0.621034
4011.4500,0.626175
4011.5000,0.79722
4011.5500,0.952393
4011.6000,0.966359
4011.6500,0.8361
4011.7000,0.648766
4011.7500,0.67777
4011.8000,0.829399
4011.8500,0.956463
4011.9000,1.02046
4011.9500,1.07012
4012.0000,1.05697
4012.0500,1.04512
4012.1000,0.831876
4012.1500,0.627787
4012.2000,0.454884
4012.2500,0.360651
4012.3000,0.37723
4012.3500,0.293953
4012.4000,0.309225
4012.4500,0.414472
4012.5000,0.568588
4012.5500,0.703723
4012.6000,0.630482
