Longitud_de_onda_A,espectro
4000.0000,1.12465
4000.0500,1.1325
4000.1000,1.10431
4000.1500,1.06242
4000.2000,0.928797
4000.2500,0.745342
4000.3000,0.73248
4000.3500,0.725497
4000.4000,0.587744
4000.4500,0.502623
4000.5000,0.586945
4000.5500,0.779614
4000.6000,0.955927
4000.6500,1.07102
4000.7000,1.12124
4000.7500,1.11682
4000.8000,1.0879
4000.8500,1.08135
4000.9000,1.11401
4000.9500,1.10694
4001.0000,1.10018
4001.0500,1.01892
4001.1000,1.00398
4001.1500,0.965518
4001.2000,0.961456
4001.2500,0.968627
4001.3000,1.00235
4001.3500,1.04529
4001.4000,0.919026
4001.4500,0.77691
4001.5000,0.814486
4001.5500,0.817305
4001.6000,0.734294
4001.6500,0.581657
4001.7000,0.602619
4001.7500,0.803134
4001.8000,0.95133
4001.8500,1.00746
4001.9000,0.958665
4001.9500,0.93769
4002.0000,0.781775
4002.0500,0.575134
4002.1000,0.519645
4002.1500,0.72605
4002.2000,0.913044
4002.2500,1.00902
4002.3000,1.02487
4002.3500,1.01954
4002.4000,0.985852
4002.4500,0.914389
4002.5000,0.735731
4002.5500,0.652103
4002.6000,0.784564
4002.6500,0.927719
4002.7000,1.00319
4002.7500,0.99771
4002.8000,0.970119
4002.8500,0.825978
4002.9000,0.622068
4002.9500,0.58304
4003.0000,0.762198
4003.0500,0.953437
4003.1000,1.04076
4003.1500,1.04154
4003.2000,1.00633
4003.2500,0.933098
4003.3000,0.878197
4003.3500,1.01674
4003.4000,1.08234
4003.4500,1.09334
4003.5000,1.09153
4003.5500,1.0883
4003.6000,1.03023
4003.6500,0.990869
4003.7000,0.853233
4003.7500,0.65507
4003.8000,0.671875
4003.8500,0.853732
4003.9000,0.982896
4003.9500,0.994801
4004.0000,0.919824
4004.0500,0.961401
4004.1000,1.01524
4004.1500,1.00531
4004.2000,1.02412
4004.2500,1.0402
4004.3000,1.07474
4004.3500,1.09721
4004.4000,1.13159
4004.4500,1.14609
4004.5000,1.11537
4004.5500,1.08393
4004.6000,1.017
4004.6500,0.983083
4004.7000,0.9383
4004.7500,0.85394
4004.8000,0.628929
4004.8500,0.453263
4004.9000,0.392634
4004.9500,0.431599
4005.0000,0.503022
4005.0500,0.524647
4005.1000,0.476619
4005.1500,0.377594
4005.2000,0.244565
4005.2500,0.199715
4005.3000,0.263506
4005.3500,0.38931
4005.4000,0.587742
4005.4500,0.722303
4005.5000,0.798436
4005.5500,0.796445
4005.6000,0.664273
4005.6500,0.490382
4005.7000,0.37364
4005.7500,0.447084
4005.8000,0.669121
4005.8500,0.8991
4005.9000,1.06326
4005.9500,1.09127
4006.0000,1.11693
4006.0500,1.0606
4006.1000,0.894237
4006.1500,0.809453
4006.2000,0.845487
4006.2500,0.765319
4006.3000,0.598531
4006.3500,0.621166
4006.4000,0.823016
4006.4500,0.965664
4006.5000,0.947807
4006.5500,0.858912
4006.6000,0.652635
4006.6500,0.552878
4006.7000,0.588274
4006.7500,0.589027
4006.8000,0.732646
4006.8500,0.93665
4006.9000,1.04343
4006.9500,1.10009
4007.0000,1.0823
4007.0500,1.05982
4007.1000,1.04965
4007.1500,1.00151
4007.2000,0.80167
4007.2500,0.587485
4007.3000,0.548869
4007.3500,0.748956
4007.4000,0.866691
4007.4500,0.915
4007.5000,0.977501
4007.5500,0.975754
4007.6000,0.969648
4007.6500,1.01444
4007.7000,1.03582
4007.7500,1.0416
4007.8000,0.975266
4007.8500,0.92141
4007.9000,0.871709
4007.9500,0.862005
4008.0000,0.904421
4008.0500,0.96574
4008.1000,0.927716
