Longitud_de_onda_A,espectro
4000.0000,1.06071
4000.0500,0.994794
4000.1000,1.0348
4000.1500,1.00669
4000.2000,0.814266
4000.2500,0.692816
4000.3000,0.734465
4000.3500,0.796181
4000.4000,0.75803
4000.4500,0.606201
4000.5000,0.70106
4000.5500,0.893129
4000.6000,1.02865
4000.6500,1.02569
4000.7000,1.01821
4000.7500,0.989271
4000.8000,1.01966
4000.8500,1.00515
4000.9000,1.00096
4000.9500,0.984471
4001.0000,0.951998
4001.0500,0.849103
4001.1000,0.739941
4001.1500,0.632249
4001.2000,0.706148
4001.2500,0.803802
4001.3000,0.93483
4001.3500,0.941978
4001.4000,0.809516
4001.4500,0.732258
4001.5000,0.841291
4001.5500,0.872774
4001.6000,0.80271
4001.6500,0.510674
4001.7000,0.555084
4001.7500,0.816185
4001.8000,0.984012
4001.8500,1.02386
4001.9000,1.03328
4001.9500,1.07831
4002.0000,1.01253
4002.0500,0.871686
4002.1000,0.839865
4002.1500,0.948874
4002.2000,1.0324
4002.2500,1.07936
4002.3000,1.08478
4002.3500,0.992133
4002.4000,0.963884
4002.4500,0.917405
4002.5000,0.862138
4002.5500,0.916597
4002.6000,0.960195
4002.6500,0.904867
4002.7000,0.899119
4002.7500,0.970387
4002.8000,0.983437
4002.8500,0.901406
4002.9000,0.740828
4002.9500,0.753134
4003.0000,0.922474
4003.0500,1.06584
4003.1000,1.05356
4003.1500,1.07473
4003.2000,1.04444
4003.2500,1.00902
4003.3000,1.01875
4003.3500,1.04427
4003.4000,1.02974
4003.4500,1.01576
4003.5000,1.03752
4003.5500,0.979381
4003.6000,1.02477
4003.6500,0.996675
4003.7000,0.848912
4003.7500,0.647015
4003.8000,0.683353
4003.8500,0.866832
4003.9000,0.990827
4003.9500,1.02349
4004.0000,1.02311
4004.0500,1.04319
4004.1000,0.993081
4004.1500,0.991905
4004.2000,0.963805
4004.2500,0.987702
4004.3000,1.0167
4004.3500,1.0024
4004.4000,0.999167
4004.4500,1.0331
4004.5000,1.02426
4004.5500,0.998814
4004.6000,0.948303
4004.6500,0.965537
4004.7000,0.938617
4004.7500,0.826393
4004.8000,0.631525
4004.8500,0.417039
4004.9000,0.355166
4004.9500,0.402824
4005.0000,0.445089
4005.0500,0.495363
4005.1000,0.528944
4005.1500,0.399465
4005.2000,0.276204
4005.2500,0.211168
4005.3000,0.251015
4005.3500,0.381287
4005.4000,0.409114
4005.4500,0.56518
4005.5000,0.716071
4005.5500,0.866323
4005.6000,0.847504
4005.6500,0.676373
4005.7000,0.564127
4005.7500,0.66159
4005.8000,0.867528
4005.8500,0.97544
4005.9000,1.00866
4005.9500,0.976334
4006.0000,1.01932
4006.0500,0.984314
4006.1000,0.853375
4006.1500,0.766166
4006.2000,0.844331
4006.2500,0.724485
4006.3000,0.57867
4006.3500,0.640941
4006.4000,0.885511
4006.4500,0.978686
4006.5000,0.959925
4006.5500,0.837254
4006.6000,0.615773
4006.6500,0.558156
4006.7000,0.574041
4006.7500,0.530444
4006.8000,0.557845
4006.8500,0.703906
4006.9000,0.81764
4006.9500,0.832593
4007.0000,0.787014
4007.0500,0.855612
4007.1000,0.961459
4007.1500,0.988262
4007.2000,0.804006
4007.2500,0.548744
4007.3000,0.546314
4007.3500,0.78588
4007.4000,0.963994
4007.4500,0.981709
4007.5000,0.983078
4007.5500,1.02965
4007.6000,1.05375
4007.6500,1.07965
4007.7000,1.0485
4007.7500,1.01318
4007.8000,0.978656
4007.8500,0.905711
4007.9000,0.830075
4007.9500,0.800136
4008.0000,0.888944
4008.0500,0.923012
4008.1000,0.928924
4008.1500,0.925999
4008.2000,0.969567
4008.2500,1.01396
4008.3000,1.06919
4008.3500,1.02767
4008.4000,1.03756
4008.4500,1.05417
4008.5000,1.06041
4008.5500,1.03209
4008.6000,0.988404
4008.6500,1.00576
4008.7000,1.00838
4008.7500,0.97497
4008.8000,0.836086
4008.8500,0.686336
4008.9000,0.563715
4008.9500,0.627773
4009.0000,0.860659
4009.0500,0.957546
4009.1000,0.85602
4009.1500,0.806251
4009.2000,0.880142
4009.2500,1.02849
4009.3000,1.02763
4009.3500,1.05793
4009.4000,1.06509
4009.4500,1.05713
4009.5000,0.972309
4009.5500,0.830088
4009.6000,0.802583
4009.6500,0.600195
4009.7000,0.425206
4009.7500,0.488433
4009.8000,0.793514
4009.8500,0.956614
4009.9000,1.00283
4009.9500,0.97258
4010.0000,0.992973
4010.0500,1.02894
4010.1000,0.991281
4010.1500,0.936397
4010.2000,0.910626
4010.2500,0.968366
4010.3000,1.01862
4010.3500,1.01324
4010.4000,1.00829
4010.4500,1.02141
4010.5000,0.923302
4010.5500,0.763006
4010.6000,0.716959
4010.6500,0.813242
4010.7000,0.869772
4010.7500,0.844482
4010.8000,0.855674
4010.8500,0.907757
4010.9000,0.839287
4010.9500,0.816477
4011.0000,0.951048
4011.0500,1.01557
4011.1000,1.0215
4011.1500,1.0902
4011.2000,1.06678
4011.2500,1.06577
4011.3000,1.04199
4011.3500,0.937421
4011.4000,0.7922
4011.4500,0.834504
4011.5000,0.983304
4011.5500,1.03187
4011.6000,1.06706
4011.6500,0.901331
4011.7000,0.81654
4011.7500,0.839166
4011.8000,0.955995
4011.8500,1.00186
4011.9000,1.05017
4011.9500,1.03555
4012.0000,1.01417
4012.0500,1.05365
4012.1000,0.97562
4012.1500,0.914886
4012.2000,0.833019
4012.2500,0.789403
4012.3000,0.685785
4012.3500,0.52963
4012.4000,0.463233
4012.4500,0.607466
4012.5000,0.800604
4012.5500,0.946311
4012.6000,0.965192
4012.6500,0.943279
4012.7000,0.983982
4012.7500,1.02673
4012.8000,1.06761
4012.8500,1.02159
4012.9000,1.08459
4012.9500,1.04883
4013.0000,1.08607
4013.0500,1.0576
4013.1000,1.03303
4013.1500,1.02178
4013.2000,1.04121
4013.2500,1.08541
4013.3000,1.04342
4013.3500,1.09117
4013.4000,1.0682
4013.4500,1.03532
4013.5000,1.01422
4013.5500,0.885643
4013.6000,0.712061
4013.6500,0.67523
4013.7000,0.723272
4013.7500,0.635729
4013.8000,0.511358
4013.8500,0.554513
4013.9000,0.755029
4013.9500,0.895535
4014.0000,0.989767
4014.0500,1.06281
4014.1000,1.04594
4014.1500,1.01589
4014.2000,0.969567
4014.2500,0.822355
4014.3000,0.878149
4014.3500,0.963169
4014.4000,0.880256
4014.4500,0.69953
4014.5000,0.446604
4014.5500,0.473503
4014.6000,0.699389
4014.6500,0.912573
4014.7000,0.964167
4014.7500,0.989215
4014.8000,1.03801
4014.8500,0.993823
4014.9000,0.934867
4014.9500,0.940895
4015.0000,0.976489
4015.0500,1.04596
4015.1000,1.04846
4015.1500,0.997781
4015.2000,0.995312
4015.2500,1.06223
4015.3000,1.04818
4015.3500,0.995412
4015.4000,0.946766
4015.4500,0.889991
4015.5000,0.836757
4015.5500,0.724786
4015.6000,0.610881
4015.6500,0.736223
4015.7000,0.871952
4015.7500,0.993603
4015.8000,1.06557
4015.8500,1.05968
4015.9000,0.987552
4015.9500,0.960432
4016.0000,1.01287
4016.0500,1.0152
4016.1000,1.05108
4016.1500,1.01645
4016.2000,1.01522
4016.2500,0.994893
4016.3000,0.948001
4016.3500,0.837336
4016.4000,0.686829
4016.4500,0.73567
4016.5000,0.880455
4016.5500,1.00869
4016.6000,0.969679
4016.6500,0.98629
4016.7000,0.975257
4016.7500,0.966225
4016.8000,0.919463
4016.8500,0.939911
4016.9000,0.945596
4016.9500,0.934401
4017.0000,0.848106
4017.0500,0.636941
4017.1000,0.445197
4017.1500,0.404515
4017.2000,0.603054
4017.2500,0.813616
4017.3000,0.900078
4017.3500,0.898323
4017.4000,0.776703
4017.4500,0.642947
4017.5000,0.590945
4017.5500,0.659629
4017.6000,0.774578
4017.6500,0.900739
4017.7000,0.94798
4017.7500,0.939348
4017.8000,0.940702
4017.8500,0.939169
4017.9000,0.944308
4017.9500,0.920551
4018.0000,0.794205
4018.0500,0.556532
4018.1000,0.386355
4018.1500,0.51841
4018.2000,0.592691
4018.2500,0.553516
4018.3000,0.613755
4018.3500,0.813925
4018.4000,0.929304
4018.4500,0.96586
4018.5000,0.98848
4018.5500,1.01265
4018.6000,1.0683
4018.6500,1.03593
4018.7000,1.05563
4018.7500,1.02057
4018.8000,1.00185
