Longitud_de_onda_A,espectro
4000.0000,1.00038
4000.0500,0.996351
4000.1000,1.00266
4000.1500,1.00013
4000.2000,0.994579
4000.2500,0.996436
4000.3000,0.989628
4000.3500,0.99429
4000.4000,0.999726
4000.4500,0.997121
4000.5000,0.991786
4000.5500,1.01252
4000.6000,0.989243
4000.6500,0.997106
4000.7000,1.01191
4000.7500,0.996178
4000.8000,1.00177
4000.8500,1.00646
4000.9000,1.0095
4000.9500,1.00118
4001.0000,1.00311
4001.0500,1.00752
4001.1000,1.00446
4001.1500,0.99519
4001.2000,0.993994
4001.2500,0.997643
4001.3000,0.990081
4001.3500,0.989599
4001.4000,0.998262
4001.4500,1.00218
4001.5000,0.997545
4001.5500,1.00585
4001.6000,1.00984
4001.6500,1.00883
4001.7000,1.003
4001.7500,0.999283
4001.8000,1.00199
4001.8500,0.99171
4001.9000,1.00224
4001.9500,0.993101
4002.0000,1.00065
4002.0500,1.00708
4002.1000,1.00806
4002.1500,1.00121
4002.2000,0.991237
4002.2500,1.00127
4002.3000,1.01652
4002.3500,1.00273
4002.4000,1.00598
4002.4500,0.995276
4002.5000,1.00603
4002.5500,1.00733
4002.6000,0.998612
4002.6500,1.00333
4002.7000,1.00227
4002.7500,1.0089
4002.8000,1.01394
4002.8500,1.00905
4002.9000,1.01476
4002.9500,1.00107
4003.0000,1.00766
4003.0500,1.00555
4003.1000,1.00536
4003.1500,1.00784
4003.2000,1.01007
4003.2500,0.997338
4003.3000,1.00333
4003.3500,0.999356
4003.4000,1.00668
4003.4500,1.00964
4003.5000,1.00696
4003.5500,1.00443
4003.6000,1.00493
4003.6500,1.01493
4003.7000,0.999715
4003.7500,1.01316
4003.8000,1.00548
4003.8500,1.00912
4003.9000,1.00835
4003.9500,1.01054
4004.0000,1.01473
4004.0500,1.02408
4004.1000,0.994957
4004.1500,0.999155
4004.2000,1.01182
4004.2500,1.00325
4004.3000,1.00919
4004.3500,1.00701
4004.4000,1.01956
4004.4500,1.01534
4004.5000,1.00931
4004.5500,1.00655
4004.6000,1.0073
4004.6500,1.00872
4004.7000,1.01094
4004.7500,1.01869
4004.8000,1.00693
4004.8500,1.0037
4004.9000,0.999507
4004.9500,0.996049
4005.0000,1.00059
4005.0500,1.00536
4005.1000,1.00077
4005.1500,1.00881
4005.2000,1.0036
4005.2500,1.00981
4005.3000,1.00031
4005.3500,1.00361
4005.4000,1.0024
4005.4500,1.01086
4005.5000,0.999747
4005.5500,1.00854
4005.6000,1.00094
4005.6500,0.995498
4005.7000,1.01329
4005.7500,1.01494
4005.8000,1.00315
4005.8500,0.987073
4005.9000,0.994825
4005.9500,0.996355
4006.0000,0.993142
4006.0500,0.999135
4006.1000,1.00443
4006.1500,0.998159
4006.2000,1.00524
4006.2500,1.00181
4006.3000,0.993088
4006.3500,0.996169
4006.4000,0.984434
4006.4500,1.00451
4006.5000,0.994567
4006.5500,1.00364
4006.6000,0.998723
4006.6500,0.997046
4006.7000,0.992093
4006.7500,0.991892
4006.8000,0.996979
4006.8500,0.982445
4006.9000,0.991731
4006.9500,0.979733
4007.0000,0.985023
4007.0500,0.98883
4007.1000,0.993153
4007.1500,0.996439
4007.2000,0.986396
4007.2500,0.97842
4007.3000,0.990099
4007.3500,0.998005
4007.4000,1.00493
4007.4500,0.990543
4007.5000,0.989335
4007.5500,0.980532
4007.6000,0.993743
4007.6500,0.994158
4007.7000,0.981857
4007.7500,0.988068
4007.8000,0.991813
4007.8500,0.978314
4007.9000,0.974153
4007.9500,0.99374
4008.0000,0.988
4008.0500,0.975272
4008.1000,0.974469
4008.1500,0.968926
4008.2000,0.986664
4008.2500,0.979316
4008.3000,0.984148
4008.3500,0.986627
4008.4000,0.978193
4008.4500,0.972751
4008.5000,0.971854
4008.5500,0.979356
4008.6000,0.981001
4008.6500,0.972364
4008.7000,0.975332
4008.7500,0.963866
4008.8000,0.97217
4008.8500,0.979073
4008.9000,0.974818
4008.9500,0.986126
4009.0000,0.970782
4009.0500,0.96952
4009.1000,0.983901
4009.1500,0.981327
4009.2000,0.990152
4009.2500,0.976904
4009.3000,0.979178
4009.3500,0.994068
4009.4000,0.992772
4009.4500,0.982417
4009.5000,0.979228
4009.5500,0.986345
4009.6000,0.984605
4009.6500,0.992113
4009.7000,0.986937
4009.7500,0.977358
4009.8000,0.975877
4009.8500,0.98749
4009.9000,0.991629
4009.9500,0.992149
4010.0000,0.977281
4010.0500,0.999971
4010.1000,0.995718
4010.1500,0.989973
4010.2000,0.987083
4010.2500,0.990424
4010.3000,0.99655
4010.3500,0.987672
4010.4000,0.98179
4010.4500,0.986874
4010.5000,0.988368
4010.5500,0.996568
4010.6000,0.996696
4010.6500,0.993237
4010.7000,0.992215
4010.7500,0.996238
4010.8000,0.998556
4010.8500,0.984673
4010.9000,0.990337
4010.9500,0.990068
4011.0000,1.00226
4011.0500,0.992908
4011.1000,0.992546
4011.1500,0.980433
4011.2000,0.99767
4011.2500,1.00068
4011.3000,0.998678
4011.3500,1.00394
4011.4000,0.996627
4011.4500,1.0133
4011.5000,0.991526
4011.5500,0.988553
4011.6000,1.00244
4011.6500,1.00988
4011.7000,1.0029
4011.7500,1.00665
4011.8000,1.00082
4011.8500,1.00591
4011.9000,1.00713
4011.9500,1.01031
4012.0000,0.999822
4012.0500,0.995667
4012.1000,1.00378
4012.1500,1.00179
4012.2000,0.998457
4012.2500,0.991066
4012.3000,1.01935
4012.3500,1.01026
4012.4000,0.999134
4012.4500,0.989433
4012.5000,0.999172
4012.5500,0.998815
4012.6000,1.00496
4012.6500,1.0036
4012.7000,1.00112
4012.7500,1.00948
4012.8000,1.00403
4012.8500,1.01151
4012.9000,1.0122
4012.9500,1.00715
4013.0000,1.00454
4013.0500,1.0074
4013.1000,1.00173
4013.1500,1.00188
4013.2000,1.02012
4013.2500,1.01134
4013.3000,1.01616
4013.3500,1.02273
4013.4000,1.01641
4013.4500,1.01483
4013.5000,1.00793
4013.5500,1.01362
4013.6000,1.0056
4013.6500,1.00586
4013.7000,1.00515
4013.7500,1.01222
4013.8000,1.00283
4013.8500,1.00252
4013.9000,0.999457
4013.9500,1.00724
4014.0000,1.00583
4014.0500,1.02045
4014.1000,1.02036
4014.1500,1.01362
4014.2000,1.00619
4014.2500,1.00928
4014.3000,1.01544
4014.3500,1.03131
4014.4000,1.01555
4014.4500,1.00993
4014.5000,1.01985
4014.5500,1.01903
4014.6000,1.02385
4014.6500,1.01634
4014.7000,1.02128
4014.7500,1.00567
4014.8000,1.01925
4014.8500,1.01476
4014.9000,1.01393
4014.9500,1.01612
4015.0000,1.02267
4015.0500,1.01712
4015.1000,1.01711
4015.1500,1.02215
4015.2000,1.00831
4015.2500,1.01723
4015.3000,1.00799
4015.3500,1.00155
4015.4000,1.00263
4015.4500,1.00289
4015.5000,1.0031
4015.5500,0.993039
4015.6000,1.0132
4015.6500,1.00555
4015.7000,1.00421
4015.7500,1.00741
4015.8000,1.0115
4015.8500,1.00024
4015.9000,1.00646
4015.9500,1.00309
4016.0000,1.00479
4016.0500,1.01421
4016.1000,1.01262
4016.1500,0.991182
4016.2000,1.00923
4016.2500,1.00886
4016.3000,0.997098
4016.3500,0.98767
4016.4000,0.990261
4016.4500,1.00227
4016.5000,0.992998
4016.5500,0.990516
4016.6000,0.999108
4016.6500,1.00744
4016.7000,0.99435
4016.7500,1.0055
4016.8000,0.995661
4016.8500,1.00216
4016.9000,0.994717
4016.9500,0.996327
4017.0000,0.98275
4017.0500,0.989938
4017.1000,1.00089
4017.1500,0.995717
4017.2000,0.998599
4017.2500,0.998047
4017.3000,0.986491
4017.3500,0.990882
4017.4000,0.992279
4017.4500,0.997819
4017.5000,1.00945
4017.5500,0.991006
4017.6000,0.991694
4017.6500,1.00026
4017.7000,0.999349
4017.7500,0.995123
4017.8000,0.990682
4017.8500,0.99292
4017.9000,0.985884
4017.9500,0.985593
4018.0000,0.988169
4018.0500,0.995624
4018.1000,0.988404
4018.1500,0.992279
4018.2000,0.987781
4018.2500,0.995892
4018.3000,0.997387
4018.3500,0.98435
4018.4000,0.978605
4018.4500,0.979759
4018.5000,0.984778
4018.5500,0.977202
4018.6000,0.979998
4018.6500,0.989463
4018.7000,0.994448
4018.7500,0.984972
4018.8000,0.995311
4018.8500,0.986015
4018.9000,0.992703
4018.9500,0.995413
4019.0000,0.989376
4019.0500,0.973931
4019.1000,0.984438
4019.1500,0.973304
4019.2000,0.981305
4019.2500,0.986411
4019.3000,0.982399
4019.3500,0.986926
4019.4000,0.985781
4019.4500,0.976093
4019.5000,0.977438
4019.5500,0.967188
4019.6000,0.992658
4019.6500,0.982954
4019.7000,0.981175
4019.7500,0.996531
4019.8000,0.985961
4019.8500,0.983246
4019.9000,0.983446
4019.9500,0.987695
4020.0000,0.992053
4020.0500,0.969051
4020.1000,0.971265
4020.1500,0.97075
4020.2000,0.979304
4020.2500,0.985721
4020.3000,0.978504
4020.3500,0.974709
4020.4000,0.969664
4020.4500,0.980269
4020.5000,0.979172
4020.5500,0.979289
4020.6000,0.979417
4020.6500,0.978526
4020.7000,0.973034
4020.7500,0.971451
4020.8000,0.975258
4020.8500,0.976348
4020.9000,0.958048
4020.9500,0.956851
4021.0000,0.971302
4021.0500,0.989726
4021.1000,0.984251
4021.1500,0.98414
4021.2000,0.986275
4021.2500,0.975953
4021.3000,0.975512
4021.3500,0.967074
4021.4000,0.975053
4021.4500,0.961066
4021.5000,0.974061
4021.5500,0.972258
4021.6000,0.975809
4021.6500,0.97553
4021.7000,0.963738
4021.7500,0.967161
4021.8000,0.965028
4021.8500,0.966683
4021.9000,0.959071
4021.9500,0.963803
4022.0000,0.957652
4022.0500,0.960759
4022.1000,0.970489
4022.1500,0.9642
4022.2000,0.961604
4022.2500,0.952056
4022.3000,0.972734
4022.3500,0.968003
4022.4000,0.962999
4022.4500,0.953254
4022.5000,0.953413
4022.5500,0.962654
4022.6000,0.949455
4022.6500,0.958423
4022.7000,0.948121
4022.7500,0.966523
4022.8000,0.951154
4022.8500,0.957792
4022.9000,0.951402
4022.9500,0.95333
4023.0000,0.954955
4023.0500,0.952561
4023.1000,0.943843
4023.1500,0.951438
4023.2000,0.945452
4023.2500,0.944868
4023.3000,0.946334
4023.3500,0.93577
4023.4000,0.93551
