Longitud_de_onda_A,espectro
4000.0000,1.01043
4000.0500,1.01081
4000.1000,1.03033
4000.1500,1.00395
4000.2000,1.01539
4000.2500,1.02255
4000.3000,1.02263
4000.3500,1.02298
4000.4000,1.05516
4000.4500,0.998774
4000.5000,1.02617
4000.5500,1.0171
4000.6000,1.01195
4000.6500,1.00137
4000.7000,0.996639
4000.7500,1.02028
4000.8000,0.984062
4000.8500,0.997254
4000.9000,0.986831
4000.9500,0.993181
4001.0000,0.991683
4001.0500,1.00786
4001.1000,1.01542
4001.1500,1.0024
4001.2000,0.959805
4001.2500,1.00907
4001.3000,1.03114
4001.3500,1.00315
4001.4000,1.00042
4001.4500,1.01415
4001.5000,0.973874
4001.5500,0.986489
4001.6000,1.01531
4001.6500,0.979469
4001.7000,0.965066
4001.7500,0.973417
4001.8000,0.980258
4001.8500,0.972244
4001.9000,1.0007
4001.9500,0.973532
4002.0000,0.983661
4002.0500,0.961454
4002.1000,0.950431
4002.1500,0.970645
4002.2000,0.962396
4002.2500,0.951261
4002.3000,0.986767
4002.3500,0.984477
4002.4000,0.977143
4002.4500,0.95869
4002.5000,0.959211
4002.5500,0.968035
4002.6000,0.960862
4002.6500,0.983959
4002.7000,0.966226
4002.7500,0.99071
4002.8000,0.983715
4002.8500,0.987764
4002.9000,0.970717
4002.9500,0.998505
4003.0000,0.967237
4003.0500,1.01621
4003.1000,1.00057
4003.1500,0.987745
4003.2000,0.985464
4003.2500,1.00445
4003.3000,1.00015
4003.3500,1.00611
4003.4000,0.997843
4003.4500,0.983697
4003.5000,0.989922
4003.5500,1.01673
4003.6000,0.990019
4003.6500,1.00785
4003.7000,1.01388
4003.7500,1.02065
4003.8000,1.0129
4003.8500,1.02293
4003.9000,1.03284
4003.9500,1.03635
4004.0000,1.01507
4004.0500,0.985646
4004.1000,1.00827
4004.1500,1.00001
4004.2000,0.983203
4004.2500,0.988535
4004.3000,0.991627
4004.3500,0.961706
4004.4000,0.966238
4004.4500,0.96955
4004.5000,0.972157
4004.5500,0.94257
4004.6000,0.936142
4004.6500,0.904498
4004.7000,0.906632
4004.7500,0.897298
4004.8000,0.879605
4004.8500,0.873977
4004.9000,0.888113
4004.9500,0.871496
4005.0000,0.879372
4005.0500,0.884451
4005.1000,0.848545
4005.1500,0.857954
4005.2000,0.84275
4005.2500,0.838974
4005.3000,0.846242
4005.3500,0.868237
4005.4000,0.88551
4005.4500,0.857656
4005.5000,0.858523
4005.5500,0.879094
4005.6000,0.89041
4005.6500,0.896859
4005.7000,0.878641
