Longitud_de_onda_A,espectro
4000.0000,1.28596
4000.0500,1.24025
4000.1000,1.31313
4000.1500,1.28071
4000.2000,1.1123
4000.2500,0.897828
4000.3000,0.947439
4000.3500,0.835351
4000.4000,0.777659
4000.4500,0.671207
4000.5000,0.795825
4000.5500,0.9791
4000.6000,1.06343
4000.6500,0.993321
4000.7000,1.02537
4000.7500,0.990607
4000.8000,0.886976
4000.8500,0.796275
4000.9000,0.887608
4000.9500,1.08029
4001.0000,1.1361
4001.0500,1.00239
4001.1000,0.927413
4001.1500,0.784056
4001.2000,0.854036
4001.2500,0.917715
4001.3000,1.05005
4001.3500,1.09829
4001.4000,0.959809
4001.4500,0.760955
4001.5000,0.817677
4001.5500,0.75353
4001.6000,0.588677
4001.6500,0.459352
4001.7000,0.69781
4001.7500,0.914653
4001.8000,0.963808
4001.8500,1.04073
4001.9000,1.10183
4001.9500,1.06381
4002.0000,0.847692
4002.0500,0.704207
4002.1000,0.628926
4002.1500,0.923611
4002.2000,1.14568
4002.2500,1.31283
4002.3000,1.28935
4002.3500,1.15241
4002.4000,0.919899
4002.4500,0.7928
4002.5000,0.762837
4002.5500,1.01584
4002.6000,1.0106
4002.6500,1.07209
4002.7000,1.06407
4002.7500,1.01704
4002.8000,1.0121
4002.8500,0.81702
4002.9000,0.745728
4002.9500,0.762789
4003.0000,0.912439
4003.0500,1.07798
4003.1000,1.14975
4003.1500,1.1737
4003.2000,1.16872
4003.2500,1.10493
4003.3000,1.00711
4003.3500,1.05137
4003.4000,1.11654
4003.4500,1.26655
4003.5000,1.31238
4003.5500,1.20689
4003.6000,1.1652
4003.6500,1.21288
4003.7000,1.02071
4003.7500,0.909858
4003.8000,0.843953
4003.8500,0.987434
4003.9000,1.14865
4003.9500,1.05641
4004.0000,0.96361
4004.0500,0.98192
4004.1000,1.03397
4004.1500,0.913286
4004.2000,0.929616
4004.2500,1.14074
4004.3000,1.14782
4004.3500,1.0954
4004.4000,1.11559
4004.4500,1.19628
4004.5000,1.22633
4004.5500,1.18614
4004.6000,1.01792
4004.6500,0.996957
4004.7000,1.0662
4004.7500,0.986949
4004.8000,0.819533
4004.8500,0.635868
4004.9000,0.618891
4004.9500,0.583411
4005.0000,0.516707
4005.0500,0.554215
4005.1000,0.550628
4005.1500,0.489755
