Longitud_de_onda_A,espectro
4000.0000,1.03743
4000.0500,1.02239
4000.1000,1.03495
4000.1500,1.01723
4000.2000,0.870169
4000.2500,0.691306
4000.3000,0.802143
4000.3500,0.876747
4000.4000,0.786671
4000.4500,0.611845
4000.5000,0.73779
4000.5500,0.926262
4000.6000,1.0102
4000.6500,1.02639
4000.7000,1.01624
4000.7500,1.00288
4000.8000,0.988641
4000.8500,0.981452
4000.9000,0.973271
4000.9500,0.940812
4001.0000,0.889506
4001.0500,0.763306
4001.1000,0.628831
4001.1500,0.553263
4001.2000,0.599953
4001.2500,0.745021
4001.3000,0.845767
4001.3500,0.908701
4001.4000,0.856076
4001.4500,0.81989
4001.5000,0.90636
4001.5500,0.948157
4001.6000,0.796551
4001.6500,0.563625
4001.7000,0.597448
4001.7500,0.86104
4001.8000,0.99238
4001.8500,1.0396
4001.9000,1.02619
4001.9500,1.03591
4002.0000,1.01741
4002.0500,1.00009
4002.1000,0.988863
4002.1500,1.0145
4002.2000,1.03258
4002.2500,1.06224
4002.3000,1.03575
4002.3500,1.01417
4002.4000,0.999386
4002.4500,0.944171
4002.5000,0.924779
4002.5500,0.976225
4002.6000,0.980682
4002.6500,0.942079
4002.7000,0.960128
4002.7500,1.01224
4002.8000,1.02603
4002.8500,0.97307
4002.9000,0.841378
4002.9500,0.844139
4003.0000,0.95812
4003.0500,1.04958
4003.1000,1.07749
4003.1500,1.05883
4003.2000,1.05438
4003.2500,1.05359
4003.3000,1.06901
4003.3500,1.05802
4003.4000,1.04812
4003.4500,1.05732
4003.5000,1.03314
4003.5500,1.01896
4003.6000,1.02304
4003.6500,1.02694
4003.7000,0.886906
4003.7500,0.69081
4003.8000,0.70264
4003.8500,0.89908
4003.9000,0.994676
4003.9500,1.01888
4004.0000,1.01951
4004.0500,1.0353
4004.1000,1.01471
4004.1500,1.00428
4004.2000,1.00897
4004.2500,1.02297
4004.3000,1.02819
4004.3500,1.0246
4004.4000,1.03081
4004.4500,1.03312
4004.5000,1.01097
4004.5500,0.998671
4004.6000,0.986443
4004.6500,0.975237
4004.7000,0.956678
4004.7500,0.890273
4004.8000,0.645787
4004.8500,0.463846
4004.9000,0.409085
4004.9500,0.445564
4005.0000,0.47312
4005.0500,0.473628
4005.1000,0.427283
4005.1500,0.356794
4005.2000,0.243965
4005.2500,0.181356
4005.3000,0.234146
4005.3500,0.344729
4005.4000,0.434377
4005.4500,0.534698
4005.5000,0.653931
4005.5500,0.797921
4005.6000,0.856404
4005.6500,0.756834
4005.7000,0.631118
4005.7500,0.730651
4005.8000,0.922694
4005.8500,0.977211
4005.9000,0.953579
4005.9500,0.923224
4006.0000,0.948921
4006.0500,0.975463
4006.1000,0.902786
4006.1500,0.840256
4006.2000,0.867779
4006.2500,0.786453
4006.3000,0.599197
4006.3500,0.667014
4006.4000,0.892956
