Longitud_de_onda_A,espectro
4000.0000,0.799269
4000.0500,0.842708
4000.1000,0.924657
4000.1500,0.842936
4000.2000,0.794105
4000.2500,0.750763
4000.3000,0.759568
4000.3500,0.702205
4000.4000,0.529715
4000.4500,0.435515
4000.5000,0.254298
4000.5500,0.577709
4000.6000,0.953012
4000.6500,1.08652
4000.7000,1.20498
4000.7500,1.1587
4000.8000,1.19679
4000.8500,1.19636
4000.9000,1.18127
4000.9500,1.01288
4001.0000,0.977604
4001.0500,0.737045
4001.1000,0.714131
4001.1500,0.733326
4001.2000,0.703132
4001.2500,0.892611
4001.3000,0.916032
4001.3500,1.03314
4001.4000,0.871019
4001.4500,0.811098
4001.5000,0.862299
4001.5500,0.833307
4001.6000,0.552575
4001.6500,0.423469
4001.7000,0.523389
4001.7500,0.743579
4001.8000,1.08161
4001.8500,1.22838
4001.9000,1.22884
4001.9500,1.23069
4002.0000,1.09379
4002.0500,1.11138
4002.1000,1.18812
4002.1500,1.12426
4002.2000,1.21003
4002.2500,1.25667
4002.3000,1.22412
4002.3500,1.23207
4002.4000,0.815183
4002.4500,0.722411
4002.5000,0.527177
4002.5500,0.723112
4002.6000,0.703691
4002.6500,0.772719
4002.7000,0.838709
4002.7500,1.0168
4002.8000,0.963505
4002.8500,0.897067
4002.9000,0.629156
4002.9500,0.767438
4003.0000,0.942852
4003.0500,0.970363
4003.1000,0.908164
4003.1500,1.00876
4003.2000,1.00669
4003.2500,1.13994
4003.3000,1.1365
4003.3500,1.13279
4003.4000,1.17877
4003.4500,1.05707
4003.5000,1.01079
4003.5500,0.915755
4003.6000,0.977909
4003.6500,1.00372
4003.7000,0.905417
4003.7500,0.597936
4003.8000,0.579917
4003.8500,0.738662
4003.9000,0.901764
4003.9500,0.93934
4004.0000,0.678512
4004.0500,0.793265
4004.1000,0.907321
4004.1500,1.07542
4004.2000,1.03001
4004.2500,1.0435
4004.3000,1.13487
4004.3500,1.11688
4004.4000,1.03803
4004.4500,1.10661
4004.5000,1.03234
4004.5500,1.02855
4004.6000,0.884568
4004.6500,0.806367
4004.7000,0.766067
4004.7500,0.561009
4004.8000,0.514783
4004.8500,0.424395
4004.9000,0.450312
4004.9500,0.344105
4005.0000,0.378977
4005.0500,0.418362
4005.1000,0.332372
4005.1500,0.187306
4005.2000,0.215327
4005.2500,0.247399
4005.3000,0.263513
