Longitud_de_onda_A,espectro
4000.0000,0.799567
4000.0500,0.851771
4000.1000,0.922792
4000.1500,0.847961
4000.2000,0.790657
4000.2500,0.75269
4000.3000,0.763095
4000.3500,0.705435
4000.4000,0.528285
4000.4500,0.435231
4000.5000,0.249726
4000.5500,0.578684
4000.6000,0.9592
4000.6500,1.08732
4000.7000,1.20537
4000.7500,1.15844
4000.8000,1.19811
4000.8500,1.19415
4000.9000,1.18029
4000.9500,1.01384
4001.0000,0.984028
4001.0500,0.731869
4001.1000,0.716011
4001.1500,0.736625
4001.2000,0.706302
4001.2500,0.888406
4001.3000,0.914692
4001.3500,1.03594
4001.4000,0.871864
4001.4500,0.816169
4001.5000,0.85945
4001.5500,0.831137
4001.6000,0.553918
4001.6500,0.418439
4001.7000,0.518512
4001.7500,0.742902
4001.8000,1.08223
4001.8500,1.22673
4001.9000,1.23169
4001.9500,1.22806
4002.0000,1.09713
4002.0500,1.11835
4002.1000,1.19092
4002.1500,1.13412
4002.2000,1.20365
4002.2500,1.26002
4002.3000,1.23277
4002.3500,1.23459
4002.4000,0.818083
4002.4500,0.720171
4002.5000,0.532564
4002.5500,0.725743
4002.6000,0.70178
4002.6500,0.776283
4002.7000,0.835542
4002.7500,1.01212
4002.8000,0.970143
4002.8500,0.897729
4002.9000,0.628337
4002.9500,0.76569
4003.0000,0.941479
4003.0500,0.967789
4003.1000,0.911425
4003.1500,1.00646
4003.2000,1.00467
4003.2500,1.13576
4003.3000,1.12923
4003.3500,1.12478
4003.4000,1.185
4003.4500,1.05505
4003.5000,1.00761
4003.5500,0.914309
4003.6000,0.976655
4003.6500,1.00409
4003.7000,0.903065
4003.7500,0.596315
4003.8000,0.580651
4003.8500,0.742061
4003.9000,0.904301
4003.9500,0.931622
4004.0000,0.67615
4004.0500,0.80121
4004.1000,0.904202
4004.1500,1.07066
4004.2000,1.03013
4004.2500,1.03892
4004.3000,1.13617
4004.3500,1.12262
4004.4000,1.03683
4004.4500,1.10631
4004.5000,1.03185
4004.5500,1.02468
4004.6000,0.886264
4004.6500,0.809103
4004.7000,0.761286
4004.7500,0.556548
4004.8000,0.509869
4004.8500,0.416331
4004.9000,0.447144
4004.9500,0.334307
4005.0000,0.38269
4005.0500,0.417419
4005.1000,0.322605
4005.1500,0.188986
4005.2000,0.215935
4005.2500,0.251159
4005.3000,0.266221
4005.3500,0.29767
4005.4000,0.340526
4005.4500,0.411053
4005.5000,0.42294
4005.5500,0.527563
4005.6000,0.466102
4005.6500,0.393203
4005.7000,0.57875
4005.7500,0.687965
4005.8000,0.871732
4005.8500,0.799674
4005.9000,0.820583
4005.9500,0.669501
4006.0000,0.723164
4006.0500,0.886984
4006.1000,0.782113
4006.1500,0.695546
4006.2000,0.689554
4006.2500,0.706017
4006.3000,0.709617
4006.3500,0.650292
4006.4000,0.866672
4006.4500,0.891761
4006.5000,0.831377
4006.5500,0.795443
4006.6000,0.617972
4006.6500,0.531436
4006.7000,0.702955
4006.7500,0.684381
4006.8000,0.84894
4006.8500,1.03575
4006.9000,1.19045
4006.9500,1.07562
4007.0000,1.08813
4007.0500,1.06738
4007.1000,1.00292
4007.1500,0.928953
4007.2000,0.633776
4007.2500,0.4379
4007.3000,0.554936
4007.3500,0.641426
4007.4000,0.668368
4007.4500,0.66216
4007.5000,0.792267
4007.5500,0.910062
4007.6000,0.936816
4007.6500,1.01349
4007.7000,1.13395
4007.7500,0.967734
4007.8000,1.13651
4007.8500,1.0213
4007.9000,0.867277
4007.9500,0.622071
4008.0000,0.519086
4008.0500,0.522254
4008.1000,0.601761
4008.1500,0.78464
4008.2000,0.80391
4008.2500,1.06851
4008.3000,1.17221
4008.3500,1.09537
4008.4000,1.05485
4008.4500,1.19904
4008.5000,1.11443
4008.5500,1.11893
4008.6000,0.883962
4008.6500,0.680741
4008.7000,0.61654
4008.7500,0.566335
4008.8000,0.549187
4008.8500,0.345166
4008.9000,0.217363
4008.9500,0.271648
4009.0000,0.398169
4009.0500,0.600294
4009.1000,0.635707
4009.1500,0.661908
4009.2000,0.909054
4009.2500,1.09313
4009.3000,1.19768
4009.3500,1.28622
4009.4000,1.36598
4009.4500,1.20047
4009.5000,0.912303
4009.5500,0.541753
4009.6000,0.371064
4009.6500,0.228617
4009.7000,0.266054
4009.7500,0.46366
4009.8000,0.632747
4009.8500,0.884368
4009.9000,1.03202
4009.9500,1.08019
4010.0000,1.28552
4010.0500,1.22318
4010.1000,1.01372
4010.1500,0.912589
4010.2000,0.963326
4010.2500,1.07811
4010.3000,1.08744
4010.3500,1.12638
4010.4000,0.936496
4010.4500,0.920144
4010.5000,0.897192
4010.5500,0.889131
4010.6000,0.813993
4010.6500,0.946347
4010.7000,0.982048
4010.7500,0.844273
4010.8000,0.870418
4010.8500,0.979017
4010.9000,0.953681
4010.9500,0.939379
4011.0000,0.881463
4011.0500,0.639558
4011.1000,0.5828
4011.1500,0.781322
4011.2000,0.998862
4011.2500,0.887468
4011.3000,0.704799
4011.3500,0.607954
4011.4000,0.663146
4011.4500,0.673968
4011.5000,0.586009
4011.5500,0.711133
4011.6000,0.906563
4011.6500,0.89561
4011.7000,0.691985
4011.7500,0.784369
4011.8000,0.921426
4011.8500,0.979553
4011.9000,1.20789
4011.9500,1.12627
4012.0000,1.05082
4012.0500,1.03398
4012.1000,1.05751
4012.1500,0.852583
4012.2000,0.535146
4012.2500,0.436956
4012.3000,0.421211
4012.3500,0.42724
4012.4000,0.41439
4012.4500,0.523228
4012.5000,0.70428
4012.5500,0.808097
4012.6000,0.817779
4012.6500,0.66672
4012.7000,0.593949
4012.7500,0.554758
4012.8000,0.784058
4012.8500,0.914178
4012.9000,1.2312
4012.9500,1.50347
4013.0000,1.42668
4013.0500,1.27845
4013.1000,1.21251
4013.1500,1.1012
4013.2000,0.939439
4013.2500,0.907469
4013.3000,1.15024
4013.3500,1.33614
4013.4000,1.29722
4013.4500,1.33105
4013.5000,1.04051
4013.5500,0.665569
4013.6000,0.50317
4013.6500,0.524439
4013.7000,0.639302
4013.7500,0.610222
4013.8000,0.45448
4013.8500,0.432104
4013.9000,0.557696
4013.9500,0.574198
4014.0000,0.872046
4014.0500,1.16933
4014.1000,1.27928
4014.1500,1.29615
4014.2000,0.991932
4014.2500,0.825906
4014.3000,0.86541
4014.3500,0.917262
4014.4000,0.790981
4014.4500,0.524176
4014.5000,0.378424
4014.5500,0.461051
4014.6000,0.675955
4014.6500,0.878807
4014.7000,0.995242
4014.7500,1.04813
4014.8000,1.0597
4014.8500,0.943145
4014.9000,0.843343
4014.9500,0.800676
4015.0000,0.948334
4015.0500,1.10104
4015.1000,1.04012
4015.1500,0.998637
4015.2000,1.1305
4015.2500,0.918087
4015.3000,0.758559
4015.3500,0.706226
4015.4000,0.562527
4015.4500,0.803856
4015.5000,0.991291
4015.5500,0.939968
4015.6000,0.767819
4015.6500,0.852559
4015.7000,1.0869
4015.7500,1.17721
4015.8000,1.34034
4015.8500,1.22441
4015.9000,1.23916
4015.9500,1.17061
4016.0000,1.32463
4016.0500,1.29934
4016.1000,1.37393
4016.1500,1.34426
4016.2000,1.04702
4016.2500,0.84478
4016.3000,0.811172
4016.3500,0.802118
4016.4000,0.613097
4016.4500,0.67311
4016.5000,0.797854
4016.5500,1.02625
4016.6000,1.16705
4016.6500,1.20577
4016.7000,1.18019
4016.7500,1.07253
4016.8000,1.00321
4016.8500,1.08953
4016.9000,0.90066
4016.9500,0.777052
4017.0000,0.607106
4017.0500,0.483843
4017.1000,0.412388
4017.1500,0.383517
4017.2000,0.635391
4017.2500,0.965589
4017.3000,1.06828
4017.3500,1.05382
4017.4000,0.87111
4017.4500,0.721305
4017.5000,0.66286
4017.5500,0.713815
4017.6000,0.878519
4017.6500,0.86874
4017.7000,0.814996
4017.7500,0.679232
4017.8000,0.666739
4017.8500,0.917488
4017.9000,1.06179
4017.9500,0.976269
4018.0000,0.647535
4018.0500,0.359511
4018.1000,0.263387
4018.1500,0.305923
4018.2000,0.31362
4018.2500,0.374858
4018.3000,0.498256
4018.3500,0.631377
4018.4000,0.895586
4018.4500,0.950322
4018.5000,1.19684
4018.5500,1.30885
4018.6000,1.41627
4018.6500,1.41626
4018.7000,1.33971
4018.7500,1.23577
4018.8000,0.912824
4018.8500,0.811625
4018.9000,0.897686
4018.9500,0.928613
4019.0000,0.828284
4019.0500,0.592591
4019.1000,0.630322
4019.1500,0.745347
4019.2000,0.774536
4019.2500,0.57739
4019.3000,0.532173
4019.3500,0.677868
4019.4000,0.982209
4019.4500,1.09557
4019.5000,1.15314
4019.5500,1.1954
4019.6000,1.29121
4019.6500,1.35855
4019.7000,1.22892
4019.7500,1.10319
4019.8000,1.04318
4019.8500,1.00886
4019.9000,0.83208
4019.9500,0.788346
4020.0000,0.765881
4020.0500,0.770092
4020.1000,0.790937
4020.1500,0.857585
4020.2000,0.837531
4020.2500,0.672542
4020.3000,0.441567
4020.3500,0.248584
4020.4000,0.260343
4020.4500,0.311417
4020.5000,0.513829
4020.5500,0.855161
4020.6000,1.11476
4020.6500,1.27347
4020.7000,1.31723
4020.7500,1.07301
4020.8000,0.72811
4020.8500,0.338367
4020.9000,0.361111
4020.9500,0.345917
