Longitud_de_onda_A,espectro
4000.0000,0.917781
4000.0500,0.699113
4000.1000,0.77231
4000.1500,0.683513
4000.2000,0.6298
4000.2500,0.846991
4000.3000,0.904855
4000.3500,0.966339
4000.4000,0.596475
4000.4500,0.471028
4000.5000,0.428822
4000.5500,0.527125
4000.6000,0.742
4000.6500,0.913934
4000.7000,1.18567
4000.7500,1.45491
4000.8000,1.26493
4000.8500,1.3102
4000.9000,1.19092
4000.9500,1.17946
4001.0000,1.06531
4001.0500,0.873188
4001.1000,0.678864
4001.1500,0.745923
4001.2000,0.784948
4001.2500,0.705742
4001.3000,0.867432
4001.3500,1.18868
4001.4000,1.23182
4001.4500,1.06936
4001.5000,0.955948
4001.5500,0.8893
4001.6000,0.635866
4001.6500,0.460251
4001.7000,0.547537
4001.7500,0.839185
4001.8000,1.12995
4001.8500,1.43312
4001.9000,1.36075
4001.9500,1.33909
4002.0000,1.38829
4002.0500,1.42301
4002.1000,1.28276
4002.1500,1.2408
4002.2000,1.21746
4002.2500,1.40842
4002.3000,1.17136
4002.3500,1.10855
4002.4000,1.1578
4002.4500,1.01189
4002.5000,0.580475
4002.5500,0.642907
4002.6000,0.880377
4002.6500,0.92553
4002.7000,0.906936
4002.7500,1.01051
4002.8000,0.934733
4002.8500,0.898023
4002.9000,0.783822
4002.9500,0.779088
4003.0000,0.888775
4003.0500,1.04745
4003.1000,0.62872
4003.1500,0.648268
4003.2000,1.07123
4003.2500,1.11998
4003.3000,1.13263
4003.3500,1.19293
4003.4000,0.97755
4003.4500,0.806111
4003.5000,0.74339
4003.5500,0.976378
4003.6000,1.04123
4003.6500,1.19269
4003.7000,0.914568
4003.7500,0.76969
4003.8000,0.653194
4003.8500,0.858184
4003.9000,0.898955
4003.9500,0.746753
4004.0000,0.745354
4004.0500,0.597962
4004.1000,0.79624
4004.1500,1.03894
4004.2000,0.904877
4004.2500,0.962351
4004.3000,1.25215
4004.3500,1.06011
4004.4000,0.99968
4004.4500,1.23321
4004.5000,1.4534
4004.5500,1.02489
4004.6000,0.878469
4004.6500,0.714948
4004.7000,0.625902
4004.7500,0.738091
4004.8000,0.746659
4004.8500,0.690753
4004.9000,0.670543
4004.9500,0.606156
4005.0000,0.568136
4005.0500,0.616899
4005.1000,0.659359
4005.1500,0.578279
4005.2000,0.263579
4005.2500,0.248351
4005.3000,0.279603
4005.3500,0.28869
4005.4000,0.462865
4005.4500,0.470369
4005.5000,0.729128
4005.5500,0.741836
4005.6000,0.671583
4005.6500,0.710529
4005.7000,0.787084
4005.7500,0.901734
4005.8000,0.999832
4005.8500,1.10244
4005.9000,0.996232
4005.9500,0.9113
4006.0000,1.00931
4006.0500,1.07681
4006.1000,1.05325
4006.1500,1.05123
4006.2000,1.03339
4006.2500,0.799899
4006.3000,0.937727
4006.3500,0.827768
4006.4000,1.03079
4006.4500,1.04346
4006.5000,1.06041
4006.5500,0.934149
4006.6000,0.712482
4006.6500,0.682558
4006.7000,0.853671
4006.7500,0.88784
4006.8000,0.99756
4006.8500,1.12454
4006.9000,1.34113
4006.9500,1.29639
4007.0000,1.20733
4007.0500,1.34747
4007.1000,1.24565
4007.1500,1.04677
4007.2000,0.762718
4007.2500,0.582599
4007.3000,0.643833
4007.3500,0.73413
4007.4000,0.838899
4007.4500,0.533896
4007.5000,0.795841
4007.5500,0.714315
4007.6000,0.850338
4007.6500,1.04012
4007.7000,1.08774
4007.7500,1.14273
4007.8000,1.25321
4007.8500,1.20191
4007.9000,1.0643
4007.9500,0.606798
4008.0000,0.614692
4008.0500,0.656427
4008.1000,0.695864
4008.1500,0.836515
4008.2000,0.773091
4008.2500,0.904933
4008.3000,1.10093
4008.3500,1.00156
4008.4000,1.07423
4008.4500,1.08526
4008.5000,1.18611
4008.5500,1.1747
4008.6000,0.983752
4008.6500,0.75247
4008.7000,0.559431
4008.7500,0.400988
4008.8000,0.384853
4008.8500,0.31758
4008.9000,0.132559
4008.9500,0.314905
4009.0000,0.424671
4009.0500,0.567098
4009.1000,0.859194
4009.1500,0.653228
4009.2000,0.815872
4009.2500,1.06997
4009.3000,1.27473
4009.3500,1.40133
4009.4000,1.4321
4009.4500,1.39848
4009.5000,1.06892
4009.5500,0.818069
4009.6000,0.274003
4009.6500,0.314509
4009.7000,0.31007
4009.7500,0.448576
4009.8000,0.648302
4009.8500,1.01637
4009.9000,0.898003
4009.9500,1.09459
4010.0000,1.13604
4010.0500,1.13402
4010.1000,1.11404
4010.1500,1.16047
4010.2000,1.24324
4010.2500,1.33368
4010.3000,1.36734
4010.3500,1.36203
4010.4000,1.20644
4010.4500,0.88502
4010.5000,0.987103
4010.5500,1.03348
4010.6000,1.03734
4010.6500,1.18592
4010.7000,1.20973
4010.7500,1.14911
4010.8000,1.22088
4010.8500,1.3408
4010.9000,1.24436
4010.9500,1.13253
4011.0000,1.00052
4011.0500,0.762909
4011.1000,0.643389
4011.1500,0.746723
4011.2000,0.845729
4011.2500,0.892487
4011.3000,0.849456
4011.3500,1.00878
4011.4000,0.714826
4011.4500,0.782049
4011.5000,0.707069
4011.5500,0.670767
4011.6000,0.970789
4011.6500,0.808479
4011.7000,0.95976
4011.7500,0.91492
4011.8000,0.972478
4011.8500,1.16714
4011.9000,1.11182
4011.9500,0.931212
4012.0000,1.01824
4012.0500,0.979451
4012.1000,1.01316
4012.1500,0.798637
4012.2000,0.646755
4012.2500,0.527491
4012.3000,0.404147
4012.3500,0.529449
4012.4000,0.560063
4012.4500,0.718177
4012.5000,0.719034
4012.5500,0.933384
4012.6000,0.88194
4012.6500,0.805671
4012.7000,0.553566
4012.7500,0.790978
4012.8000,0.905078
4012.8500,1.08819
4012.9000,1.36474
4012.9500,1.4299
4013.0000,1.40828
4013.0500,1.5007
4013.1000,1.4173
4013.1500,1.17403
4013.2000,0.990325
4013.2500,0.860033
4013.3000,0.850681
4013.3500,0.967514
4013.4000,1.27876
4013.4500,1.28018
4013.5000,1.09969
4013.5500,0.637891
4013.6000,0.592849
4013.6500,0.644183
4013.7000,0.847964
4013.7500,0.88653
4013.8000,0.66189
4013.8500,0.734622
4013.9000,0.799019
4013.9500,0.888618
4014.0000,0.998465
4014.0500,1.25755
4014.1000,1.25623
4014.1500,1.26104
4014.2000,1.2136
4014.2500,1.04483
4014.3000,1.08808
4014.3500,1.01727
4014.4000,0.847755
4014.4500,0.592882
4014.5000,0.523996
4014.5500,0.596276
4014.6000,0.782594
4014.6500,0.927649
4014.7000,0.90498
4014.7500,1.18969
4014.8000,1.02415
4014.8500,0.859972
4014.9000,0.843027
4014.9500,0.90429
4015.0000,1.1611
4015.0500,1.27764
4015.1000,1.27974
4015.1500,1.18023
4015.2000,1.21261
4015.2500,1.11592
4015.3000,1.01508
4015.3500,0.651945
4015.4000,0.586074
4015.4500,0.76911
4015.5000,1.02747
4015.5500,0.911805
4015.6000,0.814008
4015.6500,0.943185
4015.7000,1.18268
4015.7500,1.14673
4015.8000,1.13095
4015.8500,1.05777
4015.9000,1.11791
4015.9500,1.13823
4016.0000,1.39391
4016.0500,1.51605
4016.1000,1.63996
4016.1500,1.37675
4016.2000,1.44834
4016.2500,0.923365
4016.3000,0.845101
4016.3500,0.856701
4016.4000,0.985495
4016.4500,0.966834
4016.5000,1.05444
4016.5500,1.12366
4016.6000,1.23008
4016.6500,1.15645
4016.7000,1.01477
4016.7500,0.854876
4016.8000,0.973984
4016.8500,1.21073
4016.9000,1.10546
4016.9500,0.880223
4017.0000,0.682049
4017.0500,0.691381
4017.1000,0.693193
4017.1500,0.723915
4017.2000,0.823637
4017.2500,1.06048
4017.3000,1.10846
4017.3500,1.06878
4017.4000,0.987388
4017.4500,0.954063
4017.5000,0.828052
4017.5500,0.873922
4017.6000,0.944333
4017.6500,1.04445
4017.7000,0.899996
4017.7500,0.652032
4017.8000,0.76174
4017.8500,1.16949
4017.9000,1.23307
4017.9500,1.17538
4018.0000,0.914575
4018.0500,0.505852
4018.1000,0.318188
4018.1500,0.416604
4018.2000,0.412304
4018.2500,0.56119
4018.3000,0.704334
4018.3500,0.843388
4018.4000,0.902075
4018.4500,1.13101
4018.5000,1.21082
4018.5500,1.56401
4018.6000,1.63558
4018.6500,1.62219
4018.7000,1.55563
4018.7500,1.09328
4018.8000,0.70913
4018.8500,0.575849
4018.9000,0.638779
4018.9500,0.894633
4019.0000,0.818496
4019.0500,0.595097
4019.1000,0.768376
4019.1500,0.845391
4019.2000,0.841061
4019.2500,0.601599
4019.3000,0.505045
4019.3500,0.734785
4019.4000,0.915476
4019.4500,0.958194
4019.5000,1.03968
4019.5500,1.17871
4019.6000,1.29171
4019.6500,1.34676
4019.7000,1.17567
4019.7500,1.03252
4019.8000,0.778603
4019.8500,0.623586
4019.9000,0.718912
4019.9500,0.706619
4020.0000,0.788124
4020.0500,0.839827
4020.1000,0.864094
4020.1500,0.958026
4020.2000,0.950487
4020.2500,0.791115
4020.3000,0.557091
4020.3500,0.337447
4020.4000,0.276122
4020.4500,0.324384
4020.5000,0.441923
4020.5500,0.646345
4020.6000,1.00777
4020.6500,1.24988
4020.7000,1.44311
4020.7500,1.12305
4020.8000,0.797311
4020.8500,0.485414
4020.9000,0.284458
4020.9500,0.161846
4021.0000,0.545089
4021.0500,0.743491
4021.1000,1.0647
4021.1500,1.11627
4021.2000,1.22087
4021.2500,1.05361
4021.3000,0.740686
4021.3500,0.646259
4021.4000,0.827751
4021.4500,1.0668
4021.5000,1.20201
4021.5500,1.05211
4021.6000,0.756254
4021.6500,0.688562
4021.7000,0.558656
4021.7500,0.393363
4021.8000,0.364424
4021.8500,0.328352
4021.9000,0.406877
4021.9500,0.661323
4022.0000,0.826371
4022.0500,0.906083
4022.1000,0.908534
4022.1500,0.70888
4022.2000,0.550648
4022.2500,0.579727
4022.3000,0.797986
4022.3500,0.915319
4022.4000,0.939567
4022.4500,0.955328
4022.5000,1.14945
4022.5500,1.36049
4022.6000,1.26422
4022.6500,1.17179
4022.7000,0.88518
4022.7500,1.01687
4022.8000,1.03883
4022.8500,1.16736
4022.9000,1.10715
4022.9500,0.827005
4023.0000,0.667394
4023.0500,0.693507
4023.1000,0.842107
4023.1500,0.767825
4023.2000,0.671374
4023.2500,0.663333
4023.3000,0.674206
4023.3500,0.610695
4023.4000,0.652565
4023.4500,0.884703
4023.5000,1.0719
4023.5500,0.764979
4023.6000,0.511465
4023.6500,0.348455
4023.7000,0.206957
4023.7500,0.272777
4023.8000,0.441781
4023.8500,0.638732
4023.9000,0.685072
4023.9500,0.571451
4024.0000,0.535924
4024.0500,0.605341
4024.1000,0.715912
4024.1500,0.980758
4024.2000,1.16872
4024.2500,1.1835
4024.3000,0.86352
4024.3500,0.727792
4024.4000,0.582149
4024.4500,0.470245
4024.5000,0.319296
4024.5500,0.207148
4024.6000,0.144582
4024.6500,0.152577
4024.7000,0.259084
4024.7500,0.318738
4024.8000,0.398637
4024.8500,0.491643
4024.9000,0.41431
4024.9500,0.522227
4025.0000,0.489727
4025.0500,0.480641
4025.1000,0.434603
4025.1500,0.474372
4025.2000,0.530859
4025.2500,0.801002
4025.3000,1.03829
4025.3500,1.20553
4025.4000,1.17265
4025.4500,1.10874
4025.5000,1.06971
4025.5500,1.04366
4025.6000,1.20588
4025.6500,1.38275
4025.7000,1.5901
4025.7500,1.33819
4025.8000,1.04551
4025.8500,0.868149
4025.9000,0.902145
4025.9500,1.11414
4026.0000,1.27989
4026.0500,1.24985
4026.1000,1.03357
4026.1500,0.954293
4026.2000,0.902852
4026.2500,1.12366
4026.3000,1.32344
4026.3500,1.18372
4026.4000,0.893782
4026.4500,0.676643
