Longitud_de_onda_A,espectro
4000.0000,0.91988
4000.0500,0.701426
4000.1000,0.780695
4000.1500,0.682603
4000.2000,0.635187
4000.2500,0.853916
4000.3000,0.903902
4000.3500,0.969201
4000.4000,0.592282
4000.4500,0.474351
4000.5000,0.432631
4000.5500,0.518366
4000.6000,0.739467
4000.6500,0.915325
4000.7000,1.18617
4000.7500,1.45021
4000.8000,1.26192
4000.8500,1.31117
4000.9000,1.19446
4000.9500,1.17902
4001.0000,1.06591
4001.0500,0.875531
4001.1000,0.684301
4001.1500,0.749539
4001.2000,0.782577
4001.2500,0.700788
4001.3000,0.869415
4001.3500,1.1869
4001.4000,1.22707
4001.4500,1.07074
4001.5000,0.955841
4001.5500,0.889424
4001.6000,0.628634
4001.6500,0.457874
4001.7000,0.550739
4001.7500,0.838622
4001.8000,1.1277
4001.8500,1.43027
4001.9000,1.36814
4001.9500,1.33608
4002.0000,1.38723
4002.0500,1.4244
4002.1000,1.27351
4002.1500,1.23896
4002.2000,1.21525
4002.2500,1.41047
4002.3000,1.16496
4002.3500,1.10633
4002.4000,1.15329
4002.4500,1.0164
4002.5000,0.579904
4002.5500,0.643975
4002.6000,0.879066
4002.6500,0.920814
4002.7000,0.904797
4002.7500,1.01529
4002.8000,0.932396
4002.8500,0.905629
4002.9000,0.793288
4002.9500,0.773809
4003.0000,0.89551
4003.0500,1.0441
4003.1000,0.630482
4003.1500,0.653757
4003.2000,1.0704
4003.2500,1.1222
4003.3000,1.13067
4003.3500,1.19323
4003.4000,0.975596
4003.4500,0.815336
4003.5000,0.744113
4003.5500,0.983301
4003.6000,1.03743
4003.6500,1.19002
4003.7000,0.911384
4003.7500,0.768178
4003.8000,0.651146
4003.8500,0.859329
4003.9000,0.908576
4003.9500,0.74948
4004.0000,0.745407
4004.0500,0.602279
4004.1000,0.804026
4004.1500,1.0383
4004.2000,0.902179
4004.2500,0.963461
4004.3000,1.24679
4004.3500,1.06092
4004.4000,1.00462
4004.4500,1.23057
4004.5000,1.45264
4004.5500,1.02663
4004.6000,0.878196
4004.6500,0.715752
4004.7000,0.625367
4004.7500,0.740555
4004.8000,0.753052
4004.8500,0.696436
4004.9000,0.66736
4004.9500,0.598846
4005.0000,0.571069
4005.0500,0.621063
4005.1000,0.663736
4005.1500,0.578124
4005.2000,0.254954
4005.2500,0.23783
