Longitud_de_onda_A,espectro
4000.0000,0.994342
4000.0500,1.02423
4000.1000,1.01584
4000.1500,1.02533
4000.2000,1.03385
4000.2500,1.03118
4000.3000,1.01761
4000.3500,1.0246
4000.4000,1.02068
4000.4500,1.04494
4000.5000,1.03062
4000.5500,1.02641
4000.6000,1.04037
4000.6500,1.01989
4000.7000,1.03158
4000.7500,1.03667
4000.8000,1.02235
4000.8500,1.03153
4000.9000,1.0371
4000.9500,1.02314
4001.0000,1.03093
4001.0500,1.04203
4001.1000,1.04547
4001.1500,1.02061
4001.2000,1.03748
4001.2500,1.02697
4001.3000,1.03199
4001.3500,1.02006
4001.4000,1.03929
4001.4500,1.03235
4001.5000,1.02018
4001.5500,1.03976
4001.6000,1.02952
4001.6500,1.01944
4001.7000,1.01535
4001.7500,1.0101
4001.8000,1.00766
4001.8500,1.01733
4001.9000,1.0108
4001.9500,0.987915
4002.0000,1.026
4002.0500,0.99555
4002.1000,0.987342
4002.1500,1.00384
4002.2000,0.999905
4002.2500,0.995504
4002.3000,1.00025
4002.3500,1.00095
4002.4000,0.996512
4002.4500,1.0043
4002.5000,1.00787
4002.5500,0.999562
4002.6000,0.995115
4002.6500,1.00382
4002.7000,0.999791
4002.7500,0.989457
4002.8000,1.00246
4002.8500,1.00241
4002.9000,0.991265
4002.9500,1.00575
4003.0000,0.990861
4003.0500,0.99546
4003.1000,0.994694
4003.1500,1.00218
4003.2000,1.00278
4003.2500,0.994853
4003.3000,1.00604
4003.3500,1.0056
4003.4000,0.991231
4003.4500,0.991347
4003.5000,1.00074
4003.5500,1.01057
4003.6000,1.00271
4003.6500,1.02426
4003.7000,1.0135
4003.7500,1.01871
4003.8000,1.01422
4003.8500,1.01516
4003.9000,1.0259
4003.9500,1.02516
4004.0000,1.02594
4004.0500,1.00458
4004.1000,0.997258
4004.1500,0.981494
4004.2000,1.00107
4004.2500,1.00322
4004.3000,0.995147
4004.3500,0.993584
4004.4000,0.978342
4004.4500,0.977993
4004.5000,0.975487
4004.5500,0.979912
4004.6000,0.964985
4004.6500,0.959744
4004.7000,0.951193
4004.7500,0.957411
4004.8000,0.963589
4004.8500,0.957468
4004.9000,0.949339
4004.9500,0.959428
4005.0000,0.956613
4005.0500,0.946908
4005.1000,0.935038
4005.1500,0.956204
4005.2000,0.940287
4005.2500,0.944748
4005.3000,0.945018
4005.3500,0.947605
4005.4000,0.942687
4005.4500,0.938992
4005.5000,0.937809
4005.5500,0.938588
4005.6000,0.947058
4005.6500,0.934826
4005.7000,0.941458
4005.7500,0.914495
4005.8000,0.919017
4005.8500,0.919299
4005.9000,0.925545
4005.9500,0.912878
4006.0000,0.92827
4006.0500,0.926923
4006.1000,0.931079
4006.1500,0.925071
4006.2000,0.920345
4006.2500,0.924742
4006.3000,0.932334
4006.3500,0.904952
4006.4000,0.910297
4006.4500,0.907356
4006.5000,0.91299
4006.5500,0.931057
4006.6000,0.928075
4006.6500,0.919406
4006.7000,0.924553
4006.7500,0.92522
4006.8000,0.935617
4006.8500,0.936183
4006.9000,0.935062
4006.9500,0.945024
4007.0000,0.950256
4007.0500,0.953187
4007.1000,0.980741
4007.1500,0.954342
4007.2000,0.966741
4007.2500,0.968751
4007.3000,0.9733
4007.3500,0.990146
4007.4000,0.987393
4007.4500,0.995333
4007.5000,0.992736
4007.5500,0.9817
4007.6000,1.0188
4007.6500,1.00263
4007.7000,1.00321
4007.7500,1.00902
4007.8000,1.02432
4007.8500,1.01156
4007.9000,1.02695
4007.9500,1.02824
4008.0000,1.03346
4008.0500,1.02003
4008.1000,1.04062
4008.1500,1.02889
4008.2000,1.02549
4008.2500,1.00649
4008.3000,1.02948
4008.3500,1.03622
4008.4000,1.02316
4008.4500,1.03478
4008.5000,1.03422
4008.5500,1.02543
4008.6000,1.0255
4008.6500,1.03604
4008.7000,1.03396
4008.7500,1.02627
4008.8000,1.03629
4008.8500,1.04092
4008.9000,1.03755
4008.9500,1.04219
4009.0000,1.02728
4009.0500,1.03545
4009.1000,1.02442
4009.1500,1.03948
4009.2000,1.02771
4009.2500,1.02727
4009.3000,1.02903
4009.3500,1.03215
4009.4000,1.02769
4009.4500,1.04095
4009.5000,1.04044
4009.5500,1.04419
4009.6000,1.04328
4009.6500,1.02877
4009.7000,1.01662
4009.7500,1.02206
4009.8000,1.05009
4009.8500,1.01869
4009.9000,1.03401
4009.9500,1.02113
4010.0000,1.02321
4010.0500,1.01407
4010.1000,1.03392
4010.1500,1.03438
4010.2000,1.03392
4010.2500,1.01921
4010.3000,1.03905
4010.3500,1.02721
4010.4000,1.0288
4010.4500,1.02546
4010.5000,1.02214
4010.5500,1.02255
4010.6000,1.02045
4010.6500,1.01907
4010.7000,1.02346
4010.7500,1.02806
4010.8000,1.0216
4010.8500,1.022
4010.9000,1.02616
4010.9500,1.0249
4011.0000,1.01889
4011.0500,1.01308
4011.1000,1.03613
4011.1500,1.03891
4011.2000,1.0349
4011.2500,1.02463
4011.3000,1.00635
4011.3500,1.01322
4011.4000,1.03958
4011.4500,1.04079
4011.5000,1.0386
4011.5500,1.02248
4011.6000,1.01495
4011.6500,1.01373
4011.7000,1.03819
4011.7500,0.993083
4011.8000,1.03066
4011.8500,1.03224
4011.9000,1.01491
4011.9500,1.01702
4012.0000,1.01684
4012.0500,1.00975
4012.1000,1.01992
4012.1500,1.02867
4012.2000,1.01332
4012.2500,1.01169
4012.3000,1.01483
4012.3500,1.01071
4012.4000,1.00019
4012.4500,0.988857
4012.5000,0.98639
4012.5500,0.996998
4012.6000,0.996177
4012.6500,1.01072
4012.7000,1.00473
4012.7500,0.992429
4012.8000,1.00666
4012.8500,1.00737
4012.9000,1.00716
4012.9500,1.01316
4013.0000,0.994628
4013.0500,1.01232
4013.1000,0.989011
4013.1500,0.997795
4013.2000,1.00333
4013.2500,1.01617
4013.3000,0.997693
4013.3500,0.992008
4013.4000,0.994827
4013.4500,0.983564
4013.5000,0.991795
4013.5500,0.977016
4013.6000,0.968569
4013.6500,0.969338
4013.7000,0.961711
4013.7500,0.953309
4013.8000,0.978204
4013.8500,0.986922
4013.9000,0.986501
4013.9500,0.967717
4014.0000,0.98213
4014.0500,0.989245
4014.1000,0.986643
4014.1500,0.991749
4014.2000,0.99594
4014.2500,0.995898
4014.3000,0.993779
4014.3500,1.00218
4014.4000,1.00082
4014.4500,1.0004
4014.5000,1.00678
4014.5500,1.00507
4014.6000,1.00809
4014.6500,0.992037
4014.7000,0.9923
4014.7500,1.0209
4014.8000,1.0239
4014.8500,1.01096
4014.9000,1.00489
4014.9500,1.0206
4015.0000,1.00734
4015.0500,0.997046
4015.1000,1.0025
4015.1500,1.0068
4015.2000,1.01239
4015.2500,0.991019
4015.3000,1.00849
4015.3500,1.00555
4015.4000,1.00146
4015.4500,0.999092
4015.5000,0.989595
4015.5500,0.988917
4015.6000,0.98356
4015.6500,1.00382
4015.7000,1.00086
4015.7500,1.00201
4015.8000,0.995195
4015.8500,0.988402
4015.9000,0.999136
4015.9500,0.99969
4016.0000,0.988814
4016.0500,0.995735
4016.1000,1.00454
4016.1500,1.0003
4016.2000,0.988957
4016.2500,0.993674
4016.3000,0.994457
4016.3500,1.00124
4016.4000,0.995397
4016.4500,0.988504
4016.5000,0.995799
4016.5500,0.997267
4016.6000,0.997731
4016.6500,0.999402
4016.7000,0.99365
4016.7500,0.99562
4016.8000,1.00103
4016.8500,1.00715
4016.9000,1.00154
4016.9500,0.994149
4017.0000,0.999347
4017.0500,0.992968
4017.1000,0.991147
4017.1500,0.98156
4017.2000,1.01142
4017.2500,1.00246
4017.3000,0.989754
4017.3500,0.98153
