Longitud_de_onda_A,espectro
4000.0000,1.07181
4000.0500,1.10598
4000.1000,1.07871
4000.1500,1.07539
4000.2000,0.815038
4000.2500,0.708012
4000.3000,0.693435
4000.3500,0.68361
4000.4000,0.548101
4000.4500,0.434078
4000.5000,0.496492
4000.5500,0.644726
4000.6000,0.862126
4000.6500,0.930778
4000.7000,1.04299
4000.7500,1.17094
4000.8000,1.06383
4000.8500,1.12358
4000.9000,1.12847
4000.9500,1.15628
4001.0000,1.15574
4001.0500,0.948906
4001.1000,0.97084
4001.1500,0.910163
4001.2000,0.8917
4001.2500,0.923635
4001.3000,0.973841
4001.3500,0.988224
4001.4000,0.845723
4001.4500,0.712469
4001.5000,0.736788
4001.5500,0.74433
4001.6000,0.648009
4001.6500,0.504863
4001.7000,0.51877
4001.7500,0.635133
4001.8000,0.859037
4001.8500,0.805331
4001.9000,0.870803
4001.9500,0.819959
4002.0000,0.687009
4002.0500,0.457194
4002.1000,0.515645
4002.1500,0.597236
4002.2000,0.763375
4002.2500,0.906042
4002.3000,0.979474
4002.3500,1.07061
4002.4000,1.01425
4002.4500,0.874917
4002.5000,0.810767
4002.5500,0.722564
4002.6000,0.817616
4002.6500,0.844958
4002.7000,0.851082
4002.7500,0.781264
4002.8000,0.75338
4002.8500,0.55644
4002.9000,0.369951
4002.9500,0.403348
4003.0000,0.50006
4003.0500,0.802446
4003.1000,0.833753
4003.1500,0.947937
4003.2000,0.98335
4003.2500,0.861726
4003.3000,0.909234
4003.3500,1.01522
4003.4000,1.04292
4003.4500,1.05628
4003.5000,1.08531
4003.5500,1.13359
4003.6000,1.06911
4003.6500,0.975861
4003.7000,0.857986
4003.7500,0.668421
4003.8000,0.649096
4003.8500,0.750099
4003.9000,0.916428
4003.9500,0.9551
4004.0000,0.760787
4004.0500,0.902773
4004.1000,0.896818
4004.1500,0.995616
4004.2000,1.05878
4004.2500,1.04277
4004.3000,1.09086
4004.3500,1.17841
4004.4000,1.16232
4004.4500,1.10687
4004.5000,1.10539
4004.5500,1.07967
4004.6000,0.978854
4004.6500,0.912188
4004.7000,0.867474
4004.7500,0.769839
4004.8000,0.586568
4004.8500,0.420099
4004.9000,0.378278
4004.9500,0.424271
4005.0000,0.400582
4005.0500,0.330173
4005.1000,0.382831
4005.1500,0.197281
4005.2000,0.22196
4005.2500,0.170995
4005.3000,0.266232
4005.3500,0.315714
4005.4000,0.395854
4005.4500,0.457411
4005.5000,0.559052
4005.5500,0.572499
4005.6000,0.500926
4005.6500,0.351398
4005.7000,0.246448
4005.7500,0.311974
4005.8000,0.440612
4005.8500,0.619064
4005.9000,0.879085
4005.9500,0.915316
4006.0000,1.11803
4006.0500,1.04681
4006.1000,0.925949
4006.1500,0.856213
4006.2000,0.773063
4006.2500,0.744848
4006.3000,0.533616
4006.3500,0.673756
4006.4000,0.727585
4006.4500,0.807482
4006.5000,0.894733
4006.5500,0.699136
4006.6000,0.590625
4006.6500,0.616849
4006.7000,0.643609
4006.7500,0.619964
4006.8000,0.79464
4006.8500,0.988098
4006.9000,1.11661
4006.9500,1.16452
4007.0000,1.14883
4007.0500,0.997431
4007.1000,0.971981
4007.1500,0.866378
4007.2000,0.67119
4007.2500,0.547028
4007.3000,0.514149
4007.3500,0.700683
4007.4000,0.70971
4007.4500,0.753203
4007.5000,0.894111
4007.5500,0.950276
4007.6000,0.906803
4007.6500,1.00531
4007.7000,1.12769
4007.7500,1.10473
4007.8000,1.01568
4007.8500,0.915915
4007.9000,0.872629
4007.9500,0.79158
4008.0000,0.819282
4008.0500,0.887525
4008.1000,0.716659
4008.1500,0.695026
4008.2000,0.700286
4008.2500,0.866518
4008.3000,0.962722
4008.3500,1.04727
4008.4000,1.03193
4008.4500,0.964189
4008.5000,1.05057
4008.5500,1.01989
4008.6000,0.94525
4008.6500,0.859755
4008.7000,0.813106
4008.7500,0.773364
4008.8000,0.800313
4008.8500,0.667029
4008.9000,0.622999
4008.9500,0.622419
4009.0000,0.870989
4009.0500,0.988719
4009.1000,0.816317
4009.1500,0.83721
4009.2000,0.813092
4009.2500,1.06305
4009.3000,1.08756
4009.3500,1.0678
4009.4000,1.0786
4009.4500,1.05323
4009.5000,0.85004
4009.5500,0.746286
4009.6000,0.598427
4009.6500,0.511762
4009.7000,0.38338
4009.7500,0.374081
4009.8000,0.534209
4009.8500,0.717254
4009.9000,0.880068
4009.9500,0.892878
4010.0000,0.977087
4010.0500,1.07015
4010.1000,1.05774
4010.1500,0.982298
4010.2000,1.01958
4010.2500,1.0432
4010.3000,1.0533
4010.3500,1.03162
4010.4000,1.08438
4010.4500,1.04067
4010.5000,0.928497
4010.5500,0.814123
4010.6000,0.737875
4010.6500,0.817068
4010.7000,0.935776
4010.7500,0.878764
4010.8000,0.87882
4010.8500,0.923629
4010.9000,0.920301
4010.9500,0.900943
4011.0000,0.911156
4011.0500,0.961488
4011.1000,0.9954
4011.1500,1.05489
4011.2000,1.06348
4011.2500,1.11567
4011.3000,1.12621
4011.3500,1.02425
4011.4000,0.842037
4011.4500,0.918159
4011.5000,0.932752
4011.5500,1.02432
4011.6000,1.07185
4011.6500,0.997802
4011.7000,0.862581
4011.7500,0.930894
4011.8000,0.975826
4011.8500,1.08059
4011.9000,1.16001
4011.9500,1.0911
4012.0000,0.958006
4012.0500,0.963386
4012.1000,0.798323
4012.1500,0.579719
4012.2000,0.43671
4012.2500,0.331857
4012.3000,0.238529
4012.3500,0.209873
4012.4000,0.248743
4012.4500,0.208018
4012.5000,0.291624
4012.5500,0.5203
4012.6000,0.637467
4012.6500,0.708402
4012.7000,0.822713
4012.7500,0.885008
4012.8000,1.05054
4012.8500,1.0497
4012.9000,1.13736
4012.9500,1.09722
4013.0000,1.17878
4013.0500,1.19812
4013.1000,1.0569
4013.1500,1.06346
4013.2000,1.06616
