Longitud_de_onda_A,espectro
4000.0000,1.01144
4000.0500,0.919687
4000.1000,1.17357
4000.1500,1.24747
4000.2000,0.918684
4000.2500,0.540753
4000.3000,0.553347
4000.3500,0.633727
4000.4000,0.453052
4000.4500,0.32544
4000.5000,0.396489
4000.5500,0.73676
4000.6000,1.18662
4000.6500,1.4959
4000.7000,1.44181
4000.7500,1.31246
4000.8000,1.18228
4000.8500,1.26691
4000.9000,1.29674
4000.9500,1.26162
4001.0000,1.13162
4001.0500,0.872462
4001.1000,0.577986
4001.1500,0.510347
4001.2000,0.652046
4001.2500,0.865313
4001.3000,1.07788
4001.3500,1.13109
4001.4000,0.873948
4001.4500,0.685613
4001.5000,0.820409
4001.5500,0.904204
4001.6000,0.589044
4001.6500,0.301678
4001.7000,0.26725
4001.7500,0.695239
4001.8000,1.19448
4001.8500,1.45562
4001.9000,1.32743
4001.9500,1.21389
4002.0000,1.15436
4002.0500,1.01197
4002.1000,1.08628
4002.1500,1.18073
4002.2000,1.37708
4002.2500,1.48282
4002.3000,1.40252
4002.3500,1.08021
4002.4000,0.816886
4002.4500,0.578197
4002.5000,0.587679
4002.5500,0.820331
4002.6000,0.869061
4002.6500,0.765601
4002.7000,0.871835
4002.7500,1.18653
4002.8000,1.21901
4002.8500,1.03277
4002.9000,0.68793
4002.9500,0.648911
4003.0000,0.984836
4003.0500,1.33851
4003.1000,1.3073
4003.1500,1.19199
4003.2000,1.24542
4003.2500,1.25445
4003.3000,1.32384
4003.3500,1.42302
4003.4000,1.42807
4003.4500,1.24122
4003.5000,1.01845
4003.5500,0.984409
4003.6000,0.99609
4003.6500,1.07394
4003.7000,0.853364
4003.7500,0.476343
4003.8000,0.451643
4003.8500,0.725827
4003.9000,0.978604
4003.9500,0.920567
4004.0000,0.833776
4004.0500,0.953573
4004.1000,1.18232
4004.1500,1.12152
4004.2000,1.03394
4004.2500,1.17319
4004.3000,1.22914
4004.3500,1.23915
4004.4000,1.22716
4004.4500,1.30556
4004.5000,1.22793
4004.5500,1.0426
4004.6000,0.903611
4004.6500,0.756342
4004.7000,0.807051
4004.7500,0.645107
4004.8000,0.417978
4004.8500,0.195312
4004.9000,0.163929
4004.9500,0.17631
4005.0000,0.213143
4005.0500,0.176708
4005.1000,0.172237
4005.1500,0.148132
4005.2000,0.0953237
4005.2500,0.0304008
4005.3000,0.0782246
4005.3500,0.0781531
4005.4000,0.129699
4005.4500,0.139596
4005.5000,0.245027
4005.5500,0.386762
4005.6000,0.44153
4005.6500,0.328661
4005.7000,0.313515
4005.7500,0.506725
4005.8000,0.818158
4005.8500,0.953542
4005.9000,0.821434
4005.9500,0.618564
4006.0000,0.791189
4006.0500,0.962083
4006.1000,0.776546
4006.1500,0.514019
4006.2000,0.65026
4006.2500,0.639299
4006.3000,0.383924
4006.3500,0.53593
4006.4000,0.835386
4006.4500,1.00203
4006.5000,0.971101
4006.5500,0.726288
4006.6000,0.484665
4006.6500,0.337273
4006.7000,0.35453
4006.7500,0.37965
4006.8000,0.584417
4006.8500,0.881309
4006.9000,1.12347
4006.9500,0.968898
4007.0000,0.733786
4007.0500,0.867544
4007.1000,1.07049
4007.1500,0.956908
4007.2000,0.53864
4007.2500,0.250076
4007.3000,0.371818
4007.3500,0.716598
4007.4000,0.814447
4007.4500,0.834345
4007.5000,0.996951
4007.5500,1.08218
4007.6000,1.06754
4007.6500,1.20359
4007.7000,1.28586
4007.7500,1.16307
4007.8000,0.937092
4007.8500,0.718043
4007.9000,0.541836
4007.9500,0.448949
4008.0000,0.408001
4008.0500,0.351283
4008.1000,0.514755
4008.1500,0.750615
4008.2000,0.952246
4008.2500,1.20882
4008.3000,1.34295
4008.3500,1.38583
4008.4000,1.25171
4008.4500,1.26705
4008.5000,1.33678
4008.5500,1.15217
4008.6000,0.928921
4008.6500,0.781344
4008.7000,0.740384
4008.7500,0.746802
4008.8000,0.698878
4008.8500,0.461924
4008.9000,0.195636
4008.9500,0.164155
4009.0000,0.567988
4009.0500,0.805861
4009.1000,0.733814
4009.1500,0.612153
4009.2000,0.941332
4009.2500,1.3868
4009.3000,1.56582
4009.3500,1.62332
4009.4000,1.58602
4009.4500,1.32986
4009.5000,0.916532
4009.5500,0.548785
4009.6000,0.33778
4009.6500,0.179217
4009.7000,0.136773
4009.7500,0.317142
4009.8000,0.68455
4009.8500,1.10054
4009.9000,1.20631
4009.9500,1.09819
4010.0000,1.14257
4010.0500,1.32432
4010.1000,1.18225
4010.1500,0.850973
4010.2000,0.862801
4010.2500,1.14803
4010.3000,1.20355
4010.3500,1.07075
4010.4000,1.02434
4010.4500,0.940605
4010.5000,0.843883
4010.5500,0.666617
4010.6000,0.673411
4010.6500,0.910303
4010.7000,0.912626
4010.7500,0.67507
4010.8000,0.621326
4010.8500,0.800201
4010.9000,0.780058
4010.9500,0.746389
4011.0000,0.897228
4011.0500,0.860019
4011.1000,0.558463
4011.1500,0.921834
4011.2000,1.17095
