Longitud_de_onda_A,espectro
4000.0000,1.00131
4000.0500,0.986368
4000.1000,1.00785
4000.1500,0.990747
4000.2000,0.963544
4000.2500,0.935824
4000.3000,0.914916
4000.3500,0.907966
4000.4000,0.925654
4000.4500,0.925026
4000.5000,0.877097
4000.5500,0.975388
4000.6000,0.996648
4000.6500,1.08065
4000.7000,1.0228
4000.7500,1.02448
4000.8000,1.0352
4000.8500,1.05614
4000.9000,1.00467
4000.9500,1.02997
4001.0000,0.99034
4001.0500,1.0075
4001.1000,0.968868
4001.1500,1.00683
4001.2000,0.984515
4001.2500,0.992732
4001.3000,1.0116
4001.3500,1.08156
4001.4000,0.967706
4001.4500,0.957432
4001.5000,0.898788
4001.5500,0.890825
4001.6000,0.893245
4001.6500,0.882427
4001.7000,0.901337
4001.7500,0.94726
4001.8000,0.917905
4001.8500,0.954847
4001.9000,0.944838
4001.9500,0.943326
4002.0000,0.965367
4002.0500,0.903804
4002.1000,0.923591
4002.1500,0.962635
4002.2000,1.00253
4002.2500,1.02818
4002.3000,0.996053
4002.3500,1.04098
4002.4000,0.980815
4002.4500,0.966434
4002.5000,0.958926
4002.5500,0.982375
4002.6000,0.990304
4002.6500,0.96766
4002.7000,1.00105
4002.7500,0.997586
4002.8000,0.928727
4002.8500,0.906015
4002.9000,0.96377
4002.9500,0.940616
4003.0000,0.938947
4003.0500,0.985464
4003.1000,0.958735
4003.1500,1.01258
4003.2000,1.05373
4003.2500,1.03649
4003.3000,1.01044
4003.3500,1.0075
4003.4000,1.0785
4003.4500,1.06208
4003.5000,1.0352
4003.5500,1.03884
4003.6000,0.948679
4003.6500,0.992842
4003.7000,0.995416
4003.7500,0.942398
4003.8000,0.950133
4003.8500,0.972555
4003.9000,1.04395
4003.9500,1.03491
4004.0000,1.05424
4004.0500,1.03862
4004.1000,1.00955
4004.1500,1.05808
4004.2000,1.01441
4004.2500,1.06984
4004.3000,1.03563
4004.3500,1.02695
4004.4000,1.05759
4004.4500,1.05957
4004.5000,1.02838
4004.5500,1.00266
4004.6000,1.01114
4004.6500,0.998772
4004.7000,0.940771
4004.7500,0.842699
4004.8000,0.807287
4004.8500,0.73747
4004.9000,0.725274
4004.9500,0.704396
4005.0000,0.688505
4005.0500,0.686439
4005.1000,0.659089
4005.1500,0.632174
4005.2000,0.570528
4005.2500,0.570446
4005.3000,0.578807
4005.3500,0.699036
4005.4000,0.740992
4005.4500,0.782752
4005.5000,0.799201
4005.5500,0.815173
4005.6000,0.815041
4005.6500,0.813679
4005.7000,0.796856
4005.7500,0.820497
4005.8000,0.866039
4005.8500,0.931217
4005.9000,0.99566
4005.9500,0.985595
4006.0000,0.996318
4006.0500,1.00564
4006.1000,1.00064
4006.1500,0.940016
4006.2000,0.878511
4006.2500,0.907629
4006.3000,0.900297
4006.3500,0.882469
4006.4000,0.911197
4006.4500,0.871331
4006.5000,0.914334
4006.5500,0.853988
4006.6000,0.844225
4006.6500,0.944221
4006.7000,0.873848
4006.7500,0.847541
4006.8000,0.953356
4006.8500,0.946959
4006.9000,0.963494
4006.9500,0.987482
4007.0000,1.01281
4007.0500,1.02613
4007.1000,0.942434
4007.1500,0.920574
4007.2000,0.918885
4007.2500,0.874886
4007.3000,0.864646
4007.3500,0.869241
4007.4000,0.93276
4007.4500,1.00236
4007.5000,0.996698
4007.5500,1.0258
4007.6000,1.05132
4007.6500,1.00257
4007.7000,1.07363
4007.7500,1.03252
4007.8000,0.988141
4007.8500,0.999659
4007.9000,1.06065
4007.9500,1.00694
4008.0000,0.956051
4008.0500,1.01849
4008.1000,1.01523
4008.1500,1.00233
4008.2000,1.01978
4008.2500,1.07344
4008.3000,1.0209
4008.3500,1.06533
4008.4000,1.06274
4008.4500,1.07868
4008.5000,1.00798
4008.5500,1.02955
4008.6000,1.07328
4008.6500,1.01607
4008.7000,1.00728
4008.7500,1.00528
4008.8000,0.989947
4008.8500,0.950434
4008.9000,0.953626
4008.9500,0.966303
4009.0000,0.945371
4009.0500,0.960554
4009.1000,0.990884
4009.1500,1.0032
4009.2000,1.05052
4009.2500,1.05756
4009.3000,1.02689
4009.3500,1.04744
4009.4000,1.06114
4009.4500,0.974425
4009.5000,0.95115
4009.5500,0.90447
4009.6000,0.829959
4009.6500,0.832842
4009.7000,0.794526
4009.7500,0.792154
4009.8000,0.789681
4009.8500,0.835678
4009.9000,0.864674
4009.9500,0.958546
4010.0000,0.992527
4010.0500,0.995679
4010.1000,1.01686
4010.1500,1.0132
4010.2000,1.04521
4010.2500,1.06616
4010.3000,1.04793
4010.3500,0.996612
4010.4000,1.03972
4010.4500,1.01676
4010.5000,0.955906
4010.5500,0.9881
4010.6000,0.988795
4010.6500,0.987681
4010.7000,0.988691
4010.7500,0.97215
4010.8000,0.95276
4010.8500,1.06667
4010.9000,1.03016
4010.9500,0.982645
4011.0000,1.03018
4011.0500,1.01775
4011.1000,0.990857
4011.1500,0.980477
4011.2000,1.09082
4011.2500,1.11656
4011.3000,1.0797
4011.3500,1.04669
4011.4000,1.00869
4011.4500,0.993305
4011.5000,1.04598
4011.5500,0.959562
4011.6000,1.14601
4011.6500,1.09474
4011.7000,1.05383
4011.7500,1.0342
4011.8000,1.00503
4011.8500,1.05315
4011.9000,1.05569
4011.9500,1.05905
4012.0000,1.01579
4012.0500,1.00496
4012.1000,0.93634
4012.1500,0.967774
4012.2000,0.894239
4012.2500,0.754312
4012.3000,0.741831
4012.3500,0.708366
4012.4000,0.684367
4012.4500,0.692097
4012.5000,0.743284
4012.5500,0.777108
4012.6000,0.962747
4012.6500,0.987968
4012.7000,1.01544
4012.7500,1.04321
4012.8000,1.03692
4012.8500,0.982355
4012.9000,1.02713
4012.9500,0.995009
4013.0000,1.04693
4013.0500,1.03223
4013.1000,1.061
4013.1500,0.993939
4013.2000,1.02592
4013.2500,1.05643
4013.3000,1.07333
4013.3500,1.01544
4013.4000,1.00894
4013.4500,0.983727
4013.5000,1.00212
4013.5500,0.994639
4013.6000,0.937625
4013.6500,0.913931
4013.7000,0.902342
4013.7500,0.918224
4013.8000,0.844594
4013.8500,0.852463
4013.9000,0.882721
4013.9500,0.919572
4014.0000,0.998696
4014.0500,1.07154
4014.1000,1.01421
4014.1500,1.03029
4014.2000,1.02403
4014.2500,0.973024
4014.3000,0.934046
4014.3500,0.89186
4014.4000,0.833057
4014.4500,0.830418
4014.5000,0.716847
4014.5500,0.757642
4014.6000,0.77479
4014.6500,0.857749
4014.7000,0.924625
4014.7500,0.953182
4014.8000,0.9749
4014.8500,0.984427
4014.9000,0.994142
4014.9500,1.02038
4015.0000,1.05241
4015.0500,1.06106
4015.1000,1.09412
4015.1500,1.01432
4015.2000,0.9998
4015.2500,0.975423
4015.3000,0.966344
4015.3500,0.973029
4015.4000,0.933919
4015.4500,0.924433
4015.5000,0.902837
4015.5500,0.850717
4015.6000,0.900386
4015.6500,0.879882
4015.7000,0.930542
4015.7500,0.943315
4015.8000,1.00642
4015.8500,0.996635
4015.9000,1.08248
4015.9500,1.0145
4016.0000,0.978793
4016.0500,1.00109
4016.1000,1.06133
4016.1500,1.02944
4016.2000,1.02412
4016.2500,1.04562
4016.3000,1.02266
4016.3500,0.982497
4016.4000,0.920638
4016.4500,0.956845
4016.5000,0.92016
4016.5500,0.984641
4016.6000,1.00865
4016.6500,1.06644
4016.7000,0.969238
4016.7500,1.02049
4016.8000,0.985423
4016.8500,0.960909
4016.9000,0.939253
4016.9500,0.975831
4017.0000,0.878212
4017.0500,0.806747
4017.1000,0.788788
4017.1500,0.783331
4017.2000,0.801262
4017.2500,0.802666
4017.3000,0.878296
4017.3500,0.886035
4017.4000,0.890394
4017.4500,0.87895
4017.5000,0.916986
4017.5500,0.90866
4017.6000,0.919783
4017.6500,0.957404
4017.7000,0.970495
4017.7500,0.98643
4017.8000,0.991741
4017.8500,0.979412
4017.9000,0.895662
4017.9500,0.917952
4018.0000,0.893009
4018.0500,0.877207
4018.1000,0.805548
4018.1500,0.790565
4018.2000,0.767117
4018.2500,0.798153
4018.3000,0.803801
4018.3500,0.866947
4018.4000,0.922819
4018.4500,0.965337
4018.5000,0.970438
4018.5500,1.00051
4018.6000,1.04689
4018.6500,1.03093
4018.7000,1.01154
4018.7500,1.00468
4018.8000,1.0134
4018.8500,0.983811
4018.9000,1.0185
4018.9500,1.01167
4019.0000,0.978595
