Longitud_de_onda_A,espectro
4000.0000,1.00481
4000.0500,1.04795
4000.1000,1.02677
4000.1500,1.02602
4000.2000,0.953647
4000.2500,1.01893
4000.3000,1.01384
4000.3500,0.984539
4000.4000,1.01351
4000.4500,1.00202
4000.5000,0.998739
4000.5500,1.00728
4000.6000,1.00162
4000.6500,1.01416
4000.7000,0.99281
4000.7500,0.990857
4000.8000,0.98574
4000.8500,1.01195
4000.9000,1.00827
4000.9500,1.00679
4001.0000,0.988413
4001.0500,0.979196
4001.1000,0.990207
4001.1500,1.01868
4001.2000,0.996087
4001.2500,1.02064
4001.3000,1.00033
4001.3500,1.0083
4001.4000,0.995994
4001.4500,1.00508
4001.5000,0.997191
4001.5500,1.03714
4001.6000,1.02388
4001.6500,1.00302
4001.7000,0.982384
4001.7500,0.987337
4001.8000,1.00394
4001.8500,1.01256
4001.9000,1.04405
4001.9500,1.03606
4002.0000,0.995561
4002.0500,1.02721
4002.1000,0.985641
4002.1500,0.999865
4002.2000,1.0035
4002.2500,0.983936
4002.3000,0.990604
4002.3500,0.971434
4002.4000,1.02994
4002.4500,1.00585
4002.5000,1.00048
4002.5500,0.959638
4002.6000,0.98928
4002.6500,1.01561
4002.7000,0.991128
4002.7500,0.980592
4002.8000,1.03314
4002.8500,1.02793
4002.9000,0.966611
4002.9500,1.01008
4003.0000,1.01559
4003.0500,1.0317
4003.1000,1.01385
4003.1500,1.0097
4003.2000,0.977433
4003.2500,1.03528
4003.3000,0.998991
4003.3500,1.0072
4003.4000,1.00141
4003.4500,1.0155
4003.5000,1.0059
4003.5500,0.993439
4003.6000,0.999489
4003.6500,0.9989
4003.7000,0.992765
4003.7500,0.998397
4003.8000,1.02128
4003.8500,1.00561
4003.9000,0.99919
4003.9500,0.993788
4004.0000,0.988614
4004.0500,0.996345
4004.1000,0.962115
4004.1500,0.991891
4004.2000,0.979839
4004.2500,0.949158
4004.3000,0.96224
4004.3500,0.967968
4004.4000,0.97836
4004.4500,0.981118
4004.5000,0.932906
4004.5500,0.974543
4004.6000,0.980567
4004.6500,0.990301
4004.7000,0.999459
4004.7500,0.967798
4004.8000,0.954013
4004.8500,0.959246
4004.9000,0.945475
4004.9500,0.939589
4005.0000,0.973638
4005.0500,0.979781
4005.1000,0.940865
4005.1500,0.964544
4005.2000,0.974251
4005.2500,0.940163
4005.3000,0.962382
4005.3500,0.943401
4005.4000,0.970199
4005.4500,0.956508
4005.5000,0.934792
4005.5500,0.938392
4005.6000,0.960148
4005.6500,0.928892
4005.7000,0.964398
4005.7500,0.932008
4005.8000,0.983922
4005.8500,0.947133
4005.9000,0.957169
4005.9500,0.957795
4006.0000,0.959913
4006.0500,0.97272
4006.1000,0.934712
4006.1500,0.901581
4006.2000,0.953567
4006.2500,0.951578
4006.3000,0.935399
4006.3500,0.926524
4006.4000,0.905075
4006.4500,0.92444
4006.5000,0.94404
4006.5500,0.975963
4006.6000,0.959153
4006.6500,0.961593
4006.7000,0.979007
4006.7500,0.942535
4006.8000,0.977853
4006.8500,0.929079
4006.9000,0.962301
4006.9500,0.949357
4007.0000,0.981991
4007.0500,0.986851
4007.1000,0.98399
4007.1500,0.935464
4007.2000,0.953968
4007.2500,0.986823
4007.3000,0.964532
4007.3500,0.957888
4007.4000,0.970249
4007.4500,0.980881
4007.5000,1.02556
4007.5500,0.993947
4007.6000,0.94853
4007.6500,1.0251
4007.7000,1.01779
4007.7500,1.00815
4007.8000,0.976063
4007.8500,1.01266
4007.9000,0.975558
4007.9500,0.985169
4008.0000,1.02755
4008.0500,0.989834
4008.1000,1.00878
4008.1500,1.00015
4008.2000,1.06024
4008.2500,1.02734
4008.3000,1.04594
4008.3500,1.02352
4008.4000,1.05367
4008.4500,1.0183
4008.5000,1.00358
4008.5500,1.03137
4008.6000,1.03943
4008.6500,1.02899
4008.7000,1.0413
4008.7500,1.0376
4008.8000,1.03009
4008.8500,1.04
4008.9000,1.03454
4008.9500,1.03349
4009.0000,1.04845
4009.0500,1.01742
4009.1000,1.02072
4009.1500,1.02512
4009.2000,1.03292
4009.2500,1.01598
4009.3000,1.02544
4009.3500,1.02248
4009.4000,0.993212
4009.4500,0.993541
4009.5000,1.02235
4009.5500,1.0061
4009.6000,1.0393
4009.6500,1.0149
4009.7000,0.989165
4009.7500,1.01168
4009.8000,1.02651
4009.8500,0.978795
4009.9000,1.03681
4009.9500,1.03254
4010.0000,1.01362
4010.0500,0.99443
4010.1000,1.00818
4010.1500,1.04599
4010.2000,1.05534
4010.2500,0.994309
4010.3000,1.06727
4010.3500,1.03761
4010.4000,1.02841
4010.4500,1.03165
4010.5000,1.02528
4010.5500,1.0143
4010.6000,0.972878
4010.6500,1.06011
4010.7000,1.01535
4010.7500,1.02191
4010.8000,1.03425
4010.8500,1.03321
4010.9000,1.03855
4010.9500,0.987477
4011.0000,1.01205
4011.0500,1.06593
4011.1000,1.04813
4011.1500,1.03684
