Longitud_de_onda_A,espectro
4000.0000,0.94084
4000.0500,0.944368
4000.1000,0.964825
4000.1500,0.96698
4000.2000,0.946402
4000.2500,0.958263
4000.3000,0.960871
4000.3500,0.947267
4000.4000,0.96469
4000.4500,0.979651
4000.5000,0.985513
4000.5500,0.95254
4000.6000,0.982244
4000.6500,0.978853
4000.7000,0.957279
4000.7500,0.962926
4000.8000,1.00422
4000.8500,0.966904
4000.9000,0.992405
4000.9500,0.961463
4001.0000,0.984356
4001.0500,0.981899
4001.1000,0.958848
4001.1500,0.981099
4001.2000,0.96697
4001.2500,0.984943
4001.3000,0.981032
4001.3500,0.971522
4001.4000,0.988946
4001.4500,0.981868
4001.5000,0.960224
4001.5500,0.959849
4001.6000,0.9814
4001.6500,1.00697
4001.7000,0.993045
4001.7500,0.975877
4001.8000,0.927048
4001.8500,0.993826
4001.9000,0.930342
4001.9500,0.993239
4002.0000,0.978223
4002.0500,0.983469
4002.1000,0.949231
4002.1500,0.961966
4002.2000,0.99242
4002.2500,1.00529
4002.3000,0.98246
4002.3500,0.984009
4002.4000,0.967943
4002.4500,0.985178
4002.5000,0.958239
4002.5500,0.986287
4002.6000,1.00014
4002.6500,1.01765
4002.7000,0.973616
4002.7500,0.969028
4002.8000,1.00054
4002.8500,0.964382
4002.9000,0.972959
4002.9500,0.972148
4003.0000,0.966958
4003.0500,0.963344
4003.1000,1.01244
4003.1500,0.996796
4003.2000,1.00463
4003.2500,0.989604
4003.3000,0.970317
4003.3500,0.984484
4003.4000,0.96898
4003.4500,1.0183
4003.5000,0.961195
4003.5500,0.988734
4003.6000,0.995665
4003.6500,0.986377
4003.7000,0.982008
4003.7500,0.988646
4003.8000,0.997702
4003.8500,0.958321
4003.9000,0.957889
4003.9500,0.958049
4004.0000,0.996243
4004.0500,0.955393
4004.1000,0.98863
4004.1500,0.996841
4004.2000,0.976415
4004.2500,1.02387
4004.3000,0.992211
4004.3500,0.990651
4004.4000,0.981585
4004.4500,1.00801
4004.5000,0.993339
4004.5500,0.993201
4004.6000,0.993983
4004.6500,1.03034
4004.7000,1.02987
4004.7500,0.994695
4004.8000,0.976877
4004.8500,0.994044
4004.9000,1.00517
4004.9500,0.98626
4005.0000,1.01276
4005.0500,0.990288
4005.1000,0.988448
4005.1500,1.01038
4005.2000,0.985509
4005.2500,1.01195
4005.3000,0.991415
4005.3500,0.99976
4005.4000,1.00552
4005.4500,1.0314
4005.5000,0.982431
4005.5500,0.959397
4005.6000,0.989112
4005.6500,0.999203
4005.7000,0.983781
4005.7500,1.00163
4005.8000,1.00204
4005.8500,1.02643
4005.9000,1.04946
4005.9500,1.00607
4006.0000,0.989043
4006.0500,0.995491
4006.1000,0.981322
4006.1500,1.01332
4006.2000,1.02333
4006.2500,1.01267
4006.3000,1.04016
4006.3500,1.00808
4006.4000,0.962029
4006.4500,0.955863
4006.5000,0.989294
4006.5500,1.02294
4006.6000,1.03204
4006.6500,0.992678
4006.7000,1.02108
4006.7500,0.941557
4006.8000,1.01466
4006.8500,1.01787
4006.9000,1.02997
4006.9500,0.969677
4007.0000,0.991169
4007.0500,1.01217
4007.1000,0.977093
4007.1500,0.979712
4007.2000,0.979245
4007.2500,1.01407
4007.3000,0.971475
4007.3500,0.978882
4007.4000,0.963289
4007.4500,0.96141
4007.5000,0.999119
4007.5500,0.966651
4007.6000,0.997779
4007.6500,0.951663
4007.7000,0.955277
4007.7500,0.972131
4007.8000,1.00235
4007.8500,1.01057
4007.9000,0.954779
4007.9500,0.977272
4008.0000,0.975951
4008.0500,1.00072
4008.1000,0.975568
4008.1500,0.979844
4008.2000,0.994301
4008.2500,1.00047
4008.3000,0.995564
4008.3500,0.97233
4008.4000,0.970431
4008.4500,0.965515
4008.5000,0.958483
4008.5500,0.937768
4008.6000,0.968561
4008.6500,0.926451
4008.7000,0.924512
4008.7500,0.905257
4008.8000,0.914212
4008.8500,0.895617
4008.9000,0.885474
4008.9500,0.906263
4009.0000,0.868441
4009.0500,0.889219
4009.1000,0.876652
4009.1500,0.861713
4009.2000,0.849895
4009.2500,0.848995
4009.3000,0.857587
4009.3500,0.87066
4009.4000,0.833061
4009.4500,0.861088
4009.5000,0.89243
4009.5500,0.859207
4009.6000,0.860472
4009.6500,0.897869
4009.7000,0.903566
4009.7500,0.956395
4009.8000,0.919612
4009.8500,0.91567
4009.9000,0.925463
4009.9500,0.937744
4010.0000,0.970109
4010.0500,0.948554
4010.1000,0.947403
4010.1500,0.940653
4010.2000,0.961696
4010.2500,0.967689
4010.3000,1.01432
4010.3500,0.980121
4010.4000,0.973172
4010.4500,1.00619
4010.5000,0.990797
4010.5500,0.974676
4010.6000,1.00814
4010.6500,0.977204
4010.7000,1.01768
4010.7500,0.976819
4010.8000,0.953109
4010.8500,0.967553
4010.9000,0.986019
4010.9500,0.97513
4011.0000,1.03367
4011.0500,0.990496
4011.1000,0.996669
4011.1500,1.00834
4011.2000,1.00273
4011.2500,1.00326
4011.3000,0.951106
4011.3500,0.954589
4011.4000,0.984116
4011.4500,0.993748
4011.5000,1.00504
4011.5500,0.991652
4011.6000,1.03493
4011.6500,1.02139
4011.7000,1.00826
4011.7500,1.0805
4011.8000,1.05475
4011.8500,1.03081
4011.9000,0.994715
4011.9500,1.01429
4012.0000,1.00826
4012.0500,0.975961
4012.1000,1.04997
4012.1500,1.00221
4012.2000,1.00159
4012.2500,0.998083
4012.3000,0.993478
4012.3500,1.03037
4012.4000,1.03574
4012.4500,0.984272
4012.5000,1.02882
4012.5500,1.05907
4012.6000,1.01125
4012.6500,1.01256
4012.7000,1.02493
4012.7500,0.967819
4012.8000,0.983441
4012.8500,1.01729
4012.9000,0.981253
4012.9500,0.989809
4013.0000,0.975025
4013.0500,0.976624
4013.1000,1.00429
4013.1500,0.994387
4013.2000,1.0407
4013.2500,1.0471
4013.3000,0.97405
4013.3500,1.01438
4013.4000,1.03972
4013.4500,1.02428
4013.5000,1.05886
4013.5500,1.04742
4013.6000,1.02326
4013.6500,0.993623
4013.7000,0.969685
4013.7500,1.03405
4013.8000,0.986091
4013.8500,1.02599
4013.9000,1.01764
4013.9500,1.0093
4014.0000,1.02088
4014.0500,1.02201
4014.1000,1.04072
4014.1500,1.00696
4014.2000,1.01527
4014.2500,1.04496
4014.3000,1.01235
4014.3500,0.988437
4014.4000,0.980476
4014.4500,1.01137
4014.5000,1.01789
4014.5500,0.995734
4014.6000,1.04127
4014.6500,0.982652
4014.7000,1.011
4014.7500,1.01855
4014.8000,1.01825
4014.8500,1.029
4014.9000,1.05157
4014.9500,1.01943
4015.0000,1.00181
4015.0500,0.991164
4015.1000,1.03554
4015.1500,1.03429
4015.2000,0.943952
4015.2500,0.983309
4015.3000,0.970673
4015.3500,0.945037
4015.4000,0.981329
4015.4500,1.00849
4015.5000,1.03316
4015.5500,1.0915
4015.6000,0.99026
4015.6500,0.999643
4015.7000,1.00181
4015.7500,0.98212
4015.8000,1.01458
4015.8500,1.04139
4015.9000,1.025
4015.9500,1.00534
4016.0000,1.01032
4016.0500,0.976678
4016.1000,0.980373
4016.1500,1.00694
4016.2000,0.990107
4016.2500,0.977664
4016.3000,1.01075
4016.3500,1.01687
4016.4000,0.997293
4016.4500,0.974807
4016.5000,1.01278
4016.5500,0.997369
4016.6000,0.997018
4016.6500,1.07215
4016.7000,1.0009
4016.7500,1.01284
4016.8000,0.995343
4016.8500,1.0432
4016.9000,0.987207
4016.9500,1.02564
4017.0000,1.00653
4017.0500,1.00865
4017.1000,1.00987
4017.1500,0.991779
4017.2000,1.0186
4017.2500,0.997394
4017.3000,1.01479
4017.3500,0.998583
4017.4000,1.03808
4017.4500,0.990319
4017.5000,1.01949
4017.5500,1.00348
4017.6000,0.996451
4017.6500,0.989831
4017.7000,1.00659
4017.7500,1.02555
4017.8000,1.01816
4017.8500,0.994508
4017.9000,1.00431
4017.9500,0.992952
4018.0000,0.991191
4018.0500,0.991649
4018.1000,1.06383
4018.1500,1.02977
4018.2000,0.995786
4018.2500,0.975258
4018.3000,0.98045
4018.3500,1.0012
4018.4000,0.988947
4018.4500,1.02434
4018.5000,0.998798
4018.5500,1.01608
4018.6000,0.985693
4018.6500,0.967719
4018.7000,0.986295
4018.7500,0.956751
4018.8000,1.0174
4018.8500,0.999548
4018.9000,0.99456
4018.9500,0.97828
4019.0000,0.961582
4019.0500,1.08801
4019.1000,0.991684
4019.1500,0.975531
4019.2000,1.00368
4019.2500,0.999786
4019.3000,0.974517
4019.3500,1.00757
4019.4000,0.973705
4019.4500,0.953883
4019.5000,1.03713
4019.5500,0.981751
4019.6000,1.01987
4019.6500,1.00894
4019.7000,0.973969
4019.7500,0.988962
4019.8000,0.966555
4019.8500,1.01421
4019.9000,0.996586
4019.9500,1.01148
4020.0000,1.0314
4020.0500,1.00098
4020.1000,0.984367
4020.1500,0.992318
4020.2000,0.976573
4020.2500,0.985478
4020.3000,0.985022
4020.3500,0.965233
4020.4000,0.987536
4020.4500,1.00472
4020.5000,1.01785
4020.5500,0.975744
4020.6000,0.992746
4020.6500,0.993319
4020.7000,0.97904
4020.7500,0.959602
4020.8000,0.965706
4020.8500,0.952843
4020.9000,0.9736
4020.9500,1.00435
4021.0000,1.0304
4021.0500,0.99906
4021.1000,0.996251
4021.1500,0.991456
4021.2000,1.02548
4021.2500,0.99453
4021.3000,0.986565
4021.3500,0.986034
4021.4000,0.984132
4021.4500,0.997686
4021.5000,1.02004
4021.5500,0.959119
4021.6000,0.989247
4021.6500,0.953226
4021.7000,0.992783
4021.7500,0.971285
4021.8000,0.976599
4021.8500,1.01038
4021.9000,1.00203
4021.9500,0.967463
4022.0000,0.969344
4022.0500,0.970037
4022.1000,0.962268
4022.1500,0.981701
4022.2000,0.995524
4022.2500,0.968144
4022.3000,0.998975
4022.3500,0.985201
4022.4000,0.984259
4022.4500,1.02075
4022.5000,0.97353
4022.5500,0.985844
4022.6000,0.970206
4022.6500,1.00192
4022.7000,0.965328
4022.7500,0.918603
4022.8000,1.00656
4022.8500,0.989144
4022.9000,0.984183
4022.9500,0.964414
4023.0000,0.993483
4023.0500,0.968565
4023.1000,0.973853
4023.1500,0.947857
4023.2000,0.9828
4023.2500,0.985995
4023.3000,0.991902
4023.3500,0.981842
4023.4000,0.98048
4023.4500,0.913593
4023.5000,0.994935
4023.5500,0.993687
4023.6000,0.957713
4023.6500,0.935121
4023.7000,0.95058
4023.7500,0.96073
4023.8000,0.942562
4023.8500,0.942187
4023.9000,0.929221
4023.9500,0.909951
4024.0000,0.926805
4024.0500,0.976386
4024.1000,0.961645
4024.1500,0.956865
4024.2000,0.913231
4024.2500,0.958199
4024.3000,0.938969
4024.3500,0.944202
4024.4000,0.960414
4024.4500,0.916581
4024.5000,0.918585
4024.5500,0.977683
4024.6000,0.945559
4024.6500,0.953336
4024.7000,0.958065
4024.7500,0.992177
4024.8000,0.920721
4024.8500,0.964797
4024.9000,0.954767
4024.9500,0.946358
4025.0000,0.882803
4025.0500,0.925505
4025.1000,0.866969
4025.1500,0.917943
4025.2000,0.97238
4025.2500,0.903519
4025.3000,0.86759
4025.3500,0.862818
4025.4000,0.859281
4025.4500,0.92206
4025.5000,0.84188
4025.5500,0.831816
4025.6000,0.815333
4025.6500,0.81788
4025.7000,0.793072
4025.7500,0.756421
4025.8000,0.776775
4025.8500,0.734877
4025.9000,0.721161
4025.9500,0.698749
4026.0000,0.682258
4026.0500,0.686342
4026.1000,0.665515
4026.1500,0.685291
4026.2000,0.660418
4026.2500,0.654173
4026.3000,0.657119
4026.3500,0.684226
4026.4000,0.703768
4026.4500,0.687566
4026.5000,0.741348
4026.5500,0.790484
4026.6000,0.776267
4026.6500,0.769997
4026.7000,0.772953
4026.7500,0.827217
4026.8000,0.832139
4026.8500,0.877687
4026.9000,0.873327
4026.9500,0.905092
4027.0000,0.935757
4027.0500,0.905551
4027.1000,0.895389
4027.1500,0.941678
4027.2000,0.945229
4027.2500,0.949874
4027.3000,0.96484
4027.3500,0.914998
4027.4000,0.949765
4027.4500,0.962249
4027.5000,0.974145
4027.5500,0.965777
4027.6000,0.951995
4027.6500,0.995095
4027.7000,0.959024
4027.7500,0.973014
4027.8000,0.990347
4027.8500,0.966205
4027.9000,0.991691
4027.9500,0.961725
4028.0000,0.933764
4028.0500,1.00296
4028.1000,0.993456
4028.1500,0.98719
4028.2000,0.978424
4028.2500,0.966594
4028.3000,0.974412
4028.3500,0.998937
4028.4000,0.994526
4028.4500,0.983436
4028.5000,0.942032
4028.5500,0.937036
4028.6000,0.981573
4028.6500,0.972775
4028.7000,0.977375
4028.7500,0.985928
4028.8000,0.98726
4028.8500,0.98851
4028.9000,0.978637
4028.9500,1.00886
4029.0000,1.0011
4029.0500,1.00467
4029.1000,0.996251
4029.1500,1.00796
4029.2000,1.01633
4029.2500,1.00055
4029.3000,0.997365
4029.3500,1.01001
4029.4000,1.02343
4029.4500,1.00166
4029.5000,1.02757
4029.5500,0.988949
4029.6000,1.00457
4029.6500,0.985062
4029.7000,1.00968
4029.7500,0.961617
4029.8000,0.96174
4029.8500,0.945868
4029.9000,0.984926
4029.9500,1.02724
4030.0000,1.0141
4030.0500,1.02312
4030.1000,0.991715
4030.1500,1.00723
4030.2000,0.981378
4030.2500,0.989365
4030.3000,0.998851
4030.3500,0.990886
4030.4000,0.951216
4030.4500,1.0283
4030.5000,1.01799
4030.5500,0.998384
4030.6000,0.986073
4030.6500,0.990651
4030.7000,0.993856
4030.7500,1.00707
4030.8000,1.00345
4030.8500,0.98643
4030.9000,0.985243
4030.9500,1.00583
4031.0000,0.995512
4031.0500,1.0139
4031.1000,0.975264
4031.1500,1.00503
4031.2000,0.986738
4031.2500,0.996901
4031.3000,0.982502
4031.3500,1.02753
4031.4000,1.00169
4031.4500,0.983787
4031.5000,1.0059
4031.5500,1.01515
4031.6000,0.9926
4031.6500,1.02849
4031.7000,1.00689
4031.7500,0.999068
4031.8000,0.990516
4031.8500,0.98546
4031.9000,1.02835
4031.9500,0.982901
4032.0000,1.01371
4032.0500,1.01183
4032.1000,1.0178
4032.1500,0.981744
4032.2000,1.02497
4032.2500,0.977849
4032.3000,1.02559
4032.3500,0.962722
4032.4000,0.982604
4032.4500,0.969139
4032.5000,0.983273
4032.5500,0.969641
4032.6000,0.991054
4032.6500,0.98901
4032.7000,0.977859
4032.7500,1.0233
4032.8000,1.0149
4032.8500,1.01079
4032.9000,0.992472
4032.9500,1.00966
4033.0000,0.989421
4033.0500,1.01548
4033.1000,0.98683
4033.1500,0.98911
4033.2000,1.01215
4033.2500,1.00954
4033.3000,1.00712
4033.3500,1.01805
4033.4000,1.0398
4033.4500,1.01257
4033.5000,1.00751
4033.5500,1.04648
4033.6000,1.00688
4033.6500,1.00409
4033.7000,0.999185
4033.7500,1.03583
4033.8000,0.983645
4033.8500,1.04527
4033.9000,1.01761
4033.9500,0.961044
