Longitud_de_onda_A,espectro
4000.0000,0.949924
4000.0500,0.948382
4000.1000,0.996665
4000.1500,0.953707
4000.2000,0.94244
4000.2500,0.952189
4000.3000,0.950447
4000.3500,0.960817
4000.4000,0.965851
4000.4500,0.938275
4000.5000,0.965783
4000.5500,0.942851
4000.6000,0.939092
4000.6500,0.970238
4000.7000,0.98687
4000.7500,0.943919
4000.8000,0.930148
4000.8500,0.96158
4000.9000,1.05054
4000.9500,0.971747
4001.0000,1.05916
4001.0500,1.03423
4001.1000,0.941403
4001.1500,0.926244
4001.2000,1.00314
4001.2500,0.936479
4001.3000,0.978348
4001.3500,0.979028
4001.4000,0.979601
4001.4500,0.949476
4001.5000,0.930824
4001.5500,0.975796
4001.6000,0.968312
4001.6500,0.960722
4001.7000,0.922652
4001.7500,0.946079
4001.8000,0.944287
4001.8500,0.942457
4001.9000,0.934484
4001.9500,0.968985
4002.0000,0.952025
4002.0500,0.975777
4002.1000,0.976031
4002.1500,0.932212
4002.2000,0.917596
4002.2500,0.996464
4002.3000,0.933195
4002.3500,0.948951
4002.4000,0.97736
4002.4500,0.942085
4002.5000,0.926175
4002.5500,0.958657
4002.6000,0.984035
4002.6500,0.961129
4002.7000,0.982548
4002.7500,0.944906
4002.8000,0.988153
4002.8500,0.935629
4002.9000,0.935795
4002.9500,1.01861
4003.0000,0.989159
4003.0500,0.958224
4003.1000,0.977438
4003.1500,0.956884
4003.2000,0.968005
4003.2500,0.936089
4003.3000,0.964942
4003.3500,0.965544
4003.4000,0.960643
4003.4500,0.965147
4003.5000,0.953566
4003.5500,0.984353
4003.6000,0.950453
4003.6500,0.953185
4003.7000,0.911634
4003.7500,0.96894
4003.8000,0.948891
4003.8500,0.976878
4003.9000,1.01408
4003.9500,0.951102
4004.0000,0.994271
4004.0500,0.977593
4004.1000,0.95533
4004.1500,1.00175
4004.2000,0.973224
4004.2500,0.982323
4004.3000,0.981868
4004.3500,0.953188
4004.4000,0.948118
4004.4500,0.950841
4004.5000,1.00666
4004.5500,0.962036
4004.6000,0.957025
4004.6500,0.912322
4004.7000,0.97427
4004.7500,0.959515
4004.8000,0.95712
4004.8500,0.936392
4004.9000,0.933701
4004.9500,0.973682
4005.0000,0.958641
4005.0500,0.916866
4005.1000,0.946553
4005.1500,0.952627
4005.2000,0.925988
4005.2500,0.960751
4005.3000,0.948469
4005.3500,0.962953
4005.4000,0.929461
4005.4500,0.957534
4005.5000,0.976813
4005.5500,0.977887
4005.6000,0.967463
4005.6500,0.960963
4005.7000,0.917494
4005.7500,0.922453
4005.8000,0.973579
4005.8500,1.03677
4005.9000,0.991187
4005.9500,0.980661
4006.0000,0.976416
4006.0500,0.953098
4006.1000,0.944992
4006.1500,0.948301
4006.2000,0.958819
4006.2500,0.968072
4006.3000,0.94581
4006.3500,1.00169
4006.4000,0.957132
4006.4500,0.972758
4006.5000,0.96487
4006.5500,0.977341
4006.6000,0.95752
4006.6500,0.965648
4006.7000,1.01321
4006.7500,0.992262
4006.8000,0.943958
4006.8500,0.95029
4006.9000,0.938953
4006.9500,0.948939
4007.0000,0.96271
4007.0500,0.936706
4007.1000,0.967884
4007.1500,0.994938
4007.2000,0.967179
4007.2500,0.981928
4007.3000,0.976645
4007.3500,0.929448
4007.4000,0.981074
4007.4500,0.978112
4007.5000,0.982689
4007.5500,1.01609
4007.6000,0.991079
4007.6500,0.981378
4007.7000,0.928238
4007.7500,0.991166
4007.8000,1.00893
4007.8500,0.969877
4007.9000,0.961524
4007.9500,0.956828
4008.0000,0.966449
4008.0500,0.940236
4008.1000,0.996383
4008.1500,0.937155
4008.2000,1.00397
4008.2500,0.971237
4008.3000,0.99548
4008.3500,1.01508
4008.4000,0.998238
4008.4500,0.964547
4008.5000,1.03442
4008.5500,0.986877
4008.6000,0.996977
4008.6500,0.972781
4008.7000,0.975879
4008.7500,0.962858
4008.8000,0.970335
4008.8500,0.970248
4008.9000,0.987944
4008.9500,0.978386
4009.0000,0.972673
4009.0500,0.930467
4009.1000,0.946712
4009.1500,0.955118
4009.2000,0.964333
4009.2500,0.998424
4009.3000,0.987713
4009.3500,1.00376
4009.4000,0.954294
4009.4500,0.953722
4009.5000,0.954049
4009.5500,0.98118
4009.6000,0.980382
4009.6500,0.969213
4009.7000,0.984127
4009.7500,0.986428
4009.8000,0.974267
4009.8500,1.00849
4009.9000,0.997541
4009.9500,0.994517
4010.0000,0.986349
4010.0500,0.966157
4010.1000,0.964282
4010.1500,0.952867
4010.2000,0.982769
4010.2500,0.949874
4010.3000,0.983024
4010.3500,0.961397
4010.4000,1.01933
4010.4500,0.967056
4010.5000,0.946743
4010.5500,0.980542
4010.6000,1.01292
4010.6500,0.98528
4010.7000,0.984717
4010.7500,1.01716
4010.8000,0.979224
4010.8500,0.960302
4010.9000,0.976822
4010.9500,0.991185
4011.0000,0.96135
4011.0500,1.01495
4011.1000,0.991591
4011.1500,0.973907
4011.2000,0.981508
4011.2500,0.973694
4011.3000,0.945961
4011.3500,0.960455
4011.4000,0.963557
4011.4500,0.963573
4011.5000,0.936134
4011.5500,0.9618
4011.6000,0.987382
4011.6500,0.988265
4011.7000,1.00163
4011.7500,1.01489
4011.8000,0.99045
4011.8500,0.983546
4011.9000,0.993582
4011.9500,0.983797
4012.0000,1.03439
4012.0500,1.00811
4012.1000,0.995517
4012.1500,1.01311
4012.2000,0.963207
4012.2500,0.955406
4012.3000,1.01421
4012.3500,1.01067
4012.4000,0.986679
4012.4500,1.00029
4012.5000,0.997205
4012.5500,0.988548
4012.6000,0.998682
4012.6500,0.99923
4012.7000,0.988063
4012.7500,0.996831
4012.8000,0.956226
4012.8500,1.05036
4012.9000,1.05234
4012.9500,1.04774
4013.0000,0.992827
4013.0500,1.01971
4013.1000,1.03573
4013.1500,0.976509
4013.2000,1.0737
4013.2500,0.988974
4013.3000,1.02836
4013.3500,0.983474
4013.4000,0.989747
4013.4500,1.00891
4013.5000,1.04985
4013.5500,1.01922
4013.6000,0.989422
4013.6500,1.00436
4013.7000,1.01978
4013.7500,1.02237
4013.8000,1.02114
4013.8500,1.02307
4013.9000,1.02184
4013.9500,1.0027
4014.0000,0.999054
4014.0500,1.01234
4014.1000,1.0364
4014.1500,1.03795
4014.2000,1.01282
4014.2500,0.977095
4014.3000,0.975636
4014.3500,1.01699
4014.4000,1.04975
4014.4500,1.05283
4014.5000,1.01357
4014.5500,1.04573
4014.6000,1.03648
4014.6500,1.00305
4014.7000,1.03116
4014.7500,1.0427
4014.8000,0.974457
4014.8500,1.03325
4014.9000,1.01568
4014.9500,0.988518
4015.0000,1.02638
4015.0500,1.02237
4015.1000,1.03514
4015.1500,1.02173
4015.2000,1.04826
4015.2500,1.04727
4015.3000,1.0959
4015.3500,1.04445
4015.4000,0.973064
4015.4500,1.00272
4015.5000,0.991062
4015.5500,1.01796
4015.6000,1.01626
4015.6500,1.00886
4015.7000,1.03046
4015.7500,1.03844
4015.8000,1.05926
4015.8500,1.00459
4015.9000,1.00774
4015.9500,1.03162
4016.0000,1.02627
4016.0500,1.00416
4016.1000,1.01432
4016.1500,1.02162
4016.2000,1.00888
4016.2500,0.988901
4016.3000,0.99664
4016.3500,1.0028
4016.4000,0.98085
4016.4500,0.996077
4016.5000,0.991365
4016.5500,0.989394
4016.6000,0.986591
4016.6500,0.9751
4016.7000,1.01278
4016.7500,1.07657
4016.8000,1.02626
4016.8500,1.00695
4016.9000,1.03213
4016.9500,1.0096
4017.0000,0.990809
4017.0500,0.945123
4017.1000,0.992938
4017.1500,1.01246
4017.2000,1.00829
4017.2500,1.00646
4017.3000,0.996094
4017.3500,1.0071
4017.4000,1.03273
4017.4500,1.00347
4017.5000,0.993085
4017.5500,1.02555
4017.6000,1.03403
4017.6500,1.0214
4017.7000,1.00759
4017.7500,0.973171
4017.8000,0.954571
4017.8500,0.993467
4017.9000,1.02736
4017.9500,1.03657
4018.0000,0.980751
4018.0500,0.993488
4018.1000,0.983131
4018.1500,0.998019
4018.2000,1.003
4018.2500,1.02976
4018.3000,0.990599
4018.3500,0.963678
4018.4000,0.98587
4018.4500,0.981522
4018.5000,0.986609
4018.5500,0.97852
4018.6000,0.951064
4018.6500,1.00924
4018.7000,1.01604
4018.7500,0.997791
4018.8000,1.01548
4018.8500,1.00179
4018.9000,0.975024
4018.9500,0.984767
4019.0000,1.02268
4019.0500,1.0284
4019.1000,0.991105
4019.1500,1.03716
4019.2000,1.00161
4019.2500,1.02343
4019.3000,1.02124
4019.3500,1.00075
4019.4000,0.983672
4019.4500,0.990779
4019.5000,0.99251
4019.5500,0.9839
4019.6000,0.982906
4019.6500,1.01423
4019.7000,0.997968
4019.7500,0.98221
4019.8000,0.99743
4019.8500,0.988889
4019.9000,1.02835
4019.9500,0.950906
4020.0000,0.942033
4020.0500,0.96118
4020.1000,0.950649
4020.1500,0.98116
4020.2000,0.95719
4020.2500,0.997634
4020.3000,0.986128
4020.3500,0.956669
4020.4000,0.969521
4020.4500,0.989368
4020.5000,0.978366
4020.5500,0.968649
4020.6000,0.989291
4020.6500,0.993393
4020.7000,0.995233
4020.7500,0.954675
4020.8000,0.976669
4020.8500,0.960903
4020.9000,0.952808
4020.9500,1.01718
4021.0000,0.996623
4021.0500,1.00169
4021.1000,0.960006
4021.1500,0.990894
4021.2000,1.01509
4021.2500,0.965517
4021.3000,0.958137
4021.3500,0.983046
4021.4000,0.959934
4021.4500,0.926797
4021.5000,0.983383
4021.5500,0.941056
4021.6000,0.965269
4021.6500,0.978866
4021.7000,0.990167
4021.7500,0.97789
4021.8000,0.99005
4021.8500,0.984994
4021.9000,0.956358
4021.9500,0.952222
4022.0000,0.921778
4022.0500,0.946228
4022.1000,0.954188
4022.1500,0.95173
4022.2000,0.95229
4022.2500,0.953961
4022.3000,0.935338
4022.3500,0.945883
4022.4000,0.932284
4022.4500,0.955839
4022.5000,0.938937
4022.5500,0.897399
4022.6000,0.941852
4022.6500,0.948679
4022.7000,0.939863
4022.7500,0.941847
4022.8000,0.959616
4022.8500,0.943617
4022.9000,0.938036
4022.9500,0.987507
4023.0000,0.947434
4023.0500,0.922613
4023.1000,0.916652
4023.1500,0.918634
4023.2000,0.92023
4023.2500,0.919623
4023.3000,0.904945
4023.3500,0.896032
4023.4000,0.885971
4023.4500,0.910239
4023.5000,0.886766
4023.5500,0.861284
4023.6000,0.885809
4023.6500,0.88055
4023.7000,0.882934
4023.7500,0.907871
4023.8000,0.892427
4023.8500,0.897175
4023.9000,0.91834
4023.9500,0.884204
4024.0000,0.896477
4024.0500,0.901029
4024.1000,0.93723
4024.1500,0.918804
4024.2000,0.89862
4024.2500,0.91282
4024.3000,0.872126
4024.3500,0.899437
4024.4000,0.832448
4024.4500,0.852837
4024.5000,0.867491
4024.5500,0.858874
4024.6000,0.898244
4024.6500,0.867323
4024.7000,0.88336
4024.7500,0.872292
4024.8000,0.851094
4024.8500,0.847047
4024.9000,0.878153
4024.9500,0.877465
4025.0000,0.911192
4025.0500,0.867599
4025.1000,0.89554
4025.1500,0.886242
4025.2000,0.914187
4025.2500,0.883924
4025.3000,0.896365
4025.3500,0.872664
4025.4000,0.866447
4025.4500,0.881521
4025.5000,0.877494
4025.5500,0.865286
4025.6000,0.81018
4025.6500,0.824792
4025.7000,0.892781
4025.7500,0.843362
4025.8000,0.876021
4025.8500,0.855164
4025.9000,0.854632
4025.9500,0.884957
4026.0000,0.88513
4026.0500,0.868756
4026.1000,0.867469
4026.1500,0.872372
4026.2000,0.864443
4026.2500,0.851403
4026.3000,0.879834
4026.3500,0.847022
4026.4000,0.865259
4026.4500,0.852423
4026.5000,0.862073
4026.5500,0.85278
4026.6000,0.862827
4026.6500,0.886511
4026.7000,0.839871
4026.7500,0.859884
4026.8000,0.857288
4026.8500,0.873219
4026.9000,0.86996
4026.9500,0.856085
4027.0000,0.843062
4027.0500,0.875422
4027.1000,0.871813
4027.1500,0.867438
4027.2000,0.848412
4027.2500,0.866415
4027.3000,0.865709
4027.3500,0.856607
4027.4000,0.830935
4027.4500,0.83585
4027.5000,0.868553
4027.5500,0.87652
4027.6000,0.885063
4027.6500,0.867606
4027.7000,0.864093
4027.7500,0.872021
4027.8000,0.869508
4027.8500,0.874363
4027.9000,0.846404
4027.9500,0.85564
4028.0000,0.872328
4028.0500,0.891086
4028.1000,0.873228
4028.1500,0.88304
4028.2000,0.865466
4028.2500,0.913537
4028.3000,0.87494
4028.3500,0.883251
4028.4000,0.894944
4028.4500,0.902141
4028.5000,0.884074
4028.5500,0.9152
4028.6000,0.900967
4028.6500,0.886062
4028.7000,0.939944
4028.7500,0.929704
4028.8000,0.912488
4028.8500,0.903664
4028.9000,0.917751
4028.9500,0.916744
4029.0000,0.960363
4029.0500,0.901881
4029.1000,0.941197
4029.1500,0.904318
4029.2000,0.924432
4029.2500,0.92418
4029.3000,0.911226
4029.3500,0.938827
4029.4000,0.917735
4029.4500,0.931898
4029.5000,0.946727
4029.5500,0.96638
4029.6000,0.944495
4029.6500,0.907697
4029.7000,0.948258
4029.7500,0.928906
4029.8000,0.932679
4029.8500,0.92642
4029.9000,0.889325
4029.9500,0.963419
4030.0000,0.971465
4030.0500,0.933101
4030.1000,0.940509
4030.1500,0.955981
4030.2000,0.945464
4030.2500,0.964027
4030.3000,0.959175
4030.3500,0.919198
4030.4000,0.938858
4030.4500,0.929763
4030.5000,0.954939
4030.5500,0.996024
4030.6000,0.977158
4030.6500,0.948258
4030.7000,0.934086
4030.7500,0.966626
4030.8000,0.996308
4030.8500,0.989262
4030.9000,0.978385
4030.9500,0.96264
4031.0000,1.00084
4031.0500,1.00013
4031.1000,0.971054
4031.1500,0.972559
4031.2000,0.9863
4031.2500,0.972431
4031.3000,0.99021
4031.3500,0.975131
4031.4000,0.969957
4031.4500,0.991205
4031.5000,0.998463
4031.5500,0.999774
4031.6000,0.959785
4031.6500,0.963621
4031.7000,1.01049
4031.7500,0.978855
4031.8000,0.980976
4031.8500,0.977105
4031.9000,1.00802
4031.9500,1.01012
4032.0000,1.01574
4032.0500,1.01885
4032.1000,1.01846
4032.1500,1.00333
4032.2000,1.00649
4032.2500,1.00269
4032.3000,0.994231
4032.3500,1.00608
4032.4000,1.01936
4032.4500,0.968263
4032.5000,0.96304
4032.5500,0.983451
4032.6000,0.982017
4032.6500,0.981338
4032.7000,0.956938
4032.7500,1.00027
4032.8000,0.991137
4032.8500,0.981687
4032.9000,1.01476
4032.9500,1.00448
4033.0000,0.976759
4033.0500,1.00044
4033.1000,0.993126
4033.1500,1.02166
4033.2000,1.00689
4033.2500,0.979218
4033.3000,1.01817
4033.3500,1.00581
4033.4000,0.990018
4033.4500,1.01358
4033.5000,0.97221
4033.5500,0.995816
4033.6000,1.00309
4033.6500,0.994385
4033.7000,0.960286
4033.7500,0.967305
4033.8000,0.978155
4033.8500,1.00552
4033.9000,0.998659
4033.9500,0.999953
4034.0000,0.997879
4034.0500,0.950689
4034.1000,0.961866
4034.1500,1.00583
4034.2000,1.03452
4034.2500,1.02171
4034.3000,1.03853
4034.3500,0.966097
4034.4000,0.982159
4034.4500,1.13325
4034.5000,0.973964
4034.5500,0.992668
4034.6000,1.02136
4034.6500,1.02362
4034.7000,0.980039
4034.7500,0.992884
4034.8000,0.977749
4034.8500,0.99493
4034.9000,0.982055
4034.9500,1.00368
4035.0000,0.970352
4035.0500,1.02232
4035.1000,0.994263
4035.1500,1.01171
4035.2000,1.01036
4035.2500,0.955815
4035.3000,0.939201
4035.3500,1.00325
4035.4000,0.996302
4035.4500,0.986913
4035.5000,0.985084
4035.5500,0.981481
4035.6000,1.00802
4035.6500,0.99699
4035.7000,1.02357
4035.7500,0.984373
4035.8000,0.979197
4035.8500,1.03733
4035.9000,1.01327
4035.9500,1.02304
4036.0000,1.01208
4036.0500,1.00688
4036.1000,1.00123
4036.1500,1.00749
4036.2000,0.981029
4036.2500,0.989848
4036.3000,1.04451
4036.3500,1.00541
4036.4000,1.01434
4036.4500,0.996679
4036.5000,0.972257
4036.5500,0.975106
4036.6000,0.990681
4036.6500,1.00483
4036.7000,1.00324
4036.7500,1.01366
4036.8000,0.977946
4036.8500,0.97425
4036.9000,1.00341
4036.9500,0.959474
4037.0000,0.962218
4037.0500,1.02351
4037.1000,0.993683
4037.1500,0.999461
4037.2000,1.01997
4037.2500,1.00013
4037.3000,1.01392
4037.3500,1.02764
4037.4000,0.984375
4037.4500,0.98562
4037.5000,1.01984
4037.5500,0.988483
4037.6000,0.976231
4037.6500,0.998036
4037.7000,0.985646
4037.7500,0.987475
4037.8000,0.989857
4037.8500,0.989621
4037.9000,1.00836
4037.9500,1.00446
4038.0000,1.01278
4038.0500,1.00348
4038.1000,1.00879
4038.1500,0.986395
4038.2000,1.00725
4038.2500,0.975956
4038.3000,0.974548
4038.3500,1.0212
4038.4000,0.994418
4038.4500,1.00396
4038.5000,1.03218
4038.5500,0.998673
4038.6000,0.989869
4038.6500,1.04256
4038.7000,0.986204
4038.7500,0.984556
4038.8000,0.995527
4038.8500,1.00424
4038.9000,1.01323
4038.9500,1.01256
4039.0000,0.965992
4039.0500,1.00284
4039.1000,0.995943
4039.1500,1.00197
4039.2000,1.02748
4039.2500,1.02804
4039.3000,1.02468
4039.3500,0.97219
4039.4000,0.981437
4039.4500,1.00513
4039.5000,1.01456
4039.5500,1.00601
4039.6000,1.00481
4039.6500,0.968686
4039.7000,0.99004
4039.7500,0.985987
4039.8000,1.03927
4039.8500,1.00829
4039.9000,1.05138
4039.9500,1.02282
4040.0000,1.00986
4040.0500,1.01454
4040.1000,1.00291
4040.1500,1.04994
4040.2000,1.03207
4040.2500,1.01152
4040.3000,1.01101
4040.3500,1.00374
4040.4000,0.963839
4040.4500,1.00917
4040.5000,1.04969
4040.5500,0.944819
4040.6000,0.998244
4040.6500,0.990548
4040.7000,1.00853
4040.7500,1.01276
4040.8000,1.0109
4040.8500,1.0447
4040.9000,1.0128
4040.9500,1.00309
4041.0000,0.940766
4041.0500,0.987086
4041.1000,1.01407
4041.1500,1.02243
4041.2000,1.0003
4041.2500,0.973914
4041.3000,1.02711
4041.3500,0.992513
4041.4000,0.999901
4041.4500,1.03426
4041.5000,1.01927
4041.5500,1.00269
4041.6000,0.971391
4041.6500,0.995034
4041.7000,0.97865
4041.7500,1.00609
4041.8000,1.01348
4041.8500,0.960748
4041.9000,0.978913
4041.9500,1.02038
4042.0000,0.996138
4042.0500,1.02121
4042.1000,1.00638
4042.1500,1.00509
4042.2000,0.985725
4042.2500,1.04433
4042.3000,0.991533
4042.3500,0.987814
4042.4000,1.02173
4042.4500,1.00347
4042.5000,1.02214
4042.5500,1.00016
4042.6000,1.00135
4042.6500,1.00607
4042.7000,0.980419
4042.7500,0.990028
4042.8000,1.00095
4042.8500,0.986039
4042.9000,0.986783
4042.9500,1.00569
4043.0000,0.998359
4043.0500,0.998581
4043.1000,1.01775
4043.1500,0.983115
4043.2000,1.04049
4043.2500,0.963195
4043.3000,0.949891
4043.3500,1.00935
4043.4000,1.02594
4043.4500,1.01618
4043.5000,0.994298
4043.5500,0.98009
4043.6000,0.985984
4043.6500,0.969128
4043.7000,0.972729
4043.7500,0.996675
4043.8000,0.9904
4043.8500,1.00857
4043.9000,1.00361
4043.9500,1.02374
4044.0000,1.02254
4044.0500,0.990385
4044.1000,1.04294
4044.1500,1.01908
4044.2000,0.994765
4044.2500,1.0039
4044.3000,1.00729
4044.3500,1.0102
4044.4000,0.999375
4044.4500,1.01099
4044.5000,0.996994
4044.5500,1.00466
4044.6000,1.01918
4044.6500,0.992993
4044.7000,0.950296
4044.7500,0.978261
4044.8000,0.988784
4044.8500,0.986588
4044.9000,0.992949
4044.9500,1.02997
4045.0000,0.998233
4045.0500,1.00587
4045.1000,1.00119
4045.1500,0.966456
4045.2000,0.973256
4045.2500,1.00475
4045.3000,1.01664
4045.3500,1.0027
4045.4000,0.990376
4045.4500,0.979785
4045.5000,1.00253
4045.5500,1.01634
4045.6000,0.995097
4045.6500,0.989311
4045.7000,1.0204
4045.7500,1.02556
4045.8000,0.970469
4045.8500,0.994223
4045.9000,0.998216
4045.9500,0.974231
4046.0000,0.998144
4046.0500,0.977408
4046.1000,1.00616
4046.1500,1.01351
4046.2000,0.976228
4046.2500,0.968395
4046.3000,0.96904
4046.3500,0.989866
4046.4000,1.02808
4046.4500,1.03238
4046.5000,1.01278
4046.5500,0.994237
4046.6000,0.995773
4046.6500,1.00322
4046.7000,0.994181
4046.7500,0.987784
4046.8000,1.00511
4046.8500,0.979928
4046.9000,0.994983
4046.9500,1.01695
4047.0000,0.992551
4047.0500,0.980553
4047.1000,0.987982
4047.1500,0.989846
4047.2000,0.986644
4047.2500,0.986554
4047.3000,0.979984
4047.3500,1.02257
