Longitud_de_onda_A,espectro
4000.0000,1.0491
4000.0500,1.0261
4000.1000,1.05001
4000.1500,0.987417
4000.2000,0.777626
4000.2500,0.610432
4000.3000,0.657503
4000.3500,0.719724
4000.4000,0.610818
4000.4500,0.50715
4000.5000,0.64124
4000.5500,0.88253
4000.6000,1.01612
4000.6500,1.05131
4000.7000,1.0403
4000.7500,1.02486
4000.8000,0.991422
4000.8500,1.02559
4000.9000,1.01294
4000.9500,1.01514
4001.0000,0.953951
4001.0500,0.833988
4001.1000,0.70355
4001.1500,0.623119
4001.2000,0.691269
4001.2500,0.849545
4001.3000,0.951562
4001.3500,0.924135
4001.4000,0.781811
4001.4500,0.694997
4001.5000,0.834902
4001.5500,0.871668
4001.6000,0.723857
4001.6500,0.480169
4001.7000,0.518656
4001.7500,0.759956
4001.8000,0.972615
4001.8500,1.05256
4001.9000,1.02121
4001.9500,0.974103
4002.0000,0.898962
4002.0500,0.778007
4002.1000,0.803133
4002.1500,0.93813
4002.2000,1.03825
4002.2500,1.08233
4002.3000,1.05151
4002.3500,0.994577
4002.4000,0.956235
4002.4500,0.891125
4002.5000,0.842674
4002.5500,0.875571
4002.6000,0.895052
4002.6500,0.845727
4002.7000,0.892402
4002.7500,1.00324
4002.8000,1.01074
4002.8500,0.898784
4002.9000,0.691207
4002.9500,0.656371
4003.0000,0.852092
4003.0500,1.02756
4003.1000,1.07698
4003.1500,1.06953
4003.2000,1.0443
4003.2500,0.985179
4003.3000,1.01584
4003.3500,1.04572
4003.4000,1.04916
4003.4500,1.03628
4003.5000,1.03447
4003.5500,1.03944
4003.6000,1.03967
4003.6500,0.99608
4003.7000,0.817383
4003.7500,0.606964
4003.8000,0.651911
4003.8500,0.847687
4003.9000,0.982056
4003.9500,1.00421
4004.0000,0.999701
4004.0500,1.02896
4004.1000,1.03762
4004.1500,1.00962
4004.2000,1.02028
4004.2500,1.06244
4004.3000,1.06627
4004.3500,1.04311
4004.4000,1.0579
4004.4500,1.08421
4004.5000,1.07716
4004.5500,1.03673
4004.6000,0.993229
4004.6500,0.993602
4004.7000,0.960101
4004.7500,0.827161
4004.8000,0.563987
4004.8500,0.371592
4004.9000,0.329158
4004.9500,0.350764
4005.0000,0.38884
4005.0500,0.430877
4005.1000,0.463822
4005.1500,0.415416
4005.2000,0.28769
4005.2500,0.207024
4005.3000,0.277127
4005.3500,0.36808
4005.4000,0.453521
4005.4500,0.516234
4005.5000,0.635407
4005.5500,0.805681
4005.6000,0.804149
4005.6500,0.621195
4005.7000,0.502804
4005.7500,0.693474
4005.8000,0.871804
4005.8500,0.978776
4005.9000,1.00677
4005.9500,0.986129
4006.0000,1.00891
4006.0500,0.970192
4006.1000,0.816137
4006.1500,0.712415
4006.2000,0.748442
4006.2500,0.715404
4006.3000,0.563369
4006.3500,0.62424
4006.4000,0.855734
4006.4500,0.969896
4006.5000,0.959094
4006.5500,0.824578
4006.6000,0.597152
4006.6500,0.491283
4006.7000,0.516333
4006.7500,0.481572
4006.8000,0.562206
4006.8500,0.763416
4006.9000,0.866778
4006.9500,0.870105
4007.0000,0.811808
4007.0500,0.885684
4007.1000,1.01029
4007.1500,0.983957
4007.2000,0.797215
4007.2500,0.562962
4007.3000,0.560101
4007.3500,0.808005
4007.4000,0.960238
4007.4500,1.02169
4007.5000,1.0256
4007.5500,1.03177
4007.6000,1.01649
4007.6500,1.03274
4007.7000,1.0344
4007.7500,1.02849
4007.8000,0.946736
4007.8500,0.815016
4007.9000,0.725941
4007.9500,0.714988
4008.0000,0.753067
4008.0500,0.821495
4008.1000,0.85788
4008.1500,0.886028
4008.2000,0.962762
4008.2500,1.03501
4008.3000,1.071
4008.3500,1.07219
4008.4000,1.06036
4008.4500,1.06981
4008.5000,1.0689
4008.5500,1.04963
4008.6000,1.00627
4008.6500,1.01198
4008.7000,1.00808
4008.7500,0.996132
4008.8000,0.844547
4008.8500,0.613977
4008.9000,0.486136
4008.9500,0.602959
4009.0000,0.839298
4009.0500,0.92279
4009.1000,0.802886
4009.1500,0.733791
4009.2000,0.864772
4009.2500,1.01787
4009.3000,1.08518
4009.3500,1.10025
4009.4000,1.09974
4009.4500,1.04503
4009.5000,0.896921
4009.5500,0.78378
4009.6000,0.73519
4009.6500,0.541973
4009.7000,0.396916
4009.7500,0.513306
4009.8000,0.789374
4009.8500,0.930346
4009.9000,0.964061
4009.9500,0.947332
4010.0000,0.972276
4010.0500,1.00598
4010.1000,0.977063
4010.1500,0.875768
4010.2000,0.87982
4010.2500,0.969924
4010.3000,1.03036
4010.3500,1.02698
4010.4000,1.02007
4010.4500,0.964869
4010.5000,0.855506
4010.5500,0.674806
4010.6000,0.645148
4010.6500,0.790869
4010.7000,0.85611
4010.7500,0.773073
4010.8000,0.767762
4010.8500,0.788499
4010.9000,0.760152
4010.9500,0.80705
4011.0000,0.953003
4011.0500,1.04578
4011.1000,1.06156
4011.1500,1.09226
4011.2000,1.08504
4011.2500,1.09628
4011.3000,1.06061
4011.3500,0.892072
4011.4000,0.723278
4011.4500,0.772935
4011.5000,0.918558
4011.5500,1.00025
4011.6000,1.01007
4011.6500,0.92584
4011.7000,0.765739
4011.7500,0.820225
4011.8000,0.958362
4011.8500,1.023
4011.9000,1.02088
4011.9500,1.03874
4012.0000,1.0413
4012.0500,1.02036
4012.1000,0.958835
4012.1500,0.862239
4012.2000,0.772147
4012.2500,0.716162
4012.3000,0.650385
4012.3500,0.472595
4012.4000,0.404043
4012.4500,0.496163
4012.5000,0.668401
4012.5500,0.807829
4012.6000,0.867416
4012.6500,0.893057
4012.7000,0.941625
4012.7500,0.99657
4012.8000,1.04829
4012.8500,1.09317
4012.9000,1.09407
4012.9500,1.08531
4013.0000,1.10614
4013.0500,1.08789
4013.1000,1.07346
4013.1500,1.08434
4013.2000,1.06271
4013.2500,1.04872
4013.3000,1.0851
4013.3500,1.10685
4013.4000,1.08116
4013.4500,1.07246
4013.5000,0.990136
4013.5500,0.822833
4013.6000,0.609263
4013.6500,0.591223
4013.7000,0.644494
4013.7500,0.573899
4013.8000,0.443346
4013.8500,0.500977
4013.9000,0.692592
4013.9500,0.859199
4014.0000,0.971468
4014.0500,1.03976
4014.1000,1.08089
4014.1500,1.06275
4014.2000,0.932082
4014.2500,0.778636
4014.3000,0.796844
4014.3500,0.9139
4014.4000,0.862534
4014.4500,0.618752
4014.5000,0.387981
4014.5500,0.417749
4014.6000,0.646632
4014.6500,0.85602
4014.7000,0.990811
4014.7500,1.04653
4014.8000,1.01322
4014.8500,0.996584
4014.9000,0.918035
4014.9500,0.915483
4015.0000,0.967844
4015.0500,1.02762
4015.1000,1.00454
4015.1500,0.998726
4015.2000,1.01412
4015.2500,1.04352
4015.3000,1.01022
4015.3500,0.930056
4015.4000,0.865693
4015.4500,0.795998
4015.5000,0.72727
4015.5500,0.631376
4015.6000,0.546929
4015.6500,0.636872
4015.7000,0.844629
4015.7500,0.97993
4015.8000,1.05474
4015.8500,1.06764
4015.9000,1.0552
4015.9500,1.01483
4016.0000,1.0049
4016.0500,1.03351
4016.1000,1.04233
4016.1500,1.03387
4016.2000,1.0278
4016.2500,0.983451
4016.3000,0.952583
4016.3500,0.800461
4016.4000,0.629937
4016.4500,0.655363
4016.5000,0.826174
4016.5500,0.945444
4016.6000,1.00801
4016.6500,1.01155
4016.7000,0.977047
4016.7500,0.900445
4016.8000,0.882065
4016.8500,0.92618
4016.9000,0.967474
4016.9500,0.933666
4017.0000,0.816941
4017.0500,0.589022
4017.1000,0.384905
4017.1500,0.384297
4017.2000,0.558554
4017.2500,0.757482
4017.3000,0.885431
4017.3500,0.858912
4017.4000,0.72788
4017.4500,0.561218
4017.5000,0.520601
4017.5500,0.545841
4017.6000,0.678161
4017.6500,0.855862
4017.7000,0.919804
4017.7500,0.905143
4017.8000,0.920629
4017.8500,0.992625
4017.9000,1.01292
4017.9500,0.941683
