Longitud_de_onda_A,espectro
4000.0000,0.97395
4000.0500,0.968913
4000.1000,0.959923
4000.1500,0.985371
4000.2000,0.991385
4000.2500,0.999476
4000.3000,0.972144
4000.3500,0.961225
4000.4000,0.999097
4000.4500,0.969557
4000.5000,0.996281
4000.5500,0.985561
4000.6000,0.994891
4000.6500,1.01132
4000.7000,0.977689
4000.7500,1.01093
4000.8000,1.01093
4000.8500,0.998812
4000.9000,1.01737
4000.9500,1.02733
4001.0000,1.00869
4001.0500,0.988301
4001.1000,0.972598
4001.1500,0.996815
4001.2000,0.991917
4001.2500,0.990958
4001.3000,0.974337
4001.3500,0.990374
4001.4000,0.975865
4001.4500,1.00938
4001.5000,0.997222
4001.5500,0.9983
4001.6000,0.97814
4001.6500,0.997994
4001.7000,1.0256
4001.7500,1.00038
4001.8000,0.988238
4001.8500,0.990695
4001.9000,0.990967
4001.9500,1.00031
4002.0000,0.98136
4002.0500,0.984987
4002.1000,0.963585
4002.1500,0.977984
4002.2000,0.99607
4002.2500,0.98931
4002.3000,1.00451
4002.3500,0.984794
4002.4000,0.977326
4002.4500,0.964711
4002.5000,1.00284
4002.5500,0.996695
4002.6000,0.974473
4002.6500,0.979284
4002.7000,0.979038
4002.7500,0.982265
4002.8000,0.956631
4002.8500,0.946353
4002.9000,0.969575
4002.9500,0.967032
4003.0000,0.962511
4003.0500,0.98231
4003.1000,0.985774
4003.1500,0.979937
4003.2000,0.976931
4003.2500,0.964043
4003.3000,0.941604
4003.3500,0.975328
4003.4000,0.959018
4003.4500,0.95783
4003.5000,0.975974
4003.5500,0.961063
4003.6000,0.979764
4003.6500,0.979907
4003.7000,0.962413
4003.7500,0.964068
4003.8000,0.958886
4003.8500,0.96319
4003.9000,0.981013
4003.9500,0.959596
4004.0000,0.950909
4004.0500,0.969575
4004.1000,0.943666
4004.1500,0.950146
4004.2000,0.945187
4004.2500,0.949653
4004.3000,0.954457
4004.3500,0.972625
4004.4000,0.961508
4004.4500,0.981756
4004.5000,0.954599
4004.5500,0.971041
4004.6000,0.978282
4004.6500,0.988366
4004.7000,1.00735
4004.7500,1.00852
4004.8000,0.996499
4004.8500,1.01173
4004.9000,1.00572
4004.9500,0.990389
4005.0000,0.976274
4005.0500,0.981916
4005.1000,0.988602
4005.1500,1.00548
4005.2000,0.989608
4005.2500,0.977051
4005.3000,1.03047
4005.3500,1.01211
4005.4000,0.960284
4005.4500,0.992646
4005.5000,1.02018
4005.5500,1.01097
4005.6000,0.981972
4005.6500,1.003
4005.7000,1.0175
4005.7500,0.993909
4005.8000,1.02426
4005.8500,1.0121
4005.9000,0.995545
4005.9500,0.981142
4006.0000,0.985542
4006.0500,0.991128
4006.1000,1.00403
4006.1500,1.03296
4006.2000,1.02917
4006.2500,1.0144
4006.3000,1.00366
4006.3500,1.01607
4006.4000,1.02155
4006.4500,1.0274
4006.5000,1.00884
4006.5500,0.999123
4006.6000,1.03886
4006.6500,1.02535
4006.7000,1.00935
4006.7500,1.00243
4006.8000,1.02156
4006.8500,1.01199
4006.9000,1.00775
4006.9500,1.01984
4007.0000,1.01191
4007.0500,0.982281
4007.1000,0.999294
