Longitud_de_onda_A,espectro
4000.0000,0.973105
4000.0500,0.967519
4000.1000,0.958844
4000.1500,0.984683
4000.2000,0.99114
4000.2500,0.999222
4000.3000,0.971335
4000.3500,0.961487
4000.4000,0.998817
4000.4500,0.968394
4000.5000,0.996699
4000.5500,0.985825
4000.6000,0.99603
4000.6500,1.01137
4000.7000,0.978415
4000.7500,1.01124
4000.8000,1.01091
4000.8500,0.997866
4000.9000,1.01766
4000.9500,1.02745
4001.0000,1.00808
4001.0500,0.98846
4001.1000,0.972558
4001.1500,0.99558
4001.2000,0.993579
4001.2500,0.991426
4001.3000,0.975201
4001.3500,0.990755
4001.4000,0.973724
4001.4500,1.00875
4001.5000,0.998361
4001.5500,0.997401
4001.6000,0.979017
4001.6500,0.997805
4001.7000,1.02704
4001.7500,1.00127
4001.8000,0.988013
4001.8500,0.991021
4001.9000,0.992157
4001.9500,0.999719
4002.0000,0.981836
4002.0500,0.984509
4002.1000,0.963884
4002.1500,0.978584
4002.2000,0.995585
4002.2500,0.988967
4002.3000,1.00434
4002.3500,0.984327
4002.4000,0.977663
4002.4500,0.965945
4002.5000,1.00304
4002.5500,0.997418
4002.6000,0.975533
4002.6500,0.979374
4002.7000,0.979678
4002.7500,0.98273
4002.8000,0.956884
4002.8500,0.946616
4002.9000,0.969771
4002.9500,0.96783
4003.0000,0.961984
4003.0500,0.982351
4003.1000,0.985337
4003.1500,0.981271
4003.2000,0.977557
4003.2500,0.963968
4003.3000,0.942774
4003.3500,0.97569
4003.4000,0.95853
4003.4500,0.959535
4003.5000,0.974955
4003.5500,0.962182
4003.6000,0.97943
4003.6500,0.980165
4003.7000,0.96314
4003.7500,0.964037
4003.8000,0.959217
4003.8500,0.961814
4003.9000,0.981187
4003.9500,0.960137
4004.0000,0.950407
4004.0500,0.969842
4004.1000,0.944141
4004.1500,0.949716
4004.2000,0.943587
4004.2500,0.94819
4004.3000,0.953282
4004.3500,0.972634
4004.4000,0.960652
4004.4500,0.981564
4004.5000,0.954937
4004.5500,0.971444
4004.6000,0.978283
4004.6500,0.988917
4004.7000,1.00816
4004.7500,1.00794
4004.8000,0.99562
4004.8500,1.01195
4004.9000,1.0047
4004.9500,0.990529
4005.0000,0.976344
4005.0500,0.982625
4005.1000,0.988156
4005.1500,1.00625
4005.2000,0.989848
4005.2500,0.976236
