Longitud_de_onda_A,espectro
4000.0000,1.02749
4000.0500,0.969869
4000.1000,1.01559
4000.1500,0.955661
4000.2000,0.984662
4000.2500,0.988815
4000.3000,0.987227
4000.3500,0.963866
4000.4000,0.93867
4000.4500,0.961203
4000.5000,0.955893
4000.5500,0.991969
4000.6000,0.952955
4000.6500,0.955538
4000.7000,0.981837
4000.7500,0.975883
4000.8000,0.954596
4000.8500,0.975214
4000.9000,0.998
4000.9500,0.943868
4001.0000,0.920981
4001.0500,0.967005
4001.1000,1.02011
4001.1500,0.942976
4001.2000,1.01064
4001.2500,0.94655
4001.3000,0.942817
4001.3500,0.910541
4001.4000,0.974764
4001.4500,0.997662
4001.5000,0.957048
4001.5500,0.974015
4001.6000,0.947281
4001.6500,0.948726
4001.7000,0.973795
4001.7500,0.985816
4001.8000,0.985135
4001.8500,0.962105
4001.9000,0.957754
4001.9500,0.953739
4002.0000,0.958296
4002.0500,1.00804
4002.1000,0.892843
4002.1500,0.936714
4002.2000,1.01279
4002.2500,0.98484
4002.3000,0.944259
4002.3500,0.995219
4002.4000,1.00008
4002.4500,0.946599
4002.5000,1.01802
4002.5500,1.00824
4002.6000,0.965894
4002.6500,1.0016
4002.7000,0.973173
4002.7500,0.961204
4002.8000,0.93873
4002.8500,0.979197
4002.9000,0.969092
4002.9500,0.955931
4003.0000,0.966745
4003.0500,1.00936
4003.1000,0.968178
4003.1500,0.947134
4003.2000,0.950784
4003.2500,0.976416
4003.3000,0.968083
4003.3500,1.0087
4003.4000,0.959571
4003.4500,0.953089
4003.5000,0.99645
4003.5500,0.99605
4003.6000,0.978183
4003.6500,0.995153
4003.7000,0.936333
4003.7500,0.993242
4003.8000,1.02423
4003.8500,0.996085
4003.9000,0.963023
4003.9500,0.942874
4004.0000,0.937229
4004.0500,0.964901
4004.1000,1.04065
4004.1500,0.975405
4004.2000,0.980655
4004.2500,0.936865
4004.3000,0.971733
4004.3500,1.01193
4004.4000,0.981965
4004.4500,0.943223
4004.5000,1.08715
4004.5500,1.04324
4004.6000,1.02817
4004.6500,1.00231
4004.7000,0.966478
4004.7500,0.991423
4004.8000,0.987924
4004.8500,0.990863
4004.9000,0.984776
4004.9500,0.990679
4005.0000,0.98991
4005.0500,0.969041
4005.1000,1.01657
4005.1500,0.97459
4005.2000,1.03881
4005.2500,0.999803
4005.3000,0.99224
4005.3500,0.980905
4005.4000,1.00294
4005.4500,0.930385
4005.5000,0.921015
4005.5500,1.01048
4005.6000,0.965699
4005.6500,0.978687
4005.7000,0.974112
4005.7500,1.02007
4005.8000,0.951528
4005.8500,0.997794
4005.9000,0.9929
4005.9500,1.00348
4006.0000,0.991327
4006.0500,1.0191
4006.1000,1.03492
4006.1500,0.989882
4006.2000,1.00853
4006.2500,1.01133
4006.3000,1.0789
4006.3500,1.01032
4006.4000,1.01406
4006.4500,1.01825
4006.5000,1.02518
4006.5500,1.05195
4006.6000,0.977283
4006.6500,1.00962
4006.7000,0.979829
4006.7500,1.05084
4006.8000,1.03492
4006.8500,1.01796
4006.9000,0.968686
4006.9500,1.03008
4007.0000,0.999045
4007.0500,1.05291
4007.1000,1.01886
4007.1500,0.973863
4007.2000,0.997642
4007.2500,1.01974
4007.3000,0.949148
4007.3500,1.02485
4007.4000,0.971861
4007.4500,0.988946
4007.5000,1.01424
4007.5500,1.02068
4007.6000,1.04276
4007.6500,1.04989
4007.7000,1.03318
4007.7500,0.971569
4007.8000,1.00493
4007.8500,1.01243
4007.9000,1.04717
4007.9500,1.00872
4008.0000,0.995737
4008.0500,1.02387
4008.1000,1.02807
4008.1500,0.986894
4008.2000,1.01795
4008.2500,1.04099
4008.3000,0.981055
4008.3500,0.986444
4008.4000,1.03678
4008.4500,1.01865
4008.5000,1.05862
4008.5500,1.04433
4008.6000,1.01754
4008.6500,1.00237
4008.7000,0.978421
4008.7500,0.974109
4008.8000,0.937538
4008.8500,0.983421
4008.9000,1.04406
4008.9500,0.946032
4009.0000,1.0141
4009.0500,1.00387
4009.1000,1.02768
4009.1500,1.00664
4009.2000,0.971485
4009.2500,0.957915
4009.3000,0.979341
4009.3500,0.994579
4009.4000,0.985555
4009.4500,1.00691
4009.5000,1.02434
4009.5500,1.01642
4009.6000,0.996191
4009.6500,1.00094
4009.7000,1.04696
4009.7500,1.01719
4009.8000,1.06552
4009.8500,1.01526
4009.9000,1.0161
4009.9500,1.01714
4010.0000,1.00053
4010.0500,1.05364
4010.1000,1.03085
4010.1500,1.00842
4010.2000,1.00791
4010.2500,0.983533
4010.3000,0.984971
4010.3500,1.0172
4010.4000,1.04513
4010.4500,1.00747
4010.5000,1.04911
4010.5500,1.04959
4010.6000,0.956512
4010.6500,1.0271
4010.7000,1.02202
4010.7500,1.00837
4010.8000,0.9875
4010.8500,1.00016
4010.9000,0.965419
4010.9500,1.02132
4011.0000,0.990619
4011.0500,0.984491
4011.1000,1.0051
4011.1500,0.968029
4011.2000,1.02359
4011.2500,1.03713
4011.3000,0.993524
4011.3500,1.00697
4011.4000,1.0251
4011.4500,1.00209
4011.5000,1.02578
4011.5500,0.958206
4011.6000,1.02295
4011.6500,0.957453
4011.7000,0.974521
4011.7500,1.05172
4011.8000,1.09363
4011.8500,1.04679
4011.9000,1.09761
