Longitud_de_onda_A,espectro
4000.0000,0.933959
4000.0500,1.02589
4000.1000,0.963542
4000.1500,0.952386
4000.2000,1.03631
4000.2500,0.995288
4000.3000,1.00783
4000.3500,0.986794
4000.4000,0.946936
4000.4500,0.966493
4000.5000,1.01415
4000.5500,1.04312
4000.6000,0.957209
4000.6500,0.969319
4000.7000,0.910308
4000.7500,1.01787
4000.8000,0.969021
4000.8500,0.941695
4000.9000,0.923265
4000.9500,0.998777
4001.0000,1.01065
4001.0500,0.979573
4001.1000,1.02508
4001.1500,1.03883
4001.2000,0.985903
4001.2500,1.03026
4001.3000,0.949272
4001.3500,0.981614
4001.4000,0.966857
4001.4500,0.955009
4001.5000,0.989862
4001.5500,1.02362
4001.6000,1.01948
4001.6500,0.991186
4001.7000,0.977788
4001.7500,1.02865
4001.8000,0.989852
4001.8500,1.06727
4001.9000,1.03069
4001.9500,1.00382
4002.0000,0.991295
4002.0500,0.974585
4002.1000,1.00399
4002.1500,1.02899
4002.2000,0.990975
4002.2500,0.978832
4002.3000,1.02539
4002.3500,1.03716
4002.4000,1.03081
4002.4500,1.03307
4002.5000,1.04578
4002.5500,1.05903
4002.6000,1.07516
4002.6500,0.99621
4002.7000,0.95451
4002.7500,0.983723
4002.8000,0.971318
4002.8500,1.00157
4002.9000,0.978866
4002.9500,0.949503
4003.0000,0.952005
4003.0500,0.966387
4003.1000,0.98059
4003.1500,0.996664
4003.2000,0.993555
4003.2500,0.974566
4003.3000,0.994534
4003.3500,0.965078
4003.4000,1.00211
4003.4500,1.00486
4003.5000,0.999585
4003.5500,0.966153
4003.6000,1.0439
4003.6500,0.978862
4003.7000,1.03655
4003.7500,1.00295
4003.8000,0.977997
4003.8500,0.98766
4003.9000,1.00766
4003.9500,0.992221
4004.0000,1.01
4004.0500,0.997756
4004.1000,0.97426
4004.1500,0.928925
4004.2000,0.99781
4004.2500,0.919236
4004.3000,0.986932
4004.3500,1.06524
4004.4000,1.03855
4004.4500,1.01767
4004.5000,0.974706
4004.5500,1.05772
4004.6000,1.01822
4004.6500,1.00478
4004.7000,0.976643
4004.7500,1.05649
4004.8000,1.00284
4004.8500,0.982484
4004.9000,0.97376
4004.9500,1.03721
4005.0000,0.959077
4005.0500,0.987204
4005.1000,0.998834
4005.1500,0.962724
4005.2000,1.00496
4005.2500,1.02113
4005.3000,1.00401
4005.3500,0.996372
4005.4000,0.928338
4005.4500,1.04208
4005.5000,1.03965
4005.5500,0.97215
4005.6000,1.03706
4005.6500,0.951543
4005.7000,0.996197
4005.7500,0.986411
4005.8000,0.952972
4005.8500,1.0281
4005.9000,1.01789
4005.9500,1.01501
4006.0000,1.02309
4006.0500,1.03475
4006.1000,1.09671
4006.1500,0.986252
4006.2000,1.00748
4006.2500,1.05091
4006.3000,1.03789
4006.3500,1.02417
4006.4000,1.03796
4006.4500,0.986582
4006.5000,0.948241
4006.5500,1.08047
4006.6000,1.03705
4006.6500,0.980788
4006.7000,1.00542
4006.7500,0.972109
4006.8000,1.02113
4006.8500,1.0112
4006.9000,1.01592
4006.9500,1.0456
4007.0000,1.0145
4007.0500,1.04166
4007.1000,0.991899
4007.1500,0.965493
4007.2000,0.994998
4007.2500,1.00687
4007.3000,1.02753
4007.3500,1.01349
4007.4000,0.999794
4007.4500,0.928603
4007.5000,1.04595
4007.5500,1.03122
4007.6000,1.00135
4007.6500,0.991605
4007.7000,1.02402
4007.7500,1.01956
4007.8000,0.953809
4007.8500,1.02852
4007.9000,1.02796
4007.9500,0.920005
4008.0000,0.999395
4008.0500,1.0728
4008.1000,1.01549
4008.1500,1.05891
4008.2000,0.976437
4008.2500,1.01816
4008.3000,0.974226
4008.3500,1.01883
4008.4000,1.04367
4008.4500,0.986843
4008.5000,0.984573
4008.5500,1.0642
4008.6000,0.972174
4008.6500,1.04579
4008.7000,0.990011
4008.7500,0.994699
4008.8000,0.961122
4008.8500,0.983769
4008.9000,0.956372
4008.9500,1.00357
4009.0000,0.947528
4009.0500,0.981262
4009.1000,1.01433
4009.1500,1.0545
4009.2000,0.977863
4009.2500,0.997011
4009.3000,1.02917
4009.3500,0.985331
4009.4000,1.01108
4009.4500,1.01262
