Longitud_de_onda_A,espectro
4000.0000,0.9833
4000.0500,0.950202
4000.1000,0.965258
4000.1500,0.989713
4000.2000,1.02378
4000.2500,0.999275
4000.3000,0.998498
4000.3500,0.949646
4000.4000,0.964002
4000.4500,0.978596
4000.5000,0.97215
4000.5500,0.922562
4000.6000,0.96507
4000.6500,0.989349
4000.7000,0.976045
4000.7500,0.974808
4000.8000,0.974623
4000.8500,1.00482
4000.9000,1.01482
4000.9500,0.975909
4001.0000,0.989169
4001.0500,0.970505
4001.1000,0.9657
4001.1500,1.0401
4001.2000,0.998387
4001.2500,0.917874
4001.3000,1.0101
4001.3500,1.0025
4001.4000,0.95858
4001.4500,0.987098
4001.5000,0.993476
4001.5500,1.01435
4001.6000,0.995052
4001.6500,0.94926
4001.7000,0.984826
4001.7500,0.950648
4001.8000,0.962472
4001.8500,0.983481
4001.9000,0.978652
4001.9500,0.97589
4002.0000,1.0106
4002.0500,0.962835
4002.1000,1.01982
4002.1500,0.990443
4002.2000,0.989688
4002.2500,0.981537
4002.3000,0.95069
4002.3500,0.984686
4002.4000,0.977031
4002.4500,0.973147
4002.5000,1.00885
4002.5500,0.954871
4002.6000,1.02084
4002.6500,1.03327
4002.7000,0.991646
4002.7500,0.960186
4002.8000,0.98036
4002.8500,0.995233
4002.9000,1.02381
4002.9500,0.960674
4003.0000,0.983195
4003.0500,1.03171
4003.1000,1.02476
4003.1500,1.02093
4003.2000,1.00106
4003.2500,1.01756
4003.3000,0.974539
4003.3500,1.00002
4003.4000,0.995642
4003.4500,0.96852
4003.5000,1.01009
4003.5500,1.01971
4003.6000,1.00278
4003.6500,1.00661
4003.7000,0.987657
4003.7500,0.97216
4003.8000,0.992592
4003.8500,0.99774
4003.9000,1.01357
4003.9500,0.984394
4004.0000,1.0228
4004.0500,0.96953
4004.1000,0.963884
4004.1500,1.00226
4004.2000,0.993816
4004.2500,0.971853
4004.3000,1.00718
4004.3500,0.980235
4004.4000,0.988768
4004.4500,1.01414
4004.5000,1.00327
4004.5500,0.984047
4004.6000,1.04315
4004.6500,0.971509
4004.7000,0.96122
4004.7500,0.984538
4004.8000,0.947182
4004.8500,0.98757
4004.9000,1.01265
4004.9500,1.01953
4005.0000,1.0514
4005.0500,1.03217
4005.1000,1.00854
4005.1500,0.961646
4005.2000,0.981919
4005.2500,0.980306
4005.3000,1.01409
4005.3500,1.02338
4005.4000,0.992333
4005.4500,0.987751
4005.5000,1.03275
4005.5500,1.00739
4005.6000,1.01134
4005.6500,1.02315
4005.7000,0.978869
4005.7500,1.01063
4005.8000,0.990189
4005.8500,1.03632
4005.9000,0.982706
4005.9500,0.996021
4006.0000,1.00656
4006.0500,1.00131
4006.1000,0.976257
4006.1500,0.991472
4006.2000,0.958171
4006.2500,0.985752
4006.3000,0.993308
4006.3500,0.991666
4006.4000,0.988115
4006.4500,1.00137
4006.5000,1.02498
4006.5500,1.00652
4006.6000,0.982306
4006.6500,0.989855
4006.7000,1.03813
4006.7500,1.02514
4006.8000,1.02318
4006.8500,1.015
4006.9000,1.03385
4006.9500,0.980367
4007.0000,1.01287
4007.0500,1.03659
4007.1000,1.06381
4007.1500,0.962805
4007.2000,0.979193
4007.2500,1.01949
4007.3000,1.016
4007.3500,0.96169
4007.4000,0.979204
4007.4500,1.0102
4007.5000,1.01809
4007.5500,0.983931
4007.6000,0.982169
4007.6500,1.01058
4007.7000,0.995383
4007.7500,0.998945
4007.8000,0.965724
4007.8500,0.965357
4007.9000,0.95745
4007.9500,0.965151
4008.0000,0.994623
4008.0500,1.00622
4008.1000,0.985313
4008.1500,0.978331
4008.2000,1.02793
4008.2500,0.982225
4008.3000,0.970557
4008.3500,0.987599
4008.4000,1.00697
4008.4500,1.00413
4008.5000,0.940863
4008.5500,0.929502
4008.6000,0.969464
4008.6500,0.989786
4008.7000,0.993256
4008.7500,0.961852
4008.8000,0.999311
4008.8500,0.975094
4008.9000,0.952569
4008.9500,0.970234
4009.0000,0.979352
4009.0500,0.992264
4009.1000,0.993672
4009.1500,0.991438
4009.2000,0.976974
4009.2500,0.982603
4009.3000,0.969723
4009.3500,0.960788
4009.4000,0.959042
4009.4500,0.975981
4009.5000,0.964775
4009.5500,1.01323
4009.6000,0.999826
4009.6500,0.95708
4009.7000,0.998585
4009.7500,0.99181
4009.8000,1.05018
4009.8500,1.01712
4009.9000,0.988503
4009.9500,0.962435
4010.0000,1.01181
4010.0500,1.01761
4010.1000,0.970514
4010.1500,0.969592
4010.2000,0.968118
4010.2500,0.978576
4010.3000,1.00569
4010.3500,0.9692
4010.4000,1.02166
4010.4500,1.01192
4010.5000,0.964517
4010.5500,1.03514
4010.6000,0.974916
4010.6500,0.981287
4010.7000,1.01556
4010.7500,0.993427
4010.8000,1.01688
4010.8500,0.979197
4010.9000,0.975528
4010.9500,1.06927
4011.0000,1.00425
4011.0500,0.999302
4011.1000,0.997333
4011.1500,0.984121
4011.2000,0.988878
4011.2500,0.990706
4011.3000,0.992851
4011.3500,1.01346
4011.4000,1.00027
4011.4500,0.999074
4011.5000,1.00286
4011.5500,1.04959
4011.6000,0.990078
4011.6500,0.99547
4011.7000,1.00824
4011.7500,1.05142
4011.8000,1.0426
4011.8500,1.02308
4011.9000,1.03676
4011.9500,0.958564
4012.0000,0.991962
4012.0500,0.97489
4012.1000,1.06542
4012.1500,1.04999
4012.2000,1.0255
4012.2500,0.996161
4012.3000,1.06585
4012.3500,1.05489
4012.4000,1.05058
4012.4500,1.03304
4012.5000,1.02315
4012.5500,1.03852
4012.6000,1.02491
4012.6500,0.96452
4012.7000,0.993182
4012.7500,1.03382
4012.8000,1.0293
4012.8500,1.01051
4012.9000,0.964861
4012.9500,1.01338
4013.0000,1.07259
4013.0500,0.984076
4013.1000,1.00936
4013.1500,1.01929
4013.2000,0.969283
4013.2500,0.989556
4013.3000,1.01481
4013.3500,1.05002
4013.4000,1.01978
4013.4500,1.00952
4013.5000,1.04106
4013.5500,1.02124
4013.6000,1.07423
4013.6500,0.992521
4013.7000,1.00817
4013.7500,0.998632
4013.8000,0.991086
4013.8500,1.00228
4013.9000,1.02741
4013.9500,0.994425
4014.0000,0.97874
4014.0500,1.00742
4014.1000,1.0568
4014.1500,1.02475
4014.2000,1.00312
4014.2500,0.974124
4014.3000,0.976397
4014.3500,0.987528
4014.4000,0.979656
4014.4500,0.985183
4014.5000,0.998093
4014.5500,1.04193
4014.6000,1.05716
4014.6500,1.0135
4014.7000,1.02871
4014.7500,1.00149
4014.8000,0.934261
4014.8500,0.963678
4014.9000,1.03349
4014.9500,0.974826
4015.0000,1.01489
4015.0500,1.05229
4015.1000,1.00566
4015.1500,1.00568
4015.2000,1.02749
4015.2500,0.994937
4015.3000,1.00064
4015.3500,1.03235
4015.4000,1.00319
4015.4500,0.972121
4015.5000,0.99623
4015.5500,1.01207
4015.6000,1.00072
4015.6500,1.01652
4015.7000,1.03996
4015.7500,1.01009
4015.8000,1.04884
4015.8500,0.974616
4015.9000,1.0159
4015.9500,1.00892
4016.0000,1.04099
4016.0500,1.04141
4016.1000,1.01362
4016.1500,1.01729
4016.2000,0.997944
4016.2500,1.03045
4016.3000,1.0137
4016.3500,1.01852
4016.4000,1.01932
4016.4500,1.0029
4016.5000,1.01613
4016.5500,0.996732
4016.6000,1.01189
4016.6500,1.01892
4016.7000,0.9658
4016.7500,1.0189
4016.8000,1.02711
4016.8500,1.00677
4016.9000,0.995781
4016.9500,0.959562
4017.0000,1.0427
4017.0500,1.02964
4017.1000,1.02494
4017.1500,1.00982
4017.2000,1.02754
4017.2500,1.00358
4017.3000,1.0248
4017.3500,1.00699
4017.4000,1.01571
4017.4500,0.946817
4017.5000,1.01127
4017.5500,0.978842
4017.6000,1.01154
4017.6500,0.984142
4017.7000,1.00919
4017.7500,1.0262
4017.8000,0.980345
4017.8500,0.973108
4017.9000,1.01314
4017.9500,1.00688
4018.0000,0.976406
4018.0500,0.972248
4018.1000,0.949544
4018.1500,1.00697
4018.2000,1.01051
4018.2500,1.0319
4018.3000,1.01848
4018.3500,1.00205
4018.4000,1.03258
4018.4500,1.01271
4018.5000,0.983714
4018.5500,0.985427
4018.6000,0.981051
4018.6500,0.990406
4018.7000,1.00161
4018.7500,1.0059
4018.8000,0.990879
4018.8500,1.04619
4018.9000,0.994703
4018.9500,1.0039
4019.0000,1.00533
4019.0500,1.05779
4019.1000,1.02372
4019.1500,0.993133
4019.2000,0.974752
4019.2500,0.99139
4019.3000,0.998614
4019.3500,1.03223
4019.4000,0.990185
4019.4500,1.01606
4019.5000,1.00636
4019.5500,0.991204
4019.6000,1.00209
4019.6500,1.00401
4019.7000,0.985254
4019.7500,0.965635
4019.8000,1.01188
4019.8500,0.992328
4019.9000,0.987819
4019.9500,0.989406
4020.0000,0.955387
4020.0500,0.993932
4020.1000,0.966285
4020.1500,0.998584
4020.2000,0.974331
4020.2500,0.977238
4020.3000,1.03181
4020.3500,0.956053
4020.4000,1.0262
4020.4500,1.00921
4020.5000,0.996121
4020.5500,1.00468
4020.6000,0.977037
4020.6500,0.990111
4020.7000,1.01711
4020.7500,1.02298
4020.8000,0.96363
4020.8500,0.979911
4020.9000,0.974528
4020.9500,0.968732
4021.0000,0.954937
4021.0500,0.980286
4021.1000,0.971476
4021.1500,0.982849
4021.2000,0.971014
4021.2500,0.983682
4021.3000,1.01376
4021.3500,0.973208
4021.4000,0.976882
4021.4500,0.969848
4021.5000,0.96941
4021.5500,0.962519
4021.6000,1.00056
4021.6500,0.993961
4021.7000,0.964214
4021.7500,1.03381
4021.8000,0.996052
4021.8500,0.95418
4021.9000,0.985753
4021.9500,0.961658
4022.0000,1.00311
4022.0500,0.951113
4022.1000,0.95448
4022.1500,0.961481
4022.2000,0.939938
4022.2500,0.99318
4022.3000,0.992401
4022.3500,1.00347
4022.4000,0.967528
4022.4500,0.985907
4022.5000,0.987204
4022.5500,0.948518
4022.6000,0.966955
4022.6500,0.950168
4022.7000,0.959278
4022.7500,0.992227
4022.8000,0.990368
4022.8500,0.979006
4022.9000,0.957716
4022.9500,0.95066
4023.0000,0.954237
4023.0500,0.949258
4023.1000,0.974018
4023.1500,0.961597
4023.2000,0.959348
4023.2500,0.971734
4023.3000,0.980953
4023.3500,0.944269
4023.4000,0.93266
4023.4500,0.986782
4023.5000,0.904871
4023.5500,0.940645
4023.6000,0.918411
4023.6500,0.931075
4023.7000,0.931215
4023.7500,0.90519
4023.8000,0.928969
4023.8500,0.932039
4023.9000,0.911668
4023.9500,0.859771
4024.0000,0.897119
4024.0500,0.892675
4024.1000,0.911216
