Longitud_de_onda_A,espectro
4000.0000,1.02657
4000.0500,1.07038
4000.1000,0.899336
4000.1500,1.11441
4000.2000,1.1531
4000.2500,1.14643
4000.3000,1.08362
4000.3500,0.951559
4000.4000,1.00182
4000.4500,1.10164
4000.5000,0.935181
4000.5500,0.829896
4000.6000,0.993785
4000.6500,0.850496
4000.7000,0.831797
4000.7500,0.836856
4000.8000,0.843387
4000.8500,1.03921
4000.9000,1.06111
4000.9500,1.12154
4001.0000,1.08031
4001.0500,1.02558
4001.1000,1.0523
4001.1500,1.03717
4001.2000,1.07119
4001.2500,1.08579
4001.3000,0.950096
4001.3500,0.82602
4001.4000,0.913008
4001.4500,0.990455
4001.5000,0.87295
4001.5500,0.970462
4001.6000,0.700101
4001.6500,0.862946
4001.7000,0.98734
4001.7500,0.88774
4001.8000,0.860193
4001.8500,0.826491
4001.9000,0.890283
4001.9500,1.00881
4002.0000,0.874103
4002.0500,1.06858
4002.1000,1.14896
4002.1500,1.12587
4002.2000,0.884438
4002.2500,1.2063
4002.3000,1.14698
4002.3500,0.967246
4002.4000,1.23955
4002.4500,1.14966
4002.5000,0.894394
4002.5500,1.1322
4002.6000,1.13778
4002.6500,0.978806
4002.7000,1.27893
4002.7500,1.25455
4002.8000,0.976007
4002.8500,1.19306
4002.9000,1.09934
4002.9500,1.00642
4003.0000,0.975421
4003.0500,1.13098
4003.1000,1.11121
4003.1500,1.04113
4003.2000,1.14522
4003.2500,1.13176
4003.3000,1.0299
4003.3500,1.05521
4003.4000,1.02336
4003.4500,1.05968
4003.5000,1.1276
4003.5500,0.960772
4003.6000,1.14506
4003.6500,1.04337
4003.7000,1.1498
4003.7500,1.06934
4003.8000,1.19227
4003.8500,1.1341
4003.9000,1.16207
4003.9500,1.17274
4004.0000,1.00877
4004.0500,1.07634
4004.1000,1.12279
4004.1500,0.955485
4004.2000,1.1043
4004.2500,1.06273
4004.3000,1.14754
4004.3500,0.96268
4004.4000,1.15815
4004.4500,1.13059
4004.5000,1.15798
4004.5500,1.0886
4004.6000,1.16418
4004.6500,0.980109
4004.7000,0.981474
4004.7500,0.802764
4004.8000,0.87121
4004.8500,0.767192
4004.9000,0.581566
4004.9500,0.621405
4005.0000,0.821582
4005.0500,0.670194
4005.1000,0.73704
4005.1500,0.476013
4005.2000,0.459701
4005.2500,0.507915
4005.3000,0.666192
4005.3500,0.554773
4005.4000,0.713893
4005.4500,0.527807
4005.5000,0.443178
4005.5500,0.443681
4005.6000,0.560071
4005.6500,0.626063
4005.7000,0.683953
4005.7500,0.87774
4005.8000,0.797997
4005.8500,0.83872
4005.9000,0.810872
4005.9500,0.830587
4006.0000,0.826543
4006.0500,0.732584
4006.1000,0.92122
4006.1500,1.11836
4006.2000,0.830532
4006.2500,0.848454
4006.3000,1.10359
4006.3500,1.00009
4006.4000,0.757034
4006.4500,0.86925
4006.5000,0.883123
4006.5500,0.971228
4006.6000,0.726424
4006.6500,0.642096
4006.7000,0.788148
4006.7500,0.885899
4006.8000,0.979472
4006.8500,0.860732
4006.9000,1.03806
4006.9500,0.873938
4007.0000,0.525055
4007.0500,0.861208
4007.1000,0.91127
4007.1500,0.974065
4007.2000,0.891631
4007.2500,1.00535
4007.3000,0.997341
4007.3500,0.836086
4007.4000,1.0183
4007.4500,1.16362
4007.5000,0.832717
4007.5500,1.08864
4007.6000,0.935569
4007.6500,0.940526
4007.7000,1.16608
4007.7500,1.38295
4007.8000,1.23
4007.8500,1.20442
4007.9000,1.23772
4007.9500,1.18735
4008.0000,1.17138
4008.0500,1.15692
4008.1000,1.11795
4008.1500,1.05309
4008.2000,0.978795
4008.2500,1.16344
4008.3000,1.05956
4008.3500,0.95461
4008.4000,1.08018
4008.4500,1.24396
4008.5000,1.29814
4008.5500,1.15638
4008.6000,1.03953
4008.6500,1.23099
4008.7000,1.17923
4008.7500,1.21256
4008.8000,1.18274
4008.8500,1.12831
4008.9000,1.20408
4008.9500,1.08352
4009.0000,0.960377
4009.0500,0.974093
4009.1000,1.01504
4009.1500,0.865405
4009.2000,0.820019
4009.2500,0.81241
4009.3000,0.871545
4009.3500,0.936537
4009.4000,0.945623
4009.4500,1.19479
4009.5000,1.21517
4009.5500,1.07415
4009.6000,0.907957
4009.6500,1.12626
4009.7000,1.00016
4009.7500,0.971936
4009.8000,1.06735
4009.8500,0.883824
4009.9000,1.08848
4009.9500,0.952434
4010.0000,0.875853
4010.0500,1.04191
4010.1000,0.970733
4010.1500,0.917745
4010.2000,1.12541
4010.2500,1.16007
4010.3000,0.99466
4010.3500,1.00286
4010.4000,0.983982
4010.4500,1.08677
4010.5000,1.03953
4010.5500,0.939582
4010.6000,1.13407
4010.6500,1.09391
4010.7000,0.906387
4010.7500,1.00358
4010.8000,0.924715
4010.8500,0.828135
4010.9000,0.921741
4010.9500,1.05959
4011.0000,0.941124
4011.0500,0.964393
4011.1000,1.01963
4011.1500,1.00176
4011.2000,1.05743
4011.2500,1.15236
4011.3000,1.24616
4011.3500,1.21212
4011.4000,1.25694
4011.4500,1.19216
4011.5000,1.3149
4011.5500,1.13066
4011.6000,1.20234
4011.6500,1.34226
4011.7000,1.12417
4011.7500,0.986354
4011.8000,1.11289
4011.8500,1.12796
4011.9000,1.09753
4011.9500,1.13263
4012.0000,1.16629
4012.0500,0.891436
4012.1000,0.831429
4012.1500,1.19368
4012.2000,1.07628
4012.2500,1.09961
4012.3000,1.2048
4012.3500,1.14167
4012.4000,1.25939
4012.4500,1.29687
4012.5000,1.17803
4012.5500,1.32048
4012.6000,1.0357
4012.6500,1.02188
