Longitud_de_onda_A,espectro
4000.0000,0.975958
4000.0500,0.98156
4000.1000,0.96672
4000.1500,0.964959
4000.2000,0.988691
4000.2500,0.984823
4000.3000,0.979408
4000.3500,0.987241
4000.4000,0.96705
4000.4500,1.00724
4000.5000,0.986396
4000.5500,1.01149
4000.6000,0.926708
4000.6500,0.997495
4000.7000,1.00006
4000.7500,0.957801
4000.8000,0.969927
4000.8500,0.988965
4000.9000,1.02749
4000.9500,0.961892
4001.0000,0.98317
4001.0500,1.00666
4001.1000,0.995713
4001.1500,0.994894
4001.2000,0.97912
4001.2500,0.970849
4001.3000,0.962684
4001.3500,0.967094
4001.4000,0.971107
4001.4500,0.990893
4001.5000,0.998599
4001.5500,0.988131
4001.6000,0.972229
4001.6500,0.991165
4001.7000,0.976121
4001.7500,0.98239
4001.8000,0.997131
4001.8500,0.961953
4001.9000,0.978802
4001.9500,0.949572
4002.0000,0.987665
4002.0500,1.01546
4002.1000,0.983175
4002.1500,1.00057
4002.2000,1.00323
4002.2500,1.02284
4002.3000,1.00441
4002.3500,0.962184
4002.4000,0.959612
4002.4500,0.967027
4002.5000,1.00605
4002.5500,0.974738
4002.6000,0.964276
4002.6500,0.985423
4002.7000,1.00073
4002.7500,0.978601
4002.8000,0.984197
4002.8500,0.967546
4002.9000,1.00371
4002.9500,0.992347
4003.0000,0.96421
4003.0500,0.979979
4003.1000,0.973037
4003.1500,0.994884
4003.2000,0.986323
4003.2500,0.998465
4003.3000,0.98261
4003.3500,1.00892
4003.4000,0.970881
4003.4500,0.995556
4003.5000,0.979137
4003.5500,1.0085
4003.6000,0.989845
4003.6500,0.982106
4003.7000,0.990858
4003.7500,0.977612
4003.8000,0.98486
4003.8500,0.969017
4003.9000,0.985015
4003.9500,1.00998
4004.0000,1.00798
4004.0500,0.984091
4004.1000,1.00016
4004.1500,0.984764
4004.2000,0.993452
4004.2500,0.971727
4004.3000,0.982124
4004.3500,1.00437
4004.4000,0.975495
4004.4500,0.977471
4004.5000,0.996078
4004.5500,0.983523
4004.6000,1.00035
4004.6500,0.992583
4004.7000,0.998702
4004.7500,1.02921
4004.8000,1.01349
4004.8500,1.01078
4004.9000,0.97095
4004.9500,0.980654
4005.0000,0.977291
4005.0500,0.9703
4005.1000,0.998955
4005.1500,1.00372
4005.2000,1.00301
4005.2500,1.01966
4005.3000,0.987713
4005.3500,1.00974
4005.4000,0.998741
4005.4500,1.02124
4005.5000,1.00658
4005.5500,1.00093
4005.6000,1.01666
4005.6500,1.00505
4005.7000,0.997515
4005.7500,0.99442
4005.8000,0.971805
4005.8500,0.992456
4005.9000,0.971172
4005.9500,0.9942
4006.0000,0.995672
4006.0500,0.995531
4006.1000,0.980601
4006.1500,0.995142
4006.2000,1.0098
4006.2500,1.00685
4006.3000,0.998866
4006.3500,0.975876
4006.4000,0.996325
4006.4500,1.00224
4006.5000,0.989893
4006.5500,0.977014
4006.6000,1.00002
4006.6500,0.985639
4006.7000,0.969366
4006.7500,0.951375
4006.8000,0.999762
