Longitud_de_onda_A,espectro
4000.0000,0.975448
4000.0500,0.982227
4000.1000,0.966668
4000.1500,0.966168
4000.2000,0.98792
4000.2500,0.984868
4000.3000,0.979672
4000.3500,0.986415
4000.4000,0.966812
4000.4500,1.00632
4000.5000,0.986589
4000.5500,1.01095
4000.6000,0.926364
4000.6500,0.998046
4000.7000,0.9997
4000.7500,0.956421
4000.8000,0.969887
4000.8500,0.98858
4000.9000,1.02774
4000.9500,0.962292
4001.0000,0.982577
4001.0500,1.00588
4001.1000,0.996009
4001.1500,0.995029
4001.2000,0.978608
4001.2500,0.971764
4001.3000,0.962771
4001.3500,0.967606
4001.4000,0.970579
4001.4500,0.991005
4001.5000,0.998711
4001.5500,0.988714
4001.6000,0.971831
4001.6500,0.993208
4001.7000,0.976321
4001.7500,0.982291
4001.8000,0.997161
4001.8500,0.961875
4001.9000,0.979476
4001.9500,0.950056
4002.0000,0.986303
4002.0500,1.01506
4002.1000,0.98445
4002.1500,0.99926
4002.2000,1.00381
4002.2500,1.02227
4002.3000,1.00513
4002.3500,0.962333
4002.4000,0.959841
4002.4500,0.967892
4002.5000,1.0065
4002.5500,0.976042
4002.6000,0.964591
4002.6500,0.985753
4002.7000,1.00047
4002.7500,0.977621
4002.8000,0.984489
4002.8500,0.967121
4002.9000,1.00307
4002.9500,0.992851
4003.0000,0.964337
4003.0500,0.980274
4003.1000,0.973102
4003.1500,0.994658
4003.2000,0.987153
4003.2500,0.998472
4003.3000,0.982545
4003.3500,1.00848
4003.4000,0.971382
4003.4500,0.995509
4003.5000,0.979733
4003.5500,1.00895
4003.6000,0.99129
4003.6500,0.982864
4003.7000,0.990802
4003.7500,0.977492
4003.8000,0.98482
4003.8500,0.967979
4003.9000,0.985731
4003.9500,1.01062
4004.0000,1.00726
4004.0500,0.984558
4004.1000,1.00169
4004.1500,0.98588
4004.2000,0.993099
4004.2500,0.971776
4004.3000,0.981705
4004.3500,1.00429
4004.4000,0.976042
4004.4500,0.976953
4004.5000,0.995434
4004.5500,0.983416
4004.6000,1.00042
4004.6500,0.993501
4004.7000,0.998155
4004.7500,1.02949
4004.8000,1.01447
4004.8500,1.01089
4004.9000,0.971597
4004.9500,0.982088
4005.0000,0.978287
4005.0500,0.970849
4005.1000,0.999172
4005.1500,1.00345
4005.2000,1.00347
4005.2500,1.01897
4005.3000,0.986943
4005.3500,1.00868
4005.4000,0.998532
4005.4500,1.02081
4005.5000,1.0059
4005.5500,0.999248
4005.6000,1.01647
4005.6500,1.00524
4005.7000,0.997685
4005.7500,0.993536
4005.8000,0.971821
4005.8500,0.992558
4005.9000,0.972117
4005.9500,0.993506
4006.0000,0.995591
4006.0500,0.996636
4006.1000,0.980609
4006.1500,0.995225
4006.2000,1.01019
4006.2500,1.00708
4006.3000,0.999647
4006.3500,0.975801
4006.4000,0.997033
4006.4500,1.002
4006.5000,0.991062
4006.5500,0.977043
4006.6000,0.999592
4006.6500,0.986466
4006.7000,0.967213
4006.7500,0.951594
4006.8000,0.999792
4006.8500,0.969649
4006.9000,0.986911
4006.9500,0.964651
4007.0000,0.994411
4007.0500,0.959219
4007.1000,0.975887
4007.1500,0.984953
4007.2000,0.973779
4007.2500,0.959204
4007.3000,1.00693
4007.3500,0.960971
4007.4000,0.97138
4007.4500,0.987817
4007.5000,0.976604
4007.5500,0.992152
4007.6000,0.952349
4007.6500,0.956486
4007.7000,0.978673
4007.7500,0.978528
4007.8000,0.978755
4007.8500,0.971257
4007.9000,0.949039
4007.9500,0.98499
4008.0000,0.965308
4008.0500,0.959586
4008.1000,0.96037
4008.1500,0.968046
4008.2000,0.960966
4008.2500,0.951189
4008.3000,0.944351
4008.3500,0.929808
4008.4000,0.956285
4008.4500,0.95916
4008.5000,0.95835
4008.5500,0.955305
4008.6000,0.966252
4008.6500,0.977863
4008.7000,0.981967
4008.7500,0.979892
4008.8000,0.961276
4008.8500,0.957355
4008.9000,0.962392
4008.9500,0.96768
4009.0000,0.957523
4009.0500,0.948225
4009.1000,0.960501
4009.1500,0.926825
4009.2000,0.997058
4009.2500,0.948743
4009.3000,0.967078
4009.3500,0.939179
4009.4000,1.0649
4009.4500,0.999799
4009.5000,0.955914
4009.5500,0.973531
4009.6000,0.96408
4009.6500,0.951947
4009.7000,0.950302
4009.7500,0.982932
4009.8000,0.991862
4009.8500,0.976329
4009.9000,0.975905
4009.9500,0.959147
4010.0000,0.965761
4010.0500,0.967067
4010.1000,0.953039
4010.1500,0.949655
4010.2000,0.952671
4010.2500,0.9608
4010.3000,0.963196
4010.3500,0.968384
4010.4000,0.980315
4010.4500,0.964561
4010.5000,0.972992
4010.5500,1.00058
4010.6000,0.970197
4010.6500,0.990675
4010.7000,0.989354
4010.7500,0.994043
4010.8000,0.973825
4010.8500,1.00488
4010.9000,1.01438
4010.9500,1.00615
4011.0000,0.982771
4011.0500,0.971622
4011.1000,1.01695
4011.1500,1.01921
4011.2000,1.01672
4011.2500,0.996007
4011.3000,0.976032
4011.3500,0.999366
4011.4000,0.967002
4011.4500,0.987969
4011.5000,0.996123
4011.5500,1.01561
4011.6000,1.00483
4011.6500,1.00642
4011.7000,1.0248
4011.7500,1.02762
4011.8000,1.02951
4011.8500,1.04183
4011.9000,1.02011
4011.9500,1.02205
4012.0000,1.01186
4012.0500,1.00288
4012.1000,1.01955
4012.1500,1.03706
4012.2000,1.00364
4012.2500,1.01823
4012.3000,1.00872
4012.3500,1.05931
4012.4000,1.01418
4012.4500,1.01675
4012.5000,1.03922
4012.5500,1.05272
4012.6000,1.02636
4012.6500,1.04663
4012.7000,1.02648
4012.7500,1.02191
4012.8000,1.02265
4012.8500,1.0402
4012.9000,1.01235
4012.9500,1.04558
4013.0000,1.0185
4013.0500,1.01432
4013.1000,1.02371
4013.1500,1.02085
4013.2000,1.00307
4013.2500,0.99453
4013.3000,1.00822
4013.3500,1.00862
4013.4000,1.02476
4013.4500,1.01551
4013.5000,1.01618
4013.5500,1.02155
4013.6000,1.01023
4013.6500,1.01041
4013.7000,1.0124
4013.7500,0.998616
4013.8000,1.01326
4013.8500,1.0383
4013.9000,1.0303
4013.9500,1.06018
4014.0000,1.02019
4014.0500,1.00262
4014.1000,1.02345
4014.1500,1.01716
4014.2000,1.02385
4014.2500,1.0213
4014.3000,1.02273
4014.3500,1.02682
4014.4000,1.01866
4014.4500,1.02354
4014.5000,1.00451
4014.5500,1.0238
4014.6000,1.00756
4014.6500,1.00815
4014.7000,1.00785
4014.7500,0.984384
4014.8000,1.01933
4014.8500,0.992749
4014.9000,0.98463
4014.9500,1.01385
4015.0000,1.01109
4015.0500,1.00705
4015.1000,1.02109
4015.1500,1.01073
4015.2000,1.00057
4015.2500,0.979493
4015.3000,0.998244
4015.3500,1.01189
4015.4000,0.984324
4015.4500,0.990473
4015.5000,1.01403
4015.5500,1.01315
4015.6000,0.992995
4015.6500,1.01272
4015.7000,1.03017
4015.7500,0.991068
4015.8000,0.984765
4015.8500,0.991101
4015.9000,0.997178
4015.9500,1.0166
4016.0000,0.990748
4016.0500,0.995746
4016.1000,0.979083
4016.1500,0.981601
4016.2000,0.990876
4016.2500,1.01003
4016.3000,0.979829
4016.3500,0.987685
4016.4000,1.00888
4016.4500,0.970156
4016.5000,1.03714
4016.5500,1.02276
4016.6000,0.997446
4016.6500,0.98986
4016.7000,0.979707
4016.7500,1.00042
4016.8000,0.980312
4016.8500,0.980359
4016.9000,1.001
4016.9500,1.02116
4017.0000,0.996344
4017.0500,0.978263
4017.1000,0.998434
4017.1500,1.01025
4017.2000,0.992948
4017.2500,1.00563
4017.3000,1.01118
4017.3500,0.998679
4017.4000,0.983368
4017.4500,0.996137
4017.5000,1.00168
4017.5500,0.995792
4017.6000,0.963684
4017.6500,1.00274
4017.7000,0.988719
4017.7500,1.00241
4017.8000,0.987452
4017.8500,1.00315
4017.9000,1
4017.9500,0.998872
4018.0000,0.991583
4018.0500,1.02254
4018.1000,1.00509
4018.1500,0.957876
4018.2000,0.988213
4018.2500,0.98208
4018.3000,0.999447
4018.3500,1.02849
4018.4000,1.00925
4018.4500,0.971577
4018.5000,0.957857
4018.5500,0.974624
4018.6000,0.979202
4018.6500,0.989505
4018.7000,1.00651
4018.7500,0.987341
4018.8000,0.974521
4018.8500,0.985401
4018.9000,0.979458
4018.9500,0.983411
4019.0000,0.997934
4019.0500,0.998297
4019.1000,1.03081
4019.1500,1.02504
4019.2000,0.992822
4019.2500,1.00378
4019.3000,0.989289
4019.3500,0.98201
4019.4000,0.976934
4019.4500,0.996397
4019.5000,1.00709
4019.5500,0.984767
4019.6000,0.983827
4019.6500,0.984815
4019.7000,0.976152
4019.7500,0.958474
4019.8000,0.982897
4019.8500,0.979816
4019.9000,0.985873
4019.9500,0.996497
4020.0000,1.0196
4020.0500,0.993912
4020.1000,0.978904
4020.1500,0.957629
4020.2000,0.964513
4020.2500,0.989355
4020.3000,0.974798
4020.3500,0.976116
4020.4000,0.971242
4020.4500,1.01454
4020.5000,0.990037
4020.5500,0.971167
4020.6000,0.992466
4020.6500,0.96128
4020.7000,0.960767
4020.7500,0.975677
4020.8000,0.991844
4020.8500,0.996547
4020.9000,0.977839
4020.9500,0.989772
4021.0000,0.990339
4021.0500,0.985438
4021.1000,0.995885
4021.1500,0.995733
4021.2000,0.965786
4021.2500,0.984272
4021.3000,0.990338
4021.3500,0.993025
4021.4000,1.01493
4021.4500,0.997265
4021.5000,0.979926
4021.5500,0.979611
4021.6000,0.970062
4021.6500,1.0094
4021.7000,0.986429
4021.7500,0.979471
4021.8000,1.01007
4021.8500,0.993391
4021.9000,0.990652
4021.9500,0.98599
4022.0000,1.002
4022.0500,0.974581
4022.1000,0.954142
4022.1500,0.967574
4022.2000,0.978616
4022.2500,0.994322
4022.3000,0.972698
4022.3500,1.00006
4022.4000,1.00231
4022.4500,0.970642
4022.5000,0.993057
4022.5500,0.999561
4022.6000,0.99371
4022.6500,0.963867
4022.7000,0.956228
4022.7500,0.969406
4022.8000,0.968495
4022.8500,0.971277
4022.9000,0.946587
4022.9500,0.958169
4023.0000,0.973165
4023.0500,0.932225
4023.1000,0.952387
4023.1500,0.94068
4023.2000,0.963537
4023.2500,0.943595
4023.3000,0.928907
4023.3500,0.939322
4023.4000,0.919798
4023.4500,0.935788
4023.5000,0.933198
4023.5500,0.93562
4023.6000,0.932409
4023.6500,0.920556
4023.7000,0.915674
4023.7500,0.910122
4023.8000,0.915486
4023.8500,0.902117
4023.9000,0.911359
4023.9500,0.901016
4024.0000,0.891322
4024.0500,0.903063
4024.1000,0.91729
4024.1500,0.886828
4024.2000,0.903022
4024.2500,0.911559
4024.3000,0.904016
4024.3500,0.892201
4024.4000,0.895138
4024.4500,0.867921
4024.5000,0.891585
4024.5500,0.897548
4024.6000,0.904144
4024.6500,0.877653
4024.7000,0.876059
4024.7500,0.876047
4024.8000,0.886153
4024.8500,0.881303
4024.9000,0.864637
4024.9500,0.873527
4025.0000,0.88453
4025.0500,0.855132
4025.1000,0.844689
4025.1500,0.891903
4025.2000,0.8457
4025.2500,0.851682
4025.3000,0.855767
4025.3500,0.847301
4025.4000,0.860583
4025.4500,0.830207
4025.5000,0.873201
4025.5500,0.869063
4025.6000,0.874565
4025.6500,0.89371
4025.7000,0.895579
4025.7500,0.872752
4025.8000,0.872325
4025.8500,0.875496
4025.9000,0.863436
4025.9500,0.877414
4026.0000,0.910934
