Longitud_de_onda_A,espectro
4000.0000,1.00977
4000.0500,0.974962
4000.1000,0.987606
4000.1500,1.00124
4000.2000,0.955061
4000.2500,0.915013
4000.3000,0.894803
4000.3500,0.91021
4000.4000,0.838227
4000.4500,0.715872
4000.5000,0.798068
4000.5500,0.961432
4000.6000,1.00201
4000.6500,0.963843
4000.7000,0.921816
4000.7500,0.959037
4000.8000,0.93902
4000.8500,0.926673
4000.9000,0.858016
4000.9500,0.832648
4001.0000,0.800629
4001.0500,0.636971
4001.1000,0.55162
4001.1500,0.480915
4001.2000,0.501546
4001.2500,0.644423
4001.3000,0.746377
4001.3500,0.859989
4001.4000,0.846518
4001.4500,0.856549
4001.5000,0.952905
4001.5500,0.957495
4001.6000,0.765436
4001.6500,0.581146
4001.7000,0.605607
4001.7500,0.879652
4001.8000,0.986854
4001.8500,1.00209
4001.9000,0.988835
4001.9500,0.949131
4002.0000,0.948859
4002.0500,1.02543
4002.1000,1.01459
4002.1500,1.02785
4002.2000,0.99943
4002.2500,0.995749
4002.3000,1.0237
4002.3500,1.02831
4002.4000,1.00988
4002.4500,0.943179
4002.5000,0.917083
4002.5500,0.981358
4002.6000,1.00236
4002.6500,0.967421
4002.7000,0.970917
4002.7500,0.935332
4002.8000,0.999558
4002.8500,1.00468
4002.9000,0.980689
4002.9500,0.950004
4003.0000,1.02704
4003.0500,1.05734
4003.1000,1.03281
4003.1500,1.00545
4003.2000,0.983907
4003.2500,1.03661
4003.3000,1.01084
4003.3500,0.980077
4003.4000,1.01426
4003.4500,1.00352
4003.5000,1.00828
4003.5500,1.00631
4003.6000,1.01345
4003.6500,1.02412
4003.7000,0.944421
4003.7500,0.791622
4003.8000,0.839987
4003.8500,0.975913
4003.9000,0.991239
4003.9500,1.02387
4004.0000,0.993284
4004.0500,0.993116
4004.1000,1.03005
4004.1500,0.966521
4004.2000,1.00204
4004.2500,0.976063
4004.3000,0.974581
4004.3500,0.970997
4004.4000,0.995658
4004.4500,1.02232
4004.5000,0.953598
4004.5500,1.00153
4004.6000,0.925586
4004.6500,0.937439
4004.7000,0.939602
4004.7500,0.850586
4004.8000,0.715793
4004.8500,0.561904
4004.9000,0.574324
4004.9500,0.545387
4005.0000,0.532931
4005.0500,0.490842
4005.1000,0.366058
4005.1500,0.249577
4005.2000,0.144874
4005.2500,0.125768
4005.3000,0.16437
4005.3500,0.274523
4005.4000,0.388895
4005.4500,0.526298
4005.5000,0.600375
4005.5500,0.715534
4005.6000,0.814147
4005.6500,0.806847
4005.7000,0.729263
4005.7500,0.82636
4005.8000,0.933825
4005.8500,0.93067
4005.9000,0.903054
4005.9500,0.89382
4006.0000,0.952449
4006.0500,0.898935
4006.1000,0.892227
4006.1500,0.947161
4006.2000,0.886958
4006.2500,0.812133
4006.3000,0.695507
4006.3500,0.75764
4006.4000,0.891624
4006.4500,0.96976
4006.5000,0.984685
4006.5500,0.997736
4006.6000,0.800249
4006.6500,0.723593
4006.7000,0.720928
4006.7500,0.64312
4006.8000,0.503195
4006.8500,0.648016
4006.9000,0.77505
4006.9500,0.677141
4007.0000,0.548941
4007.0500,0.765144
4007.1000,0.959701
4007.1500,0.972948
4007.2000,0.847162
4007.2500,0.598977
4007.3000,0.628609
4007.3500,0.884084
4007.4000,0.974909
4007.4500,1.02466
4007.5000,0.973024
4007.5500,1.00269
4007.6000,1.00361
4007.6500,1.01097
4007.7000,1.01135
4007.7500,1.03837
4007.8000,1.02417
4007.8500,1.03919
4007.9000,0.983254
4007.9500,0.947739
4008.0000,0.947135
4008.0500,0.986345
4008.1000,1.01353
4008.1500,1.03987
4008.2000,1.00038
4008.2500,1.04486
4008.3000,1.04721
4008.3500,1.05771
4008.4000,1.06454
4008.4500,1.08219
4008.5000,1.0584
4008.5500,1.04042
4008.6000,1.02509
4008.6500,1.02149
4008.7000,1.08507
4008.7500,0.99827
4008.8000,0.943559
4008.8500,0.765186
4008.9000,0.542832
4008.9500,0.534623
4009.0000,0.803144
4009.0500,1.14563
4009.1000,1.19444
4009.1500,1.21995
4009.2000,1.0605
4009.2500,1.04351
4009.3000,1.05415
4009.3500,1.03912
4009.4000,1.02046
4009.4500,0.995682
4009.5000,0.972548
4009.5500,0.946514
4009.6000,0.803124
4009.6500,0.506939
4009.7000,0.342195
4009.7500,0.496127
4009.8000,0.803692
4009.8500,0.978147
4009.9000,1.04451
4009.9500,1.04328
4010.0000,1.07802
4010.0500,1.02336
4010.1000,0.967648
4010.1500,1.01992
4010.2000,1.0038
4010.2500,1.00878
4010.3000,1.02034
4010.3500,1.02101
4010.4000,1.01761
4010.4500,1
4010.5000,1.01383
4010.5500,1.00475
4010.6000,0.937297
4010.6500,1.02998
4010.7000,1.04406
4010.7500,1.01684
4010.8000,1.0153
4010.8500,1.00676
4010.9000,1.01334
4010.9500,1.03765
4011.0000,1.02644
4011.0500,1.02516
4011.1000,1.05056
4011.1500,1.04842
4011.2000,1.08448
4011.2500,1.07707
4011.3000,1.27826
4011.3500,1.195
4011.4000,0.885144
4011.4500,0.921989
4011.5000,1.02247
4011.5500,1.08514
4011.6000,1.09875
4011.6500,1.00331
4011.7000,0.930128
4011.7500,0.969809
4011.8000,1.01813
4011.8500,1.038
4011.9000,1.0588
