Longitud_de_onda_A,espectro
4000.0000,1.25439
4000.0500,1.30281
4000.1000,1.19154
4000.1500,0.996878
4000.2000,0.867607
4000.2500,0.653688
4000.3000,0.789085
4000.3500,0.493137
4000.4000,0.589955
4000.4500,0.453305
4000.5000,0.309226
4000.5500,0.720612
4000.6000,1.02046
4000.6500,0.938519
4000.7000,1.01644
4000.7500,1.17248
4000.8000,1.17443
4000.8500,1.16878
4000.9000,1.00232
4000.9500,1.1756
4001.0000,1.10006
4001.0500,0.990506
4001.1000,0.943756
4001.1500,0.985896
4001.2000,0.836704
4001.2500,0.971937
4001.3000,1.03437
4001.3500,1.04484
4001.4000,0.920792
4001.4500,0.997035
4001.5000,0.881741
4001.5500,1.0191
4001.6000,0.714619
4001.6500,0.58947
4001.7000,0.481436
4001.7500,0.710213
4001.8000,0.871026
4001.8500,0.852717
4001.9000,0.86654
4001.9500,1.12737
4002.0000,1.19519
4002.0500,1.01444
4002.1000,0.969952
4002.1500,1.15655
4002.2000,1.19969
4002.2500,1.03741
4002.3000,0.936308
4002.3500,1.06327
4002.4000,1.24974
4002.4500,0.984164
4002.5000,0.885849
4002.5500,1.05607
4002.6000,1.06106
4002.6500,0.943307
4002.7000,0.899228
4002.7500,0.916813
4002.8000,0.983918
4002.8500,0.940244
4002.9000,0.837092
4002.9500,0.864113
4003.0000,0.874542
4003.0500,1.06325
4003.1000,0.896133
4003.1500,1.08646
4003.2000,1.11073
4003.2500,0.866101
4003.3000,1.28122
4003.3500,1.5599
4003.4000,1.02137
4003.4500,0.940529
4003.5000,0.783839
4003.5500,1.13086
4003.6000,1.23011
4003.6500,0.95126
4003.7000,0.684918
4003.7500,0.625571
4003.8000,0.739398
4003.8500,0.792434
4003.9000,1.13561
4003.9500,1.00825
4004.0000,0.9533
4004.0500,0.850573
4004.1000,0.551504
4004.1500,0.873725
4004.2000,0.787291
4004.2500,1.1149
4004.3000,0.979322
4004.3500,1.04916
4004.4000,1.10337
4004.4500,1.08543
4004.5000,0.984355
4004.5500,0.870796
4004.6000,0.902786
4004.6500,0.892084
4004.7000,0.879255
4004.7500,0.768183
4004.8000,0.754434
4004.8500,0.594316
4004.9000,0.698013
4004.9500,0.522549
4005.0000,0.623938
4005.0500,0.717172
4005.1000,0.712165
4005.1500,0.356103
4005.2000,0.29767
4005.2500,0.0743369
4005.3000,0
4005.3500,0.4102
4005.4000,0.427282
4005.4500,0.495924
4005.5000,0.559552
4005.5500,0.743918
4005.6000,0.611408
4005.6500,0.550443
4005.7000,0.418387
4005.7500,0.522062
4005.8000,0.893003
4005.8500,0.951957
4005.9000,0.869347
4005.9500,0.779122
4006.0000,1.20866
4006.0500,0.848548
4006.1000,1.0153
4006.1500,0.790563
4006.2000,0.772623
4006.2500,0.718577
4006.3000,0.559181
4006.3500,0.693287
4006.4000,0.833288
4006.4500,0.896983
4006.5000,0.943069
4006.5500,0.854279
4006.6000,0.778497
4006.6500,0.814134
4006.7000,0.895548
4006.7500,0.762636
4006.8000,0.904679
4006.8500,1.16572
4006.9000,1.14332
4006.9500,1.28428
4007.0000,0.974649
4007.0500,1.09367
4007.1000,1.1323
4007.1500,1.22211
4007.2000,0.832174
4007.2500,0.620383
4007.3000,0.607461
4007.3500,0.542782
4007.4000,0.993558
4007.4500,0.79025
4007.5000,0.814112
4007.5500,1.03169
4007.6000,1.27347
4007.6500,1.15693
4007.7000,1.05821
4007.7500,1.1182
4007.8000,0.998227
