Longitud_de_onda_A,espectro
4000.0000,0.954464
4000.0500,0.944944
4000.1000,0.962046
4000.1500,0.953515
4000.2000,0.96031
4000.2500,0.959441
4000.3000,0.958144
4000.3500,0.964661
4000.4000,0.970009
4000.4500,0.961369
4000.5000,0.954949
4000.5500,0.958672
4000.6000,0.952293
4000.6500,0.976868
4000.7000,0.965561
4000.7500,0.965516
4000.8000,0.976789
4000.8500,0.960626
4000.9000,0.959494
4000.9500,0.959831
4001.0000,0.949929
4001.0500,0.965152
4001.1000,0.946256
4001.1500,0.966283
4001.2000,0.954257
4001.2500,0.969563
4001.3000,0.96857
4001.3500,0.953597
4001.4000,0.954046
4001.4500,0.946742
4001.5000,0.951813
4001.5500,0.955836
4001.6000,0.96154
4001.6500,0.95837
4001.7000,0.956556
4001.7500,0.955313
4001.8000,0.943453
4001.8500,0.964356
4001.9000,0.957252
4001.9500,0.938622
4002.0000,0.961852
4002.0500,0.954476
4002.1000,0.951531
4002.1500,0.965067
4002.2000,0.959324
4002.2500,0.95045
4002.3000,0.952987
4002.3500,0.948713
4002.4000,0.94538
4002.4500,0.957406
4002.5000,0.955145
4002.5500,0.959974
4002.6000,0.9489
4002.6500,0.967421
4002.7000,0.963588
4002.7500,0.944031
4002.8000,0.96068
4002.8500,0.955573
4002.9000,0.954668
4002.9500,0.956256
4003.0000,0.95314
4003.0500,0.962624
4003.1000,0.952347
4003.1500,0.965014
4003.2000,0.953039
4003.2500,0.946848
4003.3000,0.964403
4003.3500,0.96317
4003.4000,0.969092
4003.4500,0.972362
4003.5000,0.960415
4003.5500,0.964274
4003.6000,0.966953
4003.6500,0.963854
4003.7000,0.956122
4003.7500,0.956931
4003.8000,0.953156
4003.8500,0.951511
4003.9000,0.96952
4003.9500,0.95946
4004.0000,0.968681
4004.0500,0.976842
4004.1000,0.952615
4004.1500,0.94621
4004.2000,0.950486
4004.2500,0.961189
4004.3000,0.949263
4004.3500,0.975811
4004.4000,0.959993
4004.4500,0.951377
4004.5000,0.960962
4004.5500,0.948023
4004.6000,0.951098
4004.6500,0.951063
4004.7000,0.965016
4004.7500,0.976031
4004.8000,0.970352
4004.8500,0.952706
4004.9000,0.952179
4004.9500,0.95879
4005.0000,0.950948
4005.0500,0.948729
4005.1000,0.945552
4005.1500,0.966902
4005.2000,0.964056
4005.2500,0.950464
4005.3000,0.944528
4005.3500,0.955162
4005.4000,0.95384
4005.4500,0.958935
4005.5000,0.938532
4005.5500,0.955785
4005.6000,0.974074
4005.6500,0.946956
4005.7000,0.958125
4005.7500,0.961412
4005.8000,0.967606
4005.8500,0.963086
4005.9000,0.960135
4005.9500,0.961103
4006.0000,0.96904
4006.0500,0.965053
4006.1000,0.961925
4006.1500,0.958785
4006.2000,0.954597
4006.2500,0.942484
4006.3000,0.953437
4006.3500,0.962507
4006.4000,0.956517
4006.4500,0.943808
4006.5000,0.959426
4006.5500,0.960337
4006.6000,0.964713
4006.6500,0.968405
4006.7000,0.961471
4006.7500,0.971373
4006.8000,0.972904
4006.8500,0.973916
4006.9000,0.974209
4006.9500,0.959668
4007.0000,0.99094
4007.0500,0.973466
4007.1000,0.972269
4007.1500,0.975546
4007.2000,0.984027
4007.2500,0.974584
4007.3000,0.998489
4007.3500,1.06331
4007.4000,0.980121
4007.4500,0.974855
4007.5000,0.993828
4007.5500,0.982711
4007.6000,0.977589
4007.6500,0.983406
4007.7000,0.97983
4007.7500,0.975607
4007.8000,0.983364
4007.8500,0.984561
4007.9000,0.982197
4007.9500,1.00114
4008.0000,0.972439
4008.0500,0.981508
4008.1000,0.992654
4008.1500,0.993481
4008.2000,0.980522
4008.2500,0.989372
4008.3000,0.976461
4008.3500,0.978623
4008.4000,0.982363
4008.4500,0.97994
4008.5000,0.99057
4008.5500,1.02424
4008.6000,0.973487
4008.6500,0.990903
4008.7000,0.97469
4008.7500,0.971172
4008.8000,0.98843
4008.8500,0.989374
4008.9000,0.99656
4008.9500,0.982789
4009.0000,0.978643
4009.0500,0.99654
4009.1000,0.983055
4009.1500,0.980655
4009.2000,0.99014
4009.2500,0.981089
4009.3000,0.986227
4009.3500,0.982877
4009.4000,0.992157
4009.4500,0.985168
4009.5000,0.995528
4009.5500,0.974525
4009.6000,0.979041
4009.6500,0.993653
4009.7000,0.98576
4009.7500,0.986971
4009.8000,0.98932
4009.8500,0.984547
4009.9000,0.983307
4009.9500,0.988952
4010.0000,0.979432
4010.0500,0.987584
4010.1000,0.979174
4010.1500,0.995676
4010.2000,0.985366
