Longitud_de_onda_A,espectro
4000.0000,0.962552
4000.0500,0.980943
4000.1000,0.957137
4000.1500,0.951376
4000.2000,0.91474
4000.2500,0.956718
4000.3000,0.964353
4000.3500,0.962962
4000.4000,0.981021
4000.4500,0.957879
4000.5000,0.982383
4000.5500,0.962884
4000.6000,0.943491
4000.6500,0.981708
4000.7000,0.954791
4000.7500,0.963392
4000.8000,0.972905
4000.8500,0.978999
4000.9000,1.00205
4000.9500,0.957458
4001.0000,0.947605
4001.0500,0.990635
4001.1000,1.02007
4001.1500,0.956381
4001.2000,1.03344
4001.2500,0.977013
4001.3000,0.984694
4001.3500,0.972285
4001.4000,0.956561
4001.4500,0.963805
4001.5000,0.970666
4001.5500,0.997492
4001.6000,0.952539
4001.6500,0.974565
4001.7000,0.961033
4001.7500,0.984589
4001.8000,0.968842
4001.8500,0.985336
4001.9000,0.955655
4001.9500,0.963653
4002.0000,0.998216
4002.0500,0.972525
4002.1000,0.961752
4002.1500,0.955879
4002.2000,1.00902
4002.2500,0.955831
4002.3000,0.943634
4002.3500,0.947708
4002.4000,0.98415
4002.4500,0.981472
4002.5000,0.955156
4002.5500,0.960056
4002.6000,0.950939
4002.6500,0.945249
4002.7000,0.976423
4002.7500,0.98212
4002.8000,0.979896
4002.8500,0.98352
4002.9000,0.964203
4002.9500,0.98263
4003.0000,0.969304
4003.0500,0.969263
4003.1000,0.956504
4003.1500,1.01171
4003.2000,0.977733
4003.2500,0.938833
4003.3000,1.02229
4003.3500,0.985467
4003.4000,0.966046
4003.4500,0.971431
4003.5000,0.996122
4003.5500,0.972419
4003.6000,0.975386
4003.6500,1.03303
4003.7000,0.968123
4003.7500,0.997331
4003.8000,1.01088
4003.8500,0.966495
4003.9000,0.993127
4003.9500,0.980312
4004.0000,0.986152
4004.0500,1.01076
4004.1000,0.956946
4004.1500,1.00259
4004.2000,0.988546
4004.2500,1.0528
4004.3000,0.998685
4004.3500,0.969625
4004.4000,0.985372
4004.4500,0.970857
4004.5000,1.00878
4004.5500,1.00859
4004.6000,0.982624
4004.6500,0.996696
4004.7000,0.95129
4004.7500,0.993693
4004.8000,1.03625
4004.8500,0.957129
4004.9000,0.973353
4004.9500,0.946177
4005.0000,0.985946
4005.0500,0.948299
4005.1000,0.973715
4005.1500,0.964356
4005.2000,0.981056
4005.2500,0.976437
4005.3000,0.962519
4005.3500,0.981335
4005.4000,0.970841
4005.4500,0.963461
4005.5000,1.00707
4005.5500,0.994067
4005.6000,1.03606
4005.6500,0.965929
4005.7000,0.999502
