Longitud_de_onda_A,espectro
4000.0000,0.962465
4000.0500,0.979892
4000.1000,0.957093
4000.1500,0.951628
4000.2000,0.913347
4000.2500,0.956919
4000.3000,0.964148
4000.3500,0.963228
4000.4000,0.981189
4000.4500,0.958332
4000.5000,0.982425
4000.5500,0.963116
4000.6000,0.944353
4000.6500,0.980076
4000.7000,0.956241
4000.7500,0.963401
4000.8000,0.973161
4000.8500,0.979837
4000.9000,1.00195
4000.9500,0.957165
4001.0000,0.949291
4001.0500,0.991454
4001.1000,1.02045
4001.1500,0.95688
4001.2000,1.03341
4001.2500,0.978088
4001.3000,0.983326
4001.3500,0.972135
4001.4000,0.955237
4001.4500,0.964116
4001.5000,0.970555
4001.5500,0.998919
4001.6000,0.952951
4001.6500,0.973875
4001.7000,0.960425
4001.7500,0.986011
4001.8000,0.968992
4001.8500,0.984878
4001.9000,0.957153
4001.9500,0.964062
4002.0000,0.998555
4002.0500,0.973241
4002.1000,0.961569
4002.1500,0.954691
4002.2000,1.00944
4002.2500,0.954957
4002.3000,0.945172
4002.3500,0.949509
4002.4000,0.984592
4002.4500,0.982661
4002.5000,0.955135
4002.5500,0.960352
4002.6000,0.951189
4002.6500,0.945219
4002.7000,0.977619
4002.7500,0.982899
4002.8000,0.980476
4002.8500,0.984083
4002.9000,0.963365
4002.9500,0.982493
4003.0000,0.969285
4003.0500,0.969859
4003.1000,0.956231
4003.1500,1.013
4003.2000,0.979173
4003.2500,0.938012
4003.3000,1.02314
4003.3500,0.984992
4003.4000,0.965646
4003.4500,0.970986
4003.5000,0.995682
4003.5500,0.97168
4003.6000,0.974529
4003.6500,1.03229
4003.7000,0.968178
4003.7500,0.998398
4003.8000,1.01169
4003.8500,0.966733
4003.9000,0.992214
4003.9500,0.980646
4004.0000,0.984481
4004.0500,1.00951
4004.1000,0.957036
4004.1500,1.00226
4004.2000,0.988555
4004.2500,1.05297
4004.3000,0.999309
4004.3500,0.970087
4004.4000,0.984894
4004.4500,0.97189
4004.5000,1.00658
4004.5500,1.00757
4004.6000,0.98324
4004.6500,0.995337
4004.7000,0.951615
4004.7500,0.994016
4004.8000,1.03738
4004.8500,0.957456
4004.9000,0.973197
4004.9500,0.94524
4005.0000,0.986243
4005.0500,0.949374
4005.1000,0.97329
4005.1500,0.963567
4005.2000,0.981614
4005.2500,0.97561
4005.3000,0.962511
4005.3500,0.981317
4005.4000,0.971596
4005.4500,0.964258
4005.5000,1.0061
4005.5500,0.993964
4005.6000,1.03662
4005.6500,0.964786
4005.7000,1.00059
4005.7500,1.03099
4005.8000,1.00732
4005.8500,1.03853
4005.9000,1.01761
4005.9500,1.04448
4006.0000,1.00692
4006.0500,1.00279
4006.1000,0.991607
4006.1500,0.997297
4006.2000,0.977684
4006.2500,0.951167
4006.3000,0.973085
4006.3500,0.983875
4006.4000,1.02172
4006.4500,0.994309
4006.5000,0.965487
4006.5500,0.966391
4006.6000,1.0019
4006.6500,1.01102
4006.7000,1.0282
4006.7500,0.953818
4006.8000,1.02336
4006.8500,1.04866
4006.9000,0.87577
4006.9500,1.00379
4007.0000,0.987865
4007.0500,1.0151
4007.1000,0.976693
4007.1500,0.984338
4007.2000,1.00454
4007.2500,0.989583
4007.3000,1.0265
4007.3500,0.996542
4007.4000,1.04298
4007.4500,0.999241
4007.5000,1.02877
4007.5500,1.00226
4007.6000,0.969905
4007.6500,0.994542
4007.7000,1.02663
4007.7500,0.99801
4007.8000,1.03811
4007.8500,0.984683
4007.9000,1.00283
4007.9500,0.998084
4008.0000,1.05445
4008.0500,0.987031
4008.1000,1.03001
4008.1500,1.01157
4008.2000,1.02818
4008.2500,1.03067
4008.3000,1.04378
4008.3500,1.02771
4008.4000,1.03676
4008.4500,0.983353
4008.5000,0.99478
4008.5500,1.00818
4008.6000,0.960128
4008.6500,1.01486
4008.7000,1.00433
4008.7500,1.01376
4008.8000,1.02528
4008.8500,0.997928
4008.9000,0.998375
4008.9500,0.96924
4009.0000,0.965541
4009.0500,1.01779
4009.1000,1.00739
4009.1500,0.996539
4009.2000,0.970351
4009.2500,1.00095
4009.3000,1.00432
4009.3500,0.977311
4009.4000,0.976103
4009.4500,1.01726
4009.5000,1.01027
4009.5500,0.968265
4009.6000,0.955557
4009.6500,1.03967
4009.7000,0.989503
4009.7500,1.03316
4009.8000,0.980546
4009.8500,0.976934
4009.9000,0.965633
4009.9500,0.984539
4010.0000,0.973127
4010.0500,1.00373
4010.1000,0.970169
4010.1500,0.93692
4010.2000,0.96097
4010.2500,0.927153
4010.3000,0.945015
4010.3500,0.944504
