Longitud_de_onda_A,espectro
4000.0000,1.09973
4000.0500,1.02876
4000.1000,1.17103
4000.1500,1.12805
4000.2000,0.860119
4000.2500,0.528599
4000.3000,0.566656
4000.3500,0.635141
4000.4000,0.54267
4000.4500,0.373139
4000.5000,0.398846
4000.5500,0.76922
4000.6000,0.977373
4000.6500,1.16513
4000.7000,1.24168
4000.7500,1.1516
4000.8000,1.07815
4000.8500,1.08559
4000.9000,1.15572
4000.9500,1.07107
4001.0000,0.958577
4001.0500,0.782002
4001.1000,0.516607
4001.1500,0.474451
4001.2000,0.61686
4001.2500,0.742604
4001.3000,0.95248
4001.3500,1.02631
4001.4000,0.786297
4001.4500,0.725589
4001.5000,0.80333
4001.5500,0.800962
4001.6000,0.599138
4001.6500,0.339161
4001.7000,0.346927
4001.7500,0.698932
4001.8000,1.11434
4001.8500,1.23142
4001.9000,1.26483
4001.9500,1.12866
4002.0000,1.02034
4002.0500,0.82789
4002.1000,0.857501
4002.1500,1.05975
4002.2000,1.26579
4002.2500,1.2647
4002.3000,1.23065
4002.3500,1.009
4002.4000,0.900967
4002.4500,0.747272
4002.5000,0.778222
4002.5500,0.904722
4002.6000,0.863351
4002.6500,0.728034
4002.7000,0.87329
4002.7500,1.05759
4002.8000,1.18068
4002.8500,0.855468
4002.9000,0.558769
4002.9500,0.598379
4003.0000,0.964213
4003.0500,1.12112
4003.1000,1.18641
4003.1500,1.10463
4003.2000,1.12647
4003.2500,1.18477
4003.3000,1.17817
4003.3500,1.19836
4003.4000,1.18861
4003.4500,1.11822
4003.5000,1.07478
4003.5500,1.11302
4003.6000,1.10101
4003.6500,1.12161
4003.7000,0.844154
4003.7500,0.497926
4003.8000,0.598859
4003.8500,0.87429
4003.9000,1.085
4003.9500,0.904849
4004.0000,0.719711
4004.0500,0.76871
4004.1000,1.0499
4004.1500,1.0672
4004.2000,1.05297
4004.2500,1.04352
4004.3000,1.10162
4004.3500,1.19589
4004.4000,1.18972
4004.4500,1.20124
4004.5000,1.19003
4004.5500,1.06185
4004.6000,0.918321
4004.6500,0.916637
4004.7000,0.849658
4004.7500,0.773752
4004.8000,0.479657
4004.8500,0.286867
4004.9000,0.194164
4004.9500,0.20507
4005.0000,0.222135
4005.0500,0.267033
4005.1000,0.269402
4005.1500,0.189866
4005.2000,0.102884
4005.2500,0.07565
4005.3000,0.0891544
4005.3500,0.168403
4005.4000,0.217726
4005.4500,0.249819
4005.5000,0.399316
4005.5500,0.627347
4005.6000,0.643124
4005.6500,0.473967
4005.7000,0.358098
4005.7500,0.572926
4005.8000,0.793278
4005.8500,0.976244
4005.9000,0.92095
4005.9500,0.914872
4006.0000,0.99738
4006.0500,0.972146
4006.1000,0.781523
4006.1500,0.575038
4006.2000,0.633924
4006.2500,0.657235
4006.3000,0.455312
4006.3500,0.564506
4006.4000,0.8438
4006.4500,0.993096
4006.5000,1.03112
4006.5500,0.789346
4006.6000,0.477535
4006.6500,0.385268
4006.7000,0.403892
4006.7500,0.380405
4006.8000,0.463248
4006.8500,0.712743
4006.9000,0.904634
4006.9500,0.821737
4007.0000,0.679179
4007.0500,0.822807
4007.1000,1.0576
4007.1500,1.05727
4007.2000,0.782899
4007.2500,0.393773
4007.3000,0.334803
