Longitud_de_onda_A,espectro
4000.0000,1.00977
4000.0500,0.92928
4000.1000,1.12709
4000.1500,1.221
4000.2000,0.918738
4000.2500,0.589974
4000.3000,0.63685
4000.3500,0.670731
4000.4000,0.533333
4000.4500,0.348634
4000.5000,0.371288
4000.5500,0.703723
4000.6000,1.14664
4000.6500,1.44251
4000.7000,1.55815
4000.7500,1.40846
4000.8000,1.23259
4000.8500,1.27368
4000.9000,1.3612
4000.9500,1.3002
4001.0000,1.13198
4001.0500,0.794893
4001.1000,0.553767
4001.1500,0.558751
4001.2000,0.672349
4001.2500,0.881853
4001.3000,1.10335
4001.3500,1.14579
4001.4000,0.905419
4001.4500,0.748483
4001.5000,0.885701
4001.5500,0.882476
4001.6000,0.628575
4001.6500,0.338605
4001.7000,0.311201
4001.7500,0.676184
4001.8000,1.28851
4001.8500,1.54328
4001.9000,1.45946
4001.9500,1.29326
4002.0000,1.2431
4002.0500,1.18535
4002.1000,1.18581
4002.1500,1.2776
4002.2000,1.4103
4002.2500,1.55203
4002.3000,1.44238
4002.3500,1.21772
4002.4000,0.8832
4002.4500,0.593036
4002.5000,0.551202
4002.5500,0.709236
4002.6000,0.848559
4002.6500,0.771515
4002.7000,0.894467
4002.7500,1.20619
4002.8000,1.27684
4002.8500,1.08166
4002.9000,0.734418
4002.9500,0.696868
4003.0000,1.06765
4003.0500,1.25028
4003.1000,1.13943
4003.1500,1.15193
4003.2000,1.25541
4003.2500,1.32952
4003.3000,1.44502
4003.3500,1.60215
4003.4000,1.52547
4003.4500,1.2648
4003.5000,1.05215
4003.5500,0.986825
4003.6000,1.02454
4003.6500,1.18349
4003.7000,0.931524
4003.7500,0.546424
4003.8000,0.471825
4003.8500,0.762605
4003.9000,0.974568
4003.9500,0.91548
4004.0000,0.801984
4004.0500,0.901593
4004.1000,1.15228
4004.1500,1.1323
4004.2000,1.06711
4004.2500,1.15654
4004.3000,1.23448
4004.3500,1.23008
4004.4000,1.18845
4004.4500,1.3755
4004.5000,1.31626
4004.5500,1.13244
4004.6000,0.87014
4004.6500,0.761735
4004.7000,0.708976
4004.7500,0.619325
4004.8000,0.417735
4004.8500,0.267776
4004.9000,0.215571
4004.9500,0.199075
4005.0000,0.21379
4005.0500,0.191896
4005.1000,0.18267
4005.1500,0.133278
4005.2000,0.0680539
4005.2500,0.0377673
4005.3000,0.05073
4005.3500,0.0952879
4005.4000,0.1361
4005.4500,0.180448
4005.5000,0.283348
4005.5500,0.418142
4005.6000,0.472632
4005.6500,0.364369
4005.7000,0.371626
4005.7500,0.548983
4005.8000,0.856262
4005.8500,0.982072
4005.9000,0.846787
4005.9500,0.703298
4006.0000,0.820065
4006.0500,0.957971
4006.1000,0.79971
4006.1500,0.590475
4006.2000,0.646985
4006.2500,0.663577
4006.3000,0.513994
4006.3500,0.600775
4006.4000,0.887452
4006.4500,0.99782
4006.5000,0.982756
4006.5500,0.776077
4006.6000,0.481757
4006.6500,0.373643
4006.7000,0.406013
4006.7500,0.434606
4006.8000,0.596843
4006.8500,1.004
4006.9000,1.248
4006.9500,1.12782
4007.0000,0.957781
4007.0500,1.0069
4007.1000,1.21928
4007.1500,1.03745
4007.2000,0.58075
4007.2500,0.332748
4007.3000,0.424017
4007.3500,0.748402
4007.4000,0.849574
4007.4500,0.804142
4007.5000,0.937493
4007.5500,1.0404
4007.6000,1.08444
4007.6500,1.23624
4007.7000,1.30145
4007.7500,1.18473
4007.8000,1.01759
4007.8500,0.878203
4007.9000,0.650404
4007.9500,0.476576
4008.0000,0.434165
4008.0500,0.467977
4008.1000,0.581413
4008.1500,0.755502
4008.2000,1.01024
4008.2500,1.30977
4008.3000,1.47844
4008.3500,1.47419
4008.4000,1.36547
4008.4500,1.30836
4008.5000,1.36668
4008.5500,1.24375
4008.6000,0.944652
4008.6500,0.808451
4008.7000,0.713722
4008.7500,0.708881
4008.8000,0.680448
4008.8500,0.420277
4008.9000,0.202053
4008.9500,0.25127
4009.0000,0.491609
4009.0500,0.777933
4009.1000,0.769048
4009.1500,0.729143
4009.2000,1.03742
4009.2500,1.45052
4009.3000,1.67251
4009.3500,1.68904
4009.4000,1.64625
4009.4500,1.49601
4009.5000,1.02529
4009.5500,0.56034
4009.6000,0.313802
4009.6500,0.165183
4009.7000,0.143039
4009.7500,0.308978
4009.8000,0.722396
4009.8500,1.1574
4009.9000,1.28669
4009.9500,1.26702
4010.0000,1.35344
4010.0500,1.44121
4010.1000,1.25796
4010.1500,0.931174
4010.2000,1.00425
4010.2500,1.30762
4010.3000,1.41152
4010.3500,1.25098
4010.4000,1.12789
4010.4500,1.0461
4010.5000,0.919624
4010.5500,0.798293
4010.6000,0.788405
4010.6500,1.08198
4010.7000,1.02939
4010.7500,0.733148
4010.8000,0.739339
4010.8500,0.936272
4010.9000,0.899083
4010.9500,0.872732
4011.0000,1.00128
4011.0500,0.833232
4011.1000,0.670852
4011.1500,0.898578
4011.2000,1.25683
4011.2500,1.25123
4011.3000,1.00748
4011.3500,0.766409
4011.4000,0.554671
4011.4500,0.558653
4011.5000,0.688665
4011.5500,0.842765
4011.6000,1.06286
4011.6500,0.982137
4011.7000,0.661704
4011.7500,0.657032
4011.8000,0.857904
4011.8500,0.962661
4011.9000,1.07985
4011.9500,1.125
4012.0000,1.06655
4012.0500,1.07704
4012.1000,1.00755
4012.1500,0.731713
4012.2000,0.467983
4012.2500,0.370506
4012.3000,0.385125
4012.3500,0.311436
4012.4000,0.277086
4012.4500,0.330351
4012.5000,0.598661
4012.5500,0.777306
4012.6000,0.735968
4012.6500,0.616992
4012.7000,0.587789
4012.7500,0.639012
4012.8000,0.887684
4012.8500,1.27481
4012.9000,1.54848
4012.9500,1.62668
4013.0000,1.63209
4013.0500,1.46774
4013.1000,1.39177
4013.1500,1.33748
4013.2000,1.10712
4013.2500,1.06692
4013.3000,1.32028
4013.3500,1.51868
4013.4000,1.65878
4013.4500,1.57061
4013.5000,1.21254
4013.5500,0.735862
4013.6000,0.411091
4013.6500,0.460622
4013.7000,0.681539
4013.7500,0.568603
4013.8000,0.35147
4013.8500,0.272695
4013.9000,0.308763
4013.9500,0.494983
4014.0000,0.812922
4014.0500,1.32871
4014.1000,1.62568
4014.1500,1.60439
4014.2000,1.24691
4014.2500,0.823305
4014.3000,0.75545
4014.3500,1.05861
4014.4000,0.980159
4014.4500,0.599274
4014.5000,0.33403
4014.5500,0.345761
4014.6000,0.61317
4014.6500,0.801567
4014.7000,1.01522
4014.7500,1.24462
4014.8000,1.36413
4014.8500,1.15905
4014.9000,0.815845
4014.9500,0.863474
