Longitud_de_onda_A,espectro
4000.0000,0.837421
4000.0500,0.903846
4000.1000,0.910636
4000.1500,1.06065
4000.2000,0.831769
4000.2500,0.853296
4000.3000,1.67924
4000.3500,1.41571
4000.4000,0.975819
4000.4500,0.72409
4000.5000,0.857476
4000.5500,0.902201
4000.6000,0.975132
4000.6500,1.08981
4000.7000,1.08398
4000.7500,0.917744
4000.8000,1.03402
4000.8500,1.02497
4000.9000,1.13085
4000.9500,1.17766
4001.0000,1.09219
4001.0500,0.844356
4001.1000,1.01758
4001.1500,0.910889
4001.2000,0.984227
4001.2500,1.10279
4001.3000,0.998818
4001.3500,0.937272
4001.4000,1.01749
4001.4500,0.92124
4001.5000,0.882813
4001.5500,0.980225
4001.6000,0.857881
4001.6500,0.73497
4001.7000,0.762742
4001.7500,0.869951
4001.8000,1.01387
4001.8500,1.06107
4001.9000,1.02326
4001.9500,0.906233
4002.0000,0.75234
4002.0500,0.974471
4002.1000,1.04014
4002.1500,1.14541
4002.2000,0.984385
4002.2500,1.02056
4002.3000,0.978531
4002.3500,1.07828
4002.4000,0.995781
4002.4500,0.63079
4002.5000,0.746796
4002.5500,0.80149
4002.6000,1.03329
4002.6500,0.817251
4002.7000,0.837473
4002.7500,0.946492
4002.8000,0.837369
4002.8500,1.03685
4002.9000,0.981002
4002.9500,0.992405
4003.0000,1.16875
4003.0500,1.16142
4003.1000,1.00009
4003.1500,0.929667
4003.2000,1.09863
4003.2500,1.12611
4003.3000,0.90121
4003.3500,1.00342
4003.4000,0.983067
4003.4500,0.946111
4003.5000,0.961901
4003.5500,0.910872
4003.6000,0.910277
4003.6500,1.02834
4003.7000,0.800834
4003.7500,0.703923
4003.8000,0.549376
4003.8500,0.883224
4003.9000,1.173
4003.9500,0.949639
4004.0000,0.962285
4004.0500,1.08438
4004.1000,1.00218
4004.1500,1.11368
4004.2000,0.959928
4004.2500,0.968604
4004.3000,0.837736
4004.3500,0.922116
4004.4000,0.973289
4004.4500,0.916792
4004.5000,1.06948
4004.5500,0.921284
4004.6000,0.881142
4004.6500,0.850084
4004.7000,0.916361
4004.7500,0.796969
4004.8000,0.744944
4004.8500,0.648285
4004.9000,0.740626
4004.9500,0.718029
4005.0000,0.523997
