Longitud_de_onda_A,espectro
4000.0000,0.844951
4000.0500,0.648838
4000.1000,0.736186
4000.1500,0.741885
4000.2000,0.756485
4000.2500,1.0754
4000.3000,0.393507
4000.3500,1.05988
4000.4000,0.818012
4000.4500,0.648428
4000.5000,0.478356
4000.5500,0.878361
4000.6000,0.813956
4000.6500,1.22248
4000.7000,0.953801
4000.7500,1.01056
4000.8000,0.866939
4000.8500,0.756234
4000.9000,1.15476
4000.9500,1.2512
4001.0000,0.736189
4001.0500,0.901281
4001.1000,0.505407
4001.1500,0.702311
4001.2000,0.75959
4001.2500,0.959196
4001.3000,0.717416
4001.3500,0.895885
4001.4000,0.723457
4001.4500,0.344179
4001.5000,0.830092
4001.5500,1.27544
4001.6000,0.390238
4001.6500,0.435732
4001.7000,0.457729
4001.7500,0.481923
4001.8000,0.598348
4001.8500,0.945456
4001.9000,1.14768
4001.9500,1.26958
4002.0000,0.938696
4002.0500,1.44686
4002.1000,1.02875
4002.1500,0.958524
4002.2000,1.25381
4002.2500,0.95311
4002.3000,1.51988
4002.3500,0.903054
4002.4000,0.998233
4002.4500,0.61303
4002.5000,0.752425
4002.5500,1.07484
4002.6000,0.805499
4002.6500,0.935331
4002.7000,0.95196
4002.7500,0.884329
4002.8000,0.797886
4002.8500,0.91213
4002.9000,0.665649
4002.9500,0.489129
4003.0000,0.672588
4003.0500,1.41326
4003.1000,1.53756
4003.1500,1.2563
4003.2000,1.54211
4003.2500,1.52566
4003.3000,1.33167
4003.3500,0.607054
4003.4000,1.01792
4003.4500,1.33004
4003.5000,1.29016
4003.5500,0.845789
4003.6000,0.777522
4003.6500,0.913622
4003.7000,0.935141
4003.7500,0.542134
4003.8000,0.617285
4003.8500,1.12957
4003.9000,0.731193
4003.9500,0.530304
4004.0000,0.188804
4004.0500,1.01286
4004.1000,1.42719
4004.1500,1.13738
4004.2000,1.10928
4004.2500,0.87967
4004.3000,1.42588
4004.3500,1.05924
4004.4000,1.00119
4004.4500,1.11091
4004.5000,0.916496
4004.5500,1.14964
4004.6000,0.914424
4004.6500,1.02887
4004.7000,0.947183
4004.7500,1.24162
4004.8000,0.453899
4004.8500,0.760733
4004.9000,0.165842
4004.9500,0.429551
4005.0000,0.732262
4005.0500,0.453587
4005.1000,0.806584
4005.1500,0.687469
4005.2000,0
4005.2500,0.443576
4005.3000,0.381683
4005.3500,0.871376
4005.4000,0.757161
4005.4500,0.224128
4005.5000,0.212737
4005.5500,0.272028
4005.6000,0
4005.6500,0.511315
4005.7000,0.266271
4005.7500,0.5036
4005.8000,1.15076
4005.8500,0.896831
4005.9000,1.58969
4005.9500,1.53206
4006.0000,1.08467
4006.0500,0.895281
4006.1000,0.916164
4006.1500,1.16953
4006.2000,0.87235
4006.2500,0.95589
4006.3000,1.36357
4006.3500,0.487567
4006.4000,0.863601
4006.4500,1.09727
4006.5000,0.944793
4006.5500,1.19221
4006.6000,1.48441
4006.6500,0.807314
4006.7000,0.764797
4006.7500,0.562722
4006.8000,0.764282
4006.8500,0.630409
4006.9000,0.234628
4006.9500,1.3146
4007.0000,0.917031
4007.0500,1.29048
4007.1000,1.93672
4007.1500,1.47407
4007.2000,1.05878
4007.2500,0.318671
4007.3000,0.928926
4007.3500,1.2482
4007.4000,0.785655
4007.4500,0.594207
4007.5000,0.960934
4007.5500,0.973059
4007.6000,1.33322
4007.6500,1.21777
4007.7000,1.24522
4007.7500,1.17247
4007.8000,1.12415
4007.8500,0.724457
4007.9000,1.06656
4007.9500,0.904486
4008.0000,1.07981
4008.0500,0.557037
4008.1000,1.1137
4008.1500,0.691094
4008.2000,0.649379
4008.2500,1.31875
4008.3000,1.44911
4008.3500,1.36166
4008.4000,1.77
4008.4500,1.40211
4008.5000,0.637187
4008.5500,1.19297
4008.6000,0.482251
4008.6500,0.648689
4008.7000,0.255556
4008.7500,0.839126
4008.8000,0.443795
4008.8500,0.221091
4008.9000,0.587115
4008.9500,0.785328
4009.0000,0.956437
4009.0500,0.875613
4009.1000,0.727641
4009.1500,0.599852
4009.2000,1.61543
4009.2500,1.34557
4009.3000,1.13763
4009.3500,1.43957
4009.4000,1.16144
4009.4500,1.78508
4009.5000,0.847533
4009.5500,1.00579
4009.6000,0.436903
4009.6500,0.116778
4009.7000,1.0722
4009.7500,1.13753
4009.8000,1.19247
4009.8500,1.17962
4009.9000,1.6992
4009.9500,0.843062
4010.0000,0.809018
4010.0500,1.55148
4010.1000,0.631292
4010.1500,1.11989
4010.2000,1.12145
4010.2500,1.21083
4010.3000,1.06475
4010.3500,0.895444
4010.4000,0.92504
4010.4500,0.821918
4010.5000,1.32925
4010.5500,1.02799
4010.6000,0.789441
4010.6500,0.740534
4010.7000,0.858058
4010.7500,1.15141
4010.8000,0.580753
4010.8500,0.686671
4010.9000,0.861315
4010.9500,1.688
4011.0000,1.99572
4011.0500,1.00868
4011.1000,0.798552
4011.1500,0.884131
4011.2000,1.22913
4011.2500,1.32561
4011.3000,1.3208
4011.3500,1.70536
4011.4000,1.63612
4011.4500,0.580375
4011.5000,0.723068
4011.5500,1.41867
4011.6000,0.958519
4011.6500,1.30483
4011.7000,1.1525
4011.7500,1.06874
4011.8000,2.17369
4011.8500,1.01564
4011.9000,0.648623
4011.9500,0.669879
4012.0000,0.515673
4012.0500,0.885394
4012.1000,0.598792
4012.1500,1.30311
4012.2000,0.817522
4012.2500,0.434826
4012.3000,0.204661
4012.3500,0.30534
4012.4000,0.801628
4012.4500,1.05972
4012.5000,1.09362
4012.5500,0.696426
4012.6000,1.22426
4012.6500,1.29146
4012.7000,1.32032
4012.7500,1.17964
4012.8000,0.787589
4012.8500,1.34167
4012.9000,1.86877
4012.9500,1.19052
4013.0000,1.65966
4013.0500,1.53144
4013.1000,1.70808
4013.1500,1.2592
4013.2000,1.35303
4013.2500,1.31797
4013.3000,1.45177
4013.3500,1.32707
4013.4000,1.4181
4013.4500,1.59729
4013.5000,1.36163
4013.5500,1.24355
4013.6000,0.860127
4013.6500,1.03379
4013.7000,1.35047
4013.7500,0.422308
4013.8000,0.677304
4013.8500,0.32118
4013.9000,0.417801
4013.9500,0.739078
4014.0000,0.604995
4014.0500,1.68329
4014.1000,1.33391
4014.1500,1.04491
4014.2000,0.99881
4014.2500,0.786302
4014.3000,1.02885
4014.3500,1.09429
4014.4000,1.46154
4014.4500,0.980634
4014.5000,0.378605
4014.5500,0.677145
4014.6000,0.539251
4014.6500,1.19592
4014.7000,0.970826
4014.7500,0.928589
4014.8000,0.951386
4014.8500,1.13648
4014.9000,0.704435
4014.9500,1.00236
4015.0000,0.886583
4015.0500,1.17384
4015.1000,1.6754
4015.1500,1.65422
4015.2000,0.815036
4015.2500,1.07481
4015.3000,0.979108
4015.3500,0.873625
4015.4000,0.963941
4015.4500,0.780314
4015.5000,1.63962
4015.5500,0.85101
4015.6000,0.902656
4015.6500,1.17098
4015.7000,0.830982
4015.7500,1.67229
4015.8000,0.52739
4015.8500,1.15988
4015.9000,0.959592
4015.9500,1.07494
4016.0000,1.00995
4016.0500,0.721229
4016.1000,1.55929
4016.1500,1.31824
4016.2000,1.26954
4016.2500,1.00932
4016.3000,1.0495
4016.3500,1.42131
4016.4000,0.758977
4016.4500,0.991046
4016.5000,1.02345
4016.5500,0.840689
4016.6000,1.17079
4016.6500,0.935948
4016.7000,1.20251
4016.7500,1.25088
4016.8000,0.914887
4016.8500,0.52686
4016.9000,1.10846
4016.9500,0.723036
4017.0000,1.01618
4017.0500,0.627436
4017.1000,0.434336
4017.1500,0.982268
4017.2000,0.481293
4017.2500,0.650041
4017.3000,0.862891
4017.3500,0.80789
4017.4000,0.80828
4017.4500,0.90515
4017.5000,0.505
4017.5500,0.525464
4017.6000,0.416504
4017.6500,0.397243
4017.7000,1.13664
4017.7500,0.74911
4017.8000,0.691674
4017.8500,0.840416
4017.9000,1.03387
4017.9500,0.664454
4018.0000,1.09211
4018.0500,0.535272
4018.1000,0.456552
4018.1500,0.301987
4018.2000,0.562214
4018.2500,0.701579
4018.3000,0.851807
4018.3500,1.07647
4018.4000,1.15813
4018.4500,1.35189
4018.5000,1.13417
4018.5500,1.59728
4018.6000,1.26213
4018.6500,1.09251
4018.7000,1.56308
4018.7500,0.990554
4018.8000,0.647723
4018.8500,0.791878
4018.9000,0.955425
4018.9500,0.581355
4019.0000,1.07656
4019.0500,0.634356
4019.1000,0.252622
4019.1500,1.02032
4019.2000,0.657337
4019.2500,0.923954
4019.3000,0.981908
4019.3500,1.03215
4019.4000,1.21815
4019.4500,1.07608
4019.5000,1.35522
4019.5500,1.54085
4019.6000,1.75114
4019.6500,1.46584
4019.7000,1.29027
4019.7500,0.786592
4019.8000,0.741138
4019.8500,0.543488
4019.9000,0.908717
4019.9500,0.852152
4020.0000,0.695018
4020.0500,0.640052
4020.1000,0.466089
4020.1500,0.731632
4020.2000,0.866598
4020.2500,0.616165
4020.3000,0.704405
4020.3500,0.597426
4020.4000,0.781517
4020.4500,0.559391
4020.5000,0.650976
4020.5500,0.747188
4020.6000,1.08647
4020.6500,1.07847
4020.7000,1.35638
4020.7500,1.46124
4020.8000,0.940733
4020.8500,0.297388
4020.9000,1.01799
4020.9500,0.665697
4021.0000,0.676303
4021.0500,0.681644
4021.1000,0.970048
4021.1500,1.44776
4021.2000,1.20013
4021.2500,1.08757
4021.3000,0.832551
4021.3500,0.828757
4021.4000,0.755275
4021.4500,1.13566
4021.5000,1.30625
4021.5500,0.920557
4021.6000,0.9357
4021.6500,1.05178
4021.7000,0.804182
4021.7500,0.448779
4021.8000,0.594924
4021.8500,0.52024
4021.9000,0.352641
4021.9500,0.655064
4022.0000,1.09248
4022.0500,0.946941
4022.1000,0.910472
4022.1500,0.711123
4022.2000,0.886252
4022.2500,0.504229
4022.3000,0.483452
4022.3500,1.26819
4022.4000,1.35873
4022.4500,0.750621
4022.5000,0.729097
4022.5500,1.12734
4022.6000,1.15663
4022.6500,1.1608
4022.7000,0.877335
4022.7500,0.741928
4022.8000,0.594117
4022.8500,0.691488
4022.9000,0.895384
4022.9500,0.778169
4023.0000,0.631475
4023.0500,0.949765
4023.1000,1.05799
4023.1500,1.13232
4023.2000,1.08506
4023.2500,1.08665
4023.3000,0.613626
4023.3500,0.77629
4023.4000,0.657325
4023.4500,0.981908
4023.5000,0.566529
4023.5500,1.21113
4023.6000,0.555201
4023.6500,0.476787
4023.7000,0.745508
4023.7500,0.630088
4023.8000,1.01918
4023.8500,1.1047
4023.9000,0.843568
4023.9500,0.980152
4024.0000,1.00759
4024.0500,0.480692
4024.1000,0.863045
4024.1500,0.631791
4024.2000,0.946941
4024.2500,1.0612
4024.3000,1.35657
4024.3500,0.598732
4024.4000,0.584814
4024.4500,0.900173
4024.5000,0.467772
4024.5500,0.117082
4024.6000,0.0844276
4024.6500,0.323502
4024.7000,0.68197
4024.7500,0.655585
4024.8000,0.628315
4024.8500,0.384116
4024.9000,0.676753
4024.9500,0.803389
4025.0000,0.713186
4025.0500,0.973959
4025.1000,0.438001
4025.1500,0.49356
4025.2000,0.328788
4025.2500,1.05179
4025.3000,0.574054
4025.3500,0.898642
4025.4000,0.727977
4025.4500,0.483066
4025.5000,0.659025
4025.5500,1.46344
4025.6000,1.50495
4025.6500,1.19834
4025.7000,1.17579
4025.7500,1.08
4025.8000,0.96266
4025.8500,0.746179
4025.9000,0.749282
4025.9500,0.975675
4026.0000,1.56789
4026.0500,1.19764
4026.1000,1.04896
4026.1500,0.48596
4026.2000,0.490064
4026.2500,0.98611
4026.3000,1.2737
4026.3500,1.0057
4026.4000,0.576434
4026.4500,0.710173
4026.5000,0.71236
4026.5500,0.927132
4026.6000,0.585072
4026.6500,0.999463
4026.7000,1.22723
4026.7500,0.574498
4026.8000,0.971978
4026.8500,0.594726
4026.9000,0.754939
4026.9500,1.18592
4027.0000,0.554571
4027.0500,0.344091
4027.1000,0.554909
4027.1500,0.646006
4027.2000,1.01745
4027.2500,1.42243
4027.3000,1.44129
4027.3500,0.713345
4027.4000,0.541267
4027.4500,0.545228
4027.5000,0.92304
4027.5500,1.15741
4027.6000,1.32101
4027.6500,0.492871
4027.7000,0.724187
4027.7500,0.748332
4027.8000,1.29345
4027.8500,0.9849
4027.9000,0.514329
4027.9500,0.476451
4028.0000,1.01013
4028.0500,1.18929
4028.1000,1.41437
4028.1500,1.31821
4028.2000,1.3008
4028.2500,1.38359
4028.3000,0.410469
4028.3500,0.762882
4028.4000,0.78996
4028.4500,0.66107
4028.5000,1.00289
4028.5500,0.931615
4028.6000,0.885748
4028.6500,1.553
4028.7000,1.04196
