Longitud_de_onda_A,espectro
4000.0000,0.939085
4000.0500,1.04324
4000.1000,0.940212
4000.1500,0.931394
4000.2000,0.987227
4000.2500,1.0242
4000.3000,0.981874
4000.3500,0.982032
4000.4000,0.993493
4000.4500,1.00233
4000.5000,0.942578
4000.5500,1.00294
4000.6000,0.954135
4000.6500,0.994998
4000.7000,0.975393
4000.7500,1.0569
4000.8000,1.02777
4000.8500,1.00013
4000.9000,1.00298
4000.9500,0.98488
4001.0000,0.98842
4001.0500,1.04807
4001.1000,1.06706
4001.1500,1.04129
4001.2000,1.01101
4001.2500,1.02871
4001.3000,0.986873
4001.3500,1.05264
4001.4000,1.02246
4001.4500,1.01751
4001.5000,0.991141
4001.5500,0.917288
4001.6000,1.00421
4001.6500,1.02198
4001.7000,0.922538
4001.7500,0.956416
4001.8000,0.883709
4001.8500,0.92912
4001.9000,0.987793
4001.9500,0.958783
4002.0000,0.981111
4002.0500,0.971192
4002.1000,0.981652
4002.1500,1.00654
4002.2000,0.926562
4002.2500,0.969724
4002.3000,0.884204
4002.3500,0.922932
4002.4000,0.987957
4002.4500,0.896244
4002.5000,0.964579
4002.5500,0.976002
4002.6000,1.01073
4002.6500,0.934786
4002.7000,0.98247
4002.7500,0.966696
4002.8000,1.08057
4002.8500,0.984906
4002.9000,1.02233
4002.9500,0.98997
4003.0000,0.933945
4003.0500,1.00204
4003.1000,0.922356
4003.1500,0.992617
4003.2000,1.02824
4003.2500,0.991989
4003.3000,0.995242
4003.3500,0.988625
4003.4000,1.01255
4003.4500,1.0429
4003.5000,0.994923
4003.5500,1.04231
4003.6000,0.996197
4003.6500,1.00769
4003.7000,1.00484
4003.7500,1.05378
4003.8000,0.998804
4003.8500,0.987032
4003.9000,1.01585
4003.9500,1.02515
4004.0000,0.976517
4004.0500,0.989619
4004.1000,1.03565
4004.1500,1.05662
4004.2000,0.989445
4004.2500,0.970223
4004.3000,0.985451
4004.3500,0.989239
4004.4000,1.04731
4004.4500,1.03506
4004.5000,1.04266
4004.5500,0.989552
4004.6000,1.00446
4004.6500,1.00203
4004.7000,0.963894
4004.7500,1.00194
4004.8000,0.974398
4004.8500,0.97982
4004.9000,0.934704
4004.9500,0.928203
4005.0000,0.90905
4005.0500,0.963859
4005.1000,0.99211
4005.1500,0.975617
4005.2000,1.00897
4005.2500,0.988561
4005.3000,0.936064
4005.3500,0.912069
4005.4000,0.972714
4005.4500,0.964765
4005.5000,1.00839
4005.5500,0.975895
4005.6000,1.04545
4005.6500,0.971982
4005.7000,0.935072
4005.7500,1.00798
4005.8000,0.950498
4005.8500,0.988675
4005.9000,0.960113
4005.9500,0.938071
4006.0000,1.01635
4006.0500,1.03133
4006.1000,1.0177
4006.1500,0.983404
4006.2000,0.919158
4006.2500,0.998864
4006.3000,1.02078
4006.3500,0.978475
4006.4000,1.02964
4006.4500,0.956801
4006.5000,0.913153
4006.5500,0.99988
4006.6000,0.985485
4006.6500,0.961502
4006.7000,1.01182
4006.7500,1.05328
4006.8000,1.01277
4006.8500,1.02227
4006.9000,0.982345
4006.9500,0.993217
4007.0000,0.967226
4007.0500,1.01724
4007.1000,0.975335
4007.1500,1.02212
4007.2000,1.0193
4007.2500,1.03595
4007.3000,0.937601
4007.3500,1.01412
4007.4000,1.00515
4007.4500,1.04726
4007.5000,1.0045
4007.5500,1.0562
4007.6000,1.00146
4007.6500,1.02806
4007.7000,0.980909
4007.7500,1.00947
4007.8000,0.96093
4007.8500,0.94562
4007.9000,1.06883
4007.9500,1.02764
4008.0000,1.0164
4008.0500,0.989866
4008.1000,1.05215
4008.1500,1.00889
4008.2000,1.00271
4008.2500,1.02663
4008.3000,1.01363
4008.3500,1.0738
4008.4000,0.968709
4008.4500,1.02199
4008.5000,1.01979
4008.5500,0.997645
4008.6000,1.02424
4008.6500,1.01091
4008.7000,1.05682
4008.7500,1.08444
4008.8000,0.950133
4008.8500,1.00181
4008.9000,0.975345
4008.9500,1.01048
4009.0000,1.01008
4009.0500,1.07465
4009.1000,1.01833
4009.1500,1.00186
4009.2000,1.03456
4009.2500,1.009
4009.3000,1.05349
4009.3500,1.05471
4009.4000,0.965606
4009.4500,0.983454
4009.5000,1.00868
4009.5500,1.02651
4009.6000,0.9952
4009.6500,1.01623
4009.7000,1.0256
4009.7500,1.02823
4009.8000,1.05901
4009.8500,1.09855
4009.9000,1.01421
4009.9500,0.988428
4010.0000,1.01223
4010.0500,1.05593
4010.1000,1.00703
4010.1500,1.01543
4010.2000,1.03883
4010.2500,1.01067
4010.3000,1.0574
4010.3500,1.03224
4010.4000,1.03347
4010.4500,1.00218
4010.5000,1.06089
4010.5500,1.05233
4010.6000,1.02887
4010.6500,0.994418
4010.7000,1.02223
4010.7500,1.0222
4010.8000,1.01976
4010.8500,1.01344
4010.9000,1.05124
4010.9500,1.02355
4011.0000,1.04955
4011.0500,1.07179
4011.1000,1.05939
4011.1500,1.029
4011.2000,1.07229
4011.2500,1.16725
4011.3000,1.00965
4011.3500,0.977936
4011.4000,0.963918
4011.4500,1.05742
4011.5000,1.06509
4011.5500,1.03735
4011.6000,0.948139
4011.6500,1.05077
4011.7000,1.07296
4011.7500,1.00331
