Longitud_de_onda_A,espectro
4000.0000,0.919266
4000.0500,0.830683
4000.1000,1.19724
4000.1500,1.31414
4000.2000,0.947298
4000.2500,0.80011
4000.3000,0.775321
4000.3500,0.886037
4000.4000,0.646051
4000.4500,0.344186
4000.5000,0.344781
4000.5500,0.658202
4000.6000,1.09167
4000.6500,1.4263
4000.7000,1.4186
4000.7500,1.39213
4000.8000,1.28561
4000.8500,1.22416
4000.9000,0.931912
4000.9500,1.26178
4001.0000,1.11466
4001.0500,0.858812
4001.1000,0.737286
4001.1500,0.703073
4001.2000,0.838357
4001.2500,0.783709
4001.3000,0.979725
4001.3500,1.15869
4001.4000,0.899293
4001.4500,0.780978
4001.5000,0.750688
4001.5500,0.859191
4001.6000,0.625732
4001.6500,0.264147
4001.7000,0.427028
4001.7500,0.749907
4001.8000,1.07179
4001.8500,1.45563
4001.9000,1.34428
4001.9500,1.52345
4002.0000,1.52935
4002.0500,1.24829
4002.1000,1.40539
4002.1500,1.38052
4002.2000,1.54657
4002.2500,1.39707
4002.3000,1.38189
4002.3500,1.26332
4002.4000,0.997447
4002.4500,0.625203
4002.5000,0.477818
4002.5500,0.672771
4002.6000,0.890817
4002.6500,0.798318
4002.7000,0.732592
4002.7500,1.08878
4002.8000,1.16913
4002.8500,1.04509
4002.9000,0.772768
4002.9500,0.673921
4003.0000,1.1369
4003.0500,1.15762
4003.1000,1.08531
4003.1500,1.16088
4003.2000,1.3066
4003.2500,1.42927
4003.3000,1.33512
4003.3500,1.3651
4003.4000,1.56473
4003.4500,1.29926
4003.5000,1.01134
4003.5500,1.06813
4003.6000,1.25373
4003.6500,1.13455
4003.7000,0.729295
4003.7500,0.592785
4003.8000,0.494701
4003.8500,0.659022
4003.9000,1.10383
4003.9500,0.970129
4004.0000,0.801376
4004.0500,0.881944
4004.1000,1.07993
4004.1500,1.32463
4004.2000,1.24476
4004.2500,1.13668
4004.3000,1.19298
4004.3500,1.1726
4004.4000,1.29712
4004.4500,1.20773
4004.5000,1.36558
4004.5500,1.25954
4004.6000,1.12327
4004.6500,0.909272
4004.7000,0.582097
4004.7500,0.606263
4004.8000,0.399062
4004.8500,0.550188
4004.9000,0.137643
4004.9500,0.103724
4005.0000,0.25083
4005.0500,0.321123
4005.1000,0.298411
4005.1500,0.280238
4005.2000,0.136164
4005.2500,0.168107
4005.3000,0.272634
4005.3500,0.195086
4005.4000,0.229315
4005.4500,0.310796
4005.5000,0.33274
4005.5500,0.517015
4005.6000,0.294144
4005.6500,0.400615
4005.7000,0.553252
4005.7500,0.688491
4005.8000,0.940815
4005.8500,1.29476
4005.9000,0.943236
4005.9500,0.595296
4006.0000,0.806592
4006.0500,1.15556
4006.1000,0.918041
