Longitud_de_onda_A,espectro
4000.0000,1.08412
4000.0500,1.091
4000.1000,1.0391
4000.1500,1.05821
4000.2000,1.05436
4000.2500,1.08067
4000.3000,1.03569
4000.3500,1.04541
4000.4000,1.04611
4000.4500,1.02688
4000.5000,1.01248
4000.5500,1.03341
4000.6000,1.03022
4000.6500,1.02279
4000.7000,1.02103
4000.7500,1.0635
4000.8000,1.06771
4000.8500,1.03788
4000.9000,1.04256
4000.9500,1.03012
4001.0000,1.01455
4001.0500,1.02606
4001.1000,1.02389
4001.1500,1.03371
4001.2000,1.00572
4001.2500,0.992731
4001.3000,1.02151
4001.3500,1.00165
4001.4000,1.00887
4001.4500,1.02516
4001.5000,1.0079
4001.5500,1.01095
4001.6000,0.990623
4001.6500,0.994103
4001.7000,0.974334
4001.7500,0.965462
4001.8000,0.984574
4001.8500,0.973541
4001.9000,0.99098
4001.9500,0.967031
4002.0000,0.954635
4002.0500,0.987231
4002.1000,1.03342
4002.1500,0.99304
4002.2000,0.966994
4002.2500,0.975179
4002.3000,0.961753
4002.3500,0.968604
4002.4000,0.964675
4002.4500,0.976276
4002.5000,0.971017
4002.5500,0.964992
4002.6000,0.967011
4002.6500,0.960351
4002.7000,0.980982
4002.7500,1.03029
4002.8000,0.989942
4002.8500,0.970641
4002.9000,0.987961
4002.9500,0.98648
4003.0000,0.97811
4003.0500,1.0103
4003.1000,1.01529
4003.1500,1.00987
4003.2000,0.979532
4003.2500,0.996988
4003.3000,1.01179
4003.3500,1.0062
4003.4000,1.00659
4003.4500,1.00642
4003.5000,1.02503
4003.5500,1.03397
4003.6000,1.00473
4003.6500,1.02395
4003.7000,1.06389
4003.7500,1.06627
4003.8000,1.05904
4003.8500,1.06805
4003.9000,1.0567
4003.9500,1.05352
4004.0000,1.06763
4004.0500,1.04694
4004.1000,1.05851
4004.1500,1.03404
4004.2000,1.04619
4004.2500,1.02383
4004.3000,1.01387
4004.3500,1.05511
4004.4000,0.989876
4004.4500,0.974347
4004.5000,0.990221
4004.5500,0.931672
4004.6000,0.900149
4004.6500,0.879226
4004.7000,0.902274
4004.7500,0.888195
4004.8000,0.85961
4004.8500,0.853608
4004.9000,0.838462
4004.9500,0.840715
4005.0000,0.802359
4005.0500,0.790291
4005.1000,0.818173
4005.1500,0.788385
4005.2000,0.771677
4005.2500,0.764955
4005.3000,0.784968
4005.3500,0.77183
4005.4000,0.770437
4005.4500,0.762883
4005.5000,0.78052
4005.5500,0.757149
4005.6000,0.807684
4005.6500,0.800312
4005.7000,0.834719
4005.7500,0.840812
4005.8000,0.827175
4005.8500,0.819917
4005.9000,0.861813
4005.9500,0.864511
4006.0000,0.873461
