Longitud_de_onda_A,espectro
4000.0000,0.981243
4000.0500,0.994308
4000.1000,0.955777
4000.1500,0.982204
4000.2000,0.972703
4000.2500,0.99171
4000.3000,0.948828
4000.3500,0.967408
4000.4000,0.963063
4000.4500,0.996054
4000.5000,0.963919
4000.5500,0.992553
4000.6000,0.984184
4000.6500,0.982363
4000.7000,0.981817
4000.7500,0.988541
4000.8000,1.0108
4000.8500,0.970989
4000.9000,0.977407
4000.9500,0.972552
4001.0000,0.984275
4001.0500,0.965097
4001.1000,0.970136
4001.1500,1.00698
4001.2000,0.970026
4001.2500,0.969876
4001.3000,0.998386
4001.3500,0.998923
4001.4000,0.986449
4001.4500,1.02057
4001.5000,0.988926
4001.5500,0.987022
4001.6000,0.975011
4001.6500,0.978319
4001.7000,0.976071
4001.7500,0.976857
4001.8000,0.982224
4001.8500,0.977062
4001.9000,0.972752
4001.9500,1.00596
4002.0000,0.964924
4002.0500,0.982717
4002.1000,0.990825
4002.1500,0.957697
4002.2000,1.00091
4002.2500,0.985166
4002.3000,0.988033
4002.3500,0.992368
4002.4000,0.980256
4002.4500,0.980056
4002.5000,0.980407
4002.5500,0.985009
4002.6000,0.998319
4002.6500,0.997397
4002.7000,1.0009
4002.7500,1.00384
4002.8000,1.00791
4002.8500,1.0106
4002.9000,0.998551
4002.9500,1.00017
4003.0000,0.99009
4003.0500,0.984131
4003.1000,0.99274
4003.1500,0.981029
4003.2000,0.992985
4003.2500,1.00585
4003.3000,0.982951
4003.3500,1.00483
4003.4000,0.999987
4003.4500,1.01828
4003.5000,1.00619
4003.5500,0.980422
4003.6000,0.993889
4003.6500,0.989856
4003.7000,0.984779
4003.7500,1.015
4003.8000,0.992927
4003.8500,0.982611
4003.9000,0.986644
4003.9500,0.975299
4004.0000,0.992106
4004.0500,1.01083
4004.1000,0.981098
4004.1500,0.993464
4004.2000,1.00617
4004.2500,0.9828
4004.3000,1.02146
4004.3500,1.00766
4004.4000,0.989133
4004.4500,1.01227
4004.5000,1.01055
4004.5500,0.998191
4004.6000,0.984978
4004.6500,1.01436
4004.7000,0.992822
4004.7500,0.988272
4004.8000,0.966738
4004.8500,0.981893
4004.9000,1.00417
4004.9500,0.995551
4005.0000,0.999286
4005.0500,1.00894
4005.1000,0.986472
4005.1500,0.981978
4005.2000,0.98351
4005.2500,0.987246
4005.3000,0.989738
4005.3500,0.999946
4005.4000,0.992951
4005.4500,0.995469
4005.5000,1.00525
4005.5500,0.989714
4005.6000,1.0047
4005.6500,0.984537
4005.7000,0.992149
4005.7500,1.00309
4005.8000,1.06815
4005.8500,1.3426
4005.9000,0.996943
4005.9500,0.996293
4006.0000,0.988325
4006.0500,0.986937
4006.1000,0.991341
4006.1500,0.962544
4006.2000,0.967214
4006.2500,0.987237
4006.3000,1.00701
4006.3500,1.00085
4006.4000,0.983798
4006.4500,0.981447
4006.5000,0.961175
4006.5500,0.97542
4006.6000,0.972951
4006.6500,0.973569
4006.7000,0.967104
4006.7500,0.980794
4006.8000,0.981872
4006.8500,0.973721
4006.9000,0.976867
4006.9500,0.991952
4007.0000,0.979845
4007.0500,0.986864
4007.1000,0.972113
4007.1500,0.977879
4007.2000,0.982236
4007.2500,0.980705
4007.3000,0.972876
4007.3500,0.970876
4007.4000,0.9827
4007.4500,0.939067
4007.5000,0.962547
4007.5500,0.979876
4007.6000,0.967993
4007.6500,0.946763
4007.7000,0.958527
4007.7500,0.970499
4007.8000,0.966199
4007.8500,0.963086
4007.9000,0.952154
4007.9500,0.971786
4008.0000,0.956287
4008.0500,0.977924
4008.1000,0.991007
4008.1500,0.983375
4008.2000,0.934743
4008.2500,0.956257
4008.3000,0.970673
4008.3500,0.956511
4008.4000,0.966125
4008.4500,0.967523
4008.5000,0.956812
4008.5500,0.950787
4008.6000,0.949271
4008.6500,0.920464
4008.7000,0.968619
4008.7500,0.983623
4008.8000,0.963804
4008.8500,0.959112
4008.9000,0.953425
4008.9500,0.978313
4009.0000,0.938078
4009.0500,0.942836
4009.1000,0.965434
4009.1500,0.962205
4009.2000,0.956082
4009.2500,0.963233
4009.3000,0.995125
4009.3500,0.93926
4009.4000,1.00393
4009.4500,0.94525
4009.5000,0.945792
4009.5500,0.959803
4009.6000,0.950703
4009.6500,0.960908
4009.7000,0.945318
4009.7500,0.956041
4009.8000,0.955267
4009.8500,0.976329
4009.9000,0.976358
4009.9500,0.961698
4010.0000,0.950776
4010.0500,0.972835
4010.1000,0.949621
4010.1500,0.968894
4010.2000,0.958532
4010.2500,0.978547
4010.3000,0.969065
