Longitud_de_onda_A,espectro
4000.0000,0.967579
4000.0500,1.00677
4000.1000,1.01982
4000.1500,1.01355
4000.2000,0.798027
4000.2500,0.670906
4000.3000,0.674122
4000.3500,0.832782
4000.4000,0.711587
4000.4500,0.574987
4000.5000,0.61064
4000.5500,0.870549
4000.6000,1.07631
4000.6500,1.13404
4000.7000,0.994132
4000.7500,1.05154
4000.8000,0.996647
4000.8500,0.949309
4000.9000,0.989875
4000.9500,0.962316
4001.0000,1.00494
4001.0500,0.794387
4001.1000,0.667512
4001.1500,0.558877
4001.2000,0.628885
4001.2500,0.778452
4001.3000,0.938801
4001.3500,0.98026
4001.4000,0.817754
4001.4500,0.793991
4001.5000,0.818585
4001.5500,0.910966
4001.6000,0.758603
4001.6500,0.473988
4001.7000,0.516666
4001.7500,0.788314
4001.8000,0.872446
4001.8500,1.00917
4001.9000,0.978391
4001.9500,1.00491
4002.0000,0.939947
4002.0500,0.843567
4002.1000,0.79368
4002.1500,1.01048
4002.2000,1.0103
4002.2500,1.02987
4002.3000,1.06134
4002.3500,0.923108
4002.4000,0.980028
4002.4500,0.900538
4002.5000,0.859952
4002.5500,0.859061
4002.6000,0.883465
4002.6500,0.797349
4002.7000,0.962631
4002.7500,1.01807
4002.8000,0.991787
4002.8500,0.942504
4002.9000,0.740193
4002.9500,0.682995
4003.0000,0.90922
4003.0500,1.03914
4003.1000,1.09223
4003.1500,1.10922
4003.2000,1.05166
4003.2500,1.0298
4003.3000,0.984297
4003.3500,1.0266
4003.4000,1.02619
4003.4500,1.07209
4003.5000,1.11045
4003.5500,1.02133
4003.6000,1.02351
4003.6500,1.01324
4003.7000,0.856245
4003.7500,0.703449
4003.8000,0.759021
4003.8500,0.987008
4003.9000,1.02792
4003.9500,1.06149
4004.0000,1.03479
4004.0500,0.961999
4004.1000,1.02181
4004.1500,0.980639
4004.2000,0.912308
4004.2500,1.03787
4004.3000,1.09056
4004.3500,1.1086
4004.4000,1.06661
4004.4500,1.06411
4004.5000,1.13428
4004.5500,0.966951
4004.6000,0.950354
4004.6500,0.930439
4004.7000,0.939216
4004.7500,0.811963
4004.8000,0.641706
4004.8500,0.381353
4004.9000,0.339226
4004.9500,0.377853
4005.0000,0.410937
4005.0500,0.413034
4005.1000,0.449341
4005.1500,0.425636
4005.2000,0.26522
4005.2500,0.207314
4005.3000,0.205143
4005.3500,0.323667
4005.4000,0.388655
4005.4500,0.49696
4005.5000,0.576528
4005.5500,0.813757
4005.6000,0.81557
4005.6500,0.678065
4005.7000,0.52112
4005.7500,0.626545
4005.8000,0.874254
4005.8500,1.04526
4005.9000,1.00176
4005.9500,0.949935
4006.0000,1.01569
4006.0500,1.07578
4006.1000,0.853014
