Longitud_de_onda_A,espectro
4000.0000,1.03629
4000.0500,1.01043
4000.1000,1.02153
4000.1500,1.00424
4000.2000,0.97703
4000.2500,0.973848
4000.3000,0.976443
4000.3500,0.990709
4000.4000,1.01086
4000.4500,1.02673
4000.5000,1.0001
4000.5500,0.979369
4000.6000,1.01279
4000.6500,0.982198
4000.7000,0.976621
4000.7500,0.990599
4000.8000,0.985312
4000.8500,1.00507
4000.9000,1.01079
4000.9500,1.00894
4001.0000,1.06394
4001.0500,1.06595
4001.1000,0.961957
4001.1500,1.0144
4001.2000,0.979493
4001.2500,0.981714
4001.3000,1.00736
4001.3500,0.992501
4001.4000,1.00611
4001.4500,0.975873
4001.5000,0.993489
4001.5500,0.99851
4001.6000,0.963022
4001.6500,1.03473
4001.7000,1.01665
4001.7500,1.03949
4001.8000,1.00795
4001.8500,1.004
4001.9000,0.977935
4001.9500,0.977689
4002.0000,0.982339
4002.0500,1.0172
4002.1000,1.0009
4002.1500,1.02929
4002.2000,1.04096
4002.2500,1.04959
4002.3000,1.03835
4002.3500,1.01493
4002.4000,0.997804
4002.4500,1.00238
4002.5000,1.00037
4002.5500,1.03112
4002.6000,0.94882
4002.6500,1.00864
4002.7000,0.97633
4002.7500,0.971018
4002.8000,0.989845
4002.8500,0.955117
4002.9000,0.978868
4002.9500,0.984291
4003.0000,0.962166
4003.0500,0.992291
4003.1000,0.963361
4003.1500,0.995615
4003.2000,1.03414
4003.2500,0.967949
4003.3000,1.02172
4003.3500,1.0068
4003.4000,1.00806
4003.4500,1.04489
4003.5000,0.963463
4003.5500,0.962288
4003.6000,1.01203
4003.6500,1.0142
4003.7000,1.01765
4003.7500,0.972033
4003.8000,1.02738
4003.8500,0.966934
4003.9000,0.920375
4003.9500,0.938247
4004.0000,0.925749
4004.0500,0.904641
4004.1000,0.874056
4004.1500,0.90968
4004.2000,0.927442
4004.2500,0.922825
4004.3000,0.892733
4004.3500,0.893249
4004.4000,0.881755
4004.4500,0.902625
4004.5000,0.973491
4004.5500,0.925284
4004.6000,0.979687
4004.6500,0.987027
4004.7000,0.909847
4004.7500,0.875833
4004.8000,0.914357
4004.8500,0.960272
4004.9000,0.94503
4004.9500,0.975686
4005.0000,0.919027
4005.0500,0.9601
4005.1000,0.925577
4005.1500,0.989232
4005.2000,0.92325
4005.2500,0.895457
4005.3000,0.936207
4005.3500,0.902602
4005.4000,0.922139
4005.4500,0.961515
4005.5000,0.952623
4005.5500,0.923124
4005.6000,0.914896
4005.6500,0.956526
4005.7000,0.921436
4005.7500,0.941353
4005.8000,0.973949
4005.8500,0.934961
4005.9000,0.945306
4005.9500,0.947514
4006.0000,0.992635
4006.0500,0.978966
4006.1000,0.96336
4006.1500,0.92347
4006.2000,0.934495
4006.2500,0.927732
4006.3000,0.99321
4006.3500,0.930165
4006.4000,0.924204
4006.4500,0.912965
4006.5000,0.939527
4006.5500,0.913886
4006.6000,0.989828
4006.6500,0.922636
4006.7000,0.956419
4006.7500,0.958244
4006.8000,0.967329
4006.8500,0.986013
4006.9000,0.977032
4006.9500,0.975005
4007.0000,0.982296
4007.0500,0.928277
4007.1000,0.965413
4007.1500,0.937382
4007.2000,0.958898
4007.2500,0.945943
4007.3000,0.988135
4007.3500,1.01166
4007.4000,1.05889
4007.4500,1.00193
4007.5000,0.955985
4007.5500,0.978872
4007.6000,0.999802
4007.6500,0.990723
4007.7000,1.0508
4007.7500,0.992248
4007.8000,0.963868
4007.8500,1.01408
4007.9000,0.972046
4007.9500,0.969274
4008.0000,0.969092
4008.0500,0.957088
4008.1000,0.935531
4008.1500,0.99402
4008.2000,1.01575
4008.2500,1.04023
4008.3000,1.02524
4008.3500,1.02865
4008.4000,1.02892
4008.4500,1.01984
4008.5000,1.00869
4008.5500,1.04278
4008.6000,1.07213
4008.6500,1.00608
4008.7000,1.00012
4008.7500,0.961907
4008.8000,0.966726
4008.8500,0.983627
4008.9000,1.00238
4008.9500,1.00829
4009.0000,1.02306
4009.0500,1.01735
4009.1000,1.00254
4009.1500,0.944823
4009.2000,0.997028
4009.2500,1.04381
4009.3000,1.05786
4009.3500,1.03892
4009.4000,1.06343
4009.4500,1.0233
4009.5000,1.06228
4009.5500,1.02085
4009.6000,1.05577
4009.6500,0.982403
4009.7000,1.00327
4009.7500,1.02396
4009.8000,0.949193
4009.8500,0.995081
4009.9000,1.02293
4009.9500,1.02475
4010.0000,1.03557
4010.0500,1.00283
4010.1000,1.01244
4010.1500,1.04326
4010.2000,1.03405
4010.2500,1.02816
4010.3000,1.04417
4010.3500,1.06737
4010.4000,1.02049
4010.4500,1.07556
4010.5000,1.02408
4010.5500,1.07935
4010.6000,1.02827
4010.6500,1.03166
4010.7000,1.03807
4010.7500,1.02697
4010.8000,1.02664
4010.8500,1.00484
4010.9000,0.999767
4010.9500,1.0062
4011.0000,0.996225
4011.0500,0.983663
4011.1000,0.994463
4011.1500,1.0133
4011.2000,1.01059
4011.2500,1.06483
4011.3000,1.02816
4011.3500,0.986817
4011.4000,0.977596
4011.4500,0.973883
4011.5000,0.938572
4011.5500,0.974666
4011.6000,0.952233
4011.6500,0.952738
4011.7000,0.963146
4011.7500,1.04238
4011.8000,1.02678
4011.8500,1.07502
4011.9000,1.02597
4011.9500,1.0255
4012.0000,1.04
4012.0500,1.0644
4012.1000,1.00834
4012.1500,1.00401
4012.2000,1.01049
4012.2500,1.0292
4012.3000,1.02006
4012.3500,1.02594
4012.4000,1.03191
4012.4500,1.01778
4012.5000,1.02248
4012.5500,1.00181
4012.6000,0.979932
4012.6500,1.045
4012.7000,0.981915
4012.7500,1.01522
4012.8000,1.0131
4012.8500,1.01077
4012.9000,1.02902
4012.9500,1.01399
4013.0000,0.986974
4013.0500,1.01081
4013.1000,1.00296
4013.1500,0.99647
4013.2000,1.02641
4013.2500,1.04674
4013.3000,1.06703
4013.3500,1.04883
4013.4000,1.01574
4013.4500,1.01803
4013.5000,0.994801
4013.5500,0.96929
4013.6000,0.968415
4013.6500,0.923708
4013.7000,0.897267
4013.7500,0.946602
4013.8000,0.996209
4013.8500,0.981595
4013.9000,1.01889
4013.9500,1.01741
4014.0000,1.02531
4014.0500,1.02738
4014.1000,1.05095
4014.1500,1.01492
4014.2000,1.02678
4014.2500,1.0278
4014.3000,1.02814
4014.3500,1.03315
4014.4000,1.03514
4014.4500,1.01998
4014.5000,0.908857
4014.5500,1.03481
4014.6000,1.00613
4014.6500,1.00054
4014.7000,1.00885
4014.7500,0.993572
4014.8000,0.982709
4014.8500,1.01655
4014.9000,1.00173
4014.9500,1.05135
4015.0000,1.00887
4015.0500,1.03474
4015.1000,0.993782
4015.1500,1.02299
4015.2000,1.02315
4015.2500,1.01739
4015.3000,1.04763
4015.3500,1.03321
4015.4000,1.04771
4015.4500,1.0042
4015.5000,0.995499
4015.5500,0.974065
4015.6000,0.966675
4015.6500,0.931627
4015.7000,1.01494
4015.7500,0.974019
4015.8000,1.01238
4015.8500,1.01813
4015.9000,1.07354
4015.9500,1.0593
4016.0000,0.990989
4016.0500,1.0163
4016.1000,0.991897
4016.1500,1.00227
4016.2000,0.971212
4016.2500,0.933692
4016.3000,0.952873
4016.3500,0.980947
4016.4000,0.983815
4016.4500,0.97989
4016.5000,0.962047
4016.5500,1.00436
4016.6000,0.996064
4016.6500,0.969236
4016.7000,0.983061
4016.7500,0.990933
4016.8000,1.03019
4016.8500,1.01985
4016.9000,0.982502
4016.9500,1.00359
4017.0000,1.06296
4017.0500,1.01405
4017.1000,1.02049
4017.1500,0.91236
4017.2000,0.958666
4017.2500,0.997593
4017.3000,0.958483
4017.3500,0.949784
4017.4000,0.97705
4017.4500,0.989307
4017.5000,0.985415
4017.5500,0.997737
4017.6000,1.05262
4017.6500,0.994871
4017.7000,1.02323
4017.7500,0.979463
4017.8000,1.02806
4017.8500,1.04512
4017.9000,1.03453
4017.9500,1.01993
4018.0000,1.02776
4018.0500,1.02292
4018.1000,0.99727
4018.1500,0.983739
4018.2000,0.978529
4018.2500,1.01579
4018.3000,0.9681
4018.3500,0.974487
4018.4000,0.993086
4018.4500,1.01031
4018.5000,1.03363
4018.5500,1.02151
4018.6000,1.03304
4018.6500,1.03048
4018.7000,1.0226
4018.7500,0.989782
4018.8000,1.03266
4018.8500,1.01698
4018.9000,1.01358
4018.9500,1.01927
4019.0000,1.06636
4019.0500,1.02932
4019.1000,1.01374
4019.1500,0.993504
4019.2000,1.02624
4019.2500,0.982879
4019.3000,0.960481
4019.3500,0.985103
4019.4000,0.950757
4019.4500,0.97349
4019.5000,1.00547
4019.5500,0.952072
4019.6000,0.951747
4019.6500,1.02139
4019.7000,1.03771
4019.7500,1.03294
4019.8000,1.07831
4019.8500,1.04799
4019.9000,1.01146
4019.9500,1.01449
4020.0000,1.01439
4020.0500,0.988317
4020.1000,1.00742
4020.1500,0.987228
4020.2000,1.04073
4020.2500,1.04359
4020.3000,0.985608
4020.3500,0.956573
4020.4000,1.0119
4020.4500,1.03289
4020.5000,1.01301
4020.5500,1.01388
4020.6000,1.03074
4020.6500,1.01372
4020.7000,1.04743
4020.7500,0.97769
4020.8000,0.975765
4020.8500,0.991439
4020.9000,0.970304
4020.9500,1.02594
4021.0000,0.977585
4021.0500,0.979582
4021.1000,0.993893
4021.1500,1.05778
4021.2000,1.01884
4021.2500,1.02467
4021.3000,1.01808
4021.3500,0.990345
4021.4000,1.00966
4021.4500,0.999136
4021.5000,1.01329
4021.5500,0.991517
4021.6000,1.01065
4021.6500,0.979746
4021.7000,0.974884
4021.7500,0.969372
4021.8000,0.97972
4021.8500,1.03359
4021.9000,0.990494
4021.9500,1.01568
4022.0000,1.02756
4022.0500,1.02182
4022.1000,0.98981
4022.1500,1.01295
4022.2000,0.996692
4022.2500,1.06989
4022.3000,1.00728
4022.3500,0.993054
4022.4000,1.00742
4022.4500,1.00078
4022.5000,0.954505
4022.5500,0.974215
4022.6000,0.990886
4022.6500,0.982789
4022.7000,1.00522
4022.7500,0.992743
4022.8000,0.979627
4022.8500,1.04248
4022.9000,1.00966
4022.9500,0.997831
4023.0000,0.989967
4023.0500,0.97195
4023.1000,0.925018
4023.1500,0.945609
4023.2000,0.933545
4023.2500,0.948713
4023.3000,1.01308
4023.3500,0.973168
4023.4000,0.983789
4023.4500,0.943297
4023.5000,0.974204
4023.5500,0.984319
4023.6000,0.908816
4023.6500,0.954337
4023.7000,0.93897
4023.7500,0.966881
4023.8000,0.919498
4023.8500,0.978933
4023.9000,0.964154
4023.9500,0.944063
4024.0000,0.963524
4024.0500,0.966279
4024.1000,0.962461
4024.1500,0.918022
4024.2000,0.901931
4024.2500,0.898762
4024.3000,0.95771
4024.3500,0.962825
4024.4000,0.976116
4024.4500,1.01339
4024.5000,0.990519
4024.5500,0.966478
4024.6000,0.974344
4024.6500,0.92944
4024.7000,0.943967
4024.7500,0.985582
4024.8000,0.975407
4024.8500,0.935602
4024.9000,0.946604
4024.9500,0.936273
4025.0000,0.962578
4025.0500,0.973615
4025.1000,0.98701
4025.1500,0.996871
4025.2000,1.00383
4025.2500,0.983734
4025.3000,1.01444
4025.3500,0.982365
4025.4000,0.961145
4025.4500,0.983378
4025.5000,0.989963
4025.5500,0.985514
4025.6000,0.97315
4025.6500,0.983445
4025.7000,0.997888
4025.7500,0.939021
4025.8000,0.959483
4025.8500,0.968711
4025.9000,0.951112
4025.9500,0.942284
4026.0000,0.98808
4026.0500,1.00409
4026.1000,0.996526
4026.1500,0.982627
4026.2000,0.986823
4026.2500,0.978599
4026.3000,0.983806
4026.3500,0.980675
4026.4000,0.97337
4026.4500,0.961745
4026.5000,0.96567
4026.5500,1.00009
4026.6000,0.995024
4026.6500,1.00639
4026.7000,0.970726
4026.7500,0.971296
4026.8000,0.9912
4026.8500,1.01923
4026.9000,0.987931
4026.9500,1.01977
4027.0000,0.989588
4027.0500,1.00949
4027.1000,0.990064
4027.1500,0.998828
4027.2000,0.96789
4027.2500,1.0064
4027.3000,1.01029
4027.3500,0.993317
4027.4000,0.977481
4027.4500,0.923404
4027.5000,0.949247
4027.5500,0.958109
4027.6000,0.952422
4027.6500,1.01834
4027.7000,0.991762
4027.7500,0.989985
4027.8000,0.951944
4027.8500,0.986435
4027.9000,0.984545
4027.9500,1.00377
4028.0000,1.02438
4028.0500,1.02493
4028.1000,1.03065
4028.1500,0.973578
4028.2000,1.02447
4028.2500,1.04302
4028.3000,1.00207
4028.3500,0.996261
4028.4000,0.974779
4028.4500,0.987097
4028.5000,1.01311
4028.5500,1.00766
4028.6000,0.998874
4028.6500,0.949513
4028.7000,0.964191
4028.7500,0.957065
4028.8000,0.913162
4028.8500,0.963501
4028.9000,1.00505
4028.9500,0.987383
4029.0000,1.00009
4029.0500,0.962644
4029.1000,0.978685
4029.1500,0.968297
4029.2000,1
4029.2500,0.968485
4029.3000,0.938437
4029.3500,0.978905
4029.4000,0.991512
4029.4500,0.944743
4029.5000,0.916037
4029.5500,0.920123
4029.6000,0.913375
4029.6500,0.900894
4029.7000,0.925599
4029.7500,0.920779
4029.8000,0.906416
4029.8500,0.927701
4029.9000,0.905336
4029.9500,0.923039
4030.0000,0.937281
4030.0500,0.929181
4030.1000,0.953414
4030.1500,0.955514
4030.2000,0.966275
4030.2500,0.975272
4030.3000,0.946498
4030.3500,0.956094
4030.4000,0.950456
4030.4500,0.957655
4030.5000,0.931353
4030.5500,0.946484
4030.6000,0.939607
4030.6500,0.886238
4030.7000,0.92338
4030.7500,0.905031
4030.8000,0.929917
4030.8500,0.919153
4030.9000,0.899478
4030.9500,0.910267
4031.0000,0.947282
4031.0500,0.942503
4031.1000,0.911718
4031.1500,0.928823
4031.2000,0.90761
4031.2500,0.983508
4031.3000,1.00162
4031.3500,1.0115
4031.4000,0.972908
4031.4500,0.963416
4031.5000,0.930276
4031.5500,0.933575
4031.6000,0.903861
4031.6500,0.903988
4031.7000,0.880794
4031.7500,0.891392
4031.8000,0.85601
4031.8500,0.874905
4031.9000,0.897008
4031.9500,0.896748
4032.0000,0.870171
4032.0500,0.920241
4032.1000,0.883416
4032.1500,0.866181
4032.2000,0.880067
4032.2500,0.900314
4032.3000,0.914226
4032.3500,0.931383
4032.4000,0.96314
4032.4500,0.94207
4032.5000,0.938417
4032.5500,0.96349
4032.6000,0.94173
4032.6500,0.935668
4032.7000,0.898487
4032.7500,0.947808
4032.8000,0.926417
4032.8500,0.929387
4032.9000,0.975719
4032.9500,0.972953
4033.0000,0.929654
4033.0500,0.916889
4033.1000,0.906592
4033.1500,0.909446
4033.2000,0.898689
4033.2500,0.955945
4033.3000,0.951563
4033.3500,0.968439
4033.4000,0.977063
4033.4500,0.960757
4033.5000,0.930735
4033.5500,0.915215
4033.6000,0.916084
4033.6500,0.910982
4033.7000,0.928291
4033.7500,0.974387
4033.8000,0.989674
4033.8500,0.948271
4033.9000,0.979119
4033.9500,0.947591
4034.0000,0.964475
4034.0500,0.976921
4034.1000,0.949827
4034.1500,0.997598
4034.2000,0.944757
4034.2500,0.961911
4034.3000,0.972918
4034.3500,0.913108
4034.4000,0.949144
4034.4500,0.948497
4034.5000,0.938547
4034.5500,0.932321
4034.6000,0.933242
4034.6500,0.92367
4034.7000,0.936594
4034.7500,0.949247
4034.8000,0.944458
4034.8500,0.916547
4034.9000,0.955203
4034.9500,0.965891
4035.0000,0.978927
4035.0500,0.987006
4035.1000,0.997789
4035.1500,0.983756
4035.2000,0.979644
4035.2500,1.00869
4035.3000,1.034
4035.3500,1.00491
4035.4000,0.978486
4035.4500,0.975278
4035.5000,1.01678
4035.5500,1.00902
4035.6000,0.959851
4035.6500,0.946246
4035.7000,0.957549
4035.7500,0.973855
4035.8000,0.967611
4035.8500,0.931849
4035.9000,0.981074
