Longitud_de_onda_A,espectro
4000.0000,0.98114
4000.0500,0.974304
4000.1000,0.98189
4000.1500,0.969587
4000.2000,0.980394
4000.2500,0.960286
4000.3000,0.978877
4000.3500,0.961414
4000.4000,0.975596
4000.4500,0.967498
4000.5000,0.999461
4000.5500,0.991825
4000.6000,0.97079
4000.6500,0.996734
4000.7000,0.98767
4000.7500,0.995127
4000.8000,0.984919
4000.8500,0.97099
4000.9000,0.956593
4000.9500,0.981515
4001.0000,0.967672
4001.0500,0.970848
4001.1000,0.967935
4001.1500,0.964241
4001.2000,0.983022
4001.2500,0.961524
4001.3000,0.966633
4001.3500,0.970703
4001.4000,0.978844
4001.4500,0.978902
4001.5000,0.972592
4001.5500,0.983324
4001.6000,0.972605
4001.6500,0.977047
4001.7000,0.983803
4001.7500,0.986096
4001.8000,0.982593
4001.8500,0.966053
4001.9000,0.989045
4001.9500,0.982263
4002.0000,0.998905
4002.0500,0.976152
4002.1000,0.963569
4002.1500,0.98756
4002.2000,0.974903
4002.2500,0.978879
4002.3000,0.977249
4002.3500,0.978622
4002.4000,0.976707
4002.4500,0.978992
4002.5000,0.987993
4002.5500,0.9793
4002.6000,0.97365
4002.6500,0.948173
4002.7000,0.955124
4002.7500,0.964942
4002.8000,0.962506
4002.8500,0.969989
4002.9000,0.958661
4002.9500,0.998984
4003.0000,0.967104
4003.0500,0.987124
4003.1000,0.979217
4003.1500,0.978508
4003.2000,0.966569
4003.2500,0.989059
4003.3000,0.94679
4003.3500,0.975331
4003.4000,0.975968
4003.4500,1.00234
4003.5000,0.965828
4003.5500,0.990969
4003.6000,0.988675
4003.6500,0.982253
4003.7000,0.968762
4003.7500,0.989859
4003.8000,0.960617
4003.8500,0.955443
4003.9000,0.987487
4003.9500,0.974236
4004.0000,0.974436
4004.0500,0.956245
4004.1000,0.968221
4004.1500,0.978963
4004.2000,0.991261
4004.2500,0.974436
4004.3000,0.983131
4004.3500,0.988434
4004.4000,0.968369
4004.4500,0.99076
4004.5000,1.00365
4004.5500,0.981972
4004.6000,0.955906
4004.6500,0.998237
4004.7000,0.965978
4004.7500,0.953083
4004.8000,0.977486
4004.8500,0.976357
4004.9000,0.995411
4004.9500,1.0064
4005.0000,0.99162
4005.0500,0.998246
4005.1000,0.98937
4005.1500,0.980081
