Longitud_de_onda_A,espectro
4000.0000,1.61384
4000.0500,1.41543
4000.1000,1.26573
4000.1500,1.13186
4000.2000,0.938856
4000.2500,0.909482
4000.3000,0.710821
4000.3500,0.684969
4000.4000,0.537779
4000.4500,0.590926
4000.5000,0.602413
4000.5500,0.589289
4000.6000,0.702731
4000.6500,0.941021
4000.7000,1.16395
4000.7500,1.30627
4000.8000,1.38397
4000.8500,1.46
4000.9000,1.52917
4000.9500,1.49
4001.0000,1.35083
4001.0500,1.29486
4001.1000,1.17116
4001.1500,0.982292
4001.2000,0.934965
4001.2500,0.965292
4001.3000,0.915641
4001.3500,1.01273
4001.4000,0.919989
4001.4500,0.877886
4001.5000,0.786204
4001.5500,0.81912
4001.6000,0.657824
4001.6500,0.653725
4001.7000,0.560068
4001.7500,0.62952
4001.8000,0.682217
4001.8500,0.766175
4001.9000,0.957308
4001.9500,1.10292
4002.0000,1.00078
4002.0500,1.11644
4002.1000,1.08683
4002.1500,1.16571
4002.2000,1.17586
4002.2500,1.22342
4002.3000,1.2292
4002.3500,1.30241
4002.4000,1.23524
4002.4500,1.17795
4002.5000,1.09956
4002.5500,0.980623
4002.6000,0.98785
4002.6500,1.12836
4002.7000,0.975205
4002.7500,0.969424
4002.8000,0.886308
4002.8500,0.900401
4002.9000,0.756501
4002.9500,0.854766
4003.0000,0.842615
4003.0500,0.957046
4003.1000,0.969919
4003.1500,1.04086
4003.2000,1.08104
4003.2500,1.24056
4003.3000,1.30439
4003.3500,1.33935
4003.4000,1.34384
4003.4500,1.37327
4003.5000,1.24274
4003.5500,1.22776
4003.6000,1.10362
4003.6500,1.09323
4003.7000,1.01323
4003.7500,0.873837
4003.8000,0.867259
4003.8500,0.776285
4003.9000,0.759834
4003.9500,0.741007
4004.0000,0.839941
4004.0500,0.841396
4004.1000,0.915515
4004.1500,0.951998
4004.2000,1.05453
4004.2500,1.3088
4004.3000,1.26434
4004.3500,1.45608
4004.4000,1.55308
4004.4500,1.53845
4004.5000,1.56685
4004.5500,1.45072
4004.6000,1.22218
4004.6500,1.12468
4004.7000,0.971122
4004.7500,0.768657
4004.8000,0.71803
4004.8500,0.662562
4004.9000,0.573505
4004.9500,0.494521
