Longitud_de_onda_A,espectro
4000.0000,0.750122
4000.0500,0.714974
4000.1000,0.794237
4000.1500,1.30048
4000.2000,0.502637
4000.2500,0.97303
4000.3000,1.14053
4000.3500,1.0172
4000.4000,0.585207
4000.4500,0.627771
4000.5000,0.712518
4000.5500,0.9834
4000.6000,1.13663
4000.6500,1.23448
4000.7000,0.813348
4000.7500,1.55069
4000.8000,1.25979
4000.8500,1.09482
4000.9000,1.20562
4000.9500,1.35892
4001.0000,1.28408
4001.0500,0.932608
4001.1000,1.35108
4001.1500,1.07552
4001.2000,1.38451
4001.2500,0.658854
4001.3000,1.1914
4001.3500,1.29684
4001.4000,0.898911
4001.4500,1.26276
4001.5000,1.2474
4001.5500,1.64046
4001.6000,1.23049
4001.6500,0.683405
4001.7000,1.23751
4001.7500,1.2545
4001.8000,0.986693
4001.8500,0.926206
4001.9000,1.30404
4001.9500,0.977688
4002.0000,1.36275
4002.0500,1.0061
4002.1000,1.53109
4002.1500,1.28533
4002.2000,1.12351
4002.2500,1.14075
4002.3000,1.49774
4002.3500,1.23238
4002.4000,1.31542
4002.4500,1.226
4002.5000,1.02153
4002.5500,0.79621
4002.6000,1.23941
4002.6500,1.16253
4002.7000,0.92789
4002.7500,0.678379
4002.8000,1.19747
4002.8500,0.980072
4002.9000,0.903163
4002.9500,0.788654
4003.0000,0.902832
4003.0500,0.953771
4003.1000,1.02741
4003.1500,1.34745
4003.2000,0.878566
4003.2500,1.34046
4003.3000,1.1158
4003.3500,1.09131
4003.4000,0.597403
4003.4500,0.874698
4003.5000,1.00914
4003.5500,1.1485
4003.6000,0.855117
4003.6500,1.21483
4003.7000,1.39078
4003.7500,1.37043
4003.8000,0.980107
4003.8500,0.995648
4003.9000,1.15816
4003.9500,0.612671
4004.0000,0.827101
4004.0500,0.614367
4004.1000,1.31861
4004.1500,1.05607
4004.2000,1.05365
4004.2500,0.823479
4004.3000,0.842836
4004.3500,1.43643
4004.4000,1.27471
4004.4500,1.18236
4004.5000,1.21003
4004.5500,0.994141
4004.6000,1.23668
4004.6500,1.06687
4004.7000,1.2906
4004.7500,0.929112
4004.8000,1.12599
4004.8500,1.28426
4004.9000,1.05914
4004.9500,0.474286
4005.0000,0.949636
4005.0500,1.03515
4005.1000,0.610872
4005.1500,1.21054
4005.2000,1.1191
4005.2500,1.28387
4005.3000,0.768003
4005.3500,0.813669
4005.4000,0.816152
4005.4500,0.969161
4005.5000,0.808651
4005.5500,1.0735
4005.6000,1.10094
4005.6500,1.0568
4005.7000,1.40257
4005.7500,1.3718
4005.8000,1.20994
4005.8500,1.06094
4005.9000,1.33135
4005.9500,1.27769
4006.0000,1.22008
4006.0500,1.06192
4006.1000,1.33294
4006.1500,0.918581
4006.2000,1.38067
4006.2500,0.932903
4006.3000,1.28457
4006.3500,0.988729
4006.4000,1.47129
4006.4500,0.818195
4006.5000,1.2652
4006.5500,1.20862
4006.6000,0.939098
4006.6500,1.0189
4006.7000,1.0349
4006.7500,1.1317
4006.8000,1.28173
4006.8500,1.10133
4006.9000,0.990289
4006.9500,0.781946
4007.0000,0.903032
4007.0500,1.01988
4007.1000,1.43875
4007.1500,0.915755
4007.2000,1.21095
4007.2500,1.29629
4007.3000,1.44521
4007.3500,1.5381
4007.4000,0.831493
4007.4500,0.812265
4007.5000,1.46931
4007.5500,1.55725
4007.6000,1.13084
4007.6500,1.17977
4007.7000,1.22572
4007.7500,1.1284
4007.8000,1.24212
4007.8500,1.38086
4007.9000,1.16741
4007.9500,1.03528
4008.0000,0.95126
4008.0500,1.11524
4008.1000,1.37288
4008.1500,1.21811
4008.2000,0.779658
4008.2500,1.19314
4008.3000,1.60672
4008.3500,1.36752
4008.4000,1.18697
4008.4500,1.68652
4008.5000,0.762702
4008.5500,0.820838
4008.6000,1.10538
4008.6500,1.27983
4008.7000,1.29538
4008.7500,1.28602
4008.8000,1.42388
4008.8500,1.29764
4008.9000,1.32393
4008.9500,1.35673
4009.0000,1.12098
4009.0500,1.13852
4009.1000,1.48518
4009.1500,1.45212
4009.2000,1.09102
4009.2500,1.20786
4009.3000,0.962358
4009.3500,1.37076
4009.4000,1.20728
4009.4500,1.19006
4009.5000,1.26258
4009.5500,1.36228
4009.6000,0.967114
4009.6500,1.48032
4009.7000,1.24809
4009.7500,1.23768
4009.8000,0.995212
4009.8500,1.26985
4009.9000,1.1912
4009.9500,0.712115
4010.0000,1.11541
4010.0500,1.16757
4010.1000,1.12142
4010.1500,1.48088
4010.2000,1.02147
4010.2500,1.15411
4010.3000,0.88153
4010.3500,0.875109
4010.4000,1.1157
4010.4500,1.40329
4010.5000,1.38981
4010.5500,1.28846
4010.6000,0.790248
4010.6500,1.2366
4010.7000,1.36523
4010.7500,1.06421
4010.8000,0.90318
4010.8500,1.39547
4010.9000,1.28005
4010.9500,1.11992
4011.0000,1.40878
4011.0500,1.23787
4011.1000,1.19475
4011.1500,0.85158
4011.2000,1.02922
4011.2500,1.41664
4011.3000,0.920945
4011.3500,0.971965
4011.4000,1.61811
4011.4500,1.18293
4011.5000,1.31531
4011.5500,1.28938
4011.6000,1.36046
4011.6500,1.17662
4011.7000,1.05899
4011.7500,1.36483
4011.8000,0.700237
4011.8500,1.10044
4011.9000,1.14212
4011.9500,1.19788
4012.0000,1.11663
4012.0500,0.779537
4012.1000,1.7058
4012.1500,1.09566
4012.2000,1.15882
4012.2500,1.01815
4012.3000,1.20165
4012.3500,1.70334
4012.4000,1.39613
4012.4500,1.38227
4012.5000,1.28181
4012.5500,1.75252
4012.6000,1.36701
4012.6500,0.800587
4012.7000,1.44448
4012.7500,0.882712
4012.8000,1.37222
4012.8500,1.24655
4012.9000,1.12167
4012.9500,1.22476
4013.0000,1.2981
4013.0500,1.64515
4013.1000,0.99384
4013.1500,1.36194
4013.2000,1.56213
4013.2500,1.34344
4013.3000,1.10465
4013.3500,1.39036
4013.4000,0.762116
4013.4500,0.801028
4013.5000,0.901169
4013.5500,1.16162
4013.6000,1.45596
4013.6500,1.18016
4013.7000,1.38497
4013.7500,1.10864
4013.8000,1.39436
4013.8500,1.05677
4013.9000,1.16083
4013.9500,0.648868
4014.0000,0.902154
4014.0500,1.48086
4014.1000,0.958691
4014.1500,0.636903
4014.2000,1.04996
4014.2500,1.33081
4014.3000,0.986107
4014.3500,1.14783
4014.4000,1.13563
4014.4500,0.781388
4014.5000,0.853303
4014.5500,0.837954
4014.6000,0.901703
4014.6500,1.43508
4014.7000,1.06929
4014.7500,0.92736
4014.8000,1.21295
4014.8500,1.17142
4014.9000,1.06005
4014.9500,0.700793
4015.0000,0.971017
4015.0500,0.761282
4015.1000,0.758192
4015.1500,1.21242
4015.2000,1.18422
4015.2500,1.04416
4015.3000,0.940935
4015.3500,1.10059
4015.4000,1.28626
4015.4500,1.15975
4015.5000,0.836639
4015.5500,1.14296
4015.6000,0.851635
4015.6500,1.11432
4015.7000,1.13849
4015.7500,1.08739
4015.8000,1.38199
4015.8500,1.07181
4015.9000,0.887146
4015.9500,1.03485
4016.0000,0.93552
4016.0500,1.17971
4016.1000,1.18227
4016.1500,1.32551
4016.2000,1.20671
4016.2500,1.13085
4016.3000,0.95786
4016.3500,0.568662
4016.4000,1.53227
4016.4500,1.40506
4016.5000,1.28886
4016.5500,1.1608
4016.6000,1.26036
4016.6500,1.19461
4016.7000,0.704342
4016.7500,1.17106
4016.8000,1.09726
4016.8500,1.28137
4016.9000,1.21913
4016.9500,1.2919
4017.0000,1.06726
4017.0500,1.19139
4017.1000,1.17405
4017.1500,0.932517
4017.2000,1.02367
4017.2500,0.901819
4017.3000,0.995175
4017.3500,0.861009
4017.4000,0.938441
4017.4500,0.818904
4017.5000,1.13367
4017.5500,1.33684
4017.6000,1.00269
4017.6500,0.986548
4017.7000,1.10958
4017.7500,1.08827
4017.8000,0.871964
4017.8500,1.14941
4017.9000,1.01889
4017.9500,1.10667
4018.0000,0.979647
4018.0500,1.02676
4018.1000,1.19441
4018.1500,0.979786
4018.2000,1.14716
4018.2500,1.51001
4018.3000,1.05137
