Longitud_de_onda_A,espectro
4000.0000,1.02628
4000.0500,0.924813
4000.1000,0.966395
4000.1500,1.25167
4000.2000,2.77816
4000.2500,1.68111
4000.3000,1.02474
4000.3500,1.00185
4000.4000,1.03664
4000.4500,1.01169
4000.5000,0.94533
4000.5500,1.10911
4000.6000,1.02366
4000.6500,1.07258
4000.7000,1.03728
4000.7500,1.09153
4000.8000,1.0455
4000.8500,1.01736
4000.9000,1.11267
4000.9500,1.08003
4001.0000,1.07805
4001.0500,1.05419
4001.1000,0.974673
4001.1500,1.01146
4001.2000,0.922214
4001.2500,1.0556
4001.3000,1.03716
4001.3500,1.08262
4001.4000,0.98256
4001.4500,0.970556
4001.5000,1.02551
4001.5500,1.06561
4001.6000,0.99107
4001.6500,0.919741
4001.7000,0.992578
4001.7500,1.18547
4001.8000,1.07077
4001.8500,0.965186
4001.9000,1.11187
4001.9500,1.01025
4002.0000,1.04411
4002.0500,1.03035
4002.1000,0.929621
4002.1500,0.998624
4002.2000,1.03179
4002.2500,0.983497
4002.3000,1.02408
4002.3500,1.13677
4002.4000,1.09381
4002.4500,1.04299
4002.5000,1.00188
4002.5500,0.94566
4002.6000,0.986747
4002.6500,0.992914
4002.7000,1.02575
4002.7500,1.10055
4002.8000,1.03197
4002.8500,1.08025
4002.9000,1.07168
4002.9500,1.1248
4003.0000,1.13036
4003.0500,1.07231
4003.1000,1.15756
4003.1500,0.987422
4003.2000,1.07908
4003.2500,1.01839
4003.3000,1.06153
4003.3500,0.996032
4003.4000,0.964848
4003.4500,1.00266
4003.5000,0.961258
4003.5500,1.02088
4003.6000,1.0894
4003.6500,1.10199
4003.7000,1.04869
4003.7500,1.01159
4003.8000,1.01271
4003.8500,1.01865
4003.9000,1.02788
4003.9500,1.03098
4004.0000,1.05387
4004.0500,1.02571
4004.1000,1.07338
4004.1500,1.16593
4004.2000,1.12074
4004.2500,1.00124
4004.3000,0.978935
4004.3500,1.0452
4004.4000,1.03074
4004.4500,1.05392
4004.5000,1.00304
4004.5500,0.929349
4004.6000,0.958658
4004.6500,0.921207
4004.7000,1.08449
4004.7500,1.13767
4004.8000,0.967659
4004.8500,1.193
4004.9000,1.166
4004.9500,1.02998
4005.0000,0.999562
4005.0500,1.09295
4005.1000,1.02652
4005.1500,1.05168
4005.2000,1.076
4005.2500,1.03004
4005.3000,1.00448
4005.3500,0.989029
4005.4000,0.904942
4005.4500,0.988062
4005.5000,1.05531
4005.5500,1.07062
4005.6000,1.10085
4005.6500,1.11726
4005.7000,1.03325
4005.7500,1.01015
4005.8000,1.00989
4005.8500,0.996347
4005.9000,0.980651
4005.9500,0.918845
4006.0000,0.930154
4006.0500,1.01724
4006.1000,0.981146
4006.1500,0.961005
4006.2000,0.902042
4006.2500,1.01599
4006.3000,0.948389
4006.3500,0.966116
4006.4000,0.976327
4006.4500,0.939883
4006.5000,0.962988
4006.5500,1.04981
4006.6000,0.997956
4006.6500,1.0602
4006.7000,1.01188
4006.7500,0.975272
4006.8000,0.892415
4006.8500,1.02151
4006.9000,1.01253
4006.9500,1.06882
4007.0000,1.00463
4007.0500,1.09964
4007.1000,1.09324
4007.1500,0.912438
4007.2000,0.928755
4007.2500,1.04216
4007.3000,1.07034
4007.3500,1.10973
4007.4000,0.983426
4007.4500,0.97745
4007.5000,0.895813
4007.5500,0.978902
4007.6000,0.988428
4007.6500,0.996768
4007.7000,0.948229
4007.7500,1.03962
4007.8000,1.08146
4007.8500,1.03853
4007.9000,1.03665
4007.9500,0.901764
4008.0000,0.98905
4008.0500,0.951166
4008.1000,0.938635
4008.1500,0.964855
4008.2000,1.00441
4008.2500,0.973323
4008.3000,1.02299
4008.3500,1.00046
4008.4000,1.02434
4008.4500,0.969334
4008.5000,1.06821
4008.5500,1.03181
4008.6000,0.9006
4008.6500,1.03262
4008.7000,0.933502
4008.7500,0.952358
4008.8000,0.844244
4008.8500,0.889779
4008.9000,0.93334
4008.9500,1.06749
4009.0000,1.04713
4009.0500,1.01254
4009.1000,1.0338
4009.1500,1.0098
4009.2000,0.957321
4009.2500,0.974258
4009.3000,1.07942
4009.3500,0.926995
4009.4000,1.09257
4009.4500,0.974328
4009.5000,1.04679
4009.5500,0.951247
4009.6000,0.945471
4009.6500,0.920964
4009.7000,1.00441
4009.7500,1.01002
4009.8000,1.07944
4009.8500,0.923224
4009.9000,0.956911
4009.9500,0.954133
4010.0000,0.996811
4010.0500,0.876421
4010.1000,0.949978
4010.1500,0.992442
4010.2000,1.06622
4010.2500,1.05772
4010.3000,1.03602
4010.3500,1.09347
4010.4000,0.942225
4010.4500,1.11353
4010.5000,1.09615
4010.5500,0.982656
4010.6000,1.09873
4010.6500,0.97614
4010.7000,0.983943
4010.7500,0.929009
4010.8000,1.01263
4010.8500,1.03112
4010.9000,0.938204
4010.9500,0.979398
4011.0000,1.04178
4011.0500,1.09309
4011.1000,1.03774
4011.1500,0.969622
4011.2000,1.01502
4011.2500,0.941022
4011.3000,1.03895
4011.3500,1.06585
4011.4000,0.979879
4011.4500,1.19329
4011.5000,1.06015
4011.5500,1.12276
4011.6000,0.960172
4011.6500,1.01192
4011.7000,1.17103
4011.7500,1.07989
4011.8000,0.940963
4011.8500,1.13058
4011.9000,1.04134
4011.9500,1.18085
4012.0000,1.01698
4012.0500,1.02929
4012.1000,1.05438
4012.1500,1.01219
4012.2000,1.0524
4012.2500,0.95688
4012.3000,1.00811
4012.3500,1.04267
4012.4000,1.12975
4012.4500,1.09952
4012.5000,1.07485
4012.5500,0.96722
4012.6000,1.05715
4012.6500,0.989532
4012.7000,1.04283
4012.7500,1.06768
4012.8000,0.932124
4012.8500,1.0459
4012.9000,1.01648
4012.9500,0.986301
4013.0000,1.05574
4013.0500,1.07945
4013.1000,0.997993
4013.1500,1.01405
4013.2000,0.999368
4013.2500,0.866163
4013.3000,0.929662
4013.3500,1.01993
4013.4000,0.93656
4013.4500,1.01147
4013.5000,0.990066
4013.5500,0.957994
4013.6000,1.10514
4013.6500,1.12159
4013.7000,1.04035
4013.7500,1.12531
4013.8000,1.01195
4013.8500,1.15222
4013.9000,1.23388
4013.9500,1.06368
4014.0000,1.02364
4014.0500,1.00663
4014.1000,1.03
4014.1500,1.08808
4014.2000,1.07393
4014.2500,1.03674
4014.3000,1.10833
4014.3500,1.02701
4014.4000,1.063
4014.4500,1.03098
4014.5000,0.993664
4014.5500,1.01925
4014.6000,0.92706
4014.6500,1.07704
4014.7000,1.07244
4014.7500,0.867923
4014.8000,1.13465
4014.8500,1.06631
4014.9000,0.991037
4014.9500,1.04215
4015.0000,1.15348
4015.0500,1.19943
4015.1000,1.1448
4015.1500,1.13521
4015.2000,1.05115
4015.2500,1.09263
4015.3000,1.05429
4015.3500,1.09327
4015.4000,1.03586
4015.4500,1.01239
4015.5000,1.13094
4015.5500,1.07685
4015.6000,0.963845
4015.6500,0.953536
4015.7000,0.990253
4015.7500,1.00465
4015.8000,0.980562
4015.8500,1.04839
4015.9000,1.12
4015.9500,1.02149
4016.0000,1.12636
4016.0500,1.07946
4016.1000,1.09746
4016.1500,1.15312
4016.2000,1.03801
4016.2500,1.11786
4016.3000,1.00168
4016.3500,0.994195
4016.4000,0.977499
4016.4500,0.995044
4016.5000,1.01133
4016.5500,1.01004
4016.6000,0.994491
4016.6500,1.03839
4016.7000,1.00333
4016.7500,1.02947
4016.8000,1.04785
4016.8500,1.09797
4016.9000,1.06016
4016.9500,1.04287
4017.0000,1.07274
4017.0500,1.03415
4017.1000,1.03677
4017.1500,1.17147
4017.2000,0.938941
4017.2500,1.08968
4017.3000,1.02495
4017.3500,1.07663
4017.4000,1.12712
4017.4500,1.04658
4017.5000,1.04075
4017.5500,1.02209
4017.6000,1.04249
4017.6500,1.0955
4017.7000,1.07684
4017.7500,1.08332
4017.8000,0.945167
4017.8500,1.03799
4017.9000,1.03997
4017.9500,1.09798
4018.0000,1.01422
4018.0500,1.10751
4018.1000,1.01675
4018.1500,1.07
4018.2000,1.02749
4018.2500,1.16451
4018.3000,1.06671
4018.3500,1.06996
4018.4000,0.987083
4018.4500,1.06586
4018.5000,1.07042
4018.5500,0.989393
4018.6000,0.996741
4018.6500,1.02476
4018.7000,1.0634
4018.7500,0.993868
4018.8000,1.05716
4018.8500,1.11602
4018.9000,0.994459
4018.9500,1.03907
4019.0000,0.949403
4019.0500,0.918954
4019.1000,1.02994
4019.1500,1.03204
4019.2000,0.990645
4019.2500,1.04407
4019.3000,1.05601
4019.3500,1.08515
4019.4000,1.0694
4019.4500,1.09008
4019.5000,0.963714
4019.5500,1.0597
4019.6000,1.09069
4019.6500,1.1812
4019.7000,1.03498
4019.7500,1.06378
4019.8000,1.05261
4019.8500,1.01148
4019.9000,1.01257
4019.9500,1.08708
4020.0000,1.07734
4020.0500,1.03829
4020.1000,1.05611
4020.1500,1.14292
4020.2000,1.01425
4020.2500,1.01327
4020.3000,1.06202
4020.3500,1.05785
4020.4000,0.9107
4020.4500,0.952091
4020.5000,0.979295
4020.5500,1.02493
4020.6000,1.00755
4020.6500,1.0643
4020.7000,1.00087
4020.7500,1.01115
4020.8000,1.01394
4020.8500,0.967693
4020.9000,0.994177
