Longitud_de_onda_A,espectro
4000.0000,0.971291
4000.0500,1.09335
4000.1000,1.07156
4000.1500,1.14435
4000.2000,1.11427
4000.2500,1.15847
4000.3000,1.13358
4000.3500,1.03091
4000.4000,0.984541
4000.4500,1.12619
4000.5000,1.02541
4000.5500,1.0173
4000.6000,1.0513
4000.6500,0.967196
4000.7000,1.04257
4000.7500,0.987075
4000.8000,0.957843
4000.8500,0.989894
4000.9000,1.03937
4000.9500,0.949971
4001.0000,0.982152
4001.0500,0.980659
4001.1000,1.0189
4001.1500,0.979009
4001.2000,0.934152
4001.2500,0.958584
4001.3000,1.0196
4001.3500,0.973064
4001.4000,1.00645
4001.4500,1.02701
4001.5000,1.11136
4001.5500,1.03988
4001.6000,1.06143
4001.6500,1.0239
4001.7000,1.02841
4001.7500,1.09056
4001.8000,1.04747
4001.8500,1.02198
4001.9000,1.07586
4001.9500,1.03492
4002.0000,0.998662
4002.0500,1.02751
4002.1000,0.967212
4002.1500,1.0134
4002.2000,0.995112
4002.2500,0.97682
4002.3000,0.9923
4002.3500,1.06609
4002.4000,1.06803
4002.4500,1.04475
4002.5000,1.01534
4002.5500,1.05247
4002.6000,1.0701
4002.6500,1.02443
4002.7000,1.00806
4002.7500,1.11979
4002.8000,1.0365
4002.8500,1.02414
4002.9000,0.932887
4002.9500,0.998344
4003.0000,1.02463
4003.0500,0.982052
4003.1000,1.02456
4003.1500,0.997597
4003.2000,1.03355
4003.2500,1.0145
4003.3000,1.01132
4003.3500,1.03778
4003.4000,1.05648
4003.4500,1.06896
4003.5000,1.06656
4003.5500,1.03199
4003.6000,1.05598
4003.6500,1.08041
4003.7000,1.10664
4003.7500,1.11589
4003.8000,1.05441
4003.8500,1.11437
4003.9000,1.0674
4003.9500,1.09299
4004.0000,1.07302
4004.0500,0.998968
4004.1000,1.03936
4004.1500,0.994817
4004.2000,1.05029
4004.2500,1.01717
4004.3000,0.969342
4004.3500,0.953658
4004.4000,0.890159
4004.4500,0.859795
4004.5000,0.943092
4004.5500,0.849387
4004.6000,0.907727
4004.6500,0.900891
4004.7000,0.860218
4004.7500,0.911297
4004.8000,0.918942
4004.8500,0.970831
4004.9000,0.960863
4004.9500,0.949828
4005.0000,0.970395
4005.0500,0.969809
4005.1000,0.949077
4005.1500,0.958284
4005.2000,0.945889
4005.2500,0.967026
4005.3000,0.895863
4005.3500,0.888545
4005.4000,0.801372
4005.4500,0.824884
4005.5000,0.852226
4005.5500,0.850262
4005.6000,0.837071
4005.6500,0.830934
4005.7000,0.81067
4005.7500,0.786174
4005.8000,0.816422
