Longitud_de_onda_A,espectro
4000.0000,1.27216
4000.0500,1.12266
4000.1000,1.10868
4000.1500,1.148
4000.2000,0.985216
4000.2500,0.701003
4000.3000,0.873212
4000.3500,0.70528
4000.4000,0.756465
4000.4500,0.842518
4000.5000,0.636535
4000.5500,0.6364
4000.6000,1.06665
4000.6500,0.925957
4000.7000,1.25024
4000.7500,1.18197
4000.8000,0.921318
4000.8500,0.983728
4000.9000,1.0416
4000.9500,1.16941
4001.0000,1.10231
4001.0500,0.930468
4001.1000,0.79468
4001.1500,0.73284
4001.2000,0.743569
4001.2500,0.724166
4001.3000,1.05874
4001.3500,0.869596
4001.4000,0.60143
4001.4500,0.694776
4001.5000,0.707449
4001.5500,0.927205
4001.6000,0.820481
4001.6500,0.550369
4001.7000,0.480264
4001.7500,0.589648
4001.8000,0.862307
4001.8500,0.784159
4001.9000,1.0016
4001.9500,1.07613
4002.0000,1.2774
4002.0500,0.909065
4002.1000,0.655956
4002.1500,0.952253
4002.2000,1.20226
4002.2500,1.15318
4002.3000,1.0346
4002.3500,0.96531
4002.4000,0.967641
4002.4500,1.09309
4002.5000,1.133
4002.5500,1.29572
4002.6000,1.21779
4002.6500,1.10275
4002.7000,1.09445
4002.7500,1.10791
4002.8000,1.18057
4002.8500,0.7777
4002.9000,1.00643
4002.9500,0.7294
4003.0000,0.69205
4003.0500,1.12496
4003.1000,1.13707
4003.1500,1.1325
4003.2000,0.870496
4003.2500,1.10722
4003.3000,1.04974
4003.3500,1.18199
4003.4000,0.911354
4003.4500,1.30295
4003.5000,1.14289
4003.5500,1.07963
4003.6000,1.01645
4003.6500,1.0082
4003.7000,0.88558
4003.7500,0.858889
4003.8000,0.736897
4003.8500,1.02788
4003.9000,1.05728
4003.9500,1.21537
4004.0000,1.17239
4004.0500,0.925004
4004.1000,1.19725
4004.1500,1.19008
4004.2000,1.41376
4004.2500,1.26039
4004.3000,0.949097
4004.3500,1.22332
4004.4000,0.949454
4004.4500,1.03261
4004.5000,1.08337
4004.5500,1.18125
4004.6000,1.10084
4004.6500,1.03712
4004.7000,1.4196
4004.7500,0.880196
4004.8000,0.688864
4004.8500,0.818098
4004.9000,0.395797
4004.9500,0.451292
4005.0000,0.558325
4005.0500,0.766434
4005.1000,0.262575
4005.1500,0.701732
4005.2000,0.56494
4005.2500,0.253111
4005.3000,0.240006
4005.3500,0.447829
4005.4000,0.460461
4005.4500,0.657257
4005.5000,0.55334
4005.5500,0.782526
4005.6000,1.20038
4005.6500,0.972315
4005.7000,0.593947
4005.7500,0.43606
4005.8000,0.478055
4005.8500,1.01018
4005.9000,0.995165
4005.9500,1.18889
4006.0000,0.956762
4006.0500,1.01249
4006.1000,1.01692
4006.1500,0.763772
4006.2000,0.739519
4006.2500,0.860948
4006.3000,0.827157
4006.3500,0.538462
4006.4000,0.633552
4006.4500,0.966328
4006.5000,1.10005
4006.5500,1.10022
4006.6000,0.887677
4006.6500,0.76784
4006.7000,0.30978
4006.7500,0.817228
4006.8000,0.45109
4006.8500,1.03724
4006.9000,1.17021
4006.9500,0.986407
4007.0000,0.958923
4007.0500,1.09518
4007.1000,1.02739
4007.1500,1.19999
4007.2000,1.0824
4007.2500,0.69048
4007.3000,0.628897
4007.3500,0.694523
4007.4000,0.667438
4007.4500,0.941306
4007.5000,1.14465
4007.5500,1.04574
4007.6000,1.14451
4007.6500,1.21552
4007.7000,1.03827
4007.7500,0.981168
4007.8000,0.94176
4007.8500,0.969132
4007.9000,1.18399
4007.9500,0.541973
4008.0000,0.855625
4008.0500,1.0897
4008.1000,1.14201
4008.1500,1.00531
4008.2000,0.597133
4008.2500,0.94668
4008.3000,1.55067
4008.3500,1.11115
4008.4000,0.995737
4008.4500,1.03076
4008.5000,1.02711
4008.5500,1.14178
4008.6000,1.19179
4008.6500,1.11602
4008.7000,1.23756
4008.7500,1.12111
4008.8000,1.00999
4008.8500,0.659792
4008.9000,0.546507
4008.9500,0.525923
4009.0000,0.92441
4009.0500,1.0193
4009.1000,1.25307
4009.1500,1.19967
4009.2000,1.25119
4009.2500,0.995595
4009.3000,1.06145
4009.3500,1.37083
4009.4000,1.20856
4009.4500,1.18055
4009.5000,1.0211
4009.5500,0.750742
4009.6000,0.887886
4009.6500,0.675653
4009.7000,0.414776
4009.7500,0.496929
4009.8000,0.732339
4009.8500,1.03651
4009.9000,0.958422
4009.9500,1.08845
4010.0000,0.875252
4010.0500,1.18112
4010.1000,1.087
4010.1500,1.09353
4010.2000,0.801596
4010.2500,0.887956
4010.3000,1.06416
4010.3500,1.0842
4010.4000,1.34259
4010.4500,1.31077
4010.5000,0.985299
4010.5500,0.572906
4010.6000,0.748755
4010.6500,0.770293
4010.7000,1.05655
4010.7500,1.03203
4010.8000,1.02431
4010.8500,0.984811
4010.9000,0.879213
4010.9500,0.557045
4011.0000,1.28714
4011.0500,1.32836
4011.1000,1.07764
4011.1500,1.03772
4011.2000,1.25347
4011.2500,1.10006
4011.3000,1.18553
4011.3500,0.951014
4011.4000,0.957423
4011.4500,0.679381
4011.5000,0.80089
4011.5500,0.976173
4011.6000,1.2928
4011.6500,1.02171
4011.7000,0.94124
4011.7500,0.831201
4011.8000,1.03086
4011.8500,1.05843
4011.9000,0.868167
4011.9500,1.00477
4012.0000,1.04375
4012.0500,1.23075
4012.1000,1.18673
4012.1500,0.969364
4012.2000,0.891465
4012.2500,0.681872
4012.3000,0.406058
4012.3500,0.61822
4012.4000,0.788132
4012.4500,0.656815
4012.5000,0.678617
4012.5500,1.00095
4012.6000,1.0311
4012.6500,1.02858
4012.7000,0.929769
4012.7500,0.794458
4012.8000,0.880223
4012.8500,1.08843
4012.9000,1.31915
4012.9500,1.29757
4013.0000,1.16637
4013.0500,1.16359
4013.1000,1.12373
4013.1500,1.16795
4013.2000,1.07312
4013.2500,1.00207
4013.3000,1.30654
4013.3500,1.33999
4013.4000,1.19856
4013.4500,1.09928
4013.5000,0.903321
4013.5500,1.19827
4013.6000,0.77566
4013.6500,0.646714
4013.7000,0.57299
4013.7500,0.610781
4013.8000,0.506845
4013.8500,0.375482
4013.9000,0.754267
4013.9500,1.06285
4014.0000,1.09931
4014.0500,1.30315
4014.1000,1.11931
4014.1500,1.09275
4014.2000,1.05771
4014.2500,1.02207
4014.3000,0.790028
4014.3500,0.755695
4014.4000,0.907967
4014.4500,0.701429
4014.5000,0.299849
4014.5500,0.408672
4014.6000,0.600384
4014.6500,0.705426
4014.7000,1.0011
4014.7500,1.26905
4014.8000,1.10576
4014.8500,1.12388
4014.9000,0.950015
4014.9500,1.19377
4015.0000,1.0113
4015.0500,1.14183
4015.1000,0.970591
4015.1500,1.05345
4015.2000,0.925503
4015.2500,1.11156
4015.3000,1.23728
4015.3500,0.846482
4015.4000,1.11336
4015.4500,1.06607
4015.5000,0.69506
4015.5500,0.835049
4015.6000,0.731193
4015.6500,0.532796
4015.7000,0.820344
4015.7500,0.819771
4015.8000,0.899397
4015.8500,0.984202
4015.9000,1.07067
4015.9500,1.2281
4016.0000,1.04906
4016.0500,0.944834
4016.1000,1.13448
4016.1500,1.15329
4016.2000,1.14318
4016.2500,1.0129
4016.3000,0.98377
4016.3500,0.973839
4016.4000,0.97739
4016.4500,0.853957
4016.5000,0.699939
4016.5500,1.02588
4016.6000,0.993726
4016.6500,1.14627
4016.7000,1.13163
4016.7500,1.01027
4016.8000,0.940021
4016.8500,1.02711
4016.9000,1.17227
4016.9500,0.996385
4017.0000,0.86454
4017.0500,0.902427
4017.1000,0.583041
4017.1500,0.394646
4017.2000,0.40377
4017.2500,0.796842
4017.3000,0.804577
4017.3500,0.780664
4017.4000,0.71223
4017.4500,0.721172
4017.5000,0.320989
4017.5500,0.552639
4017.6000,0.693684
4017.6500,0.816141
4017.7000,0.831875
4017.7500,0.613319
4017.8000,0.949041
4017.8500,1.0138
4017.9000,0.990453
4017.9500,1.01927
4018.0000,0.971135
4018.0500,0.841458
4018.1000,0.446089
4018.1500,0.429192
4018.2000,0.465611
4018.2500,0.480545
4018.3000,0.520107
4018.3500,0.889172
4018.4000,0.683065
4018.4500,0.861811
4018.5000,0.984391
4018.5500,0.90134
4018.6000,1.07605
4018.6500,1.27468
4018.7000,1.13616
4018.7500,1.24409
4018.8000,1.21379
4018.8500,1.05725
4018.9000,0.919836
4018.9500,1.17671
4019.0000,1.06847
4019.0500,0.983403
4019.1000,0.917173
4019.1500,0.959365
4019.2000,0.976827
4019.2500,1.04209
4019.3000,1.09166
4019.3500,1.06942
4019.4000,1.04992
4019.4500,1.38481
4019.5000,1.11045
4019.5500,1.12276
4019.6000,1.28558
4019.6500,1.10206
4019.7000,1.09658
4019.7500,1.29815
4019.8000,1.27428
4019.8500,1.05798
4019.9000,1.09988
4019.9500,0.917325
4020.0000,0.898728
4020.0500,0.880156
4020.1000,0.741578
4020.1500,0.640124
4020.2000,0.954257
4020.2500,0.509777
4020.3000,0.61672
4020.3500,0.697808
4020.4000,0.89049
4020.4500,0.8006
4020.5000,0.847411
4020.5500,0.871722
4020.6000,1.09954
4020.6500,0.825943
4020.7000,1.16054
4020.7500,1.1042
4020.8000,1.10528
4020.8500,0.846049
4020.9000,0.685443
4020.9500,0.539362
4021.0000,0.704954
4021.0500,0.910713
4021.1000,1.1621
4021.1500,1.27197
4021.2000,1.02471
4021.2500,1.15565
4021.3000,1.14762
4021.3500,0.9625
4021.4000,1.01543
4021.4500,1.04059
4021.5000,0.978193
4021.5500,1.07717
4021.6000,0.857097
4021.6500,0.625351
4021.7000,0.674796
4021.7500,0.767127
4021.8000,0.600592
4021.8500,0.599765
4021.9000,0.494672
4021.9500,0.643494
4022.0000,0.771873
4022.0500,0.941181
4022.1000,1.04717
4022.1500,1.23236
4022.2000,0.900685
4022.2500,0.814614
4022.3000,0.930909
4022.3500,1.07506
4022.4000,1.10738
4022.4500,1.19023
4022.5000,0.929936
4022.5500,0.9358
4022.6000,0.86336
4022.6500,1.05905
4022.7000,1.03001
4022.7500,0.903766
4022.8000,0.88014
4022.8500,0.738412
4022.9000,0.903295
4022.9500,0.83801
4023.0000,0.993662
4023.0500,1.20924
4023.1000,1.10683
4023.1500,0.904733
4023.2000,0.978453
4023.2500,0.930298
4023.3000,0.98807
4023.3500,0.810207
4023.4000,0.478453
4023.4500,0.559111
4023.5000,0.915216
4023.5500,0.934281
4023.6000,1.08927
4023.6500,0.793398
4023.7000,0.873272
4023.7500,0.827254
4023.8000,0.91144
4023.8500,1.09137
4023.9000,1.07928
4023.9500,0.949201
4024.0000,0.898158
4024.0500,0.807644
4024.1000,0.670862
4024.1500,0.756103
4024.2000,0.739771
4024.2500,0.929995
4024.3000,0.879965
4024.3500,0.847866
4024.4000,0.844395
4024.4500,0.789927
4024.5000,0.928611
4024.5500,0.64082
4024.6000,0.556021
4024.6500,0.494895
4024.7000,0.513382
4024.7500,0.478807
4024.8000,0.555332
4024.8500,0.674279
4024.9000,0.744185
4024.9500,0.861836
4025.0000,0.830644
4025.0500,0.644046
4025.1000,0.750526
4025.1500,0.539995
4025.2000,0.441306
4025.2500,0.736972
4025.3000,0.868494
4025.3500,0.887867
4025.4000,0.84411
4025.4500,0.950275
4025.5000,0.887439
4025.5500,1.00433
4025.6000,1.19194
4025.6500,1.0841
4025.7000,1.06368
4025.7500,1.07159
4025.8000,0.646142
4025.8500,0.756791
4025.9000,0.882443
4025.9500,0.976499
4026.0000,1.14804
4026.0500,1.12005
4026.1000,0.953388
4026.1500,0.886213
4026.2000,0.871997
4026.2500,1.05935
4026.3000,1.04269
4026.3500,0.855845
4026.4000,0.866842
4026.4500,0.838986
4026.5000,0.727993
4026.5500,0.715565
4026.6000,0.854954
4026.6500,0.928943
4026.7000,1.04742
4026.7500,1.08371
4026.8000,0.952536
4026.8500,1.05284
4026.9000,0.994394
4026.9500,1.02819
4027.0000,1.11141
4027.0500,0.960086
4027.1000,1.13535
4027.1500,0.960189
4027.2000,1.11734
4027.2500,1.13694
4027.3000,1.15701
4027.3500,0.93198
4027.4000,0.985497
4027.4500,1.02064
4027.5000,0.852911
4027.5500,1.0147
4027.6000,0.580699
4027.6500,0.954464
4027.7000,0.729348
4027.7500,0.915168
4027.8000,0.89185
4027.8500,0.927201
4027.9000,0.949771
4027.9500,0.956658
4028.0000,0.904309
4028.0500,0.893622
4028.1000,1.03869
4028.1500,0.907938
4028.2000,1.02352
4028.2500,0.899618
4028.3000,0.526785
4028.3500,0.598535
4028.4000,0.541551
4028.4500,0.63124
4028.5000,0.965278
4028.5500,1.04895
4028.6000,0.880639
4028.6500,1.21222
4028.7000,0.916924
4028.7500,0.83882
4028.8000,0.870861
4028.8500,0.962455
4028.9000,1.03228
4028.9500,1.07948
4029.0000,0.975501
4029.0500,1.12353
4029.1000,1.11629
4029.1500,1.25185
4029.2000,1.16683
4029.2500,1.09342
4029.3000,0.904393
4029.3500,1.05728
4029.4000,0.919821
4029.4500,1.04723
4029.5000,1.00362
4029.5500,1.05119
4029.6000,0.762658
4029.6500,0.468389
4029.7000,0.574094
4029.7500,0.769466
4029.8000,0.852021
4029.8500,0.885973
4029.9000,1.05875
4029.9500,1.02514
4030.0000,1.17475
4030.0500,1.1037
4030.1000,0.878352
4030.1500,0.980183
4030.2000,0.588273
4030.2500,0.627648
4030.3000,0.859472
4030.3500,0.855424
4030.4000,0.820446
4030.4500,0.591553
4030.5000,0.324979
4030.5500,0.384062
4030.6000,0.607842
4030.6500,0.669651
4030.7000,0.511795
4030.7500,0.286782
4030.8000,0.355698
4030.8500,0.128224
4030.9000,0.537307
4030.9500,0.630531
4031.0000,0.758582
4031.0500,0.957933
4031.1000,0.906891
4031.1500,0.807126
4031.2000,0.869534
4031.2500,0.845231
4031.3000,0.932998
4031.3500,1.11838
4031.4000,0.810107
4031.4500,0.832593
4031.5000,0.94033
4031.5500,0.944015
4031.6000,0.947943
4031.6500,0.767669
4031.7000,0.72669
4031.7500,0.598745
4031.8000,0.668824
4031.8500,0.659556
4031.9000,0.788143
4031.9500,0.653614
4032.0000,0.566227
4032.0500,0.672158
4032.1000,0.959409
4032.1500,1.02263
4032.2000,1.05374
4032.2500,1.02822
4032.3000,1.03698
4032.3500,1.20605
4032.4000,1.18174
4032.4500,0.653933
4032.5000,0.58649
4032.5500,0.733211
4032.6000,0.756858
4032.6500,0.395975
4032.7000,0.5616
4032.7500,0.824464
4032.8000,1.03315
4032.8500,0.919913
4032.9000,1.08608
4032.9500,1.04527
4033.0000,0.508257
4033.0500,0.32391
4033.1000,0.434636
4033.1500,0.315021
4033.2000,0.404683
4033.2500,0.558292
4033.3000,0.803433
4033.3500,1.17831
4033.4000,1.22455
4033.4500,1.09938
4033.5000,1.05889
4033.5500,0.938282
4033.6000,0.796768
4033.6500,0.768597
4033.7000,0.62131
4033.7500,0.837191
4033.8000,0.978317
4033.8500,0.99928
4033.9000,1.19215
4033.9500,1.10998
4034.0000,1.21834
4034.0500,0.73491
4034.1000,0.873944
4034.1500,0.948492
4034.2000,1.1917
4034.2500,0.942162
4034.3000,1.10713
4034.3500,1.03141
4034.4000,0.604967
4034.4500,0.432135
4034.5000,0.197164
4034.5500,0.273363
4034.6000,0.429322
4034.6500,0.728322
4034.7000,0.886062
4034.7500,0.995565
4034.8000,1.01961
4034.8500,1.00891
4034.9000,1.05295
4034.9500,1.0013
4035.0000,1.05527
4035.0500,1.12098
4035.1000,1.12453
4035.1500,0.83459
4035.2000,1.01573
4035.2500,0.87359
4035.3000,0.90584
4035.3500,1.09192
4035.4000,1.188
4035.4500,1.22521
4035.5000,1.20586
4035.5500,0.800063
4035.6000,0.501504
4035.6500,0.408036
4035.7000,0.282055
4035.7500,0.429271
4035.8000,0.525581
4035.8500,0.754862
4035.9000,0.867144
4035.9500,1.02217
4036.0000,0.934378
4036.0500,1.02979
4036.1000,0.998238
4036.1500,1.16286
4036.2000,1.15407
4036.2500,1.22066
4036.3000,1.25596
4036.3500,0.899722
4036.4000,0.966054
4036.4500,0.700188
4036.5000,1.01403
4036.5500,1.08285
4036.6000,1.22094
4036.6500,1.07049
4036.7000,1.18954
4036.7500,0.67816
4036.8000,0.810373
4036.8500,0.870473
4036.9000,1.23225
4036.9500,1.1551
4037.0000,1.06539
4037.0500,1.09084
4037.1000,0.88849
4037.1500,0.855892
4037.2000,1.02163
4037.2500,0.985173
4037.3000,0.926962
4037.3500,0.839159
4037.4000,1.04828
4037.4500,0.861117
4037.5000,0.742537
4037.5500,1.14989
4037.6000,1.00792
4037.6500,1.1705
4037.7000,1.03521
4037.7500,1.00292
4037.8000,1.21384
4037.8500,1.13824
4037.9000,1.14686
4037.9500,0.966655
4038.0000,1.11441
4038.0500,1.16703
4038.1000,1.12737
4038.1500,1.12832
4038.2000,1.11979
4038.2500,1.02884
4038.3000,1.26598
4038.3500,1.39682
4038.4000,1.16812
4038.4500,0.94068
4038.5000,0.922532
4038.5500,1.01013
4038.6000,0.871501
4038.6500,0.989025
4038.7000,0.92398
4038.7500,0.739686
4038.8000,0.603695
4038.8500,0.74863
4038.9000,0.855054
4038.9500,0.946059
4039.0000,0.995663
4039.0500,0.847435
4039.1000,1.05975
4039.1500,0.924516
4039.2000,0.826045
4039.2500,1.20176
4039.3000,1.1194
4039.3500,1.33693
4039.4000,1.14003
4039.4500,0.946061
4039.5000,1.27606
4039.5500,1.04069
4039.6000,1.08155
4039.6500,1.05055
4039.7000,1.09718
4039.7500,1.06258
4039.8000,0.881083
4039.8500,0.847463
4039.9000,1.11591
4039.9500,0.793096
4040.0000,0.852721
4040.0500,0.831286
4040.1000,0.854857
4040.1500,0.909141
4040.2000,0.904851
4040.2500,1.0718
4040.3000,0.884935
4040.3500,0.909001
4040.4000,1.16733
4040.4500,1.22714
4040.5000,1.0256
4040.5500,0.5712
4040.6000,0.818579
4040.6500,0.631204
4040.7000,0.494677
4040.7500,0.502995
4040.8000,0.704754
4040.8500,0.752534
4040.9000,1.00208
4040.9500,1.06587
4041.0000,1.15759
4041.0500,1.14778
4041.1000,1.1633
4041.1500,1.1598
4041.2000,1.13123
4041.2500,0.891105
4041.3000,0.548854
4041.3500,0.345288
4041.4000,0.293764
4041.4500,0.466173
4041.5000,0.878626
4041.5500,1.13166
4041.6000,0.911906
4041.6500,0.784755
4041.7000,0.776553
4041.7500,1.0407
4041.8000,0.926174
4041.8500,0.973061
4041.9000,1.01206
4041.9500,0.988459
4042.0000,1.07774
4042.0500,1.18692
4042.1000,1.21383
4042.1500,1.03343
4042.2000,1.11472
4042.2500,1.02164
4042.3000,1.18426
4042.3500,1.22291
4042.4000,0.848822
4042.4500,1.21498
4042.5000,1.10016
4042.5500,1.10982
4042.6000,0.978459
4042.6500,0.964354
4042.7000,1.05799
4042.7500,1.05879
4042.8000,1.10685
4042.8500,1.04701
4042.9000,1.06638
4042.9500,1.05487
4043.0000,1.04941
4043.0500,1.21363
4043.1000,1.05212
4043.1500,1.04822
4043.2000,1.21256
4043.2500,1.09318
4043.3000,1.14376
4043.3500,1.02992
4043.4000,1.09405
4043.4500,1.12687
4043.5000,0.970611
4043.5500,1.11897
4043.6000,0.868239
4043.6500,1.03414
4043.7000,0.800728
4043.7500,0.80345
4043.8000,0.759831
4043.8500,0.679838
4043.9000,0.664043
4043.9500,0.449453
4044.0000,0.389337
4044.0500,0.723171
4044.1000,0.838911
4044.1500,1.03011
4044.2000,1.09116
4044.2500,1.11706
4044.3000,1.01092
4044.3500,1.01113
4044.4000,1.16575
4044.4500,0.865015
4044.5000,0.769258
4044.5500,0.599072
4044.6000,0.442797
4044.6500,0.494121
4044.7000,0.628357
4044.7500,0.788636
4044.8000,0.943398
4044.8500,1.02681
4044.9000,1.00764
4044.9500,1.01606
4045.0000,0.818729
4045.0500,0.824167
4045.1000,0.66162
4045.1500,0.704009
4045.2000,0.71303
4045.2500,0.819513
4045.3000,0.861472
4045.3500,0.723762
4045.4000,0.341712
4045.4500,0.348417
4045.5000,0.338243
4045.5500,0.548154
4045.6000,0.388265
4045.6500,0.239938
4045.7000,0.349651
4045.7500,0.279491
4045.8000,0.28898
4045.8500,0.246833
4045.9000,0.203528
4045.9500,0.294414
4046.0000,0.411879
4046.0500,0.398213
4046.1000,0.520672
4046.1500,0.48054
4046.2000,0.725534
4046.2500,0.804832
4046.3000,0.782236
4046.3500,0.72741
4046.4000,0.837887
4046.4500,0.805
4046.5000,0.860147
4046.5500,0.954916
4046.6000,1.03884
4046.6500,0.986513
4046.7000,0.92637
4046.7500,1.01498
4046.8000,0.996564
4046.8500,1.03336
4046.9000,1.0933
4046.9500,1.09476
4047.0000,1.15718
4047.0500,0.875784
4047.1000,1.14144
4047.1500,1.12869
4047.2000,1.13359
4047.2500,0.893916
4047.3000,0.667638
4047.3500,0.755277
4047.4000,0.928795
4047.4500,1.08661
4047.5000,1.21258
4047.5500,1.09275
4047.6000,1.0991
4047.6500,1.00058
4047.7000,1.01498
4047.7500,1.00629
4047.8000,0.963583
4047.8500,1.16437
4047.9000,1.04888
4047.9500,1.14276
4048.0000,1.02441
4048.0500,0.875195
4048.1000,1.03109
4048.1500,1.03452
4048.2000,1.20125
4048.2500,1.07356
4048.3000,0.985743
4048.3500,1.04016
4048.4000,1.03802
4048.4500,1.09208
4048.5000,1.12434
4048.5500,1.0684
4048.6000,0.949994
4048.6500,0.881316
4048.7000,0.618012
4048.7500,0.529181
4048.8000,0.345273
4048.8500,0.574436
4048.9000,0.899126
4048.9500,1.02811
4049.0000,0.960351
4049.0500,0.889983
4049.1000,0.80164
4049.1500,0.847668
4049.2000,0.957682
4049.2500,0.906
4049.3000,0.763292
4049.3500,0.72379
4049.4000,0.697245
4049.4500,0.945707
4049.5000,1.04399
4049.5500,0.982586
4049.6000,1.06005
4049.6500,0.983015
4049.7000,0.93926
4049.7500,0.983186
4049.8000,1.00911
4049.8500,0.909489
4049.9000,0.872524
4049.9500,1.09638
4050.0000,1.14664
4050.0500,0.95198
4050.1000,1.15001
4050.1500,1.10329
4050.2000,1.12266
4050.2500,1.07567
4050.3000,1.08776
4050.3500,0.972916
4050.4000,0.955428
4050.4500,0.942607
4050.5000,0.938394
4050.5500,0.990562
4050.6000,0.943896
4050.6500,0.482812
4050.7000,0.670226
4050.7500,0.965318
4050.8000,0.983833
4050.8500,0.984454
4050.9000,1.01825
4050.9500,1.04039
4051.0000,0.991799
4051.0500,0.775158
4051.1000,0.857788
4051.1500,1.00532
4051.2000,0.833376
4051.2500,0.753331
4051.3000,0.687171
4051.3500,0.886883
4051.4000,0.954248
4051.4500,1.01595
4051.5000,0.977874
4051.5500,1.18127
4051.6000,1.2362
4051.6500,1.03489
4051.7000,1.01212
4051.7500,1.1616
4051.8000,1.00408
4051.8500,0.996354
4051.9000,0.76647
4051.9500,0.532154
4052.0000,0.60655
4052.0500,0.721484
4052.1000,0.840572
4052.1500,1.12806
4052.2000,1.08103
4052.2500,0.880484
4052.3000,0.81493
4052.3500,0.602396
4052.4000,0.836891
4052.4500,0.866006
4052.5000,0.488474
4052.5500,0.566347
4052.6000,0.729626
4052.6500,0.920088
4052.7000,0.71115
4052.7500,0.658127
4052.8000,0.855145
4052.8500,0.986568
4052.9000,1.0016
4052.9500,0.850244
4053.0000,0.881942
4053.0500,0.926684
4053.1000,1.05746
4053.1500,0.917545
4053.2000,0.820909
4053.2500,0.84073
4053.3000,0.659198
4053.3500,0.917282
4053.4000,0.901001
4053.4500,0.918187
4053.5000,0.908268
4053.5500,0.925088
4053.6000,0.955192
4053.6500,1.2138
4053.7000,1.02379
4053.7500,1.05338
4053.8000,0.679962
4053.8500,0.533529
4053.9000,0.603906
4053.9500,0.829171
4054.0000,1.09419
4054.0500,0.915451
4054.1000,0.904212
4054.1500,0.644084
4054.2000,0.794729
4054.2500,0.89934
4054.3000,0.825117
4054.3500,1.02802
4054.4000,1.0651
4054.4500,0.998706
4054.5000,0.96699
4054.5500,1.14219
4054.6000,0.982779
